# DESCRIPTION:
# Reference: Gayatri Kathayat, Hai Cheng, Ashish Sinha, Christoph Spötl, R. Lawrence Edwards, Haiwei Zhang, Xianglei Li, Liang Yi, Youfeng Ning, Yanjun Cai, Weiguo Lui Lui, Sebastian F.M. Breitenbach. 2016. Indian monsoon variability on millennial-orbital timescales. Scientific Reports, 6, 24374. doi: 10.1038/srep24374.
# Data from: hhttps://www.ncei.noaa.gov/access/paleo-search/study/20449. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [ka BP],d18O [per mil VPDB],d13C [per mil VPDB]
0.874,-7.194,-0.848
0.894,-5.274,2.907
0.915,-7.206,-1.927
0.935,-7.624,-3.213
0.956,-6.122,-3.958
0.977,-6.572,-4.64
0.997,-6.273,-5.157
1.018,-7.12,-5.532
1.039,-7.357,-5.519
1.059,-6.173,-3.15
1.08,-6.976,-4.422
1.101,-7.23,-6.007
1.121,-8.701,-8.059
1.142,-8.281,-7.391
1.163,-7.561,-7.262
1.183,-9.063,-7.576
1.204,-9.098,-7.383
1.224,-8.01,-6.443
1.245,-7.484,-6.568
1.266,-8.541,-7.394
1.286,-8.788,-7.49
1.307,-8.535,-8.426
1.328,-9.101,-6.927
1.348,-8.109,-7.028
1.349,-6.865,-6.34
1.351,-7.873,-7.794
1.352,-6.894,-5.748
1.353,-8.402,-7.257
1.354,-9.23,-6.586
1.356,-7.47,-6.874
1.357,-7.395,-6.064
1.358,-9.923,-6.501
1.359,-7.544,-6.797
1.36,-7.386,-6.412
1.362,-7.609,-7.832
1.363,-7.288,-6.611
1.364,-7.248,-6.247
1.365,-7.353,-7.41
1.367,-6.537,-6.47
1.368,-7.611,-8.115
1.37,-7.523,-7.705
1.373,-7.362,-5.427
1.375,-6.147,-5.908
1.378,-7.469,-6.008
1.38,-7.91,-6.862
1.382,-7.494,-6.317
1.385,-7.329,-5.437
1.387,-8.215,-6.832
1.39,-8.186,-5.908
1.392,-7.456,-5.55
1.395,-8.26,-5.843
1.397,-7.556,-5.325
1.4,-6.627,-2.47
1.402,-8.014,-3.919
1.405,-8.789,-3.211
1.407,-8.824,-4.515
1.409,-9.156,-5.857
1.412,-9.769,-6.045
1.414,-9.759,-6.249
1.417,-8.14,-4.715
1.419,-9.461,-5.169
1.422,-9.278,-5.144
1.424,-8.795,-4.932
1.427,-6.742,-5.092
1.429,-8.587,-5.074
1.437,-9.219,-4.718
1.444,-8.618,-4.478
1.452,-7.051,-3.696
1.459,-8.288,-4.504
1.467,-8.802,-4.729
1.475,-8.427,-5.005
1.482,-8.89,-5.558
1.49,-9.009,-4.658
1.497,-8.339,-4.952
1.505,-8.182,-4.98
1.512,-8.228,-4.565
1.52,-8.361,-4.857
1.528,-9.341,-4.858
1.535,-8.628,-5.232
1.543,-8.996,-4.619
1.55,-8.546,-4.382
1.558,-8.643,-4.499
1.566,-10.871,-4.539
1.573,-7.779,-4.382
1.581,-8.985,-4.258
1.588,-8.61,-4.506
1.596,-8.983,-4.447
1.603,-9.568,-4.643
1.611,-8.296,-4.204
1.619,-10.05,-4.385
1.626,-8.442,-4.491
1.634,-8.758,-5.004
1.641,-8.337,-5.327
1.649,-8.557,-5.191
1.667,-8.531,-5.588
1.685,-9.085,-4.905
1.703,-9.131,-5.127
1.721,-10.051,-4.891
1.74,-7.253,-4.486
1.758,-9.085,-4.795
1.776,-8.454,-4.307
1.794,-9.319,-3.343
1.812,-8.56,-3.196
1.83,-9.255,-2.981
1.848,-8.385,-2.632
1.866,-8.69,-2.568
1.885,-9.205,-2.46
1.903,-8.707,-2.764
1.921,-8.842,-2.784
1.939,-9.813,-2.431
1.957,-9.94,-2.905
1.975,-8.519,-3.641
1.993,-9.664,-3.864
2.011,-8.202,-4.201
2.03,-8.285,-4.977
2.047,-7.879,-4.757
2.064,-9.498,-5.045
2.081,-8.21,-4.94
2.098,-9.378,-5.351
2.115,-8.732,-4.988
2.132,-8.19,-4.676
2.149,-8.366,-4.404
2.166,-9.276,-5.234
2.183,-9.248,-5.342
2.2,-9.186,-5.832
2.217,-8.89,-5.517
2.234,-9.986,-5.557
2.251,-10.478,-5.794
2.268,-10.585,-5.594
2.285,-9.617,-5.631
2.302,-8.298,-5.356
2.319,-6.99,-4.992
2.336,-8.741,-5.302
2.353,-9.422,-4.876
2.37,-11.791,-5.138
2.387,-8.669,-4.954
2.404,-8.118,-4.58
2.421,-9.538,-4.416
2.438,-9.437,-4.557
2.455,-8.776,-4.562
2.472,-8.792,-3.856
2.489,-9.608,-4.027
2.507,-10.152,-3.865
2.524,-9.307,-3.749
2.541,-9.443,-3.373
2.558,-7.751,-3.283
2.575,-8.424,-3.51
2.592,-9.822,-3.129
2.609,-9.685,-3.11
2.626,-9.165,-2.918
2.643,-9.976,-2.648
2.66,-7.021,-2.746
2.677,-9.938,-2.658
2.694,-9.598,-2.22
2.711,-8.404,-2.272
2.728,-7.519,-1.499
2.745,-8.197,-1.906
2.762,-7.305,-1.929
2.779,-9.854,-2.323
2.796,-8.807,-2.566
2.813,-9.194,-2.453
2.864,-7.916,-2.281
2.881,-8.17,-2.14
2.898,-8.54,-2.484
2.915,-8.844,-2.305
2.932,-9.205,-2.087
2.949,-10.656,-1.657
2.966,-10.542,-2.241
2.983,-8.946,-1.362
3.001,-10.73,-1.135
3.018,-8.807,-0.799
3.035,-8.244,-1.134
3.052,-8.427,-1.037
3.069,-9.533,-1.245
3.086,-9.29,-1.225
3.103,-9.295,-1.455
3.12,-10.533,-1.899
3.137,-7.751,-1.377
3.154,-8.638,-1.521
3.171,-7.634,-1.417
3.188,-9.889,-1.659
3.205,-8.735,-1.46
3.222,-9.276,-1.511
3.239,-8.243,-0.724
3.256,-8.15,-0.603
3.273,-8.372,-1.257
3.29,-9.811,-1.41
3.307,-10.371,-0.919
3.324,-9.958,-0.399
3.341,-9.002,-0.569
3.358,-8.778,-0.578
3.375,-8.781,-1.152
3.392,-8.591,-0.182
3.409,-11.024,-0.413
3.426,-9.582,-1.301
3.443,-10.313,-2.053
3.46,-9.981,-1.905
3.477,-9.003,-1.709
12.209,-9.448,-7.753
12.218,-5.478,-0.975
12.227,-8.481,-5.899
12.236,-7.168,-4.61
12.245,-6.479,-2.129
12.254,-7.303,-5.359
12.263,-6.873,-5.991
12.272,-6.713,-7.222
12.28,-4.457,-5.619
12.289,-4.743,-5.855
12.298,-4.585,-6.751
12.307,-4.433,-7.876
12.316,-4.349,-7.891
12.325,-4.415,-8.4
12.334,-4.446,-6.786
12.343,-4.287,-7.583
12.352,-5.248,-8.44
12.361,-5.754,-8.567
12.37,-5.288,-8.378
12.378,-5.004,-8.048
12.387,-4.672,-7.719
12.396,-5.468,-8.773
12.405,-4.649,-7.272
12.414,-5.302,-8.274
12.423,-5.547,-8.612
12.432,-4.964,-7.858
12.441,-5.83,-8.382
12.45,-4.744,-8.014
12.459,-5.109,-8.479
12.468,-4.804,-7.71
12.476,-4.981,-8.814
12.485,-4.732,-7.966
12.494,-4.775,-8.477
12.503,-4.585,-8.076
12.512,-4.786,-8.718
12.521,-4.931,-9.155
12.53,-5.199,-8.19
12.539,-4.823,-7.479
12.548,-4.311,-7.059
12.557,-5.24,-8.524
12.566,-4.562,-8.318
12.575,-4.001,-7.547
12.583,-4.264,-8.007
12.592,-4.643,-8.627
12.601,-4.479,-8.207
12.61,-4.877,-8.475
12.619,-4.661,-9.149
12.628,-4.619,-8.945
12.637,-4.629,-8.917
12.646,-4.545,-8.983
12.655,-4.812,-9.171
12.664,-4.685,-8.883
12.673,-4.432,-8.274
12.681,-4.7,-7.85
12.69,-4.694,-8.804
12.699,-4.205,-8.303
12.708,-4.344,-8.714
12.717,-4.007,-7.729
12.726,-3.963,-6.692
12.735,-4.371,-8.374
12.744,-5.31,-7.527
