# DESCRIPTION:
# Reference: Westerhold, T., Marwan, N., Drury, A. J., Liebrand, D., Agnini, C., Anagnostou, E., ... & Zachos, J. C. (2020). An astronomically dated record of Earth’s climate and its predictability over the last 66 million years. Science, 369(6509), 1383-1387, https://doi.org/10.1126/science.aba6853
#Data from: https://doi.org/10.1126/science.aba6853. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

age_tuned [Ma BP],d18O interp,d13C interp,d18O LOESS LongTerm,d13C LOESS LongTerm
0.000,3.520,-0.800,4.6201,-0.60622
0.002,3.570,0.430,4.61839,-0.6056
0.004,3.535,-0.645,4.61668,-0.60498
0.006,3.807,0.047,4.61498,-0.60436
0.008,3.960,-0.313,4.61329,-0.60374
0.010,4.925,-0.805,4.61161,-0.60312
0.012,4.820,-0.695,4.60993,-0.6025
0.014,5.353,-0.940,4.60827,-0.60188
0.016,5.330,-0.703,4.60661,-0.60126
0.018,5.277,-0.777,4.60496,-0.60063
0.020,5.165,-0.665,4.60333,-0.60001
0.022,5.050,-0.745,4.6017,-0.59939
0.024,5.023,-0.733,4.60007,-0.59876
0.026,4.923,-0.520,4.59846,-0.59814
0.028,4.930,-0.615,4.59686,-0.59751
0.030,4.975,-0.475,4.59526,-0.59688
0.032,4.832,-0.425,4.59368,-0.59625
0.034,4.837,-0.375,4.5921,-0.59562
0.036,4.735,-0.455,4.59053,-0.59499
0.038,4.755,-0.670,4.58897,-0.59435
0.040,4.760,-0.363,4.58742,-0.59372
0.042,4.810,-0.352,4.58588,-0.59308
0.044,4.675,-0.485,4.58434,-0.59244
0.046,4.722,-0.325,4.58282,-0.59179
0.048,4.730,-0.425,4.58131,-0.59115
0.050,4.730,-0.143,4.5798,-0.5905
0.052,4.730,-0.443,4.5783,-0.58985
0.054,4.628,-0.335,4.57682,-0.5892
0.056,4.720,-0.627,4.57534,-0.58855
0.058,4.740,-0.687,4.57387,-0.58789
0.060,4.877,-1.080,4.57241,-0.58723
0.062,4.942,-0.940,4.57096,-0.58657
0.064,4.910,-1.030,4.56952,-0.5859
0.066,4.970,-0.995,4.56809,-0.58523
0.068,4.775,-0.490,4.56666,-0.58456
0.070,4.628,-0.668,4.56525,-0.58389
0.072,4.530,-0.180,4.56385,-0.58321
0.074,4.530,-1.450,4.56245,-0.58253
0.076,4.370,0.087,4.56107,-0.58184
0.078,4.300,-0.430,4.55969,-0.58115
0.080,4.210,0.180,4.55833,-0.58046
0.082,4.240,-0.025,4.55697,-0.57976
0.084,4.157,0.032,4.55562,-0.57906
0.086,4.240,-0.600,4.55429,-0.57835
0.088,4.377,-0.840,4.55296,-0.57764
0.090,4.680,-0.590,4.55164,-0.57693
0.092,4.512,-0.415,4.55033,-0.57621
0.094,4.345,-0.240,4.54903,-0.57549
0.096,4.463,-0.007,4.54775,-0.57476
0.098,4.345,-0.025,4.54647,-0.57403
0.100,4.340,-0.490,4.5452,-0.57329
0.102,4.225,-0.520,4.54394,-0.57255
0.104,4.010,0.170,4.54269,-0.5718
0.106,4.120,-0.080,4.54145,-0.57105
0.108,4.100,-0.740,4.54022,-0.57029
0.110,4.250,-0.263,4.539,-0.56952
0.112,4.317,-0.497,4.53779,-0.56875
0.114,4.500,-0.755,4.53659,-0.56798
0.116,4.440,-0.420,4.5354,-0.5672
0.118,4.370,-0.310,4.53422,-0.56641
0.120,4.377,-0.223,4.53305,-0.56562
0.122,4.010,0.005,4.53189,-0.56482
0.124,3.830,-0.090,4.53074,-0.56402
0.126,3.717,-0.470,4.5296,-0.56321
0.128,3.512,-0.408,4.52848,-0.56239
0.130,3.728,-0.417,4.52736,-0.56157
0.132,4.257,-0.847,4.52625,-0.56074
0.134,5.097,-0.883,4.52515,-0.55991
0.136,5.225,-0.785,4.52406,-0.55907
0.138,5.200,-0.690,4.52298,-0.55824
0.140,5.300,-0.720,4.52191,-0.5574
0.142,5.147,-0.993,4.52085,-0.55656
0.144,5.190,-0.710,4.5198,-0.55572
0.146,4.930,-1.240,4.51875,-0.55488
0.148,4.957,-1.292,4.51772,-0.55405
0.150,5.010,-1.145,4.5167,-0.55321
0.152,4.730,-1.090,4.51568,-0.55237
0.154,5.065,-1.030,4.51467,-0.55153
0.156,4.947,-0.723,4.51367,-0.55069
0.158,4.780,-0.405,4.51268,-0.54986
0.160,4.850,-0.975,4.5117,-0.54902
0.162,4.803,-0.657,4.51073,-0.54819
0.164,4.800,-1.850,4.50976,-0.54736
0.166,4.747,-1.168,4.5088,-0.54653
0.168,4.693,-0.487,4.50786,-0.5457
0.170,4.660,-0.830,4.50692,-0.54487
0.172,4.720,-1.150,4.50598,-0.54405
0.174,4.750,-1.055,4.50506,-0.54323
0.176,4.850,-0.440,4.50414,-0.54241
0.178,4.700,-1.240,4.50323,-0.5416
0.180,4.775,-0.640,4.50233,-0.54079
0.182,4.820,-1.040,4.50144,-0.53998
0.184,4.827,-1.013,4.50055,-0.53917
0.186,4.835,-0.985,4.49968,-0.53838
0.188,4.660,-0.450,4.49881,-0.53758
0.190,4.233,-0.457,4.49794,-0.53679
0.192,4.325,-0.575,4.49709,-0.536
0.194,4.055,-0.315,4.49624,-0.53522
0.196,4.057,-0.633,4.4954,-0.53445
0.198,3.942,-0.412,4.49456,-0.53368
0.200,3.886,-0.430,4.49374,-0.53291
0.202,3.830,-0.448,4.49292,-0.53215
0.204,3.990,-0.275,4.4921,-0.5314
0.206,3.975,-0.100,4.49129,-0.53065
0.208,3.960,0.075,4.49049,-0.52991
0.210,3.920,0.190,4.4897,-0.52918
0.212,3.940,-0.035,4.48891,-0.52845
0.214,3.960,-0.260,4.48813,-0.52773
0.216,3.902,-0.162,4.48736,-0.52702
0.218,3.843,-0.063,4.48659,-0.52632
0.220,3.813,-0.560,4.48583,-0.52562
0.222,3.914,-0.620,4.48508,-0.52493
0.224,4.015,-0.680,4.48433,-0.52425
0.226,4.545,-0.790,4.48358,-0.52358
0.228,4.657,-0.660,4.48285,-0.52292
0.230,4.673,-0.365,4.48212,-0.52226
0.232,4.690,-0.070,4.48139,-0.52162
0.234,4.415,-0.735,4.48067,-0.52098
0.236,4.620,-0.880,4.47996,-0.52035
0.238,4.327,-0.587,4.47925,-0.51974
0.240,4.100,0.000,4.47855,-0.51913
0.242,4.310,-0.985,4.47785,-0.51853
0.244,3.657,-0.797,4.47716,-0.51795
0.246,4.313,-1.000,4.47647,-0.51737
0.248,4.700,-0.640,4.47579,-0.51681
0.250,4.560,-0.540,4.47511,-0.51626
0.252,4.955,-0.455,4.47444,-0.51571
0.254,4.970,-0.710,4.47377,-0.51518
0.256,4.897,-0.607,4.47311,-0.51467
0.258,4.875,-0.475,4.47246,-0.51416
0.260,4.747,-0.448,4.4718,-0.51367
0.262,4.753,-0.500,4.47116,-0.51318
0.264,4.808,-0.780,4.47051,-0.51271
0.266,4.795,-1.160,4.46988,-0.51225
0.268,4.850,-1.236,4.46926,-0.51177
0.270,4.920,-1.435,4.46866,-0.51128
0.272,4.920,-1.240,4.46807,-0.51079
0.274,4.812,-1.292,4.46749,-0.51029
0.276,4.860,-1.040,4.46692,-0.50978
0.278,4.790,-1.155,4.46637,-0.50927
0.280,4.685,-0.778,4.46583,-0.50874
0.282,4.580,-0.402,4.4653,-0.50822
0.284,4.475,-0.025,4.46479,-0.50769
0.286,4.388,-0.422,4.46429,-0.50715
0.288,4.300,-0.820,4.4638,-0.50661
0.290,4.380,-0.885,4.46332,-0.50607
