/* DESCRIPTION:
Reference:	Yang, S., & Ding, Z. (2014). A 249 kyr stack of eight loess grain size records from northern China documenting millennial‐scale climate variability. Geochemistry, Geophysics, Geosystems, 15(3), 798-814, https://doi.org/10.1002/2013GC005113
Data from:	https://doi.org/10.1002/2013GC005113. Accessed 22 Nov 2022.
Comment:	Data was not modified in any way.
*/
Age [ka]	Grain Size
0	0.01812
0.2	0.01946
0.4	0.01389
0.6	0.02727
0.8	0.04047
1	0.05063
1.2	0.06238
1.4	0.06988
1.6	0.07417
1.8	0.07444
2	0.0883
2.2	0.08265
2.4	0.07945
2.6	0.07071
2.8	0.08959
3	0.10365
3.2	0.12194
3.4	0.11418
3.6	0.10966
3.8	0.10398
4	0.09929
4.2	0.09211
4.4	0.11945
4.6	0.13462
4.8	0.13862
5	0.18403
5.2	0.19001
5.4	0.23722
5.6	0.24946
5.8	0.24701
6	0.26193
6.2	0.28429
6.4	0.32748
6.6	0.3463
6.8	0.34618
7	0.37641
7.2	0.37801
7.4	0.40407
7.6	0.36531
7.8	0.34746
8	0.27306
8.2	0.20821
8.4	0.14838
8.6	0.07261
8.8	0.02106
9	-0.11202
9.2	-0.13957
9.4	-0.1161
9.6	-0.17115
9.8	-0.26022
10	-0.26061
10.2	-0.28069
10.4	-0.33602
10.6	-0.35595
10.8	-0.36871
11	-0.40832
11.2	-0.44552
11.4	-0.49198
11.6	-0.47754
11.8	-0.46941
12	-0.48668
12.2	-0.49836
12.4	-0.57675
12.6	-0.48379
12.8	-0.47733
13	-0.41874
13.2	-0.50748
13.4	-0.48732
13.6	-0.49757
13.8	-0.50025
14	-0.48504
14.2	-0.45632
14.4	-0.4967
14.6	-0.58062
14.8	-0.54246
15	-0.61347
15.2	-0.5871
15.4	-0.57045
15.6	-0.55101
15.8	-0.60519
16	-0.75189
16.2	-0.7031
16.4	-0.6666
16.6	-0.61873
16.8	-0.6516
17	-0.61706
17.2	-0.63323
17.4	-0.61677
17.6	-0.60494
17.8	-0.62357
18	-0.63557
18.2	-0.61858
18.4	-0.6614
18.6	-0.62791
18.8	-0.60318
19	-0.5933
19.2	-0.65203
19.4	-0.6334
19.6	-0.65384
19.8	-0.62408
20	-0.62689
20.2	-0.60264
20.4	-0.60911
20.6	-0.61652
20.8	-0.60809
21	-0.60349
21.2	-0.58052
21.4	-0.56879
21.6	-0.57619
21.8	-0.56823
22	-0.59463
22.2	-0.60872
22.4	-0.56874
22.6	-0.56474
22.8	-0.53809
23	-0.50177
23.2	-0.4605
23.4	-0.53682
23.6	-0.54699
23.8	-0.52002
24	-0.69308
24.2	-0.81199
24.4	-0.71839
24.6	-0.70414
24.8	-0.70784
25	-0.6749
25.2	-0.68765
25.4	-0.63378
25.6	-0.63594
25.8	-0.65738
26	-0.63531
26.2	-0.55998
26.4	-0.62549
26.6	-0.59688
26.8	-0.58246
27	-0.55521
27.2	-0.46939
27.4	-0.47476
27.6	-0.43689
27.8	-0.40131
28	-0.41127
28.2	-0.46376
28.4	-0.42819
28.6	-0.36909
28.8	-0.31953
29	-0.29293
29.2	-0.29979
29.4	-0.23673
29.6	-0.26074
29.8	-0.27766
30	-0.30331
30.2	-0.34111
30.4	-0.35973
30.6	-0.35258
30.8	-0.32579
31	-0.3074
31.2	-0.29479
31.4	-0.27717
31.6	-0.25818
31.8	-0.2383
32	-0.21121
32.2	-0.2205
32.4	-0.21209
32.6	-0.18975
32.8	-0.12061
33	-0.30348
33.2	-0.21959
33.4	-0.19123
33.6	-0.16305
33.8	-0.09192
34	-0.20197
34.2	-0.29046
34.4	-0.1901
34.6	-0.10082
34.8	-0.21898
35	-0.27759
35.2	-0.25415
35.4	-0.27604
35.6	-0.30716
35.8	-0.17563
36	-0.09228
36.2	-0.0173
36.4	0.02713
36.6	0.09262
36.8	0.09956
37	0.06635
37.2	0.05243
37.4	0.03111
37.6	0.02893
37.8	0.03784
38	0.01318
38.2	-0.0405
38.4	-0.07086
38.6	-0.05745
38.8	-0.10372
39	-0.13316
39.2	-0.15543
39.4	-0.14815
39.6	-0.18138
39.8	-0.07511
40	0.03949
40.2	-0.02268
40.4	-0.06276
40.6	-0.04577
40.8	-0.00598
41	0.00656
41.2	0.07965
41.4	0.05257
41.6	0.02041
41.8	-0.0068
42	-0.00928
42.2	-0.04809
42.4	0.00439
42.6	-0.02758
42.8	0.06456
43	0.1354
43.2	0.03857
43.4	-0.03637
43.6	-0.00583
43.8	-0.04993
44	-0.0612
44.2	-0.03407
44.4	0.02593
44.6	0.01287
44.8	0.03314
45	0.04232
45.2	0.04101
45.4	0.05748
45.6	0.10567
45.8	0.14277
46	0.10192
46.2	0.19592
46.4	0.17266
46.6	0.16043
46.8	0.11557
47	0.04044
47.2	-0.05216
47.4	-0.04234
47.6	-0.04812
47.8	-0.06727
48	-0.08624
48.2	-0.13444
48.4	-0.05769
48.6	0.07751
48.8	0.21894
49	0.28854
49.2	0.34557
49.4	0.40572
49.6	0.38457
49.8	0.36769
50	0.37073
50.2	0.33008
50.4	0.30035
50.6	0.26273
50.8	0.19595
51	0.22804
51.2	0.25772
51.4	0.26193
51.6	0.28969
51.8	0.31095
52	0.32174
52.2	0.31803
52.4	0.36211
52.6	0.37193
52.8	0.40707
53	0.39214
53.2	0.34488
53.4	0.33446
53.6	0.3175
53.8	0.28534
54	0.25844
54.2	0.23596
54.4	0.19951
54.6	0.16829
54.8	0.14065
55	0.10172
55.2	0.15151
55.4	0.21374
55.6	0.13151
55.8	-0.01251
56	0.0481
56.2	0.10995
56.4	0.17925
56.6	0.12936
56.8	0.07915
57	0.03241
57.2	-0.01306
57.4	-0.07061
57.6	-0.02285
57.8	0.04601
58	0.09377
58.2	-0.01249
58.4	-0.05532
58.6	-0.08887
58.8	-0.12072
59	-0.11068
59.2	-0.12214
59.4	-0.13741
59.6	-0.14967
59.8	-0.18073
60	-0.2045
60.2	-0.25758
60.4	-0.16597
60.6	-0.18217
60.8	-0.14588
61	-0.13588
61.2	-0.07911
61.4	-0.08349
61.6	-0.11872
61.8	-0.13447
62	-0.14788
62.2	-0.15882
62.4	-0.16227
62.6	-0.17634
62.8	-0.18228
63	-0.16907
63.2	-0.17306
63.4	-0.20335
63.6	-0.21142
63.8	-0.20268
64	-0.19874
64.2	-0.20102
64.4	-0.19178
64.6	-0.17373
64.8	-0.19916
65	-0.20068
65.2	-0.1915
65.4	-0.18859
65.6	-0.20267
65.8	-0.21476
66	-0.23034
66.2	-0.23668
66.4	-0.26505
66.6	-0.24505
66.8	-0.21052
67	-0.20564
67.2	-0.21295
67.4	-0.2084
67.6	-0.2207
67.8	-0.21758
68	-0.2074
68.2	-0.1904
68.4	-0.16778
68.6	-0.1746
68.8	-0.15514
69	-0.16398
69.2	-0.1791
69.4	-0.1544
69.6	-0.17203
69.8	-0.13143
70	-0.11317
70.2	-0.0902
70.4	-0.08706
70.6	-0.0553
70.8	-0.09199
71	-0.19998
71.2	-0.30108
71.4	-0.35023
71.6	-0.38593
71.8	-0.35985
72	-0.34634
72.2	-0.5242
72.4	-0.42403
72.6	-0.38127
72.8	-0.36163
73	-0.33768
73.2	-0.35119
73.4	-0.17789
73.6	-0.11788
73.8	0.06116
74	0.25599
74.2	0.3571
74.4	0.31663
74.6	0.29132
74.8	0.27693
75	0.29762
75.2	0.24815
75.4	0.21727
75.6	0.1413
75.8	0.12704
76	0.12478
76.2	0.12515
76.4	0.08991
76.6	0.04442
76.8	0.12472
77	0.16649
77.2	0.22858
77.4	0.24746
77.6	0.2657
77.8	0.30563
78	0.30942
78.2	0.32937
78.4	0.39884
78.6	0.43252
78.8	0.47882
79	0.51711
79.2	0.51453
79.4	0.57874
79.6	0.62736
79.8	0.6701
80	0.68042
80.2	0.71138
80.4	0.75148
80.6	0.78242
80.8	0.77331
81	0.76406
81.2	0.7558
81.4	0.74834
81.6	0.73896
81.8	0.72623
82	0.71526
82.2	0.70838
82.4	0.70257
82.6	0.69617
82.8	0.69598
83	0.69572
83.2	0.69545
83.4	0.68994
83.6	0.69108
83.8	0.69416
84	0.70156
84.2	0.70745
84.4	0.70598
84.6	0.6926
84.8	0.66932
85	0.63818
