# DESCRIPTION:
# Reference: Sun, Y., S.C. Clemens, Z. An, and Z. Yu. 2006. Astronomical timescale and palaeoclimatic implication of stacked 3.6-Myr monsoon records from the Chinese Loess Plateau. Quaternary Science Reviews, Vol. 25 pp. 33-48. https://doi.org/10.1016/j.quascirev.2005.07.005.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/5602. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [Ka BP],Stacked Mean Grain Size,Stacked magnetic susceptibility
0,0.529,
1,0.587,0.747
2,0.564,0.705
3,0.495,0.685
4,0.439,0.664
5,0.397,0.64
6,0.373,0.625
7,0.353,0.604
8,0.346,0.572
9,0.344,0.537
10,0.361,0.498
11,0.373,0.472
12,0.324,0.478
13,0.153,0.393
14,0.171,0.335
15,0.073,0.316
16,0.05,0.356
17,0.03,0.295
18,0.153,0.294
19,0.172,0.253
20,0.069,0.203
21,0.105,0.186
22,0.138,0.195
23,0.121,0.19
24,0.132,0.214
25,0.131,0.192
26,0.236,0.205
27,0.203,0.237
28,0.336,0.268
29,0.257,0.288
30,0.365,0.303
31,0.287,0.307
32,0.339,0.301
33,0.303,0.294
34,0.422,0.288
35,0.244,0.239
36,0.416,0.286
37,0.383,0.279
38,0.327,0.255
39,0.445,0.286
40,0.359,0.286
41,0.241,0.283
42,0.325,0.264
43,0.245,0.255
44,0.125,0.234
45,0.169,0.203
46,0.302,0.292
47,0.329,0.293
48,0.339,0.295
49,0.391,0.287
50,0.354,0.277
51,0.289,0.27
52,0.235,0.246
53,0.225,0.222
54,0.34,0.224
55,0.339,0.211
56,0.266,0.208
57,0.218,0.198
58,0.224,0.186
59,0.288,0.183
60,0.257,0.164
61,0.326,0.178
62,0.233,0.167
63,0.124,0.18
64,0.269,0.189
65,0.135,0.195
66,0.23,0.202
67,0.202,0.197
68,0.183,0.17
69,0.245,0.176
70,0.183,0.239
71,0.262,0.273
72,0.388,0.464
73,0.478,0.478
74,0.464,0.486
75,0.44,0.481
76,0.483,0.475
77,0.535,0.474
78,0.583,0.479
79,0.576,0.489
80,0.568,0.503
81,0.564,0.524
82,0.576,0.546
83,0.588,0.568
84,0.591,0.566
85,0.602,0.56
86,0.599,0.553
87,0.564,0.543
88,0.502,0.542
89,0.434,0.544
90,0.413,0.559
91,0.404,0.58
92,0.384,0.595
93,0.426,0.602
94,0.5,0.6
95,0.567,0.598
96,0.624,0.601
97,0.674,0.61
98,0.601,0.619
99,0.523,0.628
100,0.462,0.635
101,0.427,0.643
102,0.466,0.667
103,0.494,0.7
104,0.52,0.711
105,0.541,0.72
106,0.556,0.724
107,0.573,0.731
108,0.584,0.74
109,0.585,0.753
110,0.584,0.754
111,0.548,0.744
112,0.502,0.734
113,0.452,0.727
114,0.443,0.725
115,0.496,0.729
116,0.553,0.734
117,0.609,0.738
118,0.652,0.737
119,0.648,0.723
120,0.639,0.716
121,0.636,0.728
122,0.499,0.722
123,0.434,0.674
124,0.421,0.633
125,0.485,0.604
126,0.42,0.569
127,0.264,0.521
128,0.288,0.445
129,0.24,0.375
130,0.073,0.355
131,-0.047,0.257
132,-0.269,0.196
133,-0.076,0.172
134,-0.097,0.133
135,0.155,0.115
136,0.072,0.14
137,0.048,0.14
138,0.131,0.143
139,0.14,0.147
140,0.219,0.151
141,0.111,0.151
142,0.16,0.16
143,0.182,0.161
144,0.238,0.168
145,0.192,0.17
146,0.204,0.167
147,0.227,0.162
148,0.189,0.155
149,0.15,0.157
150,0.075,0.151
151,0.019,0.153
152,0.159,0.164
153,0.149,0.149
154,0.155,0.134
155,0.135,0.125
156,0.049,0.115
157,-0.006,0.113
158,-0.043,0.109
159,-0.012,0.11
160,-0.213,0.127
161,0.023,0.168
162,0.189,0.204
163,0.293,0.289
164,0.391,0.319
165,0.344,0.328
166,0.412,0.352
167,0.455,0.365
168,0.397,0.349
169,0.402,0.341
170,0.411,0.332
171,0.434,0.315
172,0.415,0.292
173,0.457,0.287
174,0.446,0.249
175,0.463,0.233
176,0.439,0.222
177,0.317,0.217
178,0.208,0.191
179,0.283,0.166
180,0.065,0.115
181,0.1,0.108
182,0.118,0.114
183,0.096,0.145
184,0.23,0.19
185,0.204,0.185
186,0.214,0.247
187,0.152,0.254
188,0.31,0.269
189,0.372,0.268
190,0.321,0.286
191,0.375,0.333
192,0.483,0.334
193,0.495,0.285
194,0.45,0.344
195,0.45,0.437
196,0.582,0.51
197,0.579,0.596
198,0.568,0.648
199,0.566,0.676
200,0.552,0.696
201,0.548,0.692
202,0.534,0.674
203,0.53,0.696
204,0.54,0.737
205,0.504,0.725
206,0.444,0.686
207,0.452,0.679
208,0.456,0.674
209,0.477,0.655
210,0.438,0.61
211,0.337,0.574
212,0.332,0.539
213,0.34,0.513
214,0.379,0.496
215,0.445,0.492
216,0.372,0.473
217,0.313,0.439
218,0.282,0.42
219,0.332,0.424
220,0.252,0.403
221,0.046,0.366
222,0.023,0.312
223,-0.03,0.221
224,-0.131,0.203
225,-0.058,0.196
226,0.071,0.266
227,0.102,0.315
228,0.211,0.345
229,0.273,0.367
230,0.135,0.384
231,0.215,0.404
232,0.321,0.449
233,0.353,0.497
234,0.424,0.525
235,0.474,0.547
236,0.501,0.556
237,0.537,0.549
238,0.529,0.527
239,0.489,0.532
240,0.443,0.537
241,0.423,0.512
242,0.453,0.492
243,0.492,0.474
244,0.386,0.455
245,0.268,0.44
246,0.336,0.401
247,0.364,0.357
248,0.376,0.314
249,0.348,0.299
250,0.362,0.285
251,0.36,0.309
252,0.382,0.333
253,0.323,0.321
254,0.271,0.306
255,0.329,0.293
256,0.393,0.244
257,0.401,0.241
258,0.376,0.222
259,0.309,0.181
260,0.343,0.137
261,0.347,0.119
262,0.351,0.107
263,0.311,0.106
264,0.306,0.121
265,0.354,0.088
266,0.4,0.094
267,0.339,0.11
268,0.287,0.13
269,0.252,0.16
270,0.274,0.163
271,0.241,0.152
272,0.238,0.164
273,0.107,0.156
274,0.161,0.21
275,0.173,0.254
276,0.153,0.285
277,0.247,0.3
278,0.214,0.338
279,0.258,0.405
280,0.411,0.47
281,0.446,0.493
282,0.47,0.518
283,0.468,0.546
284,0.476,0.566
285,0.485,0.587
286,0.493,0.607
287,0.501,0.628
288,0.463,0.633
289,0.424,0.636
290,0.384,0.64
291,0.345,0.644
292,0.35,0.654
293,0.377,0.671
294,0.407,0.691
295,0.472,0.774
296,0.467,0.8
297,0.427,0.79
298,0.375,0.753
299,0.359,0.735
300,0.385,0.742
301,0.39,0.714
302,0.39,0.704
303,0.392,0.717
304,0.389,0.702
305,0.45,0.682
306,0.517,0.674
307,0.467,0.657
308,0.446,0.641
309,0.433,0.621
310,0.447,0.604
311,0.467,0.59
312,0.449,0.581
313,0.432,0.569
314,0.415,0.555
315,0.375,0.549
316,0.338,0.545
317,0.315,0.544
318,0.312,0.55
319,0.373,0.545
320,0.361,0.563
321,0.324,0.575
322,0.318,0.575
323,0.32,0.635
324,0.342,0.695
325,0.353,0.703
326,0.363,0.71
327,0.384,0.69
328,0.413,0.667
329,0.355,0.661
330,0.29,0.67
331,0.282,0.669
332,0.253,0.651
333,0.254,0.637
334,0.284,0.625
335,0.306,0.606
336,0.122,0.436
337,0.002,0.417
338,-0.086,0.343
339,-0.103,0.276
