# DESCRIPTION:
# Reference: Gina E. Moseley, R. Lawrence Edwards, Kathleen A. Wendt, Hai Cheng, Yuri Dublyansky, Yanbin Lu, Ronny Boch, Christoph Spötl. 2016. Reconciliation of the Devils Hole climate record with orbital forcing. Science, 351(6269), 165-168. doi: 10.1126/science.aad4132
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/19745. Accessed 22 Nov 2022.
# Comment: Years were converted to ka.
# Comment: Only Devils Hole #2 Core D Stable Isotope Data is included here.

Depth [mm],Age [ka BP],δ13C carb [‰ VPDB],δ18O carb [‰ VPDB]
158.4,4.896,-2.19,-15.72
158.3,5.217,-2.38,-15.32
158.2,5.538,-2.41,-15.31
158.1,5.859,-2.43,-15.37
158,6.18,-2.55,-15.68
157.9,6.501,-2.56,-16
157.8,6.821,-2.43,-16.16
157.7,7.142,-2.46,-16.09
157.6,7.463,-2.44,-16.16
157.5,7.938,-2.3,-16.06
157.4,7.944,-2.35,-16.01
157.3,7.95,-2.2,-15.79
157.2,7.956,-2.19,-15.83
157.1,7.962,-2.21,-15.78
157,7.968,-2.17,-15.63
156.9,7.974,-2.18,-15.8
156.8,7.979,-2.15,-15.96
156.7,7.985,-2.11,-16.04
156.6,7.991,-2.16,-15.92
156.5,7.997,-2.18,-16.02
156.4,8.003,-2.34,-16.17
156.3,8.01,-2.29,-16.03
156.2,8.016,-2.4,-16.07
156.1,8.022,-2.36,-16.12
156,8.027,-2.32,-16.11
155.9,8.032,-2.33,-16.09
155.8,8.037,-2.34,-16.13
155.7,8.172,-2.35,-16.1
155.6,8.306,-2.37,-16.08
155.5,8.432,-2.4,-16.15
155.4,8.557,-2.31,-16.13
155.3,8.682,-2.39,-15.95
155.2,8.808,-2.25,-16.03
155.1,9.495,-2.27,-16.21
155,10.181,-2.21,-16.27
154.9,10.868,-2.24,-16.43
154.8,11.555,-2.16,-16.5
154.7,12.242,-2.18,-16.54
154.6,12.929,-2.12,-16.5
154.5,13.634,-2.04,-16.51
154.4,14.34,-2.02,-16.39
154.2,15.751,-2.08,-16.4
154,17.162,-2.11,-16.47
153.8,18.573,-2.04,-16.46
153.6,19.984,-2.16,-16.51
153.4,21.395,-2.11,-16.59
153.2,22.807,-2.07,-16.63
153,24.218,-2.02,-16.7
152.8,25.63,-2.05,-16.64
152.6,27.041,-2.07,-16.62
152.4,27.443,-2.21,-16.57
152.2,27.844,-2.09,-16.65
152,28.246,-2.13,-16.74
151.8,28.647,-2.13,-16.8
151.6,29.049,-2.13,-16.73
151.4,29.506,-1.95,-16.77
151.2,29.833,-2.06,-16.71
151,30.161,-2.13,-16.72
150.8,30.488,-1.99,-16.81
150.6,30.815,-2.03,-16.86
150.4,31.138,-2.04,-16.77
150.2,31.461,-2.03,-16.85
150,31.784,-2.05,-16.72
149.8,32.107,-2.14,-16.89
149.6,32.43,-1.97,-16.71
149.4,32.754,-2.06,-16.72
149.2,33.079,-2,-16.75
149,33.403,-2.02,-16.69
148.8,33.727,-2.11,-16.61
148.6,34.052,-2.07,-16.68
148.4,34.382,-2.11,-16.66
148.2,34.711,-2.02,-16.62
148,35.085,-2.02,-16.47
147.8,35.46,-2.02,-16.62
147.6,35.834,-2.03,-16.59
147.4,36.203,-2.04,-16.65
147.2,36.573,-2.08,-16.63
147,36.943,-2.05,-16.65
146.8,37.312,-2.09,-16.55
146.6,37.682,-2.07,-16.61
146.4,38.052,-2.1,-16.65
146.2,38.423,-2.09,-16.72
146,38.793,,
145.8,39.163,-2.04,-16.57
145.6,39.534,-1.98,-16.44
145.4,39.902,-2.07,-16.6
145.2,40.271,-2.06,-16.56
145,40.639,-2.01,-16.66
144.8,41.008,-2.04,-16.68
144.6,41.376,-2.09,-16.73
144.4,41.75,-1.99,-16.72
144.2,42.123,-1.98,-16.66
144,42.496,-2,-16.74
143.8,42.87,-1.83,-16.56
143.6,43.243,-1.79,-16.55
143.4,43.587,-1.84,-16.53
143.2,43.932,-1.83,-16.49
143,44.276,-1.9,-16.61
142.8,44.62,-1.81,-16.57
142.6,44.965,-1.79,-16.54
142.4,45.305,-1.95,-16.49
142.3,45.475,-1.9,-16.53
142.2,45.645,-1.84,-16.46
142.1,45.815,-1.89,-16.4
142,45.986,-1.91,-16.53
141.9,46.156,-1.82,-16.33
141.8,46.326,-1.88,-16.46
141.7,46.496,-1.91,-16.63
141.6,46.666,-1.84,-16.47
141.5,46.837,-1.79,-16.49
