# DESCRIPTION:
# Reference: Ezgi Ünal-İmer, James Shulmeister, Jian-Xin Zhao, I. Tonguç Uysal, Yue-Xing Feng, Ai Duc Nguyen, Galip Yüce. 2015. An 80 kyr-long continuous speleothem record from Dim Cave, SW Turkey with paleoclimatic implications for the Eastern Mediterranean. Scientific Reports, 5, 13560. doi: 10.1038/srep13560.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/33672. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB]
1,12.575,-8.37,-5.16
1.5,12.664,-8.48,-5.06
2,12.753,-8,-4.73
2.5,12.841,-5.88,-4.58
3,12.93,-8.26,-5.4
3.5,13.019,-6.8,-4.6
4,13.107,-5.82,-4.84
4.5,13.196,-5.75,-4.71
6,13.462,-6.85,-4.91
6.5,13.55,-6.53,-4.93
7,13.639,-5.91,-4.83
7.5,13.728,-7.33,-4.86
8,13.816,-6.61,-4.8
8.5,13.905,-7.2,-4.95
9.5,13.993,-6.37,-5.11
10,14.171,-7.2,-5.09
10.5,14.259,-7.25,-5.34
11,14.348,-7.11,-5.24
11.5,14.437,-7.53,-6.22
12.5,14.816,-7.54,-5.76
13,15.006,-6.28,-5.06
13.5,15.196,-7.42,-5.19
14,15.386,-5.98,-4.95
14.5,15.575,-5.68,-5
15,15.765,-5.44,-5.02
15.5,15.955,-6.01,-5.14
16.5,16.341,-5.61,-4.85
17,16.44,-4.67,-5.13
17.5,16.545,-4.42,-4.65
18,16.65,-4.9,-4.71
18.5,16.755,-4.79,-5.28
19.5,16.965,-4.91,-4.48
20,17.071,-3.99,-4.41
20.5,17.176,-4.03,-4.87
21,17.281,-4.04,-4.5
22.5,17.702,-4.02,-4.53
24,19.114,-4.72,-4.49
25,20.526,-6.49,-4.48
26,21.938,-6.99,-4.34
26.5,22.644,-5.7,-4.19
27,23.35,-5.64,-4.09
27.5,24.086,-4.89,-4.25
28,24.822,-6.43,-4.31
29,26.295,-6.41,-4.52
30,27.767,-5.63,-4.69
30.5,28.504,-5.7,-4.45
31,29.24,-5.71,-4.28
31.5,29.976,-6.67,-4.48
32,30.712,-6.58,-4.45
32.5,31.449,-4.53,-4.8
33,32.185,-4.22,-4.65
33.5,32.921,-4.34,-4.58
34,33.657,-4.86,-5.29
34.5,34.162,-4.1,-4.24
35,34.667,-5.41,-4.12
35.5,35.172,-5.13,-4.01
36.5,35.677,-5.87,-5.12
37.5,37.257,-4.68,-4.45
38,37.784,-4.84,-4.84
38.5,38.31,-4.2,-4.4
39,38.837,-6.11,-4.65
39.5,39.364,-5.89,-4.71
40,39.908,-5.08,-4.41
40.5,40.055,-6.62,-4.87
41,40.219,-5.09,-4.82
41.5,40.384,-5.28,-5.18
42.5,40.712,-6.61,-4.73
43,40.876,-5.98,-4.38
43.5,41.04,-6.03,-4.64
44,41.205,-7.01,-5
44.5,41.369,-7.22,-4.8
45.5,41.697,-6.19,-4.58
46,41.862,-6.37,-4.5
46.5,42.026,-5.96,-4.56
47,42.19,-7.49,-4.77
47.5,42.354,-7.38,-4.58
48,42.518,-7.32,-4.88
48.5,42.683,-7.02,-4.74
49,42.847,-7.94,-4.96
50,43.175,-7.89,-5.04
50.5,43.34,-6.85,-4.89
51,43.504,-7.83,-4.99
51.5,43.511,-8.07,-4.95
52,43.519,-7.42,-4.89
52.5,43.526,-8.06,-5
53,43.534,-8.49,-5.37
53.5,43.541,-8.06,-4.94
54,43.548,-7.54,-5.53
54.5,43.556,-7.75,-5.56
55,43.563,-7.67,-5.75
55.5,43.571,-7.72,-5.61
56,43.578,-7.65,-5.39
56.5,43.586,-8.01,-5.54
57,43.593,-7.57,-5.46
57.5,43.601,-8.03,-5.36
58,43.608,-8.4,-5.37
58.5,43.615,-8.42,-5.33
59,43.623,-8.84,-5.55
60,43.638,-8.78,-5.22
61,43.653,-9.13,-5.65
61.5,43.66,-8.88,-5.42
62,43.667,-8.8,-5.32
62.5,43.675,-9.22,-5.95
63,43.682,-8.35,-5.45
64,43.893,-8.49,-5.53
65,44.103,-8.81,-5.79
66,44.314,-8.61,-5.83
67,44.524,-8.63,-5.48
68,44.735,-8.9,-5.56
69,44.945,-8.85,-5.55
70,45.155,-8.81,-5.11
71,45.366,-8.95,-5.7
72,45.576,-8.61,-5.48
73,45.787,-8.69,-5.62
74,45.997,-8.67,-5.71
75,46.208,-7.72,-5.54
76,46.452,-7.5,-5.27
77,46.549,-8.53,-5.46
78,46.68,-8.73,-5.46
79,46.811,-7.53,-5.23
80,46.942,-7.62,-5.08
80.5,47.007,-7.49,-4.94
81,47.073,-8.19,-5.2
82,47.204,-7.77,-4.82
83,47.335,-7.72,-4.9
84,47.466,-7.99,-4.97
85,47.597,-7.67,-5.13
86,47.728,-6.97,-4.7
87,47.859,-7.28,-4.68
88,47.989,-8.23,-4.75
89,48.12,-7.48,-4.58
90,48.251,-6.26,-4.41
91,48.382,-5.7,-4.29
91.5,48.448,-5.74,-4.11
92,48.55,-5.06,-4.16
92.5,48.626,-4.65,-4.71
93,48.739,-5.38,-4.43
93.5,48.852,-6.5,-5.21
94,48.965,-6.4,-4.31
94.5,49.077,-7.19,-4.53
95,49.19,-8.68,-4.97
95.5,49.303,-10.28,-5.82
96,49.416,-9.43,-5.04
96.5,49.529,-10.61,-6.06
97,49.642,-10.34,-5.77
97.5,49.754,-10.59,-5.72
98,49.867,-10.42,-6.05
98.5,49.98,-9.86,-5.58
99.5,50.246,-9.79,-5.62
100,50.173,-6.59,-4.8
100.5,50.141,-6.67,-4.63
101,50.109,-6.85,-4.68
101.5,50.076,-7.86,-4.85
102,50.044,-8.61,-5.14
102.5,50.012,-8.26,-5.08
103,49.979,-7.97,-5.06
103.5,49.947,-5.97,-4.46
104,49.957,-6.72,-4.96
105,49.977,-7.61,-5.11
105.5,50.008,-6.93,-4.91
106,50.038,-6.72,-4.83
106.5,50.069,-6.33,-4.86
107,50.1,-7.17,-4.96
107.5,50.131,-6.82,-5.16
108,50.162,-6.77,-4.92
108.5,50.193,-6.75,-4.83
109,50.224,-6.18,-4.61
110,50.286,-6.18,-4.56
110.5,50.317,-6.12,-4.77
111,50.348,-6.45,-4.83
111.5,50.379,-6.97,-4.92
112,50.41,-6.91,-4.93
112.5,50.441,-7.33,-4.82
113,50.471,-7.76,-4.97
114,50.533,-7.54,-4.6
114.5,50.564,-7.62,-4.63
115,50.595,-7.43,-4.77
115.5,50.626,-7.82,-4.96
116,50.657,-7.56,-4.81
116.5,50.688,-7.43,-4.91
117,50.719,-7.85,-5.25
117.5,50.75,-7.72,-5.23
118,50.781,-8.51,-5.48
118.5,50.812,-8.51,-5.54
119,50.843,-8.55,-5.45
120,50.905,-8.09,-5.32
120.5,50.935,-8.18,-5.13
121,50.966,-9.24,-5.72
121.5,50.997,-8.47,-5.55
122,51.075,-8.43,-5.54
122.5,51.295,-8.39,-5.78
123,51.668,-6.47,-5
123.5,52.042,-7.24,-5.26
124,52.415,-4.56,-4.58
124.5,52.789,-4.09,-4.54
125,53.162,-4.32,-4.36
125.5,53.536,-3.71,-4.24
126,53.909,-4.55,-4.33
126.5,54.283,-4.77,-4.47
127,54.656,-3.67,-4.27
127.5,55.029,-3.72,-4.27
128,55.403,-4.67,-4.76
128.5,55.776,-5.27,-5.22
129,56.15,-4.76,-5.09
129.5,56.523,-6.58,-5.8
130,56.897,-6.21,-5.54
130.5,57.354,-5.66,-5.47
131,57.812,-4.92,-5.21
