/* DESCRIPTION:
Reference:	Seelos, K et al. (2009): A continuous high-resolution dust record for the reconstruction of wind systems in central Europe (Eifel, Western Germany) over the past 133 ka. Geophysical Research Letters, 36(20), https://doi.org/10.1029/2009GL039716
Data from:	https://doi.org/10.1594/PANGAEA.868665. Accessed 22 Nov 2022.
Comment:	Data was not modified in any way.
*/
Age [ka BP]	Probability (dust)
0.45	2.07
0.55	2.06
0.65	1.99
0.75	1.93
0.85	1.39
0.95	1.42
1.05	1.32
1.15	1.51
1.25	1.51
1.35	1.18
1.45	1.15
1.55	1.15
1.65	1.05
1.75	1.05
1.85	0.88
1.95	1.31
2.05	1.91
2.15	2.32
2.25	2.82
2.35	3.02
2.45	3.03
2.55	3.09
2.65	3.16
2.75	3.34
2.85	3.34
2.95	3.22
3.05	3.22
3.15	2.82
3.25	2.32
3.35	2.15
3.45	2.14
3.55	1.98
3.65	2.01
3.75	1.64
3.85	1.64
3.95	1.14
4.05	0.54
4.15	0.37
4.25	0.39
4.35	0.46
4.45	0.5
4.55	0.41
4.65	0.31
4.75	0.29
4.85	0.36
4.95	0.42
5.05	0.42
5.15	0.44
5.25	0.42
5.35	0.43
5.45	0.29
5.55	0.29
5.65	0.34
5.75	0.38
5.85	0.41
5.95	0.42
6.05	0.51
6.15	0.46
6.25	0.46
6.35	0.36
6.45	0.38
6.55	0.38
6.65	0.32
6.75	0.58
6.85	0.55
6.95	0.67
7.05	0.66
7.15	0.66
7.25	1.18
7.35	1.32
7.45	1.31
7.55	1.53
7.65	1.78
7.75	1.48
7.85	1.52
7.95	2.01
8.05	1.92
8.15	2.05
8.25	1.54
8.35	1.67
8.45	1.73
8.55	1.6
8.65	1.83
8.75	2.29
8.85	2.25
8.95	1.67
9.05	1.72
9.15	1.64
9.25	1.64
9.35	1.36
9.45	1.3
9.55	1.2
9.65	0.73
9.75	0.32
9.85	0.38
9.95	0.78
10.05	0.81
10.15	0.78
10.25	1.08
10.35	1.19
10.45	1.29
10.55	1.41
10.65	1.41
10.75	1.51
10.85	1.36
10.95	0.88
11.05	0.8
11.15	0.78
11.25	0.81
11.35	0.81
11.45	0.89
11.55	1
11.65	1.3
11.75	1.26
11.85	1.52
11.95	1.66
12.05	1.79
12.15	2.01
12.25	1.98
12.35	2.03
12.45	2.53
12.55	2.59
12.65	3.11
12.75	3.07
12.85	2.81
12.95	3.16
13.05	4.01
13.15	4.04
13.25	4.51
13.35	4.54
13.45	4.76
13.55	5.48
13.65	5.83
13.75	6.77
13.85	7.94
13.95	8.73
14.05	9.06
14.15	9.7
14.25	9.76
14.35	10.63
14.45	10.89
14.55	10.9
14.65	10.26
14.75	10.16
14.85	8.99
14.95	8.71
15.05	8.63
15.15	8.49
15.25	8.39
15.35	8.33
15.45	7.95
15.55	7.84
15.65	8.48
15.75	7.81
15.85	8.41
15.95	8.33
16.05	8.34
16.15	8.36
16.25	8.79
16.35	8.39
16.45	8.67
16.55	8.94
16.65	8.78
16.75	9.57
16.85	10.27
16.95	10.46
17.05	9.64
17.15	10.26
17.25	10.16
17.35	10.22
17.45	10.14
17.55	10.47
17.65	10.85
17.75	10.91
17.85	10.55
17.95	10.54
18.05	11.31
18.15	11.23
18.25	11.16
18.35	11.26
18.45	11.29
18.55	10.89
18.65	10.39
18.75	10.59
18.85	10.55
18.95	10.08
19.05	10.32
19.15	9.18
19.25	9.56
19.35	8.83
19.45	7.94
19.55	7.24
19.65	7.39
19.75	7.5
19.85	7.5
19.95	7.98
20.05	7.95
20.15	8.85
20.25	8.73
20.35	9.9
20.45	11.29
20.55	12.03
20.65	12.25
20.75	12.1
20.85	12.19
20.95	12.31
21.05	11.91
21.15	12.05
21.25	11.91
21.35	11.94
21.45	11.3
21.55	11.33
21.65	10.97
21.75	11.11
21.85	11.22
21.95	11.1
22.05	11.1
22.15	10.89
22.25	11.16
22.35	10.24
22.45	10.38
22.55	10.02
22.65	9.54
22.75	9.38
22.85	9.52
22.95	9.28
23.05	9.48
23.15	9.12
23.25	8.61
23.35	9.17
23.45	9.01
23.55	9.01
23.65	9.34
23.75	8.8
23.85	8.07
23.95	8.12
24.05	8.02
24.15	8.31
24.25	8.21
24.35	8
24.45	7.67
24.55	7.18
24.65	6.63
24.75	6.57
24.85	6.97
24.95	6.95
25.05	6.65
25.15	6.91
25.25	7.02
25.35	7.58
25.45	7.68
25.55	8.24
25.65	9.14
25.75	9.7
25.85	9.8
25.95	9.87
26.05	10.17
26.15	10.23
26.25	10.5
26.35	10.4
26.45	10.7
26.55	10.7
26.65	10.8
26.75	10.87
26.85	10.77
26.95	10.71
27.05	10.76
27.15	10.39
27.25	10.45
27.35	10.35
27.45	10.55
27.55	10.15
27.65	10.2
27.75	10.25
27.85	10.45
27.95	10.48
28.05	10.23
28.15	10.53
28.25	10.39
28.35	10.62
28.45	10.72
28.55	11.56
28.65	11.5
28.75	11.28
28.85	11.41
28.95	11.48
29.05	12.08
29.15	12.38
29.25	12.5
29.35	12.3
29.45	12.23
29.55	11.94
29.65	11.72
29.75	11.52
29.85	11.18
29.95	10.88
30.05	10.45
30.15	9.85
30.25	9.62
30.35	9.92
30.45	9.69
30.55	10
30.65	10.33
30.75	10.93
30.85	10.6
30.95	10.23
31.05	10.26
31.15	10.26
31.25	10.57
31.35	10.33
31.45	10.53
31.55	10.57
31.65	10.17
31.75	10.07
31.85	10.3
31.95	10.92
32.05	10.29
32.15	10.29
32.25	10.37
32.35	10.11
32.45	10.03
32.55	10.07
32.65	10.26
32.75	9.96
32.85	9.48
32.95	9.61
33.05	9.97
33.15	10.27
33.25	9.43
33.35	9.89
33.45	10.14
33.55	9.61
33.65	9.49
33.75	9.71
33.85	10.53
33.95	10.75
34.05	11.12
34.15	10.79
34.25	10.89
34.35	10.5
34.45	10.5
34.55	9.81
34.65	10.04
34.75	10.01
34.85	9.83
34.95	8.63
35.05	8.61
35.15	8.99
35.25	9.29
35.35	9.14
35.45	8.89
35.55	9.69
35.65	9.48
35.75	8.78
35.85	8.58
35.95	9.48
36.05	9.3
36.15	8.87
36.25	8.37
36.35	8.51
36.45	7.71
36.55	7.69
36.65	7.2
36.75	7.7
36.85	8.08
36.95	8.18
37.05	8.48
37.15	8.6
37.25	9.2
37.35	9.26
37.45	9.72
37.55	9.52
37.65	9.75
37.75	9.25
37.85	8.87
37.95	8.37
38.05	7.44
38.15	6.81
38.25	6.41
38.35	6.04
38.45	5.95
38.55	5.75
38.65	5.71
38.75	5.66
38.85	5.51
38.95	5.64
39.05	6.03
39.15	6.42
39.25	6.42
39.35	6.53
39.45	6.47
39.55	6.57
39.65	6.47
39.75	6.25
39.85	6.15
39.95	6.02
40.05	5.66
40.15	5.37
40.25	5.27
40.35	5.36
40.45	5.83
40.55	5.96
40.65	6.16
40.75	6.82
40.85	7.32
40.95	7.42
41.05	8.12
41.15	7.92
41.25	7.62
41.35	7.72
41.45	7.65
41.55	7.84
41.65	7.96
41.75	7.95
41.85	7.6
41.95	7.02
42.05	6.62
42.15	7.22
42.25	7.62
42.35	6.86
42.45	5.98
42.55	4.97
42.65	4.04
42.75	3.12
42.85	2.49
42.95	2.66
43.05	1.96
43.15	1.16
43.25	1.26
43.35	2.02
43.45	2.96
43.55	3.93
43.65	5.02
43.75	5.1
43.85	6.22
43.95	6.73
44.05	7.38
44.15	8.28
44.25	8.68
44.35	8.68
44.45	8.56
44.55	8.37
44.65	8.07
44.75	8.31
44.85	7.37
44.95	6.66
45.05	6.01
45.15	5.25
45.25	4.25
45.35	3.72
45.45	3.33
45.55	3.18
45.65	2.48
45.75	2.2
45.85	2.07
45.95	2.18
46.05	2.31
46.15	2.16
46.25	2.15
46.35	1.78
46.45	1.39
46.55	1
46.65	1.18
46.75	1.8
46.85	2.64
46.95	3.14
47.05	4.22
47.15	5.12
47.25	6.24
47.35	7.34
47.45	8.34
47.55	9.11
47.65	9.83
47.75	10.31
47.85	10.5
47.95	10.8
48.05	10.9
48.15	11.2
48.25	11.2
48.35	11.3
48.45	11.6
48.55	11.7
48.65	11.8
48.75	11
48.85	10.9
48.95	10.4
49.05	10.3
49.15	9.7
49.25	9.1
49.35	8.92
49.45	8.22
49.55	8.12
49.65	7.02
