/* DESCRIPTION:
Reference:	Barbante, Carlo; Barnola, Jean-Marc; Becagli, Silvia; Beer, Jürg; Bigler, Matthias; Boutron, Claude F; Blunier, Thomas; Castellano, Emiliano; Cattani, Olivier; Chappellaz, Jérôme A; Dahl-Jensen, Dorthe; Debret, Maxime; Delmonte, Barbara; Dick, Dorothee; Falourd, Sonia; Faria, Sérgio H; Federer, Urs; Fischer, Hubertus; Freitag, Johannes; Frenzel, Andreas; Fritzsche, Diedrich; Fundel, Felix; Gabrielli, Paolo; Gaspari, Vania; Gersonde, Rainer; Graf, Wolfgang; Grigoriev, Dimitri; Hamann, Ilka; Hansson, Margareta E; Hoffmann, Georg; Hutterli, Manuel A; Huybrechts, Philippe; Isaksson, Elisabeth; Johnsen, Sigfús Jóhann; Jouzel, Jean; Kaczmarska, Marzena; Karlin, Torbjörn; Kaufmann, Patrik R; Kipfstuhl, Sepp; Kohno, Mika; Lambert, Fabrice; Lambrecht, Anja; Lambrecht, Astrid; Landais, Amaelle; Lawer, Gunther; Leuenberger, Markus Christian; Littot, Geneviève C; Loulergue, Laetitia; Lüthi, Dieter; Maggi, Valter; Marino, Federica; Masson-Delmotte, Valerie; Meyer, Hanno; Miller, Heinz; Mulvaney, Robert; Narcisi, Biancamaria; Oerlemans, Johannes; Oerter, Hans; Parrenin, Frédéric; Petit, Jean-Robert; Raisbeck, Grant M; Raynaud, Dominique; Röthlisberger, Regine; Ruth, Urs; Rybak, Oleg; Severi, Mirko; Schmitt, Jochen; Schwander, Jakob; Siegenthaler, Urs; Siggaard-Andersen, Marie-Louise; Spahni, Renato; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Traversi, Rita; Udisti, Roberto; Valero Delgado, Fernando; van den Broeke, Michiel R; van de Wal, Roderik S W; Wagenbach, Dietmar; Wegner, Anna; Weiler, Karin; Wilhelms, Frank; Winther, Jan-Gunnar; Wolff, Eric W (2006): One-to-one coupling of glacial climate variability in Greenland and Antarctica. Nature, 444, 195-198, https://doi.org/10.1038/nature05301
Data from:	https://doi.org/10.1594/PANGAEA.754444. Accessed 22 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Age [ka BP]	δ18O H2O [‰ SMOW]	Altitude cor [m] (Altitude difference for EDML ...)
-0.0485	-45.93	
-0.0455	-43.5	
-0.0428	-45.99	
-0.0402	-44.26	
-0.0378	-43.51	
-0.0352	-45.06	
-0.0328	-42.39	
-0.0302	-42.96	
-0.0272	-42.87	
-0.0238	-43.37	
-0.0208	-43.3	
-0.0182	-44.41	
-0.0155	-43.33	
-0.0125	-44.18	
-0.0092	-44.99	
-0.0058	-45.12	
-0.002	-46.53	
0.002	-44.9	
0.0058	-44.36	
0.0092	-46.01	
0.013	-44.73	
0.017	-43.92	
0.0208	-45.06	
0.0242	-45.45	
0.028	-46.08	
0.032	-44.8	
0.0358	-44.68	
0.0392	-45.24	
0.0428	-42.43	
0.0462	-45.16	
0.05	-45.34	
0.054	-46.09	
0.058	-45.37	
0.062	-45.72	
0.066	-47.21	
0.07	-45.37	
0.0742	-44.65	
0.0788	-44.23	
0.083	-46.35	
0.087	-44.59	
0.091	-45.82	
0.095	-46.99	
0.0995	-43.37	-0.9
0.1045	-45.85	-0.96
0.1092	-46.39	-1.01
0.1138	-45.4	-1.06
0.1182	-44.98	-1.12
0.1228	-44.49	-1.18
0.1275	-44.88	-1.23
0.1325	-44.46	-1.28
0.1372	-44.93	-1.34
0.1418	-43.88	-1.4
0.1465	-43.11	-1.45
0.1515	-43.67	-1.5
0.1565	-43.56	-1.56
0.1615	-45.5	-1.62
0.1662	-44.97	-1.67
0.1708	-43.48	-1.72
0.1755	-44.88	-1.78
0.1805	-43.41	-1.84
0.1855	-45.09	-1.89
0.1905	-45.08	-1.94
0.1952	-44.75	-2
0.1998	-44.53	-2.05
0.2045	-45.2	-2.1
0.2095	-43.88	-2.16
0.2145	-44.8	-2.21
0.2195	-46.66	-2.26
0.2245	-44.33	-2.32
0.2295	-44.89	-2.38
0.2345	-44.8	-2.43
0.2395	-44.46	-2.48
0.2445	-45.01	-2.54
0.2495	-45.86	-2.6
0.2548	-44.22	-2.65
0.2602	-45.48	-2.7
0.2655	-44.47	-2.75
0.2705	-45.69	-2.8
0.2758	-45.07	-2.86
0.2812	-45	-2.92
0.2868	-44.91	-2.97
0.2922	-45.82	-3.02
0.2975	-45.85	-3.08
0.3025	-45.88	-3.14
0.3078	-45.05	-3.21
0.3132	-43.9	-3.27
0.3188	-45.04	-3.33
0.3242	-45.82	-3.4
0.3295	-46	-3.46
0.3345	-45.76	-3.52
0.3398	-45.47	-3.59
0.3452	-45.9	-3.65
0.3508	-45.38	-3.71
0.3562	-45.46	-3.78
0.3618	-45.61	-3.84
0.3672	-46.97	-3.9
0.3728	-45.47	-3.97
0.3782	-44.54	-4.03
0.3838	-43.26	-4.09
0.3892	-44.33	-4.16
0.395	-45.91	-4.22
0.401	-45.66	-4.3
0.4065	-44.53	-4.37
0.4115	-45.94	-4.44
0.4168	-44.61	-4.52
0.4222	-46.07	-4.6
0.4278	-44.28	-4.67
0.4332	-45.68	-4.74
0.4385	-43.73	-4.82
0.4435	-43.97	-4.9
0.4488	-45.32	-4.98
0.4542	-44.9	-5.06
0.4598	-45.6	-5.13
0.4652	-43.43	-5.2
0.4708	-44.78	-5.28
0.4762	-45.4	-5.36
0.482	-43.84	-5.43
0.488	-44.09	-5.5
0.4938	-44.87	-5.58
0.4992	-43.76	-5.66
0.505	-44.82	-5.73
0.511	-44.7	-5.8
0.517	-43.78	-5.87
0.523	-45.06	-5.94
0.5292	-45.33	-6.01
0.5358	-45.6	-6.08
0.542	-45.59	-6.16
0.548	-45.74	-6.23
0.554	-44.33	-6.3
0.56	-45.26	-6.37
0.566	-45.37	-6.44
0.572	-45.74	-6.51
0.5782	-44.97	-6.58
0.5848	-45	-6.66
0.591	-44.94	-6.73
0.597	-46.27	-6.8
0.603	-45.81	-6.88
0.609	-44.07	-6.97
0.615	-45.29	-7.06
0.621	-46.75	-7.14
0.627	-43.3	-7.23
0.633	-43.44	-7.32
0.639	-45.3	-7.41
0.645	-46.56	-7.5
0.651	-45.44	-7.58
0.657	-45.64	-7.67
0.6632	-44.71	-7.76
0.6698	-45.71	-7.85
0.6762	-46.22	-7.94
0.6828	-45.49	-8.02
0.6892	-45.09	-8.11
0.6958	-44.36	-8.18
0.702	-42.38	-8.26
0.708	-43.1	-8.32
0.7142	-46.36	-8.37
0.7208	-45.49	-8.43
0.7272	-44.03	-8.49
0.7338	-44.17	-8.54
0.7402	-45.21	-8.6
0.7468	-45.37	-8.66
0.7532	-44.37	-8.71
0.7598	-45.04	-8.77
0.766	-44.27	-8.83
0.772	-44.04	-8.88
0.778	-44.36	-8.94
0.784	-45.93	-9
0.7902	-44.14	-9.05
0.7968	-43.97	-9.1
0.803	-44.08	-9.15
0.809	-44.93	-9.19
0.815	-43.47	-9.23
0.821	-44.68	-9.26
0.827	-45.71	-9.3
0.833	-44.71	-9.34
0.8388	-44.11	-9.37
0.8442	-44	-9.41
0.85	-44.7	-9.45
0.856	-44.7	-9.48
0.8622	-44.83	-9.52
0.8688	-42.88	-9.56
0.8755	-42.8	-9.59
0.8825	-44.27	-9.63
0.8892	-44.83	-9.67
0.8958	-43.23	-9.7
0.9025	-44.87	-9.74
0.9095	-44.2	-9.8
0.9165	-43.82	-9.85
0.9235	-42.72	-9.91
0.9308	-46.67	-9.97
0.9382	-44.74	-10.02
0.9455	-45	-10.08
0.9525	-44.25	-10.14
0.9595	-45.78	-10.2
0.9665	-43.95	-10.26
0.9738	-44.78	-10.32
0.9812	-45.47	-10.38
0.9885	-45.44	-10.44
0.9955	-45.6	-10.5
1.0025	-44.58	-10.56
1.0095	-43.88	-10.62
1.0165	-45.14	-10.69
1.0235	-45.14	-10.76
1.0305	-45.32	-10.84
1.0375	-45.61	-10.92
1.0445	-43.95	-10.99
1.0515	-44.26	-11.06
1.0585	-45.53	-11.14
1.0655	-45.44	-11.22
1.0725	-45.11	-11.29
1.0795	-43.15	-11.36
1.0865	-43.54	-11.43
1.0935	-45.66	-11.5
1.1005	-44.01	-11.58
1.1075	-46.19	-11.66
1.1148	-45.48	-11.73
1.1222	-44.63	-11.82
1.1295	-45.59	-11.91
1.1365	-43.7	-12
1.1432	-45.6	-12.08
1.1498	-45.38	-12.17
1.1565	-44.9	-12.26
1.1635	-44.92	-12.35
1.1702	-44.86	-12.44
1.1768	-45.07	-12.52
1.1832	-43.63	-12.61
1.1898	-44.03	-12.7
1.1962	-44.29	-12.79
1.2028	-45.55	-12.88
1.2092	-45.08	-12.97
1.2158	-44.06	-13.06
1.2225	-44.16	-13.16
1.2295	-44.97	-13.26
1.2362	-45.4	-13.35
1.2428	-47.02	-13.45
1.2495	-46.45	-13.55
1.2565	-44.96	-13.65
1.2632	-44.31	-13.75
1.2698	-44.38	-13.84
1.2765	-43.86	-13.94
1.2835	-44.61	-14.04
1.2902	-45.94	-14.14
1.2968	-45.41	-14.24
1.3032	-45.6	-14.34
1.3098	-44.62	-14.43
1.3165	-43.78	-14.52
1.3235	-44.79	-14.6
1.3302	-44.59	-14.69
1.3368	-46.08	-14.77
1.343	-44.74	-14.85
1.349	-46.22	-14.91
1.355	-45.79	-14.97
1.361	-45.82	-15.05
1.3665	-43.91	-15.14
1.372	-45.41	-15.22
1.378	-44.28	-15.3
1.3845	-42.86	-15.38
1.3915	-45.07	-15.47
1.3985	-44.03	-15.55
1.4065	-46.27	-15.63
1.415	-44.94	-15.72
1.4235	-45.02	-15.83
1.432	-44.95	-15.94
1.44	-45.5	-16.05
1.448	-44.54	-16.16
1.4555	-43.26	-16.27
1.4625	-44.53	-16.38
1.4695	-42.86	-16.48
1.4765	-44.03	-16.59
1.4835	-46.44	-16.7
1.4905	-45.93	-16.81
1.498	-46.24	-16.92
1.5055	-45.19	-17.03
1.5125	-44.82	-17.13
1.5195	-44.97	-17.23
1.5265	-45.93	-17.33
1.5335	-44.88	-17.43
1.5405	-45	-17.54
1.5475	-44.29	-17.64
1.5545	-45.34	-17.74
1.5615	-45.8	-17.84
1.5685	-44.98	-17.94
1.5755	-45.13	-18.04
1.5825	-43.31	-18.14
1.59	-43.91	-18.24
1.5975	-44.76	-18.35
1.6045	-45.6	-18.44
