/* DESCRIPTION:
Reference:	De Pol-Holz, R., O. Ulloa, F. Lamy, L. Dezileau, P. Sabatier, and D. Hebbeln. 2007. Late Quaternary variability of sedimentary nitrogen isotopes in the eastern South Pacific Ocean. Paleoceanography, 22, PA2207, doi:10.1029/2006PA001308 
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/10494. Accessed 22 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [cm]	Age [ka BP]	d15N [‰vsAir]	Ntot (wt %) 
0	0.84	11.4	0.166
1	0.94	11.6	0.176
2	1.05	11.3	0.144
3	1.16	11.7	0.167
4	1.27	11.4	0.163
5	1.38	11.6	0.163
6	1.49	11.7	0.152
7	1.6	11.2	0.132
8	1.71	11.1	0.134
9	1.81	11.3	0.13
10	1.92	11.5	0.193
11	2.03	11.4	0.143
12	2.14	11.4	0.147
13	2.25	11.3	0.149
14	2.36	11.3	0.147
15	2.47	11.2	0.141
16	2.58	11.4	0.147
18	2.79	11.2	0.143
19	2.9	10.9	0.134
20	3.01	11.3	0.137
21	3.12	11.1	0.137
22	3.23	10.4	0.148
23	3.34	10.8	0.158
24	3.45	11	0.149
25	3.56	10.8	0.147
26	3.66	10.9	0.152
27	3.77	11.3	0.145
28	3.88	10.9	0.144
29	3.99	10.7	0.15
30	4.1	10.5	0.128
31	4.21	10.7	0.165
32	4.32	10.9	0.168
33	4.43	10.2	0.172
34	4.53	10.8	0.163
35	4.64	10.9	0.159
36	4.75	10.6	0.173
37	4.86	10.7	0.186
38	4.97	10.5	0.161
39	5.08	10.8	0.193
40	5.19	10.6	0.194
42	5.41	10.5	0.182
43	5.51	10.7	0.187
44	5.62	10.8	0.184
45	5.73	10.5	0.175
46	5.84	10.2	0.19
47	5.95	10.5	0.195
48	6.06	10.9	0.176
49	6.17	10.7	0.164
50	6.28	10.7	0.18
51	6.38	10.6	0.184
52	6.49	10.7	0.183
53	6.6	9.8	0.188
54	6.71	10.3	0.186
56	6.93	10.5	0.195
57	7.04	10.6	0.188
58	7.15	10.4	0.179
59	7.25	10.6	0.196
60	7.36	10.6	0.169
61	7.47	10.5	0.187
62	7.58	10.4	0.18
63	7.69	10.5	0.16
64	7.8	11	0.193
65	7.91	10.8	0.194
66	8.02	10.9	0.2
67	8.13	11	0.193
68	8.23	10.8	0.186
69	8.34	10.9	0.197
71	8.56	11.2	0.184
72	8.67	11.2	0.195
73	8.78	11.3	0.185
74	8.89	10.8	0.182
75	9	11.1	0.193
76	9.1	11.1	0.193
77	9.21	11.2	0.187
78	9.32	11.5	0.2
79	9.43	11.5	0.197
80	9.54	11.6	0.168
81	9.65	11.5	0.165
82	9.76	11.3	0.173
83	9.87	11.9	0.169
84	9.97	11.7	0.187
85	10.08	11.5	0.158
86	10.19	12	0.193
87	10.3	11.7	0.152
88	10.41	11.6	0.158
89	10.47	11.6	0.182
90	10.53	11.8	
91	10.59	11.9	0.206
92	10.66	12.1	0.19
93	10.72	12.6	0.16
94	10.78	11.9	0.169
95	10.84	12.3	0.175
96	10.9	12.4	0.166
97	10.96	12.1	0.171
98	11.02	12.3	0.166
99	11.08	11.9	0.15
100	11.15	12.2	0.151
101	11.21	11.5	0.184
102	11.27	12.4	0.138
103	11.33	12	0.143
104	11.39	11.4	0.105
105	11.45	12.2	0.118
106	11.51	12.3	0.133
107	11.58	12.1	0.126
108	11.64	12.2	0.114
109	11.7	12.2	0.117
110	11.76	12.6	0.112
111	11.82	12.6	0.112
112	11.88	12.3	0.116
113	11.94	12.7	0.103
114	12.01	13.1	0.1
115	12.07	13.1	0.104
116	12.13	13.1	0.103
118.5	12.28	12.6	0.093
119.5	12.34	13.3	0.096
120.5	12.4	13.6	0.1
121.5	12.47	12.9	0.106
122.5	12.53	13.4	0.094
123.5	12.59	13.1	0.087
124.5	12.65	12.7	0.089
125.5	12.71	11.9	0.093
126.5	12.77	12.5	0.105
127.5	12.83	11.9	0.091
128.5	12.89	11.8	0.11
129.5	12.96	12.6	0.107
130.5	13.02	11.9	0.105
131.5	13.08	11.9	0.094
132.5	13.14	11.6	0.089
133.5	13.2	12.2	0.108
134.5	13.26	12.2	0.103
135.5	13.32	12.5	0.104
136.5	13.39	12.2	0.104
137.5	13.45	12.1	0.101
138.5	13.51	12.6	0.101
139.5	13.57	11.6	0.098
140.5	13.63	12.5	0.091
141.5	13.69	12.6	0.102
142.5	13.75	12.4	0.103
143.5	13.82	12.2	0.11
144.5	13.88	12.6	0.094
145.5	13.94	12.7	0.105
146.5	14	12.6	0.105
147.5	14.06	12.8	0.076
148.5	14.12	13.1	0.099
150.5	14.24	12.8	0.104
151.5	14.31	12.9	0.1
153.5	14.43	12.8	0.103
154.5	14.49	12.9	0.107
155.5	14.55	12.7	0.101
156.5	14.61	12.6	0.101
157.5	14.67	12.9	0.09
158.5	14.74	13.1	0.094
159.5	14.8	12.7	0.096
160.5	14.86	12.9	0.096
