# DESCRIPTION:
# Reference: Zarriess, M; Mackensen, A (2010): The tropical rainbelt and productivity changes off northwest Africa: a 31,000-year high-resolution record. Marine Micropaleontology, 76(3-4), 76-91, https://doi.org/10.1016/j.marmicro.2010.06.001
# Reference: Zarriess, M et al. (2011): Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials. Geophysical Research Letters, 38, L04706, https://doi.org/10.1029/2010GL046070
# Data from: https://doi.org/10.1594/PANGAEA.756401. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.756437. Accessed 07 Jan 2023.
# Comment: The two time series combined in this file are out of sync by ~120 y at 31.1 ka BP.

Depth [m],Depth comp [mcd],Age [ka BP],Fe [cps],K [cps],Ti [cps]
0.06,0.21,1.34,42033,4822,5056
0.07,0.22,1.42,49180,5741,5972
0.08,0.23,1.5,49739,5829,5822
0.09,0.24,1.59,48698,5720,5901
0.12,0.27,1.84,40610,4730,4847
0.13,0.28,1.92,49943,5980,5963
0.14,0.29,2,48992,5808,6030
0.15,0.3,2.08,47541,5862,5779
0.16,0.31,2.17,47863,5552,5646
0.17,0.32,2.25,47670,5670,5518
0.18,0.33,2.33,47493,5525,5758
0.19,0.34,2.42,47505,5364,5784
0.2,0.35,2.5,46462,5449,5722
0.21,0.36,2.61,46052,5287,5606
0.22,0.37,2.72,48042,5847,5757
0.23,0.38,2.83,44225,5222,5663
0.24,0.39,2.95,45435,5200,5466
0.25,0.4,3.06,45369,5227,5567
0.26,0.41,3.17,44369,5377,5381
0.27,0.42,3.28,43515,5428,5279
0.28,0.43,3.39,42362,5309,5297
0.29,0.44,3.5,42469,4914,5232
0.3,0.45,3.62,38614,4539,4274
0.31,0.46,3.73,36589,4206,4344
0.32,0.47,3.84,37520,4487,4544
0.33,0.48,3.95,37775,4248,4443
0.34,0.49,4.06,36599,3969,4243
0.35,0.5,4.17,33386,3284,3659
0.36,0.51,4.28,34203,3298,3728
0.38,0.53,4.51,34458,3961,3562
0.39,0.54,4.62,32368,3138,3339
0.4,0.55,4.73,31839,3236,3281
0.41,0.56,4.84,31449,3006,3660
0.42,0.57,4.95,31554,3015,3743
0.43,0.58,5.06,31812,2811,3481
0.44,0.59,5.18,28830,2995,3151
0.45,0.6,5.29,31800,2952,3183
0.46,0.61,5.4,31180,2698,3166
0.47,0.62,5.51,31972,3041,3819
0.48,0.63,5.62,34815,3282,3735
0.49,0.64,5.73,33819,3059,3475
0.5,0.65,5.85,32771,2905,3699
0.51,0.66,5.96,33580,3271,3689
0.52,0.67,6.07,34185,3105,3757
0.53,0.68,6.18,35176,3191,3607
0.54,0.69,6.29,35164,3216,3684
0.55,0.7,6.4,35976,3043,3710
0.56,0.71,6.51,36855,3486,3881
0.57,0.72,6.63,35726,3161,3625
0.58,0.73,6.74,35628,3198,3662
0.59,0.74,6.85,37220,3369,4075
0.6,0.75,6.96,33267,2961,3356
0.61,0.76,7.15,36133,3921,3977
0.62,0.77,7.34,36768,3213,3493
0.64,0.79,7.73,26286,2552,2963
0.65,0.8,7.92,37631,3633,3884
0.66,0.81,8.11,35961,3572,3773
0.67,0.82,8.3,33744,3413,3878
0.7,0.85,8.88,32966,3321,3094
0.71,0.86,9.07,37162,3915,3800
0.72,0.87,9.26,36458,3835,3944
0.73,0.88,9.46,37180,3584,3970
0.74,0.89,9.65,36096,3287,3869
0.75,0.9,9.84,34977,3277,3708
0.76,0.91,10.03,35101,3635,3450
0.77,0.92,10.22,35975,3601,3868
0.78,0.93,10.42,37361,3905,4015
0.79,0.94,10.61,37818,3798,3949
0.8,0.95,10.8,39232,3497,4038
0.81,0.96,10.88,36927,3658,3856
0.82,0.97,10.96,37146,3497,4014
0.83,0.98,11.04,37868,3960,3874
0.84,0.99,11.13,37745,4033,3971
