# DESCRIPTION:
# Reference: Zarriess, M et al. (2011): Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials. Geophysical Research Letters, 38, L04706, https://doi.org/10.1029/2010GL046070.
# Data from: https://doi.org/10.1594/PANGAEA.756436. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.756440. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.

Depth [m],Depth comp [mcd],Age [ka BP],SST (1-12) [°C],C. wuellerstorfi δ18O [‰ PDB]
0,0,0.01,24.75,
0.02,0.02,0.08,25.55,
0.03,0.03,0.12,25.4,
0.05,0.05,0.19,24.25,
0.25,0.4,3.08,22.69,
0.3,0.45,3.63,23.92,
0.35,0.5,4.18,24.17,
0.4,0.55,4.74,24.82,
0.45,0.6,5.29,24.51,
0.5,0.65,5.84,25.83,
0.55,0.7,6.39,24.92,
0.6,0.75,6.94,25.01,
0.65,0.8,7.58,25.66,
0.7,0.85,8.23,25.99,
0.75,0.9,8.88,24.81,
0.8,0.95,9.52,26.52,
0.85,1,10.17,24.95,
0.9,1.05,10.82,24.75,
0.95,1.1,11.46,25,
1,1.15,12.11,24.57,
1.05,1.2,12.75,24.12,
1.1,1.25,13.4,24.28,
1.15,1.3,13.87,25.07,
1.2,1.35,14.36,23.91,
1.25,1.4,14.85,24.56,
1.3,1.45,15.03,23.3,
1.35,1.5,15.2,24.72,
1.4,1.55,15.37,24.29,
1.45,1.6,15.54,24.77,
1.5,1.65,15.72,24.42,
1.55,1.7,15.89,24.14,
1.6,1.75,16.06,23.1,
1.65,1.8,16.23,23.73,
1.7,1.85,16.4,23.9,
1.75,1.9,16.62,23.66,
1.8,1.95,16.83,23.83,
1.85,2,17.05,24.23,
1.9,2.05,17.26,24.22,
1.95,2.1,17.48,23.81,
2,2.15,18.07,23.39,
2.05,2.2,18.66,23.8,
2.1,2.25,19.25,23.18,
2.15,2.3,19.84,24.01,
2.2,2.35,20.44,22.86,
2.25,2.4,21.03,23.84,
2.3,2.45,21.62,23.81,
2.35,2.5,22.22,23.99,
2.4,2.55,22.81,22.99,
2.45,2.6,23.4,23.75,
2.5,2.65,24,23.84,
2.55,2.7,24.35,23.81,
2.6,2.75,24.7,22.97,
2.65,2.8,25.05,24.51,
2.7,2.85,25.4,24.12,
2.75,2.9,25.75,24.52,
2.8,2.95,26.1,24.83,
2.85,3,26.45,24.53,
2.9,3.05,26.8,24.03,
2.95,3.1,27.15,24.6,
3,3.15,27.51,24.15,
3.05,3.2,27.86,24.02,
3.1,3.25,28.21,23.94,
3.15,3.3,28.56,23.82,
3.2,3.35,28.91,24.36,
3.25,3.4,29.26,24.94,
3.3,3.45,29.61,24.93,
3.35,3.5,29.96,25.49,
3.4,3.55,30.31,24.81,
3.45,3.6,30.66,24.06,
3.5,3.65,31.01,25.02,
3.55,3.7,31.27,24.3,4.07
3.6,3.75,31.53,23.36,4.21
3.65,3.8,31.78,23.78,4.12
3.7,3.85,32.04,23.85,4.1
3.75,3.9,32.29,24.45,4.26
3.8,3.95,32.55,,4.14
3.85,4,32.8,24.05,4.09
3.9,4.05,33.06,23.66,4.2
3.95,4.1,33.32,23.71,4.15
4,4.15,33.57,24.07,4.04
4.05,4.2,33.83,23.71,4.01
4.1,4.25,34.08,23.5,4.15
4.15,4.3,34.34,24.17,3.98
4.2,4.35,34.6,24.5,4.14
4.25,4.4,34.85,24.26,3.88
4.3,4.45,35.11,23.4,4.13
4.35,4.5,35.36,23.5,4.25
