# DESCRIPTION:
# Reference: Thompson, L.G., T. Yao, M.E. Davis, K.A. Henderson, E. Mosley-Thompson, P.-N. Lin, J. Beer, H.-A. Synal, J. Cole-Dai, and J.F. Bolzan. 1997. Tropical climate instability: The Last Glacial Cycle from a Qinghai-Tibetan ice core. Science, Vol. 276, pp. 1821-1825, 20 June 1997. DOI: 10.1126/science.276.5320.1821
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/12426. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

Age [ky BP]A,d18O,Dust concentrations/mL (0.63 to 50 μm diameter)
0,-14.24,994861
0.4,-14.28,1141856
0.8,-15.06,1004156
1.2,-15.14,748232
1.6,-16.08,736586
2,-16.04,563084
2.4,-16.53,646212
2.8,-16.48,1151580
3.2,-17.89,558352
3.6,-17.52,601112
4,-17.6,1363823
4.4,-16.2,476102
4.8,-16.74,674341
5.2,-16.62,612553
5.6,-16.53,756312
6,-16.92,853908
6.4,-14.81,597256
6.8,-13.12,700349
7.2,-12.39,927619
7.6,-12.91,879852
8,-15.19,852156
8.4,-12.5,944338
8.8,-12.76,784883
9.2,-13.3,462437
9.6,-12.59,1059983
10,-13.22,1226465
10.4,-13.9,573885
10.8,-11.67,1661984
11.2,-12.77,634882
11.6,-15.02,600082
12,-14.39,574115
12.4,-14.77,480483
12.8,-14.05,584656
13.2,-11.15,329792
13.6,-9.49,155623
14,-14.4,541446
14.4,-14.04,902623
14.8,-16.43,535315
15.2,-14.53,753658
15.6,-17.31,822631
16,-14.55,749450
16.4,-17.66,787440
16.8,-17.36,1071689
17.2,-16.33,707264
17.6,-16.18,694436
18,-16.12,755462
18.4,-19.48,711630
18.8,-20.85,1039727
19.2,-19.4,1141355
19.6,-17.8,558574
20,-17.5,884155
20.4,-18.3,1212116
20.8,-18.3,675000
21.2,-17.64,896574
21.6,-18.15,1049397
22,-18.8,463425
22.4,-17.13,767164
22.8,-17.33,658649
23.2,-19.76,506013
23.6,-17.02,526539
24,-17.6,582588
24.4,-18.65,458807
24.8,-19.49,453324
25.2,-19.66,317562
25.6,-20.12,360658
26,-18.2,502072
26.4,-19.65,335546
26.8,-18.9,496606
27.2,-19.88,791627
27.6,-20.6,623320
28,-19.47,1276744
28.4,-19.78,1776736
28.8,-18.61,1230105
29.2,-20.09,938892
29.6,-18.39,893029
30,-19.61,1117846
30.4,-19.2,1345029
30.8,-20.15,1012712
31.2,-19.75,1526722
31.6,-17.8,817572
32,-17.57,1045640
32.4,-17.4,801629
32.8,-16.08,1857240
33.2,-16.32,503148
33.6,-15.34,1092140
34,-12.74,864897
34.4,-11.87,1061249
34.8,-12.75,1495783
35.2,-14.99,1045899
35.6,-10.64,814934
36,-11.79,1905985
36.4,-11.12,1190909
36.8,-17.06,924509
37.2,-13.67,613542
37.6,-16.22,880444
38,-14.73,817021
38.4,-14.19,431784
38.8,-13.69,500104
39.2,-14.14,752668
39.6,-14.7,731112
40,-18.41,626871
40.4,-19.76,803280
40.8,-18.31,851840
41.2,-20.13,1043815
41.6,-16.71,860383
42,-15.94,590328
42.4,-14.06,717951
42.8,-19.4,697273
43.2,-15.59,654221
43.6,-15.16,507773
44,-15.66,1396800
44.4,-17.79,1374198
44.8,-16.38,1325705
45.2,-16.68,1167965
45.6,-16.35,853301
46,-19.64,1392370
46.4,-17.16,977440
46.8,-18.21,1019836
47.2,-17.65,986825
47.6,-17.73,973833
48,-17.54,1113905
48.4,-18.69,967283
48.8,-16.13,767806
49.2,-16.69,742431
49.6,-14.98,811780
50,-14.7,812248
50.4,-15.22,645360
50.8,-14.97,647366
51.2,-13.75,822750
51.6,-13.74,964191
52,-14.07,887215
52.4,-14.32,949114
52.8,-17.92,543129
53.2,-16.57,421883
53.6,-14.41,821090
54,-14.87,598608
54.4,-13.84,891858
54.8,-13.75,1546902
55.2,-13.43,513000
55.6,-13.21,550668
56,-14.29,639318
56.4,-13.13,684388
56.8,-13.88,990328
57.2,-15.73,827213
57.6,-15.71,942920
58,-14.81,807300
58.4,-16.91,1934486
58.8,-17.3,937213
59.2,-16.52,712944
59.6,-17.1,645588
60,-17.7,1372893
60.4,-18.16,1079640
60.8,-17.21,1102080
61.2,-19.25,763853
61.6,-17.82,1310388
62,-19.65,1625760
62.4,-18.63,1513776
62.8,-17.62,812844
63.2,-19.23,1047732
63.6,-18.61,1495068
64,-17.95,1534968
64.4,-18.64,1452192
64.8,-18.42,2035320
65.2,-17.75,1062345
65.6,-19.27,1380703
66,-20.03,1183303
66.4,-18.63,1239806
66.8,-18.13,1430314
67.2,-19.19,1067503
67.6,-19.5,1016550
68,-19.79,1039457
68.4,-18.88,818475
68.8,-18.11,950846
69.2,-18.7,1024611
69.6,-20.03,1824617
70,-19.57,1294834
70.4,-21.09,1338549
70.8,-20.47,1572120
71.2,-18.56,5114777
71.6,-17.78,6031110
72,-18.12,998100
72.4,-19.04,1387243
72.8,-18.35,1060860
73.2,-20.07,1887173
73.6,-19.16,1891213
74,-19.54,881587
74.4,-19,764427
74.8,-19.45,1514074
75.2,-15.76,1283394
75.6,-13.68,1314287
76,-12.49,1296006
76.4,-13.84,1121371
76.8,-14.98,618234
77.2,-13.72,580434
77.6,-14.25,1203930
78,-15.79,879113
78.4,-16.19,854587
78.8,-16.98,971615
79.2,-15.76,984048
79.6,-16.32,759558
80,-16.53,1007000
80.4,-16.54,1424712
80.8,-17.6,947526
81.2,-16.31,985938
81.6,-16.29,1014648
82,-16.73,908340
82.4,-16.82,1056743
82.8,-15.85,1102017
83.2,-15.36,1126131
83.6,-15.85,930528
84,-16.54,1084147
84.4,-16.96,723690
84.8,-17.41,801975
85.2,-18.49,921000
85.6,-18.64,1140547
86,-16.81,1398705
86.4,-17.17,1058440
86.8,-17.2,765813
87.2,-17.52,1096995
87.6,-15.09,903074
88,-15.99,1510577
88.4,-17,797058
88.8,-17.69,1071730
89.2,-16.88,1071960
89.6,-17.06,1342468
90,-17.44,633990
90.4,-17.04,804452
90.8,-17.03,848776
91.2,-17.27,822261
91.6,-17.09,660400
92,-17.12,900630
92.4,-19.36,1034987
92.8,-17.8,731147
93.2,-16.72,1187213
93.6,-18.19,1178172
94,-17.11,1076376
94.4,-16.32,811512
94.8,-15.93,1077504
95.2,-15.19,1081536
95.6,-15,836604
96,-15.52,464460
96.4,-16.36,505123
96.8,-14.5,597223
97.2,-14.52,612560
97.6,-14.01,784718
98,-13.51,869955
98.4,-14.07,1137034
98.8,-13.39,1345454
99.2,-14.09,733440
99.6,-14.05,701777
100,-13.7,924100
100.4,-14.29,743324
100.8,-14.3,682926
101.2,-14.97,695792
101.6,-15.12,666595
102,-15.15,605248
102.4,-15.25,485116
102.8,-14.43,563005
103.2,-15.69,677460
103.6,-16.38,783549
104,-16.92,559311
104.4,-18.05,665610
104.8,-17.08,731420
105.2,-17.21,591285
105.6,-18.02,727640
106,-17.64,733860
106.4,-16.83,709584
106.8,-18.31,656616
107.2,-17.35,574500
107.6,-17.39,793200
108,-17.81,719910
108.4,-17.61,813150
108.8,-17.96,785304
109.2,-18.13,586140
109.6,-16.48,748740
110,-14.14,722580
110.4,-12.26,845820
110.8,-11.79,420000
111.2,-12.7,525440
111.6,-11.7,666600
112,-10.41,714640
112.4,-11.99,697860
112.8,-13.89,480150
113.2,-11.78,948450
113.6,-13.42,876390
114,-11.98,615696
114.4,-12.24,817230
114.8,-13.17,765060
115.2,-12.33,936090
115.6,-13.59,684630
116,-12.65,459720
116.4,-13.28,671580
116.8,-13.47,548970
117.2,-13.33,534210
117.6,-12.7,552060
118,-15.23,578520
118.4,-11.85,499520
118.8,-12.81,598410
119.2,-15.1,662130
119.6,-13.04,631425
120,-12.18,731760
120.4,-13.68,566760
120.8,-13.8,537810
121.2,-13,564450
121.6,-13.57,469680
122,-15.22,530250
122.4,-15.17,466560
122.8,-13.23,444030
123.2,-13.48,689340
123.6,-13.31,630510
124,-13.8,616480
124.4,-12.95,527940
124.8,-13.27,558510
125.2,-12.29,484650
125.6,-13.21,419940
126,-12.87,591060
