# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),log(K/Ti),3pt smooth log(K/Ti),Zr/Sr,3 pt smooth (Zr/Sr)
373.2,0.03448,0.10084,,0.10524,
373.45,0.04645,0.12943,,0.10927,
373.7,0.05842,0.10254,0.10793,0.10614,0.10699
373.95,0.0704,0.11308,0.10991,0.10898,0.10713
374.2,0.08237,0.09376,0.10389,0.1053,0.10745
374.45,0.09435,0.11075,0.1053,0.10596,0.1099
374.7,0.10632,0.09931,0.10276,0.11089,0.11134
374.95,0.11829,0.10963,0.10067,0.11838,0.11311
375.2,0.13027,0.10035,0.1004,0.11619,0.11653
375.45,0.14224,0.08332,0.09686,0.11415,0.11835
375.7,0.15421,0.10941,0.0946,0.12306,0.11854
375.95,0.16619,0.0816,0.09563,0.11998,0.12092
376.2,0.17816,0.0983,0.093,0.11934,0.12408
376.45,0.19013,0.10553,0.0861,0.12806,0.12397
376.7,0.20211,0.07017,0.08529,0.12994,0.12521
376.95,0.21408,0.07489,0.08362,0.12251,0.12742
377.2,0.22606,0.07754,0.07706,0.12621,0.12852
377.45,0.23803,0.08996,0.07809,0.13036,0.12923
377.7,0.25,0.07273,0.07945,0.13356,0.13007
377.95,0.26198,0.07534,0.0824,0.13349,0.12925
378.2,0.27395,0.08166,0.0814,0.12671,0.12856
378.45,0.28592,0.0923,0.08187,0.12211,0.12674
378.7,0.2979,0.08495,0.07931,0.12694,0.12319
378.95,0.30987,0.07508,0.07704,0.12444,0.12123
379.2,0.32184,0.06256,0.07522,0.11573,0.11938
379.45,0.33382,0.07032,0.07458,0.11694,0.11631
379.7,0.34579,0.08321,0.0749,0.11287,0.11249
379.95,0.35777,0.08173,0.08525,0.11156,0.11299
380.2,0.36974,0.07665,0.09281,0.10536,0.11508
380.45,0.38171,0.11431,0.09801,0.11823,0.11691
380.7,0.39369,0.10816,0.10298,0.12736,0.12036
380.95,0.40566,0.10921,0.10532,0.12203,0.12186
381.2,0.41763,0.10656,0.09508,0.12881,0.12231
381.45,0.42961,0.08839,0.07493,0.11285,0.12372
381.7,0.44158,0.06311,0.06358,0.1205,0.12308
381.95,0.45356,0.0074,0.05948,0.1344,0.1212
382.2,0.46553,0.05247,0.05881,0.11885,0.12261
382.45,0.4775,0.08605,0.06628,0.11942,0.12035
382.7,0.48948,0.08505,0.08353,0.11986,0.1158
382.95,0.50145,0.10046,0.09569,0.10922,0.1167
383.2,0.51342,0.09363,0.09681,0.11162,0.11753
383.45,0.5254,0.11326,0.09732,0.12336,0.11641
383.7,0.53737,0.09167,0.0915,0.12357,0.11595
383.95,0.54934,0.08759,0.09412,0.11428,0.11828
384.2,0.56132,0.07134,0.09269,0.10691,0.11742
384.45,0.57329,0.10675,0.09346,0.12329,0.1169
384.7,0.58527,0.10611,0.08891,0.11907,0.11874
384.95,0.59724,0.09549,0.09138,0.12093,0.1234
385.2,0.60921,0.06487,0.08331,0.1235,0.12285
385.45,0.62119,0.08366,0.08067,0.13023,0.12079
385.7,0.63316,0.06642,0.08032,0.12051,0.12099
385.95,0.64513,0.0929,0.07943,0.10879,0.1166
386.2,0.65711,0.09374,0.07937,0.12193,0.11542
386.45,0.66908,0.06043,0.09004,0.10153,0.11591
386.7,0.68106,0.08336,0.09118,0.12433,0.11763
386.95,0.69303,0.11977,0.09421,0.12297,0.1196
387.2,0.705,0.09861,0.09575,0.11737,0.12556
387.45,0.71698,0.10889,0.09373,0.13178,0.12624
387.7,0.72895,0.0681,0.08165,0.13135,0.12625
387.95,0.74092,0.07326,0.07958,0.12775,0.12656
388.2,0.7529,0.05941,0.07051,0.12302,0.12784
388.45,0.76487,0.08825,0.07624,0.11892,0.12325
388.7,0.77684,0.06356,0.07301,0.13817,0.12413
388.95,0.78882,0.09675,0.07135,0.10842,0.1244
389.2,0.80079,0.0571,0.05586,0.13213,0.12852
389.45,0.81277,0.05108,0.04672,0.12436,0.12598
389.7,0.82474,0.01082,0.02892,0.13951,0.1296
389.95,0.83671,0.01784,0.01654,0.12547,0.12695
390.2,0.84869,0.00773,0.01145,0.12654,0.12829
390.45,0.86066,-0.00476,0.01782,0.11888,0.12609
390.7,0.87263,0.02561,0.01653,0.13108,0.12825
390.95,0.88461,0.04267,0.01009,0.1285,0.12773
391.2,0.89658,0.01138,0.00814,0.13627,0.13075
391.45,0.90856,-0.02445,0.00413,0.12394,0.12963
391.7,0.92053,-0.01452,0.00294,0.13397,0.13039
391.95,0.9325,0.00555,-0.00098,0.12549,0.12936
392.2,0.94448,0.03672,0.00531,0.1323,0.13249
392.45,0.95645,-0.00818,0.01482,0.1311,0.13191
392.7,0.96842,0.00696,0.02311,0.13958,0.1354
392.95,0.9804,0.03303,0.02771,0.1311,0.13264
393.2,0.99237,0.04703,0.03316,0.14292,0.13266
393.45,1.0043,0.05972,0.0361,0.11851,0.13099
393.7,1.0163,0.01906,0.04666,0.1312,0.12994
393.95,1.0283,0.02166,0.05647,0.1312,0.12703
394.2,1.0403,0.08582,0.06012,0.12584,0.12973
394.45,1.0522,0.09606,0.07446,0.12837,0.12879
394.7,1.0642,0.078,0.08693,0.13205,0.12776
394.95,1.0762,0.09073,0.08753,0.12648,0.12543
395.2,1.0882,0.08403,0.08638,0.12604,0.12616
395.45,1.1001,0.08885,0.09168,0.11419,0.12719
395.7,1.1121,0.0903,0.0887,0.13205,0.12807
395.95,1.1241,0.10451,0.09118,0.1372,0.12672
396.2,1.1361,0.07583,0.09206,0.13085,0.12777
396.45,1.148,0.09644,0.09232,0.11932,0.12292
396.7,1.16,0.09323,0.08785,0.11945,0.12021
396.95,1.172,0.09159,0.09295,0.10777,0.1202
397.2,1.1839,0.08214,0.09094,0.12366,0.11976
397.45,1.1959,0.10133,0.08767,0.13079,0.12253
397.7,1.2079,0.08643,0.08683,0.11714,0.12811
397.95,1.2199,0.07686,0.0845,0.13329,0.127
398.2,1.2318,0.08739,0.08071,0.13568,0.12574
398.45,1.2438,0.07051,0.08034,0.11811,0.12629
398.7,1.2558,0.08238,0.08283,0.1245,0.12236
398.95,1.2678,0.08458,0.07787,0.11986,0.11859
399.2,1.2797,0.0893,0.08164,0.11364,0.11672
399.45,1.2917,0.06258,0.07971,0.11687,0.11694
399.7,1.3037,0.08936,0.08133,0.10876,0.11927
399.95,1.3157,0.07276,0.08092,0.12558,0.12112
400.2,1.3276,0.09263,0.08565,0.13149,0.12009
400.45,1.3396,0.08726,0.08226,0.12291,0.12114
400.7,1.3516,0.08624,0.08338,0.11173,0.11946
400.95,1.3636,0.07242,0.07953,0.11399,0.11723
401.2,1.3755,0.07832,0.07782,0.11717,0.11787
401.45,1.3875,0.07341,0.07454,0.12033,0.12118
401.7,1.3995,0.07873,0.08012,0.1261,0.12334
401.95,1.4114,0.06985,0.07597,0.12828,0.12564
402.2,1.4234,0.10031,0.07569,0.1248,0.12502
402.45,1.4354,0.05758,0.07735,0.12868,0.12406
402.7,1.4474,0.07201,0.07913,0.11726,0.12192
402.95,1.4593,0.087,0.07309,0.1213,0.12048
403.2,1.4713,0.07875,0.07568,0.11754,0.1222
403.45,1.4833,0.07012,0.07496,0.11762,0.12429
403.7,1.4953,0.07055,0.07467,0.13728,0.12359
403.95,1.5072,0.06838,0.07543,0.12772,0.12484
404.2,1.5192,0.08555,0.07488,0.11777,0.12415
404.45,1.5312,0.08256,0.07776,0.12382,0.12431
404.7,1.5432,0.06737,0.0795,0.11417,0.12444
404.95,1.5551,0.08493,0.07267,0.13804,0.12407
