# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),δ13C Cibs (benthic),δ18O Cibs (benthic)
542,8.1191,0.62,2.88
549.5,8.4783,0.71,2.96
554.5,8.7178,0.6,3.18
565.75,9.2566,0.24,2.78
569.5,9.4362,0.57,2.85
573.25,9.6158,0.69,3.55
578.25,9.8553,0.8,2.95
582,10.035,0.63,3.19
584.5,10.155,0.83,2.87
594.5,10.634,0.51,2.95
597,10.753,0.86,2.81
599.5,10.873,0.83,2.85
603.25,11.053,0.24,2.99
607,11.232,0.54,2.86
609.5,11.352,0.96,2.8
612,11.472,0.31,3.12
614.5,11.591,0.32,3.03
619.5,11.831,0.24,3.21
622,11.951,0.1,3.31
624.5,12.07,0.28,3.37
632,12.43,0.36,3.58
634.5,12.549,0.48,3.5
637,12.669,0.81,3.76
639.5,12.789,0.47,3.68
642,12.909,0.72,3.78
644.5,13.028,0.83,3.84
647,13.148,0.67,3.77
649.5,13.268,0.71,3.79
652,13.388,0.9,3.72
654.5,13.507,0.8,3.92
657,13.627,0.52,4.41
659.5,13.804,0.37,3.59
662,13.98,0.65,3.81
664.5,14.157,0.29,3.74
667,14.334,0.29,3.88
669.5,14.511,0.12,3.92
672,14.687,0.14,3.95
674.5,14.864,0.26,3.7
680,16.032,0.13,3.98
682.5,16.562,0.09,4.12
685,17.093,0.18,4.17
687.5,17.624,0.24,4.77
690,17.844,0.42,4.49
692.5,18.064,0.41,4.7
695,18.283,0.46,4.57
697.5,18.503,0.41,4.61
700,18.723,0.48,4.76
702.5,18.943,0.63,4.81
705,19.163,0.73,4.2
707.5,19.382,0.33,5.09
710,19.602,0.36,4.71
712.5,19.822,0.34,4.96
715,20.042,0.36,4.54
717.5,20.262,0.29,4.52
720,20.481,0.41,4.63
722.5,20.701,0.26,4.34
725,20.921,0.3,4.62
727.5,21.141,0.7,4.53
730,21.36,0.3,4.7
732.5,21.58,0.49,4.58
735,21.8,0.59,4.44
737.5,22.02,0.47,4.57
740,22.24,0.44,4.43
742.5,22.459,0.55,4.43
745,22.679,0.53,4.4
