# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),%lithics,%forams,%volcanics
527,7.4007,1.1215,94.579,1.1215
529.5,7.5204,2.2857,90.571,0.85714
534.5,7.7599,1.5038,91.479,0.75188
537,7.8796,0.68182,95.227,0.22727
539.5,7.9994,1.1218,54.487,0.48077
542,8.1191,3.1746,69.643,2.381
544.5,8.2388,1.2945,79.612,0.64725
547,8.3586,1.8648,70.396,1.3986
549.5,8.4783,1.7544,80.117,1.5595
552,8.5981,0.56497,62.9,0.18832
554.5,8.7178,1.7893,69.384,1.3917
557,8.8375,1.9737,78.947,0.98684
559.5,8.9573,2.9262,72.265,2.6718
562,9.077,1.5419,83.04,1.3216
564.5,9.1967,1.0687,66.412,0.91603
567,9.3165,1.6598,65.56,1.2448
569.5,9.4362,2.8274,76.19,2.0833
572,9.5559,1.7054,81.86,1.5504
574.5,9.6757,3.2258,84.993,2.805
577,9.7954,1.3216,69.604,1.1013
579.5,9.9152,2.714,86.013,2.2965
582,10.035,2.7083,87.5,2.2917
604.5,11.113,5.1374,48.387,4.6595
607,11.232,6.9182,65.618,5.2411
619.5,11.831,19.5,13.5,14.5
622,11.951,20.408,43.44,15.452
624.5,12.07,12.153,71.701,4.6875
637,12.669,2.9586,21.499,0.78895
639.5,12.789,4.4088,93.186,1.6032
642,12.909,2.2965,95.407,0.41754
644.5,13.028,4.1408,93.582,0.62112
647,13.148,2.9412,91.471,0.29412
649.5,13.268,0.84926,96.815,0.21231
652,13.388,2.2133,92.555,0.60362
654.5,13.507,3.5088,91.886,1.0965
657,13.627,2.5559,91.693,0.95847
659.5,13.804,4.0856,91.051,0.77821
662,13.98,5.1948,87.662,1.2987
664.5,14.157,6.1425,89.681,2.2113
667,14.334,9.703,82.772,2.5743
669.5,14.511,13.456,83.905,5.0132
672,14.687,21.364,77.955,6.1364
674.5,14.864,21.259,78.571,2.0408
680,16.032,22.68,77.32,6.4433
682.5,16.562,18.207,80.707,4.8913
685,17.093,15.696,84.304,3.2911
687.5,17.624,12.952,85.843,3.3133
690,17.844,14.078,85.437,2.1845
692.5,18.064,13.175,86.609,3.2397
695,18.283,10.204,89.796,2.6531
697.5,18.503,16.451,83.549,2.5878
700,18.723,13.333,86.667,2.7957
702.5,18.943,12.869,86.92,1.0549
705,19.163,15.612,83.755,1.6878
707.5,19.382,15.177,84.615,2.4948
710,19.602,16.533,83.2,1.6
712.5,19.822,16.711,80.637,3.4483
715,20.042,14.063,85.937,1.5625
717.5,20.262,14.353,85.412,1.6471
720,20.481,17.215,82.025,1.519
722.5,20.701,14.653,85.09,1.5424
725,20.921,11.966,87.821,2.5641
727.5,21.141,9.901,90.099,1.7822
730,21.36,9.0615,90.939,2.9126
732.5,21.58,10.577,87.821,2.5641
735,21.8,12.183,87.648,7.1066
737.5,22.02,13.525,85.656,6.5574
740,22.24,10.513,89.487,7.5795
742.5,22.459,10.638,89.198,6.874
745,22.679,10.242,89.199,6.7039
747.5,22.899,7.3491,92.388,4.9869
750,23.119,0.27548,99.449,0.27548
752.5,23.339,17.136,81.455,1.1737
755,23.558,22.719,77.095,7.635
757.5,23.778,30.184,69.554,8.399
760,23.998,34.085,65.915,9.5238
762.5,24.355,27.686,71.694,10.744
765,24.713,30.108,69.892,11.29
767.5,25.07,31.321,68.491,10.377
770,25.428,22.814,76.759,8.1023
772.5,25.785,27.152,71.965,7.7263
775,26.142,23.993,75.839,6.5436
777.5,26.5,23.987,75.851,6.1588
780,26.857,19.553,80.074,6.5177
782.5,27.214,13.26,85.912,3.8674
785,27.572,14.113,82.056,7.2581
787.5,27.929,11.532,74.01,5.3356
790,28.287,15.46,71.727,6.8245
792.5,28.644,15.592,81.559,5.997
795,29.001,15.683,83.474,3.7099
797.5,29.359,18.03,80.968,3.3389
800,29.716,25,75,4.7203
802.5,30.073,26.07,73.346,2.5292
805,30.431,28.051,71.157,3.8035
807.5,30.788,25.897,73.59,2.3077
810,31.146,22.963,76.852,2.7778
812.5,31.503,3.5907,96.05,0.17953
815,31.86,4.5283,92.453,0.37736
817.5,32.218,12.847,85.109,1.1679
820,32.575,12.696,76.348,0.86957
822.5,32.933,7.8125,88.477,0.58594
825,33.29,8.0074,90.13,1.1173
827.5,33.647,19.756,78.293,1.7073
836.5,34.934,20.896,78.109,1.4925
837.5,35.077,13.246,85.075,0.93284
840,35.434,11.833,87.007,1.8561
842.5,35.792,6.7893,91.089,0.56577
845,36.149,4.2169,92.47,0.3012
847.5,36.506,3.0905,91.611,0.66225
850,36.864,0.72816,98.301,0.24272
852.5,37.221,2.5168,92.282,0.67114
855,37.578,2.4631,85.961,0
857.5,37.936,0.22523,91.667,0
860,38.293,1.5936,89.841,0.79681
862.5,38.651,1.7921,94.624,0.89606
865,39.008,0.625,91.25,0.3125
867.5,39.085,5.8608,85.165,3.4799
870,39.162,4.0169,68.922,1.6913
872.5,39.238,14.406,78.042,3.4965
875,39.315,18.298,71.064,4.6809
877.5,39.392,15.959,32.504,5.8565
880,39.469,30.588,60.471,8
882.5,39.546,36.6,62.787,6.7381
885,39.622,35.596,63.119,9.1743
887.5,39.699,31.347,67.876,3.3679
890,39.776,30.22,69.231,2.9304
892.5,40.023,30.897,69.103,4.6512
895,40.27,18.942,80.887,2.5597
897.5,40.517,14.934,84.499,2.2684
900,40.764,13.525,85.656,1.2295
902.5,41.01,17.228,82.178,2.3762
905,41.257,14.883,84.595,1.5666
907.5,41.504,17.778,81.27,3.1746
910,41.751,14.795,84.11,2.1918
912.5,41.998,10.684,89.103,1.9231
915,42.245,17.783,81.293,3.4642
917.5,42.492,12.202,84.35,2.6525
920,42.739,12.895,84.737,0.52632
922.5,42.986,15.891,83.527,2.3256
925,43.233,15.987,82.219,2.6101
927.5,43.479,17.94,78.073,1.9934
930,43.726,15.385,83.413,2.6442
932.5,43.973,12.178,87.65,2.0583
935,44.22,8.75,90.25,2.5
937.5,44.467,10.806,88.016,2.554
940,44.714,2.8634,96.035,0.22026
942.5,44.961,2.5445,96.183,0
945,45.208,2.5714,96.286,0
947.5,45.455,6.9444,92.824,2.3148
950,45.702,2.7197,96.444,0.83682
952.5,45.948,3.7773,95.427,0.99404
955,46.195,6.25,93.125,0.41667
957.5,46.442,0.25189,96.977,0
960,46.689,0.25974,96.623,0
962.5,46.936,0.1992,97.41,0
965,46.964,0,98.364,0
967.5,46.992,0.19881,96.819,0
970,47.019,0.22173,91.353,0
972.5,47.047,0.60606,94.545,0.30303
975,47.075,0.57803,93.064,0
977.5,47.103,0.49261,90.394,0
980,47.13,0.24691,93.58,0
982.5,47.158,0.40486,96.761,0
989.5,47.236,0,96.206,0
990.5,47.247,0,94.017,0
993,47.275,0,95.137,0
995.5,47.303,0.22936,96.101,0
998,47.331,0.44053,94.493,0.22026
1000.5,47.358,1.2887,94.33,0.51546
1003,47.386,2.5316,94.146,0.15823
1005.5,47.414,13.725,85.131,2.9412
1008,47.442,24.214,75.157,4.4025
1010.5,47.469,22.704,77.296,3.8128
1013,47.497,21.495,78.505,4.2991
1015.5,47.525,23.785,75.448,5.3708
1018,47.937,14.198,85.802,3.3951
1020.5,48.349,9.3995,89.817,0.52219
1023,48.761,5.4409,93.809,0.75047
1025.5,49.173,8.1232,91.877,0.84034
1028,49.585,3.876,96.124,0.46512
1030.5,49.997,7.1575,92.638,0.409
1033,50.114,3.5294,95.966,0.16807
1035.5,50.23,2.2222,97.778,0.20202
1038,50.347,2.4621,96.402,0
1040.5,50.463,2.9173,96.434,0.16207
1043,50.58,2.6923,96.154,0
1045.5,50.696,2.6639,95.082,0.40984
1048,50.813,1.2891,97.606,0.18416
