# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Missing date was added at depth 587 cm.

Depth (cm),Age (kyrs SFCP04),δ13C N.pachy (planktonic),δ18O N. pachy (planktonic),δ13C G. bulloides (planktonic),δ18O G. bulloides (planktonic)
527,7.4007,0,3.32,,
529.5,7.5204,-0.16,2.87,-0.75,2.78
534.5,7.7599,0.23,3.16,-0.74,1.91
537,7.8796,0,2.42,-0.49,1.55
539.5,7.9994,0.27,4.23,-1.07,2.08
542,8.1191,0.18,3.91,-1.11,2.01
544.5,8.2388,0.14,3.52,-0.84,1.9
547,8.3586,0.1,4.33,-1.04,2.36
549.5,8.4783,0.17,4.02,-0.47,1.79
552,8.5981,-0.01,3.84,-1.04,2.2
554.5,8.7178,-0.03,3.18,-0.47,1.95
557,8.8375,0.16,4.26,-0.59,1.99
559.5,8.9573,-0.01,3.3,,
562,9.077,0.23,3.7,-1.02,1.99
564.5,9.1967,0.39,3.65,-0.94,1.8
567,9.3165,0.41,3.86,-1.21,1.9
569.5,9.4362,0.2,4.18,-1.22,1.68
572,9.5559,0.24,3.37,-0.86,1.75
574.5,9.6757,0.24,3.42,-1.2,1.56
577,9.7954,0.37,3.85,-1.11,1.71
579.5,9.9152,0.15,3.23,-0.99,2.04
582,10.035,0.21,3.59,-0.98,1.94
584.5,10.155,0.16,3.06,-0.79,2.04
587,10.274,,,-1.23,1.82
589.5,10.394,-0.38,2.94,,
592,10.514,0.04,3.13,-1.26,1.85
594.5,10.634,0.22,3.78,-1.25,2.03
597,10.753,0.14,3.34,-1.17,2.3
599.5,10.873,0.21,3.33,-1.23,1.9
602,10.993,0.32,3.47,-1.41,1.86
604.5,11.113,0.14,4.5,-1.32,1.96
607,11.232,0.24,3.43,-1.06,2.35
609.5,11.352,0.18,3.72,-0.8,1.9
612,11.472,0.28,3.6,-1.26,2.31
614.5,11.591,0.43,3.55,,
617,11.711,0.37,3.6,-0.97,2.7
619.5,11.831,0.5,3.78,-0.6,2.91
622,11.951,0.29,3.71,-0.77,2.95
624.5,12.07,0.16,3.43,-1.24,2.81
632,12.43,0.35,3.69,-0.8,2.55
634.5,12.549,0.17,3.53,-1.19,2.52
637,12.669,0.18,3.72,-0.81,2.79
639.5,12.789,0.26,3.65,-0.46,2.53
642,12.909,0.18,3.51,-0.69,2.94
644.5,13.028,0.3,3.99,-0.49,3.01
647,13.148,0.14,3.5,-1.29,2.8
649.5,13.268,0.08,3.61,-0.83,2.37
652,13.388,0.05,3.67,-0.71,2.89
654.5,13.507,0.02,3.53,-0.75,2.47
657,13.627,0.12,3.5,-0.45,2.51
659.5,13.804,-0.02,3.45,-0.81,2.57
662,13.98,0.04,3.62,-0.98,2.7
664.5,14.157,-0.19,3.58,-0.96,2.76
667,14.334,0,3.86,-0.82,2.55
669.5,14.511,-0.01,3.73,-0.98,2.61
672,14.687,-0.01,3.25,-1.15,2.59
674.5,14.864,0.18,4.78,-0.83,3.04
680,16.032,0.06,3.59,-1.27,2.26
682.5,16.562,-0.03,4.17,-1.57,2.1
685,17.093,0.09,4.47,-0.6,2.59
687.5,17.624,0.2,4.7,-0.98,2.37
690,17.844,0.04,4.65,,
692.5,18.064,0.18,4.7,,
695,18.283,0.12,4.93,-1.08,3.74
697.5,18.503,0.06,4.84,,
700,18.723,0.21,4.74,-0.26,3.56
702.5,18.943,0.2,4.58,-0.92,3.08
705,19.163,0.27,4.76,-0.93,3.09
707.5,19.382,0.17,4.57,,
710,19.602,-0.12,4.66,-0.86,3.33
712.5,19.822,0.09,4.48,-1.06,3.92
715,20.042,0.29,4.92,-1.24,3.28
717.5,20.262,0.06,4.73,-0.79,3.39
720,20.481,0.2,4.69,-1.19,3.42
722.5,20.701,0.01,4.65,-0.81,3.36
725,20.921,0.22,4.56,-0.75,3.01
727.5,21.141,0.26,4.54,-0.99,3.04
730,21.36,0.31,4.45,-0.89,2.96
732.5,21.58,0.12,4.51,-1.03,3.46
735,21.8,-0.06,4.48,-0.48,3.7
737.5,22.02,0.21,4.45,-0.66,3.56
740,22.24,0.18,4.45,-1.33,3.71
742.5,22.459,0.08,4.46,-1.09,3.28
745,22.679,0.1,4.27,-0.89,3.5
747.5,22.899,0.34,4.37,-1.01,3.43
750,23.119,-0.01,3.89,-0.83,3.4
752.5,23.339,-0.16,3.68,-1.06,3.31
755,23.558,-0.09,3.99,-1,3.41
757.5,23.778,-0.01,3.91,-0.83,3.14
760,23.998,-0.09,3.68,-0.69,3.19
762.5,24.355,-0.12,3.81,-0.88,3.37
765,24.713,0.19,4.27,-1.06,3.52
767.5,25.07,0.27,4.23,-1.11,3.08
770,25.428,0.31,4.43,-0.8,3.13
772.5,25.785,0.27,4.24,-0.58,3.34
775,26.142,0.34,4.3,-0.64,3.2
777.5,26.5,0.35,3.9,-1.12,3.41
780,26.857,0.24,4.29,-0.87,3.22
782.5,27.214,0.22,4.05,-0.75,3.26
785,27.572,0.3,4.43,-0.96,3.16
787.5,27.929,0.3,3.78,-0.42,3.43
790,28.287,0.48,4.07,-0.66,3.38
792.5,28.644,0.36,3.95,-0.37,3.14
795,29.001,0.26,4.13,-0.84,3.09
797.5,29.359,0.27,4.09,-0.76,3.33
800,29.716,0.27,4.07,-0.52,3.4
802.5,30.073,0.24,3.72,-0.54,3.48
805,30.431,0.37,3.95,-0.9,3.32
807.5,30.788,0.16,3.9,-0.77,3.57
810,31.146,0.22,4.24,-0.59,3.32
812.5,31.503,0.32,3.71,-0.31,3.08
815,31.86,0.41,4.07,-1.17,3.12
817.5,32.218,0.23,3.9,-0.22,3.04
820,32.575,0.12,3.69,-0.7,2.84
822.5,32.933,0.37,3.75,-0.5,3
825,33.29,0.27,3.79,-0.39,3.22
827.5,33.647,0.25,3.91,-0.44,3.08
835,34.719,0.24,3.85,-0.6,3.33
837.5,35.077,0.48,4.21,-0.57,2.54
840,35.434,0.45,3.96,-1.15,2.6
842.5,35.792,0.15,3.89,-0.37,2.67
845,36.149,0.19,3.9,-0.88,2.71
847.5,36.506,0.15,3.89,-0.69,2.79
850,36.864,0.32,3.36,-1.09,2.63
852.5,37.221,0.2,3.3,-0.46,2.7
855,37.578,0.3,3.95,-0.58,2.31
857.5,37.936,0.33,3.07,-0.85,2.53
860,38.293,0.22,3.05,-0.42,2.9
862.5,38.651,0.23,3.22,-1.17,2.46
865,39.008,0.15,3.14,-0.79,2.52
867.5,39.085,0.13,3.32,-1.05,2.59
870,39.162,-0.03,3.21,-0.37,2.96
872.5,39.238,0.31,3.63,-0.43,2.87
875,39.315,0.23,3.64,-0.7,2.83
877.5,39.392,0.63,4.02,-0.15,2.84
880,39.469,0.32,3.98,-0.89,2.97
882.5,39.546,,,-1.18,2.68
885,39.622,0.23,3.89,-0.82,2.98
887.5,39.699,0.45,4.04,-0.95,2.94
890,39.776,0.3,3.62,-1.2,3.18
892.5,40.023,0.27,4.23,-1,2.91
895,40.27,0.32,4.16,-1.25,3.23
