/* DESCRIPTION:
Reference:	Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
Comment:	Data was not modified in any way.
*/
Depth (cm)	Age (kyrs, SFCP04)	wgt.%>63um
527	7.4007	3.1291
529.5	7.5204	4.8108
534.5	7.7599	5.4284
537	7.8796	4.7259
539.5	7.9994	6.2485
542	8.1191	2.5263
544.5	8.2388	3.4024
547	8.3586	6.2465
549.5	8.4783	6.3251
552	8.5981	6.6595
554.5	8.7178	3.8679
557	8.8375	3.8912
559.5	8.9573	8.2657
562	9.077	8.8313
564.5	9.1967	7.4877
567	9.3165	9.9483
569.5	9.4362	12.468
572	9.5559	11.667
574.5	9.6757	12.863
577	9.7954	7.8995
579.5	9.9152	10.51
582	10.035	12.541
584.5	10.155	9.5675
587	10.274	10.473
589.5	10.394	8.9301
592	10.514	14.616
594.5	10.634	17.212
597	10.753	15.858
599.5	10.873	11.928
602	10.993	9.2424
604.5	11.113	18.491
607	11.232	17.229
609.5	11.352	12.199
612	11.472	26.128
614.5	11.591	32.369
617	11.711	31.997
619.5	11.831	33.744
622	11.951	34.285
624.5	12.07	38.189
632	12.43	22.663
634.5	12.549	22.007
637	12.669	20.637
639.5	12.789	13.994
642	12.909	9.8834
644.5	13.028	10.824
647	13.148	7.3692
649.5	13.268	8.6718
652	13.388	5.8964
654.5	13.507	7.9142
657	13.627	8.7604
659.5	13.804	6.8555
662	13.98	5.8824
664.5	14.157	6.4522
667	14.334	7.2936
669.5	14.511	12.556
672	14.687	15.87
674.5	14.864	29.066
680	16.032	16.931
682.5	16.562	16.445
685	17.093	20.814
687.5	17.624	18.599
690	17.844	30.541
692.5	18.064	34.847
695	18.283	26.016
697.5	18.503	32.935
700	18.723	31.04
702.5	18.943	24.391
705	19.163	21.488
707.5	19.382	28.008
710	19.602	21.955
712.5	19.822	19.853
715	20.042	19.821
717.5	20.262	18.025
720	20.481	21.006
722.5	20.701	20.768
725	20.921	19.805
727.5	21.141	13.67
730	21.36	13.298
732.5	21.58	13.428
735	21.8	14.606
737.5	22.02	19.688
740	22.24	14.621
742.5	22.459	11.821
745	22.679	12.274
747.5	22.899	8.263
750	23.119	9.4533
752.5	23.339	13.852
755	23.558	13.471
757.5	23.778	15.662
760	23.998	12.843
762.5	24.355	14.824
765	24.713	13.714
767.5	25.07	15.499
770	25.428	13.329
772.5	25.785	12.452
775	26.142	17.853
777.5	26.5	12.617
780	26.857	14.748
782.5	27.214	16.987
785	27.572	14.981
787.5	27.929	12.883
790	28.287	16.392
792.5	28.644	14.731
795	29.001	14.701
797.5	29.359	14.153
800	29.716	13.731
802.5	30.073	13.806
805	30.431	14.679
807.5	30.788	13.229
810	31.146	14.044
812.5	31.503	15.184
815	31.86	14.056
817.5	32.218	17.077
820	32.575	12.856
822.5	32.933	10.974
825	33.29	13.751
827.5	33.647	15.164
835	34.719	17.321
837.5	35.077	12.095
840	35.434	11.243
842.5	35.792	8.1955
845	36.149	6.8334
847.5	36.506	4.1396
850	36.864	4.4104
852.5	37.221	4.161
855	37.578	6.2148
857.5	37.936	4.9699
860	38.293	6.0612
862.5	38.651	4.9822
865	39.008	4.5433
867.5	39.085	4.016
870	39.162	6.366
872.5	39.238	9.3765
875	39.315	35.098
877.5	39.392	11.265
880	39.469	12.246
882.5	39.546	14.42
885	39.622	14.871
887.5	39.699	12.408
890	39.776	14.751
892.5	40.023	17.471
895	40.27	14.652
897.5	40.517	15.233
900	40.764	15.704
902.5	41.01	18.554
905	41.257	18.012
907.5	41.504	14.876
910	41.751	17.727
912.5	41.998	21.869
915	42.245	17.384
917.5	42.492	15.64
920	42.739	15.194
922.5	42.986	15.641
925	43.233	15.979
927.5	43.479	14.614
930	43.726	15.95
932.5	43.973	15.621
935	44.22	16.591
937.5	44.467	13.419
940	44.714	11.644
942.5	44.961	8.0457
945	45.208	6.3575
947.5	45.455	6.0256
950	45.702	5.8399
952.5	45.948	5.5973
955	46.195	5.5825
957.5	46.442	4.4433
960	46.689	4.1056
962.5	46.936	3.2998
965	46.964	4.0492
967.5	46.992	4.7485
970	47.019	4.8524
972.5	47.047	6.174
975	47.075	3.0455
977.5	47.103	3.747
980	47.13	3.6145
982.5	47.158	4.3478
988	47.219	5.7286
990.5	47.247	3.0462
993	47.275	4.0409
995.5	47.303	4.0904
998	47.331	4.1889
1000.5	47.358	5.6899
1003	47.386	5.6887
1005.5	47.414	8.0324
1008	47.442	17.727
1010.5	47.469	15.172
1013	47.497	14.291
1015.5	47.525	15.463
1018	47.937	15.25
1020.5	48.349	14.881
1023	48.761	13.624
1025.5	49.173	15.821
1028	49.585	13.608
1030.5	49.997	10.06
1033	50.114	10.658
1035.5	50.23	11.022
1038	50.347	10.696
1040.5	50.463	10.436
1043	50.58	9.2255
1045.5	50.696	10.15
1048	50.813	7.3806
1050.5	50.929	6.4333
1053	51.046	7.0774
1055.5	51.162	9.6479
1058	51.279	12.96
1060.5	51.395	8.5465
1063	51.512	12.702
1065.5	51.629	10.521
1068	51.745	9.452
1070.5	51.862	7.8745
1073	51.978	8.3575
1075.5	52.095	8.4817
1078	52.211	8.2995
1080.5	52.328	7.8765
1083	52.444	8.3946
1085.5	52.561	5.5866
1088	52.677	4.6255
1090.5	52.794	4.6201
1093	52.911	4.4444
1095.5	53.027	3.7185
1098	53.144	3.7527
1100.5	53.26	2.983
1103	53.377	2.9718
1105.5	53.493	3.5672
1108	53.61	5.0283
1110.5	53.726	3.9606
1113	53.843	4.1458
1115.5	53.959	3.9742
1118	54.076	4.5565
1120.5	54.192	5.1078
1123	54.309	7.2043
1125.5	54.426	8.4298
1128	54.542	4.0544
1130.5	54.659	5.7264
1133	54.775	7.2813
1135.5	54.892	7.61
1141	55.148	8.2404
1143.5	55.265	12.498
1146	55.381	15.471
1148.5	55.498	16.341
1151	55.614	18.272
1153.5	55.731	18.776
1156	55.847	18.358
1158.5	55.964	18.797
1161	56.08	9.9619
