/* DESCRIPTION:
Reference:	Cheng, H., P.Z. Zhang, C. Spötl, R.L. Edwards, Y.J. Cai, D.Z. Zhang, W.C. Sang, M. Tan, and Z.S. An. 2012. The climatic cyclicity in semiarid-arid central Asia over the past 500,000 years. Geophys. Res. Lett., 39, L01705, doi:10.1029/2011GL050202.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/12403. Accessed 22 Nov 2022.
Comment:	Only the composite is included here.
*/
Age (Ka BP)	Composite d18O
51.61	-7.82
51.63	-8.33
51.66	-8.59
51.68	-8.64
51.7	-8.59
51.73	-8.8
51.75	-8.84
51.78	-8.57
51.8	-8.42
51.82	-8.09
51.85	-7.75
51.87	-8.01
51.9	-8.43
51.92	-9.1
51.95	-8.96
51.97	-9.04
51.99	-8.67
52.02	-8.48
52.04	-8.03
52.07	-8.61
52.09	-8.99
52.11	-8.96
52.14	-9.24
52.16	-9.49
52.19	-9.3
52.21	-9.49
52.23	-9.53
52.26	-9.19
52.28	-8.72
52.31	-9.07
52.33	-9.24
52.35	-9.34
52.38	-9.97
52.4	-10.04
52.43	-10.37
52.45	-10.27
52.48	-9.7
52.5	-8.83
52.52	-8.66
52.55	-8.78
52.57	-9.09
52.6	-9.31
52.62	-9.26
52.64	-9.08
52.67	-8.57
52.69	-8.89
52.72	-8.64
52.74	-8.95
52.76	-9.15
52.79	-9.25
52.81	-9.45
52.84	-9.92
52.86	-10.08
52.88	-10.19
52.91	-10.29
52.93	-10.26
52.96	-10.15
52.98	-10
53.01	-10.02
53.03	-9.88
53.05	-9.82
53.08	-9.79
53.1	-9.72
53.13	-9.53
53.15	-9.5
53.17	-9.74
53.2	-9.63
53.22	-9.88
53.25	-9.71
53.27	-9.75
53.29	-9.51
53.32	-9.36
53.34	-9.15
53.37	-8.97
53.39	-8.74
53.41	-8.89
53.44	-8.44
53.46	-8.33
53.49	-8.48
53.51	-8.49
53.54	-8.56
53.56	-8.73
53.58	-8.8
53.61	-8.56
53.63	-8.32
53.66	-7.59
53.68	-7.32
53.7	-7.12
53.73	-6.83
	
70.87	-7.44
70.92	-7.85
70.98	-7.48
71.03	-7.31
71.08	-7.8
71.13	-7.4
71.18	-7.52
71.23	-7.7
71.29	-7.97
71.34	-7.96
71.39	-8.08
71.44	-8.25
71.49	-8.75
71.54	-8.93
71.59	-8.91
71.65	-8.62
71.7	-8.88
71.75	-9.07
71.8	-8.39
71.85	-7.24
71.9	-7.09
71.96	-7.61
72.01	-7.57
72.06	-7.63
72.11	-7.82
72.16	-7.7
72.21	-7.44
72.27	-7.73
72.32	-8.06
72.37	-8.29
72.42	-7.97
72.47	-7.56
72.52	-7.56
72.57	-8.17
72.63	-8.45
72.68	-8
72.73	-8.4
72.78	-8.85
72.83	-8.72
72.88	-8.38
72.94	-8.29
72.99	-8.75
73.04	-9.23
73.09	-8.89
73.14	-8.61
73.19	-8.37
73.24	-8.4
73.3	-8.97
73.35	-8.98
73.4	-8.87
73.45	-8.68
73.5	-8.69
73.55	-8.95
73.61	-9.11
73.66	-8.78
73.71	-9.14
73.76	-8.61
73.81	-8.76
73.86	-8.84
73.92	-8.96
73.97	-8.85
74.02	-9.14
	
74.12	-9.29
74.17	-9.3
74.22	-9.2
74.28	-9.33
74.33	-9.56
74.38	-9.18
74.43	-9.58
74.48	-9.7
74.53	-9.74
74.59	-9.42
74.64	-9.67
74.69	-9.7
74.74	-9.4
74.79	-9.08
74.84	-9.09
74.9	-9.69
74.95	-9.59
75	-9.71
75.05	-10.16
75.1	-9.77
75.15	-9.54
75.2	-9.84
75.26	-9.7
75.31	-9.31
75.36	-9.61
75.41	-9.36
75.46	-9.35
75.51	-9.55
75.57	-9.74
75.62	-10.08
75.67	-9.53
75.72	-9.19
75.77	-9.28
75.82	-9.66
75.87	-9.5
75.93	-9.24
75.98	-8.85
76.03	-9.21
76.08	-9.53
76.13	-9.42
76.18	-9.21
76.24	-9.24
76.29	-8.85
76.34	-9.05
76.39	-9.02
76.44	-9.13
76.49	-8.77
76.55	-8.48
76.6	-8.26
76.65	-8.2
76.7	-8.26
76.75	-8.54
76.8	-8.68
76.85	-8.1
76.91	-8.16
76.96	-8.14
77.01	-8.17
77.06	-8.25
77.11	-8.24
77.16	-8.36
77.22	-8.92
77.27	-8.88
77.32	-9.15
77.37	-9.55
77.42	-10.15
77.47	-9.99
77.53	-9.94
77.58	-10.09
77.63	-9.95
77.68	-9.83
77.73	-9.3
77.78	-9.34
77.83	-9.48
77.89	-9.44
77.94	-9.27
77.99	-9.54
78.17	-9.54
78.35	-9.37
78.53	-9.73
78.71	-10.21
78.89	-10.34
79.07	-10.22
79.25	-9.98
79.43	-10.4
79.61	-10.91
79.79	-11.45
79.97	-12.76
80.15	-11.32
80.33	-11.33
80.51	-11.36
80.69	-10.3
80.74	-10.17
80.78	-10.66
80.83	-10.08
80.87	-10.25
80.91	-10.87
80.96	-11.19
81	-10.85
81.05	-10.7
81.09	-11.17
81.14	-11.63
81.18	-11.43
81.22	-11.62
81.27	-11.57
81.31	-11.54
81.36	-11.79
81.4	-12
81.44	-11.97
81.49	-12.32
81.53	-12.65
81.58	-12.87
81.65	-12.73
81.72	-12.77
81.79	-12.67
81.86	-12.42
81.93	-12.47
82	-12.65
82.07	-12.61
82.14	-12.74
82.21	-12.41
82.28	-12.11
82.35	-12.04
82.42	-12.42
82.49	-12.86
82.56	-12.72
82.63	-12.29
82.71	-11.66
82.78	-11.2
82.85	-10.92
82.92	-10.37
82.99	-10.73
83.06	-11.2
83.13	-11.16
83.2	-10.78
83.27	-11.33
83.34	-11.27
83.41	-11.86
83.48	-11.92
83.55	-11.21
83.62	-11.21
83.69	-11.46
83.76	-11.57
83.83	-11.22
83.91	-11.63
83.98	-10.89
	
89.08	-6.94
91.09	-7.05
91.2	-6.96
91.31	-7.01
91.42	-6.92
91.53	-7.16
91.64	-7.29
91.76	-7.2
91.87	-7.21
91.98	-7.19
92.09	-7.29
92.2	-7.24
92.31	-7.23
92.42	-7.15
92.53	-7.29
92.64	-7.04
92.75	-6.95
92.87	-6.86
92.98	-6.75
93.09	-6.75
93.2	-6.84
93.31	-7.15
93.42	-7.37
93.53	-7.4
93.64	-7.62
93.75	-7.67
93.87	-7.88
93.98	-8.08
94.09	-7.99
94.2	-8.19
94.31	-8.15
94.42	-7.96
94.53	-7.61
94.64	-7.65
94.71	-7.46
94.78	-7.43
94.85	-7.43
94.92	-7.3
94.99	-7.16
95.05	-7.12
95.12	-7.11
95.19	-7.03
95.26	-7.01
95.33	-7.45
95.4	-7.67
95.47	-7.98
95.53	-7.76
95.6	-7.78
95.67	-8.14
95.74	-8.58
95.81	-8.21
95.88	-8.29
95.95	-7.99
96.01	-7.96
96.08	-7.87
96.15	-7.77
96.22	-7.81
96.29	-7.87
96.36	-8.03
96.42	-8.04
96.49	-8.14
96.56	-8.1
96.63	-8.07
96.7	-7.93
96.77	-8.06
96.84	-8.19
96.9	-8.33
96.97	-8.42
97.04	-8.51
97.11	-8.57
97.18	-8.5
97.21	-8.6
97.24	-8.5
97.28	-8.28
97.31	-8.76
97.34	-9
97.37	-8.79
97.41	-8.73
97.44	-8.37
97.47	-8.36
97.5	-8.52
97.53	-8.72
97.57	-8.6
97.6	-8.89
97.63	-9.13
97.66	-8.97
97.7	-9.29
97.73	-8.77
97.76	-8.51
97.79	-8.6
97.83	-10.26
97.86	-10.29
97.89	-8.83
97.92	-9.13
97.96	-9.29
97.99	-9.37
98.02	-9.32
98.05	-8.66
98.08	-8.79
	
98.15	-8.36
98.18	-8.23
98.21	-8.75
98.25	-8.89
98.28	-8.4
98.31	-8.53
98.34	-8.68
98.38	-8.68
98.41	-8.7
98.44	-8.94
98.47	-9.07
98.51	-9.41
98.54	-9.58
98.57	-9.71
98.6	-9.34
98.64	-9.64
98.67	-10.16
98.7	-12.2
98.73	-12.15
98.76	-12.09
98.8	-12.19
98.83	-12.43
98.86	-12.45
98.89	-9.57
98.93	-9.5
98.96	-9.38
98.99	-9.48
99.02	-9.61
99.06	-11.77
99.1	-10.73
99.14	-9.66
99.18	-9.55
	
99.27	-9.6
99.31	-9.85
99.35	-10.21
99.39	-10.27
99.44	-10.37
99.48	-10.42
99.52	-11.09
99.56	-11.76
99.6	-11.32
99.65	-11.01
99.69	-10.93
99.73	-12.27
99.77	-11.09
99.82	-10.49
99.86	-10.99
99.9	-11.18
99.94	-11.02
100	-11.14
100	-11.3
100.1	-11.13
100.1	-10.8
100.2	-11.66
100.2	-11.13
100.2	-11.5
100.3	-11.67
100.3	-11.07
100.4	-11.03
100.4	-11
100.4	-11.37
100.5	-11.17
100.5	-10.65
100.6	-10.44
	
	
100.7	-11.32
100.7	-11.02
100.8	-11.25
100.8	-11.46
100.9	-11.3
100.9	-11.49
101	-11.77
101	-11.89
101	-11.65
101.1	-11.89
	
101.2	-12.33
101.2	-12.38
	
	
101.3	-12.13
101.4	-12
101.4	-11.92
101.4	-12.05
101.4	-11.95
