# DESCRIPTION:
# Reference: Prokopenko, A.A.,Hinnov, L.A.,Williams, D.F.,Kuzmin, M.I. 2006. Orbital forcing of continental climate during the Pleistocene: a complete astronomically tuned climatic record from Lake Baikal, SE Siberia. Quaternary Science Reviews, 25, 3431-3457. https://doi.org/10.1016/j.quascirev.2006.10.002.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6068. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Composite Depth [m],SP-tuned age [ka BP],Biogenic silica [%]
0.11,11.4,13.1
0.13,11.9,15.7
0.15,12.3,13.5
0.17,12.8,7.7
0.21,13.7,8.8
0.23,14.2,4.5
0.25,14.7,3.2
0.27,15.2,2.2
0.29,15.6,2.2
0.31,16.1,2.3
0.33,16.6,2.3
0.35,17.1,2.7
0.37,17.5,2.4
0.39,18,2.4
0.41,18.5,2.3
0.43,19,2.1
0.45,19.4,2.6
0.47,19.9,2.1
0.49,20.4,2.3
0.51,20.8,2.1
0.53,21.3,2.6
0.55,21.8,2.5
0.57,22.3,2
0.59,22.7,3.7
0.61,23.2,4
0.63,23.7,2.8
0.65,24.2,3.6
0.67,24.6,3.9
0.69,25.1,3.6
0.73,26.1,3.6
0.75,26.5,2.8
0.77,27,2.3
0.79,27.5,2.8
0.81,28,2.6
0.83,28.4,2.2
0.85,28.9,2.6
0.87,29.4,2.8
0.89,29.8,2.3
0.91,30.3,2.8
0.93,30.8,2.8
0.95,31.3,3
0.97,31.7,2.5
1.01,32.7,2.8
1.03,33.2,3
1.05,33.6,3
1.07,34.1,3
1.09,34.6,2.8
1.13,35.5,2.2
1.17,36.5,2.1
1.19,36.9,2.3
1.21,37.4,2.2
1.23,37.9,2.1
1.25,38.4,2.3
1.27,38.8,2.1
1.29,39.3,2.4
1.31,39.8,2.4
1.33,40.3,2.4
1.35,40.7,2.6
1.37,41.2,2.5
1.39,41.7,2.7
1.41,42.2,2.7
1.43,42.6,2.9
1.47,43.6,3.1
1.49,44,3.1
1.51,44.5,3
1.53,45,3.1
1.55,45.5,3.8
1.57,45.9,3.9
1.59,46.4,3.9
1.61,46.9,4.3
1.63,47.4,4.3
1.65,47.8,3.3
1.67,48.3,3.2
1.69,48.8,3.4
1.71,49.3,3.3
1.73,49.7,3.8
1.75,50.2,4.4
1.77,50.7,4.1
1.79,51.2,3.5
1.81,51.6,3.4
1.83,52.1,3.6
1.87,53,3.9
1.89,53.5,3.9
1.91,54,3.2
1.93,54.5,3
2.01,56.4,2.7
2.03,56.9,2.8
2.05,57.4,2.9
2.07,57.8,2.7
2.09,58.3,2.8
2.11,58.8,2.6
2.13,59.3,2.9
2.17,60.2,2.7
2.19,60.7,2.8
2.21,61.2,2.7
2.23,61.7,2.7
2.25,62.2,2.7
2.27,62.6,2.7
2.29,63.1,2.7
2.31,63.6,2.7
2.33,64.1,2.7
2.37,65,2.7
2.39,65.5,2.8
2.41,66,2.9
2.43,66.5,2.6
2.45,67,2.7
2.47,67.4,2.8
2.49,67.9,2.7
2.51,68.4,2.6
2.53,68.9,2.7
2.55,69.4,2.6
2.57,69.8,2.6
2.59,70.3,2.6
2.61,70.8,2.7
2.63,71.3,2.7
2.67,72.2,3
2.69,72.7,3.1
2.71,73.2,3.1
2.73,73.7,3.1
2.75,74.2,3.6
2.77,74.7,4.2
2.79,75.1,4.5
2.81,75.6,11.3
2.83,76.1,11
2.85,76.6,12
2.87,77.1,15.9
2.89,77.5,15.1
2.91,77.9,14.5
2.94,78.6,14.2
2.95,78.8,15
2.97,79.3,11.8
2.99,79.7,14.7
3.03,80.6,15.8
3.05,81,16.6
3.09,81.9,13.9
3.11,82.3,10.1
3.13,82.8,8.4
3.15,83.2,8
3.17,83.7,9.2
3.19,84.1,14
3.21,84.5,10.1
3.23,85,13.8
3.25,85.4,14.7
3.27,85.9,15.6
3.29,86.3,17.8
3.31,86.7,15.6
