# DESCRIPTION:
# Reference: T.C. Johnson, J.P. Werne, E.T. Brown, A. Abbott, M. Berke, B.A. Steinman, J. Halbur, S. Contreras, S. Grosshuesch, A. Deino, C.A. Scholz, R.P. Lyons, S. Schouten, and J.S. Sinninghe Damste. 2016. A progressively wetter climate in southern East Africa over the past 1.3 million years. Nature, 537(7619), 220-224. doi: 10.1038/nature19065.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/21890. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

Age [ka BP],T [deg C],lake level change [m],13C (leaf wax) [per mil]
0.36096,26.76,NaN,NaN
0.36931,25.11,NaN,NaN
0.49038,23.47,NaN,-30.34
0.57804,24.89,NaN,NaN
0.73251,30.11,NaN,NaN
0.87027,24.35,NaN,NaN
0.99969,25,NaN,-27.75
1.13745,24.89,NaN,NaN
1.36706,24.18,NaN,NaN
1.58831,25.17,NaN,NaN
1.75948,23.19,NaN,NaN
1.98405,25.77,NaN,NaN
2.09008,24.95,NaN,NaN
2.39569,26.6,NaN,NaN
2.8198,26.27,NaN,NaN
3.16907,26.21,NaN,NaN
3.5807,26.05,NaN,NaN
3.94244,25.88,NaN,NaN
4.14826,27.8,NaN,NaN
4.3302,22.97,NaN,NaN
4.82045,27.15,NaN,NaN
5.31071,26.76,NaN,NaN
5.80097,27.36,NaN,NaN
5.9889,26.32,NaN,NaN
6.22585,26.16,NaN,NaN
6.47915,24.24,NaN,NaN
6.71611,23.63,NaN,NaN
7.2342,24.13,NaN,NaN
7.74683,23.41,NaN,-30.13
8.25946,24.35,NaN,NaN
8.83422,23.25,NaN,NaN
9.19151,27.09,NaN,NaN
9.76627,25.83,NaN,-29.72
10.18569,26.1,NaN,NaN
10.38763,26.65,0,NaN
10.86919,26.4,-60,NaN
11.21074,26.65,-65,NaN
11.23092,24.23,-65,-29.22
11.35197,NaN,-65,NaN
11.72519,24.59,-97,NaN
11.75545,23.59,-126,-27.86
11.97737,27.08,-66,NaN
12.17912,26.91,-66,NaN
12.34051,23.84,-66,-28.24
12.3506,26.75,-66,NaN
12.46156,26.2,-12,NaN
12.5584,21.22,0,-27.94
12.64139,NaN,0,NaN
12.81106,27.36,0,NaN
13.08789,27.04,0,NaN
13.13254,24.78,0,NaN
13.34935,26.1,-10,NaN
13.6647,24.07,-65,NaN
13.89868,24.39,-85,NaN
14.00041,NaN,-85,NaN
14.86188,24.72,-11,NaN
15.88558,22.92,0,NaN
17.25326,20.45,0,-28.45
19.01296,23.14,-9,NaN
20.33812,21,0,-28.34
20.85162,21.14,-4,NaN
21.71531,21.09,-31,-27.55
22.81418,21.5,-63,NaN
24.04585,20.92,-4,-27.65
27.00366,21.33,-64,NaN
29.35918,22.98,-45,-28.12
32.16554,22.89,-31,-30.9
35.2244,21.71,-55,NaN
38.52748,22.85,-21,-29.65
39.9226,21.39,-8,-29.4
41.48539,21.76,-10,-30.95
44.93049,21.52,-22,-29.33
47.66696,21.6,0,-29.11
51.10257,21.67,-34,NaN
56.85706,21.73,-43,NaN
60.87477,22.98,-90,-29.76
63.42933,21.13,-97,NaN
66.50588,20.97,-77,-29.24
71.47265,22.49,-53,-28.63
74.03512,23.96,-74,-30.01
76.03121,23.23,-39,NaN
81.40701,22.31,0,-29.49
83.46943,19.84,-247,NaN
85.59946,22.53,0,-30
86.83353,24.02,0,NaN
89.50791,22.25,-29,-30.11
93.82207,23.03,0,NaN
97.37213,23.08,0,-30.21
101.58036,24.85,-318,NaN
104.45953,25.68,-400,-30.25
107.36372,22.55,-400,NaN
109.86734,21.35,-389,-27.37
112.11121,NaN,-402,NaN
112.12373,22.65,NaN,NaN
114.78383,22.21,-200,NaN
115.20318,25.53,NaN,NaN
115.20944,NaN,-287,-28.36
117.64734,21.33,-402,-29.34
118.43285,NaN,-402,NaN
118.43598,21.55,NaN,NaN
121.64062,23.08,0,NaN
121.93479,24.1,NaN,NaN
121.93792,NaN,-159,-30.16
123.57466,24.73,0,-30.98
124.66202,24.62,0,NaN
126.02304,23.74,-55,-29.55
126.10052,24.18,NaN,NaN
126.1068,NaN,-55,-30.39
128.08552,22.86,NaN,NaN
128.09599,NaN,-65,NaN
129.92814,20.72,-503,-30.53
130.20243,23.15,NaN,NaN
130.21081,NaN,-501,-29.18
130.59818,22.45,-508,NaN
132.55596,NaN,-465,NaN
132.56015,22.82,NaN,NaN
134.31273,20.41,NaN,NaN
134.31482,NaN,-409,NaN
134.38601,19.44,-396,-28.17
136.38777,NaN,-470,NaN
136.39405,20.05,NaN,NaN
136.39614,19.06,-470,NaN
137.96739,18.86,-447,-27.26
138.46772,19.8,NaN,NaN
138.47131,NaN,-419,NaN
139.68895,19.93,-333,NaN
140.3722,20.47,-490,NaN
141.20608,NaN,-524,-26.75
142.09376,20.81,-525,-29.6
142.46139,21.26,-504,NaN
144.09149,20.86,-507,-25.43
144.38918,NaN,-538,NaN
144.39456,22.38,NaN,NaN
145.1854,19.24,-522,NaN
146.27213,NaN,-550,-28.83
146.48195,20.98,-479,-28.36
148.20351,NaN,-550,NaN
149.67939,NaN,-551,-28.3
149.96273,NaN,-570,NaN
151.23956,NaN,-494,-28.24
152.72799,NaN,-428,NaN
154.55715,NaN,-583,NaN
156.26078,NaN,-445,-28.87
156.67682,NaN,-659,NaN
157.83888,NaN,-446,NaN
157.87833,NaN,-446,-28.27
159.45284,NaN,-576,-27.69
160.86954,NaN,-507,NaN
161.64604,20.73,-574,NaN
162.41178,NaN,-600,-28.57
163.42768,NaN,-589,NaN
163.42857,NaN,NaN,-26.29
163.97194,NaN,-525,NaN
165.32498,NaN,-491,NaN
165.6935,NaN,-572,-29.83
166.496,NaN,-356,NaN
167.46886,NaN,-522,NaN
168.89184,NaN,-330,NaN
169.31596,NaN,-413,-30.35
169.31775,20.93,NaN,NaN
170.28972,NaN,-231,NaN
171.16305,NaN,-230,NaN
171.17022,22.58,NaN,NaN
172.76446,22.72,-70,NaN
174.67611,NaN,NaN,-28.53
174.67701,22.22,-7,NaN
175.1083,NaN,-101,-29.47
175.11368,21.71,NaN,NaN
176.95781,NaN,-145,NaN
176.96175,22,NaN,NaN
178.8062,23.3,NaN,NaN
178.80817,NaN,-18,NaN
179.27174,21.88,0,NaN
179.75008,20.61,-138,NaN
179.75106,NaN,NaN,-29.8
180.8534,20.05,NaN,NaN
180.85537,NaN,-377,NaN
181.43508,20.11,-367,NaN
182.85926,23.63,NaN,NaN
182.86319,NaN,-55,-28
186.14855,21.87,NaN,NaN
186.15052,NaN,-166,NaN
187.20758,18.54,-446,-27.97
188.0679,NaN,-498,-27.35
188.07938,22.62,NaN,NaN
190.15299,21.76,-532,NaN
191.46072,21.37,NaN,NaN
191.47603,NaN,-524,NaN
194.84205,21.87,NaN,NaN
194.84588,NaN,-531,-28.71
196.58441,22.8,-359,-26.55
197.7562,NaN,-468,NaN
197.76386,22.8,NaN,NaN
199.5943,23.71,-354,NaN
201.08775,NaN,-426,-27.84
201.09541,22.5,NaN,NaN
201.48601,22.32,-337,NaN
204.18954,22.5,-280,NaN
204.91712,NaN,-303,NaN
204.92478,23.24,NaN,NaN
208.86137,NaN,-190,-27.4
208.87286,24.47,NaN,NaN
210.49077,18.27,-281,NaN
210.49269,NaN,NaN,-28.76
212.19293,23.84,-295,NaN
214.70691,25.53,-58,NaN
216.01847,23.96,NaN,NaN
216.0223,NaN,0,-29.45
218.58415,NaN,NaN,-30.14
218.58606,25.24,-80,NaN
219.6219,NaN,-220,-30.41
219.62573,24.84,NaN,NaN
221.67828,23.01,-177,NaN
221.75103,21.8,NaN,NaN
221.76635,NaN,-177,NaN
224.90644,NaN,0,NaN
224.91026,23.96,NaN,NaN
227.88569,23.86,NaN,NaN
227.89334,NaN,-108,-27.92
227.91249,24.03,-108,-28.89
230.52412,24.95,-92,NaN
233.74845,24.08,NaN,NaN
233.75228,NaN,-163,NaN
233.88248,21.19,-169,-29.21
236.7009,NaN,-105,-28.95
236.70855,23.88,NaN,NaN
239.64951,NaN,-144,NaN
239.661,23.1,NaN,NaN
242.33007,NaN,-289,-26.49
242.33773,21.68,NaN,NaN
245.27485,21.75,NaN,NaN
245.27868,NaN,-277,NaN
250.17262,20.16,NaN,NaN
250.18028,NaN,-268,-27.48
254.05424,21.61,NaN,NaN
254.05923,NaN,-393,NaN
258.00136,NaN,-366,NaN
258.02132,21.77,NaN,NaN
259.3337,21.8,NaN,NaN
259.34867,NaN,-360,-27.38
263.71495,22.67,NaN,NaN
263.7399,NaN,-307,-27.63
268.66507,23.03,NaN,NaN
268.68004,NaN,-338,NaN
273.54532,23.58,NaN,NaN
273.57027,NaN,-156,-28.63
279.20402,21.1,NaN,NaN
279.20901,NaN,-203,NaN
285.09726,NaN,0,-27.63
285.11223,22.31,NaN,NaN
290.8358,NaN,-123,NaN
290.85077,23.77,NaN,NaN
298.00149,24.9,NaN,NaN
298.02145,NaN,-27,-29.28
303.33584,24.48,NaN,NaN
303.36079,NaN,-5,-27.77
315.67121,24.25,NaN,NaN
315.68618,NaN,-44,-28.83
320.00755,24.78,NaN,NaN
320.02751,NaN,-138,-29.32
324.29899,25.37,NaN,NaN
324.31895,NaN,-40,-29.46
330.59641,23.12,NaN,NaN
330.60639,NaN,-140,NaN
333.23303,NaN,-152,NaN
333.23452,24.7,NaN,NaN
333.94917,23.64,NaN,NaN
333.95141,NaN,-236,NaN
334.86437,24.7,-61,NaN
335.53037,NaN,-308,NaN
336.24128,NaN,-370,-25.08
336.24278,20.64,NaN,NaN
336.68952,20.98,NaN,NaN
336.69027,NaN,-314,NaN
337.22083,22.25,NaN,NaN
337.22158,NaN,-285,NaN
337.89507,NaN,-258,-27.69
337.89582,22.96,NaN,NaN
338.57978,23.82,NaN,NaN
338.58353,NaN,-116,NaN
339.20987,22.31,NaN,NaN
339.21212,NaN,0,-25.68
339.80104,23.3,NaN,NaN
339.80329,NaN,-19,NaN
340.4229,21.59,NaN,NaN
340.4244,NaN,-121,NaN
341.06047,NaN,-376,-28.28
341.06122,22.8,NaN,NaN
341.68906,NaN,-340,NaN
341.69205,22.47,NaN,NaN
342.76664,NaN,-362,-27.18
342.76739,22.34,NaN,NaN
343.41394,22.1,NaN,NaN
343.41768,NaN,-402,NaN
344.82735,22.41,-259,-28.74
352.79055,21.24,NaN,NaN
352.8079,NaN,-87,NaN
360.76243,22.86,NaN,NaN
360.78845,NaN,0,-29.76
368.47407,23.41,NaN,NaN
368.50876,NaN,0,NaN
376.1857,21.77,NaN,NaN
376.22908,NaN,0,-29.22
384.29637,NaN,0,NaN
384.31372,23.41,NaN,NaN
392.97088,NaN,0,-28.21
393.00558,23.41,NaN,NaN
400.93767,23.85,NaN,NaN
400.94172,NaN,-19,NaN
405.18586,NaN,0,-29.19
405.20203,23.96,NaN,NaN
405.90131,25.61,NaN,NaN
405.91343,NaN,0,NaN
416.49147,24.28,NaN,NaN
416.50359,NaN,-130,-30.41
420.14144,NaN,0,NaN
423.93287,22.66,NaN,NaN
423.94096,NaN,-492,-30.79
427.29586,NaN,-378,NaN
427.30798,21.7,NaN,NaN
430.16571,NaN,-443,NaN
430.17379,24.05,NaN,NaN
433.27,22.52,NaN,NaN
433.27809,NaN,-423,NaN
438.47377,22.86,NaN,NaN
438.50376,NaN,-459,NaN
444.40532,22.31,NaN,NaN
444.42781,NaN,-458,NaN
448.8971,23.45,NaN,NaN
448.92709,NaN,-360,-28.24
455.82599,NaN,-297,NaN
455.84099,23.82,NaN,NaN
459.27544,NaN,-315,NaN
459.28293,23.72,NaN,NaN
465.46195,23.03,NaN,NaN
465.49944,NaN,-339,-27.75
471.27351,NaN,-88,NaN
471.30351,21.78,NaN,NaN
481.08194,25.61,NaN,NaN
481.09694,NaN,0,-29.6
488.55825,23.41,NaN,NaN
488.59574,NaN,0,NaN
494.93222,23.3,NaN,NaN
494.96972,NaN,-18,-27.28
503.06842,NaN,0,NaN
503.09092,23.41,NaN,NaN
512.81686,NaN,0,-27.63
512.84685,24.51,NaN,NaN
517.50361,23.77,NaN,NaN
517.5411,NaN,-31,NaN
522.77281,24.14,NaN,NaN
522.77919,NaN,-61,NaN
524.78691,24.51,NaN,NaN
524.7901,NaN,0,-28.3
528.61401,24.67,NaN,NaN
528.6204,NaN,-65,NaN
530.52916,24.51,NaN,NaN
530.53554,NaN,0,-29.48
532.79861,22.78,NaN,NaN
532.8018,NaN,-471,NaN
535.34257,20,NaN,NaN
535.35533,NaN,-477,NaN
537.87695,NaN,-412,-26.4
537.88971,20.94,NaN,NaN
540.79347,19.99,NaN,NaN
540.80236,NaN,-479,NaN
544.04665,NaN,-541,-26.29
544.05109,19.62,NaN,NaN
547.50426,22.9,NaN,NaN
547.51315,NaN,-361,NaN
551.29075,NaN,-34,-26.67
551.30852,25.95,NaN,NaN
562.268,NaN,-274,-26.75
562.27689,22.86,NaN,NaN
565.4234,NaN,-443,NaN
565.43673,22.95,NaN,NaN
568.62325,NaN,-366,NaN
568.62769,23.41,NaN,NaN
571.6231,23.63,NaN,NaN
571.64533,NaN,-330,-27.1
