# DESCRIPTION:
# Reference: T.C. Johnson, J.P. Werne, E.T. Brown, A. Abbott, M. Berke, B.A. Steinman, J. Halbur, S. Contreras, S. Grosshuesch, A. Deino, C.A. Scholz, R.P. Lyons, S. Schouten, and J.S. Sinninghe Damste. 2016. A progressively wetter climate in southern East Africa over the past 1.3 million years. Nature, 537(7619), 220-224. doi: 10.1038/nature19065.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/21890. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

Depth [m],Age [ka BP],Ca [1000 Counts per minute]
6.8,11200.66,1.5085
6.81,11220.83,1.49748
6.82,11241.01,1.49223
6.83,11261.18,1.48193
6.84,11281.36,1.4644
6.85,11301.53,1.44128
6.86,11321.7,1.44205
6.87,11341.88,1.4445
6.88,11362.05,1.43935
6.89,11382.23,1.42675
6.9,11402.4,1.42723
6.91,11422.58,1.42165
6.92,11442.75,1.42368
6.93,11462.93,1.40403
6.94,11483.1,1.40953
6.95,11503.27,1.41825
6.96,11523.45,1.41393
6.97,11543.62,1.41448
6.98,11563.8,1.41305
6.99,11583.97,1.40283
7,11604.15,1.40118
7.01,11624.32,1.3939
7.02,11644.5,1.39265
7.03,11664.67,1.4052
7.04,11684.84,1.4229
7.05,11705.02,1.43303
7.06,11725.19,1.4458
7.07,11745.37,1.4427
7.08,11765.54,1.43223
7.09,11785.72,1.43688
7.1,11805.89,1.43903
7.11,11826.07,1.44568
7.12,11846.24,1.44253
7.13,11866.41,1.44853
7.14,11886.59,1.47725
7.15,11906.76,1.4687
7.16,11926.94,1.47503
7.17,11947.11,1.47635
7.18,11967.29,1.47733
7.19,11987.46,1.476
7.2,12007.64,1.48008
7.21,12027.81,1.47645
7.22,12047.98,1.4739
7.23,12068.16,1.45495
7.24,12088.33,1.42985
7.25,12108.51,1.41245
7.26,12128.68,1.38645
7.27,12148.86,1.37845
7.28,12169.03,1.375
7.29,12189.21,1.37118
7.3,12209.38,1.36748
7.31,12229.55,1.3596
7.32,12249.73,1.35335
7.33,12269.9,1.3359
7.34,12290.08,1.3013
7.35,12310.25,1.29375
7.36,12330.43,1.2834
7.37,12350.6,1.27815
7.38,12370.78,1.2725
7.403,12417.18,1.26978
7.413,12437.35,1.26398
7.423,12457.53,1.26958
7.433,12477.7,1.26735
7.443,12497.87,1.2639
7.453,12518.05,1.27098
7.463,12538.22,1.27688
7.473,12558.4,1.27643
7.483,12578.57,1.26905
7.493,12598.75,1.2696
7.503,12618.92,1.2612
7.513,12637.82,1.25053
7.523,12655.68,1.24528
7.533,12673.54,1.24208
7.543,12691.4,1.23588
7.553,12709.26,1.23215
7.563,12727.12,1.2371
7.573,12744.98,1.23205
7.583,12762.84,1.2263
7.593,12780.7,1.2234
7.603,12798.56,1.2208
7.613,12816.42,1.21598
7.623,12834.28,1.2064
7.633,12852.14,1.19785
7.643,12870,1.19643
7.653,12887.86,1.19033
7.663,12905.72,1.1878
7.673,12923.58,1.19043
7.683,12941.44,1.19325
7.693,12959.3,1.19355
7.703,12977.16,1.19445
7.713,12995.02,1.19858
7.723,13012.88,1.1991
7.733,13030.74,1.1964
7.743,13048.6,1.1971
7.753,13066.46,1.20013
7.763,13084.32,1.1933
7.773,13102.18,1.19843
7.783,13120.04,1.19845
7.793,13137.9,1.20213
7.803,13155.76,1.2073
7.813,13173.62,1.2215
7.823,13191.48,1.2441
7.833,13209.34,1.25245
7.843,13227.2,1.25425
7.853,13245.06,1.2636
7.863,13262.92,1.27215
7.873,13280.78,1.2831
7.883,13298.64,1.2915
7.893,13316.5,1.30753
7.903,13335.1,1.32098
7.913,13355.45,1.32578
7.923,13375.8,1.33558
7.933,13396.14,1.34918
7.943,13416.49,1.36438
7.953,13436.83,1.38
7.963,13457.18,1.3956
7.973,13477.52,1.40943
7.983,13497.87,1.45363
7.993,13518.21,1.4605
8.003,13538.56,1.46648
8.013,13558.91,1.46725
8.023,13579.25,1.46728
8.033,13599.6,1.48075
8.043,13619.94,1.49753
8.053,13640.29,1.50875
8.063,13660.63,1.51213
8.073,13680.98,1.51655
8.083,13701.33,1.52893
8.093,13721.67,1.5221
8.103,13742.02,1.525
8.113,13762.36,1.53145
8.123,13782.71,1.5351
8.133,13803.05,1.53763
8.143,13823.4,1.54393
8.153,13843.75,1.53998
8.163,13864.09,1.5431
8.173,13884.44,1.53773
8.183,13904.78,1.51495
8.193,13925.13,1.51065
8.203,13945.47,1.51468
8.213,13965.82,1.5131
8.223,13986.17,1.50308
8.233,14006.51,1.49508
8.243,14026.86,1.48698
8.253,14047.2,1.46915
8.263,14067.55,1.4566
8.273,14087.89,1.4491
8.283,14108.24,1.43193
8.293,14128.59,1.4249
8.303,14148.93,1.41328
8.313,14169.28,1.4038
8.323,14189.62,1.39973
8.333,14209.97,1.39475
8.343,14230.31,1.3824
8.353,14250.66,1.37945
8.363,14271,1.3657
8.373,14291.35,1.35798
8.383,14311.7,1.33823
8.393,14332.04,1.32738
8.403,14352.39,1.31698
8.413,14372.73,1.30815
8.423,14393.08,1.30848
8.433,14413.42,1.3041
8.443,14433.77,1.311
8.453,14454.12,1.3238
8.463,14474.46,1.3445
8.473,14494.81,1.35615
8.483,14515.15,1.4517
8.493,14535.5,1.57843
8.503,14555.84,1.6984
8.513,14587.52,1.69605
8.523,14628.47,1.69
8.533,14669.42,1.6865
8.543,14710.37,1.6857
8.553,14751.32,1.67168
8.563,14792.26,1.6726
8.573,14833.21,1.67198
8.583,14874.16,1.6729
8.593,14915.11,1.6749
8.603,14956.06,1.67013
8.613,14997.01,1.6629
8.623,15037.95,1.64938
8.633,15078.9,1.63815
8.643,15119.85,1.62345
8.653,15160.8,1.5972
8.663,15201.75,1.5678
8.673,15242.7,1.5426
8.683,15283.64,1.4354
8.693,15324.59,1.29648
8.703,15365.54,1.16785
8.713,15406.49,1.15748
8.723,15447.44,1.14753
8.733,15488.39,1.1397
8.743,15529.33,1.13075
8.753,15570.28,1.13398
8.763,15611.23,1.13608
8.773,15652.18,1.12903
8.783,15693.13,1.11065
8.793,15734.08,1.11223
8.803,15775.02,1.10973
8.813,15815.97,1.11138
8.823,15856.92,1.1107
8.833,15897.87,1.11408
8.843,15938.82,1.11525
8.853,15979.77,1.121
8.863,16020.71,1.12235
8.873,16061.66,1.12855
8.883,16102.61,1.13428
8.959,16413.82,1.14533
8.969,16454.77,1.14648
8.979,16495.72,1.15398
8.989,16536.66,1.15723
8.999,16577.61,1.15768
9.009,16618.56,1.15883
9.019,16659.51,1.15703
9.029,16700.46,1.14735
9.039,16741.41,1.14643
9.049,16782.35,1.16053
9.059,16823.3,1.15398
9.069,16864.25,1.15295
9.079,16905.2,1.15183
9.089,16946.15,1.15258
9.099,16987.1,1.14945
9.109,17028.04,1.1408
9.119,17068.99,1.1441
9.129,17109.94,1.14233
9.139,17150.89,1.14235
9.149,17191.84,1.1441
9.159,17232.79,1.14288
9.169,17273.73,1.1452
9.179,17314.68,1.14255
9.189,17355.63,1.14233
9.199,17396.58,1.1411
9.209,17437.53,1.14093
9.219,17478.48,1.13688
9.229,17519.42,1.1382
9.239,17560.37,1.13753
9.249,17601.32,1.13605
9.259,17642.27,1.13805
9.269,17683.22,1.13983
9.279,17724.17,1.13915
9.289,17765.11,1.14238
9.299,17806.06,1.1458
9.309,17847.01,1.15318
9.319,17887.96,1.15398
9.329,17928.91,1.1555
9.339,17969.86,1.15468
9.349,18010.81,1.15205
9.359,18051.75,1.1482
9.369,18092.7,1.14625
9.379,18133.65,1.14975
9.389,18174.6,1.1513
9.399,18215.55,1.15195
9.409,18256.5,1.1502
9.419,18297.44,1.15598
9.429,18338.39,1.15855
9.439,18379.34,1.15848
9.449,18420.29,1.15735
9.459,18459.7,1.15745
9.469,18494.5,1.1552
9.479,18529.3,1.15358
9.489,18564.1,1.155
9.499,18598.9,1.15648
9.509,18633.7,1.15368
9.519,18668.5,1.15308
9.529,18703.3,1.1565
9.539,18738.1,1.16025
9.549,18772.9,1.16768
9.559,18805.9,1.1738
9.569,18833.51,1.18125
9.579,18861.12,1.18048
9.589,18888.72,1.1836
9.599,18916.33,1.1853
9.609,18943.94,1.1862
9.619,18971.55,1.18608
9.629,18999.15,1.18223
9.639,19026.76,1.18728
9.649,19054.37,1.1927
9.659,19081.98,1.1961
9.669,19109.58,1.20015
9.679,19137.19,1.2034
9.689,19164.8,1.20668
9.699,19192.41,1.20703
9.709,19220.01,1.21258
9.719,19247.62,1.20873
9.729,19275.23,1.2084
9.739,19302.84,1.19955
9.749,19330.44,1.19285
9.759,19358.05,1.1898
9.769,19385.66,1.18133
9.779,19413.27,1.182
9.789,19440.87,1.17965
9.799,19468.48,1.17755
9.809,19496.09,1.17793
9.819,19523.7,1.17335
9.829,19551.3,1.17623
9.839,19578.91,1.17165
9.849,19606.52,1.16523
9.859,19634.13,1.15543
9.869,19661.73,1.14493
9.879,19689.34,1.14593
9.889,19716.95,1.13483
9.899,19744.56,1.13065
9.909,19772.16,1.1234
9.919,19799.77,1.12303
9.929,19827.38,1.11695
9.939,19854.99,1.12008
9.949,19882.59,1.11858
9.959,19910.2,1.11193
9.969,19937.81,1.11068
9.979,19965.42,1.1051
9.989,19993.02,1.10085
9.999,20020.63,1.0985
10.009,20048.24,1.0984
10.019,20075.85,1.10048
10.029,20103.45,1.09993
10.039,20131.06,1.09695
10.049,20158.67,1.09335
10.059,20186.28,1.09678
10.069,20213.88,1.09915
10.079,20241.49,1.09335
10.089,20269.1,1.09535
10.099,20296.71,1.09368
10.109,20324.31,1.09363
10.119,20351.92,1.09453
10.129,20379.53,1.10023
10.139,20407.14,1.10195
10.149,20434.74,1.1062
10.159,20462.35,1.10915
10.196,20564.5,1.1121
10.206,20592.11,1.11385
10.216,20619.71,1.11405
10.226,20647.32,1.1156
10.236,20674.93,1.11698
10.246,20702.54,1.11495
10.256,20730.14,1.111
10.266,20757.75,1.11268
10.276,20785.36,1.09108
10.286,20812.97,1.089
10.296,20840.57,1.08838
10.306,20868.18,1.0892
10.316,20895.79,1.08913
10.326,20923.4,1.08768
10.336,20951,1.09333
10.346,20978.61,1.0946
10.356,21006.22,1.09168
10.366,21033.83,1.08783
10.376,21061.43,1.08198
10.406,21144.26,1.07915
10.416,21171.86,1.0769
10.426,21199.47,1.0724
10.436,21227.08,1.06993
10.446,21254.69,1.06595
10.456,21282.29,1.06358
10.466,21309.9,1.06488
10.476,21337.51,1.06605
10.486,21365.12,1.0684
10.496,21392.72,1.0909
10.506,21420.33,1.0918
10.516,21447.94,1.0921
10.526,21475.55,1.09338
10.536,21503.15,1.09068
10.546,21530.5,1.09088
10.556,21555.47,1.08495
10.566,21580.45,1.08345
10.576,21605.42,1.08238
10.586,21630.4,1.08628
10.596,21655.37,1.09103
10.606,21680.34,1.09933
10.616,21705.32,1.10228
10.626,21730.29,1.10843
10.636,21755.27,1.11068
10.646,21780.24,1.11218
10.656,21805.22,1.10785
10.666,21830.19,1.10303
10.676,21855.17,1.10693
10.686,21880.14,1.1073
10.696,21905.11,1.1135
10.706,21930.09,1.1157
10.716,21955.06,1.12113
10.726,21980.04,1.12505
10.736,22005.01,1.1293
10.746,22029.99,1.13575
10.756,22054.96,1.1363
10.766,22079.94,1.13993
10.776,22104.91,1.14113
10.786,22129.88,1.1445
10.796,22154.86,1.14603
10.806,22179.83,1.14003
10.816,22204.81,1.13663
10.826,22229.78,1.13743
10.836,22254.76,1.13988
10.846,22279.73,1.14293
10.856,22304.71,1.1449
10.866,22329.68,1.15505
10.876,22354.65,1.15248
10.886,22379.63,1.15033
10.896,22404.6,1.14653
10.906,22429.58,1.1482
10.916,22454.55,1.1422
10.926,22479.53,1.1395
10.936,22504.5,1.14268
10.946,22529.48,1.1381
10.956,22554.45,1.14108
10.966,22579.42,1.13283
10.976,22604.4,1.13695
10.986,22629.37,1.13555
10.996,22654.35,1.13465
11.006,22679.32,1.13678
11.016,22704.3,1.14213
11.026,22729.27,1.1391
11.036,22754.25,1.13805
11.046,22779.22,1.14055
11.056,22804.2,1.14515
11.066,22829.17,1.14043
11.076,22854.14,1.14148
11.086,22879.12,1.14493
11.096,22904.09,1.14503
11.106,22929.07,1.14365
11.116,22954.04,1.14778
11.126,22979.02,1.14685
11.136,23003.99,1.14123
11.146,23028.97,1.1407
11.156,23053.94,1.13715
11.166,23078.91,1.14578
11.176,23103.89,1.14573
11.186,23128.86,1.14713
11.196,23153.84,1.14665
11.206,23178.81,1.14408
11.216,23203.79,1.1376
11.226,23228.76,1.13755
11.236,23253.74,1.13675
11.246,23278.71,1.1349
11.256,23303.68,1.1383
11.266,23328.66,1.14038
11.276,23353.63,1.1407
11.286,23378.61,1.14065
11.296,23403.58,1.14573
11.306,23428.56,1.1503
11.316,23453.53,1.1506
11.326,23478.51,1.15148
11.336,23503.48,1.1549
11.346,23528.45,1.15983
11.356,23553.43,1.16063
11.366,23578.4,1.16093
11.376,23603.38,1.16563
11.386,23628.35,1.17238
11.396,23653.33,1.17263
11.406,23678.3,1.1794
11.416,23703.28,1.18283
11.426,23728.25,1.18733
11.436,23753.22,1.19313
11.446,23778.2,1.1999
11.456,23803.17,1.20228
11.466,23828.15,1.20248
11.476,23853.12,1.19645
11.486,23878.1,1.1941
11.496,23903.07,1.18895
11.506,23928.05,1.18675
11.516,23953.02,1.1885
11.526,23978.6,1.18805
11.536,24006.62,1.1885
11.546,24034.64,1.18435
11.556,24062.66,1.1824
11.566,24090.68,1.17965
11.576,24118.7,1.17633
11.608,24208.36,1.1654
11.618,24236.38,1.16448
11.628,24264.4,1.15403
11.638,24292.42,1.1523
11.648,24320.44,1.14273
11.658,24348.46,1.13303
11.668,24376.48,1.12525
11.678,24404.5,1.11863
11.698,24460.54,1.11325
11.708,24488.55,1.11168
11.718,24516.57,1.1071
11.728,24544.59,1.10263
11.98,25250.68,1.095
11.99,25278.7,1.08978
12,25306.72,1.08798
12.01,25334.74,1.08393
12.05,25446.81,1.08165
12.06,25474.83,1.08003
12.07,25502.85,1.07705
12.08,25530.87,1.06795
12.09,25558.89,1.06248
12.1,25586.91,1.05818
12.11,25614.93,1.06123
12.12,25642.95,1.06003
12.13,25670.97,1.0613
12.14,25698.99,1.0666
12.15,25727.01,1.05948
12.16,25755.03,1.0529
12.17,25783.04,1.05513
12.18,25811.06,1.0552
12.19,25839.08,1.0572
12.2,25867.1,1.05913
12.21,25895.12,1.05753
12.22,25923.14,1.05835
12.23,25951.16,1.06078
12.24,25979.18,1.0586
12.25,26007.2,1.0631
12.26,26035.22,1.06545
12.27,26063.24,1.06518
12.28,26091.26,1.06873
12.29,26119.28,1.07138
12.3,26147.3,1.07033
12.31,26175.31,1.07085
12.32,26203.33,1.06915
12.33,26231.35,1.07248
12.34,26259.37,1.0738
12.35,26287.39,1.077
12.39,26399.47,1.08355
12.4,26427.49,1.08588
12.41,26455.51,1.0907
12.42,26483.53,1.09173
12.43,26511.55,1.09125
12.44,26539.57,1.0919
12.45,26567.58,1.09135
12.46,26595.27,1.08745
12.47,26621.62,1.08923
12.48,26647.97,1.08815
12.49,26674.31,1.0927
12.5,26700.66,1.09678
12.51,26727.01,1.10073
12.52,26753.36,1.10673
12.53,26779.71,1.11353
12.54,26806.05,1.11763
12.55,26832.4,1.12085
12.56,26858.75,1.12113
12.57,26885.1,1.11985
12.58,26911.45,1.12358
12.59,26937.79,1.12455
12.6,26964.14,1.1229
12.61,26990.49,1.12293
12.62,27016.84,1.12725
12.63,27043.19,1.1308
12.64,27069.53,1.13893
12.65,27095.88,1.14418
12.66,27122.23,1.14513
12.67,27148.58,1.153
12.68,27174.93,1.1565
12.69,27201.27,1.1564
12.7,27227.62,1.15353
12.71,27253.97,1.14785
12.72,27280.32,1.14515
12.73,27306.67,1.14335
12.74,27333.01,1.14
12.75,27359.36,1.14115
12.76,27385.71,1.14158
12.77,27412.06,1.14615
12.78,27438.41,1.15033
12.79,27464.75,1.15178
12.8,27491.1,1.15555
12.81,27517.45,1.15725
12.82,27543.8,1.15908
12.83,27570.15,1.1603
12.84,27596.5,1.15983
12.85,27622.84,1.16293
12.86,27649.19,1.17193
12.87,27675.54,1.17198
12.88,27701.89,1.1723
12.89,27728.24,1.17705
12.9,27754.58,1.1867
12.91,27780.93,1.196
12.92,27807.28,1.20475
12.93,27833.63,1.20633
12.94,27859.98,1.21195
12.95,27886.32,1.21255
12.96,27912.67,1.21583
12.97,27939.02,1.21585
12.98,27965.37,1.21123
12.99,27991.72,1.21073
13,28018.06,1.20615
13.01,28044.41,1.20843
13.02,28070.76,1.20768
13.03,28097.11,1.21048
13.04,28123.46,1.20815
13.05,28149.8,1.20743
13.06,28176.15,1.20018
13.07,28202.5,1.20013
13.08,28228.85,1.2023
13.09,28255.2,1.19628
13.1,28281.54,1.21443
13.11,28307.89,1.28608
13.12,28334.24,1.3057
13.13,28360.59,1.30885
13.14,28386.94,1.3097
