# DESCRIPTION:
# Reference: Wagner, Bernd; Vogel, Hendrik; Francke, Alexander; Friedrich, Tobias; Donders, Timme H; Lacey, Jack H; Leng, Melanie J; Regattieri, Eleonora; Sadori, Laura; Wilke, Thomas; Zanchetta, Giovanni; Albrecht, Christian; Bertini, Adele; Combourieu-Nebout, Nathalie; Cvetkoska, Aleksandra; Giaccio, Biagio; Grazhdani, Andon; Hauffe, Torsten; Holtvoeth, Jens; Joannin, Sébastien; Jovanovska, Elena; Just, Janna; Kouli, Katerina; Kousis, Ilias; Koutsodendris, Andreas; Krastel, Sebastian; Lagos, Markus; Leicher, Niklas; Levkov, Zlatko; Lindhorst, Katja; Masi, Alessia; Melles, Martin; Mercuri, Anna Maria; Nomade, Sébastien; Nowaczyk, Norbert R; Panagiotopoulos, Konstantinos; Peyron, Odile; Reed, Jane M; Sagnotti, Leonardo; Sinopoli, Gaia; Stelbrink, Björn; Sulpizio, Roberto; Timmermann, Axel; Tofilovska, Slavica; Torri, Paola; Wagner-Cremer, Friederike; Wonik, Thomas; Zhang, Xiaosen (2019): Mediterranean winter rainfall in phase with African monsoons during the past 1.36 million years. Nature, https://doi.org/10.1038/s41586-019-1529-0
# Data from: https://doi.org/10.1594/PANGAEA.896847. Accessed 28 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],TIC [%],TOC [%],Qz peak area,δ13C cal [‰ PDB],δ18O cal [‰ PDB],Quercus deci [%],AP-Pinus [%]
0.01,0.0155,3.28,2.09,,,,0,0
0.17,0.2753,3.58,1.58,,,,,
0.33,0.535,5.21,1.53,,,,,
0.49,0.7949,5.75,1.65,,,,48.0565,79.5053
0.65,1.0547,4.09,1.5,,,,,
0.81,1.31675,1.73,0.8,,,,48.9865,73.9865
0.97,1.5789,3.29,1.49,0.32796,,,46.7024,71.123
1.13,1.8388,5.35,3.02,,,,,
1.29,2.0987,5.75,2.42,0.16667,,,,
1.45,2.8221,4.51,2.86,,,,,
1.61,3.5675,6.04,3.01,0.13572,,,48.5549,80.7322
1.77,4.31285,6.81,2.27,,,,,
1.93,5.05815,7.1,2.72,0.1122,,,,
2.09,5.80375,4.56,3.74,,,,,
2.25,6.54905,4.94,2.95,0.15128,,,52.6596,77.1277
2.41,7.2946,4.47,3.29,,,,,
2.57,8.0397,1.55,2.38,0.29433,,,,
2.73,8.4637,0.58,4.84,,,,,
2.89,8.82445,0.16,4.75,0.22207,,,50,69.8113
3.05,9.18375,0.13,3.56,,,,,
3.21,9.54475,0.13,2.96,0.2965,,,,
3.35,9.8618,1.03,2.04,,,,,
3.49,10.1778,0.06,2.84,0.29075,,,44.2049,59.5687
3.65,10.53835,1.21,1.96,,,,,
3.81,10.9004,1.39,1.94,0.28429,,,,
3.97,11.34705,1.54,1.99,,,,,
4.13,11.8927,0.04,2.89,0.22983,,,55.0725,69.5652
4.29,12.4375,0.04,2.72,,,,,
