# DESCRIPTION:
# Reference: Pickarski, N; Litt, T (2016): A new high-resolution pollen sequence at Lake Van, Turkey: Insights into penultimate interglacial-glacial climate change on vegetation history. Climate of the Past Discussions, 29 pp, https://doi.org/10.5194/cp-2016-133.
# Data from: https://doi.org/10.1594/PANGAEA.871228. Accessed 07 Jan 2023.
# Comment: Multiple variables from the original dataset are not included here.

Depth [m],Age [ka BP],AP [%],δ13C bulk carb [‰ PDB],δ18O bulk carb [‰ PDB]
2.72,128.8,35.6,4.89,-3.29
2.73,129.347,24.2,4.32,-4.25
2.74,129.9,12.3,4.86,-2.53
2.75,130.476,10.1,5.37,-1.3
2.76,131.014,5.7,4.74,-2.01
2.77,131.214,7.8,4.39,0.11
2.78,131.532,9.5,4.74,0.1
2.79,131.726,5.5,4.47,-0.29
2.8,131.992,8.3,4.75,-0.4
2.81,132.216,6.3,4.54,-0.45
2.82,132.419,7.9,2.7,-2.45
2.83,132.653,6.9,4.51,-0.14
2.84,132.918,5.4,5.21,0.59
2.85,133.271,6.4,4.64,0.71
2.86,133.538,5.9,5.23,1.49
2.87,133.913,4.4,5,0.41
2.88,134.423,4.9,4.88,0.23
2.89,134.759,7.7,5.41,0.68
2.9,135.13,5.7,5.35,0.89
2.91,135.484,5.4,5.7,1.54
2.92,135.837,4.9,5.41,1.15
2.93,136.223,4.8,5.1,0.57
2.95,137.033,3.5,5.6,1.28
2.96,137.45,2.3,5.4,0.73
2.97,137.854,8.3,5.01,0.27
2.99,138.615,2,3.98,0.28
3,138.91,4.9,4.18,0.64
3.02,139.66,5.4,5.01,0.48
3.03,140.07,2.3,5.15,0.41
3.04,140.3,6.1,5.22,0.5
3.05,140.65,5.9,5.23,1.39
3.06,141.07,4.2,4.61,1.57
3.09,142.38,2.1,3.94,-0.18
3.12,143.62,3.9,3.97,-0.75
3.14,144.45,3.3,3.83,-1.22
3.15,144.86,1.1,2.99,1.1
3.16,145.28,2,4.84,0.05
3.17,145.68,3.5,3.63,1.87
3.18,145.77,6,3.51,-0.79
3.19,146.07,1.5,4.13,-0.5
3.2,146.43,1.5,4.26,-0.5
3.21,146.89,3.5,4.5,-0.54
3.24,147.09,5.7,4.4,-0.62
3.22,147.3,4.3,4.54,-0.77
