/* DESCRIPTION:
Reference:	Harada, N., N. Ahagon, T. Sakamoto, M. Uchida, M. Ikehara, and Y. Shibata. 2006. Rapid fluctuation of alkenone temperature in the southwestern Okhotsk Sea during the past 120 ky. Global and Planetary Change, 53, 29-46, https://doi.org/10.1016/j.gloplacha.2006.01.010
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/9096. Accessed 11 Nov 2022.
Comment:	Alkenone saturation index from the original dataset is not included here.
*/
Depth [m]	Age [kyr BP]	  Uk'37 SST [C]
0.012	0	9.1
0.162	0.26	12.9
0.237	0.39	12.8
0.312	0.52	12.9
0.387	0.65	12.9
0.464	0.78	12.8
0.54	0.92	12.7
0.614	1.05	12.3
0.689	1.18	12.7
0.763	1.3	13
0.838	1.43	13
0.914	1.57	13
0.933	1.6	12.7
1.078	1.85	12.9
1.153	1.88	13.7
1.228	1.92	12.7
1.3	1.95	12.8
1.373	1.98	12.6
1.447	2.02	12.1
1.52	2.05	12.1
1.595	2.08	12.3
1.669	2.12	12.6
1.742	2.15	11.7
1.817	2.19	11.9
1.891	2.22	11.5
1.968	2.25	12.1
2.044	2.29	12
2.117	2.32	12.7
2.191	2.36	11.9
2.264	2.39	12.1
2.339	2.42	12
2.389	2.45	12
2.413	2.46	12.3
2.563	2.52	12.6
2.639	2.56	13.1
2.714	2.59	13.1
2.79	2.63	12.8
2.865	2.66	13.2
2.94	2.7	12.9
3.015	2.73	12.6
3.09	2.76	12.9
3.166	2.8	12.6
3.241	2.83	12.8
3.316	2.87	12.5
3.392	2.9	12.1
3.466	2.94	12.5
3.542	2.97	11.8
3.62	3.01	12
3.695	3.04	12
3.772	3.07	12
3.849	3.11	11.3
3.859	3.11	11.1
4.057	3.25	11.1
4.13	3.34	11.1
4.206	3.42	11.3
4.28	3.51	11.1
4.357	3.59	11.6
4.432	3.68	11.6
4.507	3.76	11.5
4.582	3.85	11.4
4.657	3.94	11.7
4.732	4.02	11.7
4.808	4.11	11.6
4.883	4.19	11.7
4.958	4.28	11.8
5.033	4.36	11.6
5.107	4.45	11.6
5.182	4.53	11.6
5.258	4.62	11.2
5.334	4.7	11.5
5.411	4.79	11.2
5.561	4.96	12.2
5.635	5.05	11.6
5.71	5.13	12.2
5.785	5.22	12.6
5.86	5.3	11.1
