/* DESCRIPTION:
Reference:	Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
Data from:	https://doi.org/10.1594/PANGAEA.737159. Accessed 11 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]
12	86	1.2	-1.02
12.02	86.29	0.95	-1.2
12.04	86.59	1.14	-1.08
12.06	86.88	1.13	-1.03
12.08	87.17	1.14	-1.13
12.1	87.47	0.91	-1.42
12.12	87.76	1.29	-0.85
12.14	88.05	1.03	-1.01
12.16	88.35	1.05	-1.05
12.18	88.64	1.38	-0.6
12.2	88.93	1.14	-0.97
12.22	89.23	1.29	-1.02
12.24	89.52	1.31	-0.8
12.26	89.81	1.15	-1.1
12.28	90.11	1.23	-0.89
12.3	90.4	1.15	-1.13
12.32	90.69	1.17	-1.03
12.34	90.99	1.27	-0.8
12.36	91.28	1.18	-1.05
12.38	91.57	1.42	-0.45
12.4	91.87	1.06	-1.05
12.4	91.87	0.97	-0.95
12.42	92.16	1.08	-0.92
12.44	92.45	1.13	-0.89
12.46	92.75	0.45	-1.18
12.48	93.04	1.04	-1.22
12.5	93.33	0.72	-1.09
12.52	93.63	1.12	-0.99
12.54	93.92	1.05	-1.01
12.56	94.21	0.78	-1.29
12.58	94.51	1.09	-0.94
12.6	94.8	1.12	-0.92
12.62	95.09	0.88	-1.1
12.64	95.39	1.22	-0.95
12.66	95.68	0.95	-1.06
12.68	95.97	0.76	-1.26
12.7	96.27	1.02	-1.01
12.72	96.56	1.01	-0.89
12.74	96.85	1.02	-0.9
12.76	97.15	0.85	-1.16
12.78	97.44	0.96	-1.11
12.8	97.73	0.75	-1.39
12.82	98.03	0.71	-1.47
12.84	98.32	0.73	-1.45
12.86	98.61	0.53	-1.58
12.88	98.91	0.67	-1.55
12.9	99.2	0.72	-1.35
12.92	99.49	0.89	-1.09
12.94	99.79	0.84	-1.26
12.96	100.08	0.51	-1.71
12.98	100.37	1.03	-1.07
13	100.67	1.22	-1.08
13.1	102.13	1.42	-0.9
13.12	102.43	1.33	-0.8
13.14	102.72	1.33	-0.68
13.16	103.01	1.45	-0.46
13.18	103.31	1.43	-0.53
13.2	103.6	1.02	-0.87
13.22	103.89	1.14	-0.78
13.24	104.19	0.55	-1.23
13.26	104.48	0.68	-1.32
13.3	105.07	1.25	-1.03
13.4	106.53	1.39	-0.7
13.42	106.83	1.27	-0.79
13.44	107.12	1.37	-0.67
13.48	107.71	1.36	-0.68
13.5	108	0.99	-0.97
13.52	108.29	1.54	-0.5
13.54	108.59	1.51	-0.38
13.56	108.88	0.78	-1.04
13.58	109.17	1.31	-0.61
13.6	109.47	1.16	-0.94
13.62	109.76	0.96	-0.66
13.64	110.05	0.82	-0.89
13.66	110.35	1.05	-0.88
13.68	110.64	0.87	-1.28
13.7	110.93	0.87	-1.18
13.72	111.23	0.94	-1.08
13.74	111.52	0.67	-1.28
13.76	111.81	0.8	-1.38
13.78	112.11	0.86	-1.24
13.8	112.4	1.51	-1.21
13.82	112.69	0.54	-1.12
13.84	112.99	1.02	-0.74
13.86	113.28	0.84	-0.91
13.88	113.57	0.56	-1.5
13.9	113.87	0.77	-1.05
13.92	114.16	0.67	-1.01
13.94	114.45	0.73	-1.02
13.96	114.75	0.44	-1.33
13.98	115.04	0.67	-1.01
14	115.33	0.61	-0.9
14.02	115.63	0.98	-0.84
14.04	115.92	0.86	-0.72
14.06	116.21	0.79	-0.8
14.08	116.51	0.8	-0.79
14.1	116.8	1.09	-0.3
14.12	117.41	0.58	-0.8
14.14	118.02	0.62	-0.7
14.16	118.64	0.72	-0.83
14.18	119.25	0.59	-0.95
14.2	119.86	0.74	-0.79
14.22	120.47	0.67	-0.61
14.24	121.08	0.84	-0.48
14.26	121.7	0.99	-0.09
14.28	122.31	0.81	-0.54
14.3	122.92	0.6	-0.87
14.32	123.53	0.92	-0.26
14.34	124.14	0.8	-0.5
14.36	124.76	1.06	-0.27
14.38	125.37	1.06	-0.17
14.4	125.98	0.42	-1.1
14.42	126.59	0.68	-0.76
14.44	127.2	0.91	-0.5
14.46	127.82	0.68	-0.94
14.48	128.43	0.61	-0.92
14.5	129.04	0.79	-0.85
14.52	129.65	0.61	-0.85
14.54	130.27	1.07	-0.55
14.56	130.88	0.34	-1.39
14.58	131.5	0.47	-1.34
14.6	132.11	0.98	-0.86
14.62	132.72	0.85	-1.02
14.64	133.33	0.98	-0.99
14.66	133.94	1.7	-0.83
14.68	134.56	2.34	-0.54
14.7	135.17	1.75	-0.84
14.72	135.78	2.1	-0.64
14.74	136.39	1.97	-0.66
14.76	137.01	2.09	-0.49
14.78	137.62	2.46	-0.5
14.8	138.23	2.25	-0.63
14.82	138.84	2.39	-0.67
14.84	139.45	2.3	-0.71
14.86	140.07	2.36	-0.62
14.88	140.68	2.49	-0.96
14.9	141.3	2.5	-0.7
14.92	141.91	2.65	-0.78
14.94	142.52	2.47	-0.82
14.96	143.13	2.36	-0.92
14.98	143.74	2.47	-0.81
15	144.35	2.62	-0.95
15.02	144.97	2.67	-0.92
15.04	145.58	2.62	-0.76
15.06	146.19	2.91	-0.65
15.08	146.8	2.68	-0.77
15.1	147.42	2.64	-0.81
15.12	148.03	2.84	-0.94
15.14	148.64	2.84	-0.76
15.16	149.25	2.93	-0.81
15.18	149.87	2.99	-0.69
15.2	150.48	2.83	-0.89
15.22	151.09	2.78	-0.96
15.24	151.7	2.77	-0.78
15.26	152.31	2.58	-0.87
15.28	152.93	2.36	-0.89
15.3	153.54	2.22	-1.08
15.32	154.15	2.45	-1.03
15.34	154.76	2.51	-1.01
15.36	155.38	2.41	-0.95
15.38	155.99	2.6	-0.97
15.4	156.6	2.51	-0.71
15.42	157.21	2.49	-0.69
15.44	157.83	2.13	-0.95
15.46	158.44	2.33	-0.67
15.48	159.05	2.43	-0.75
15.5	159.66	2.62	-0.6
15.52	160.28	2.6	-0.55
15.54	160.89	2.9	-0.35
15.56	161.5	2.65	-0.6
15.58	162.11	2.46	-0.58
15.6	162.73	2.31	-0.77
15.6	162.73	2.08	-1.04
15.62	163.34	2.38	-0.65
15.64	163.95	2.36	-0.48
15.66	164.56	2.26	-0.82
15.68	165.18	2.15	-0.61
15.7	165.79	2.01	-0.68
15.72	166.4	2.15	-0.52
15.74	167.01	2	-0.63
15.76	167.63	1.65	-0.86
15.78	168.24	1.92	-0.58
15.8	168.85	1.62	-0.58
15.82	169.46	1.52	-0.7
15.84	170.07	1.6	-0.73
15.86	170.69	1.55	-0.6
15.88	171.3	1.62	-0.49
15.9	171.91	2.01	-0.54
15.92	172.5	1.36	-0.52
15.94	173.09	2.37	-0.53
15.96	173.68	2.21	-0.72
15.98	174.27	2.28	-0.89
16	174.86	2.39	-0.78
16.02	175.45	2.12	-1.02
16.04	176.03	2.5	-0.77
16.06	176.62	2.25	-0.97
16.08	177.21	2.24	-0.96
16.1	177.8	2.4	-0.77
16.12	178.29	2.35	-0.92
16.14	178.78	2.35	-0.75
16.16	179.27	2.4	-0.84
16.18	179.76	2.44	-0.92
16.2	180.25	2.47	-0.83
16.22	180.74	1.98	-1.07
16.24	181.24	2.07	-0.76
16.26	181.73	2.32	-0.74
16.28	182.22	1.97	-0.93
16.3	182.71	1.92	-0.92
16.32	183.2	1.77	-1
16.34	183.69	1.96	-0.57
16.36	184.18	1.71	-0.73
16.38	184.67	1.77	-0.38
16.4	185.16	1.52	-0.67
16.42	185.65	1.52	-0.55
16.44	186.14	1.63	-0.6
16.46	186.63	1.27	-0.35
16.48	187.12	1.15	-0.73
16.5	187.61	1.39	-0.45
16.52	188.1	1.13	-0.65
16.54	188.59	1.8	-0.36
16.56	189.08	1.36	-0.69
16.58	189.57	1.32	-0.56
16.6	190.06	1.68	-0.36
16.62	190.55	0.95	-0.61
16.64	191.04	1.6	-0.44
16.66	191.54	1.03	-0.61
16.68	192.03	0.71	-0.75
16.7	192.48	1.17	-0.53
16.72	192.93	0.73	-0.84
16.74	193.38	1.71	-0.46
16.76	193.83	1.42	-0.54
16.78	194.28	1.19	-0.52
16.8	194.73	1.4	-0.61
16.84	195.63	0.8	-0.86
16.88	196.53	1.22	-0.65
16.9	196.98	1.02	-0.76
16.92	197.44	0.85	-0.78
16.96	198.34	0.86	-0.71
16.98	198.79	0.93	-0.92
17	199.24	0.99	-0.77
17.02	199.69	0.97	-0.94
17.04	200.14	0.64	-1.06
17.06	200.59	0.67	-0.81
17.08	201.04	0.68	-1.09
17.1	201.49	0.84	-1
17.12	201.73	0.85	-1.05
17.14	201.98	0.92	-0.96
17.16	202.22	1.63	-0.83
17.18	202.46	1.42	-0.63
17.2	202.7	1.68	-0.52
17.22	202.94	1.62	-0.58
17.24	203.19	1.36	-0.79
17.26	203.43	1.13	-0.87
17.28	203.67	1.39	-0.8
17.3	203.91	1.52	-0.6
17.32	204.15	1.15	-0.85
17.34	204.39	1.2	-0.44
17.36	204.64	1.12	-0.72
17.38	204.88	1.55	-0.31
17.4	205.12	1.2	-0.66
17.42	205.36	1.11	-0.68
17.44	205.6	1.24	-0.63
17.46	205.84	1.13	-0.56
17.48	206.09	1.05	-0.59
