# DESCRIPTION:
# Reference: Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6417
# Comment: Empty data points were removed.

Depth [cm],Age [ka],Magnetic Susceptibility,d18O (G.ruber w.),d18O (U.peregr.),SST [C] from Mg/Ca,d18O (G. crassaf.),Coarse carb. [%]
5,1.239,NaN,-1.27,3.041,25.75,NaN,23.005
6,1.277,4,NaN,NaN,NaN,NaN,NaN
8,1.352,5,NaN,NaN,NaN,NaN,NaN
10,1.427,4,-1.228,2.967,24.48,NaN,22.268
12,1.502,4,NaN,NaN,NaN,NaN,NaN
14,1.577,5,NaN,NaN,NaN,NaN,NaN
15,1.615,NaN,-0.778,3.024,25.21,NaN,26.442
16,1.653,5,NaN,NaN,NaN,NaN,NaN
18,1.728,6,NaN,NaN,NaN,NaN,NaN
20,1.803,5,-1.353,2.972,26.1,NaN,21.095
22,1.878,6,NaN,NaN,NaN,NaN,NaN
24,1.953,4,NaN,NaN,NaN,NaN,NaN
25,1.991,NaN,-1.105,3.008,25.46,NaN,41.634
26,2.022,7,NaN,NaN,NaN,NaN,NaN
28,2.083,6,NaN,NaN,NaN,NaN,NaN
30,2.144,6,-1.143,3.137,24.32,NaN,16.881
32,2.205,4,NaN,NaN,NaN,NaN,NaN
34,2.267,5,NaN,NaN,NaN,NaN,NaN
35,2.297,NaN,-0.977,3.039,25.39,NaN,22.176
36,2.328,6,NaN,NaN,NaN,NaN,NaN
38,2.389,4,NaN,NaN,NaN,NaN,NaN
40,2.45,4,-1.206,NaN,25.64,NaN,23.84
42,2.512,5,NaN,NaN,NaN,NaN,NaN
44,2.573,6,NaN,NaN,NaN,NaN,NaN
45,2.604,NaN,-0.846,2.954,26.39,NaN,31.048
46,2.634,5,NaN,NaN,NaN,NaN,NaN
48,2.695,5,NaN,NaN,NaN,NaN,NaN
50,2.757,5,-0.924,2.911,26.24,NaN,26.679
52,2.818,5,NaN,NaN,NaN,NaN,NaN
54,2.879,4,NaN,NaN,NaN,NaN,NaN
55,2.91,NaN,-0.912,3.02,25.77,NaN,24.921
56,2.94,4,NaN,NaN,NaN,NaN,NaN
58,3.002,4,NaN,NaN,NaN,NaN,NaN
60,3.063,5,-1.254,2.85,25.63,NaN,23.173
62,3.186,5,NaN,NaN,NaN,NaN,NaN
64,3.308,5,NaN,NaN,NaN,NaN,NaN
65,3.37,NaN,-1.178,2.952,27.3,NaN,24.863
66,3.431,5,NaN,NaN,NaN,NaN,NaN
68,3.554,5,NaN,NaN,NaN,NaN,NaN
70,3.677,3,-1.238,2.952,27.18,NaN,33.164
72,3.799,4,NaN,NaN,NaN,NaN,NaN
74,3.922,4,NaN,NaN,NaN,NaN,NaN
75,3.983,NaN,-1.59,2.996,26.56,NaN,31.504
76,4.045,6,NaN,NaN,NaN,NaN,NaN
78,4.167,5,NaN,NaN,NaN,NaN,NaN
80,4.29,4,-1.062,2.877,25.72,NaN,25.358
82,4.413,5,NaN,NaN,NaN,NaN,NaN
84,4.536,6,NaN,NaN,NaN,NaN,NaN
85,4.597,NaN,-0.884,2.917,26.51,NaN,23.444
86,4.658,5,NaN,NaN,NaN,NaN,NaN
88,4.781,4,NaN,NaN,NaN,NaN,NaN
90,4.904,5,-1.476,2.834,26.87,NaN,22.672
92,5.027,5,NaN,NaN,NaN,NaN,NaN
94,5.149,6,NaN,NaN,NaN,NaN,NaN
95,5.211,NaN,-1.262,2.857,26.42,NaN,24.754
96,5.272,4,NaN,NaN,NaN,NaN,NaN
98,5.395,6,NaN,NaN,NaN,NaN,NaN
100,5.517,5,-0.771,2.967,26.65,NaN,27.293
102,5.64,5,NaN,NaN,NaN,NaN,NaN
104,5.763,4,NaN,NaN,NaN,NaN,NaN
105,5.824,NaN,-0.898,2.898,25.69,NaN,24.214
106,5.886,3,NaN,NaN,NaN,NaN,NaN
108,6.008,4,NaN,NaN,NaN,NaN,NaN
110,6.131,5,-0.848,2.821,27.28,NaN,35.253
112,6.198,5,NaN,NaN,NaN,NaN,NaN
114,6.265,4,NaN,NaN,NaN,NaN,NaN
115,6.298,NaN,-1.062,2.922,26.89,NaN,20.906
116,6.332,6,NaN,NaN,NaN,NaN,NaN
118,6.399,5,NaN,NaN,NaN,NaN,NaN
120,6.465,0,-0.833,2.996,26.25,NaN,22.573
122,6.532,5,NaN,NaN,NaN,NaN,NaN
124,6.599,5,NaN,NaN,NaN,NaN,NaN
125,6.633,NaN,-0.949,2.967,26.84,NaN,26.36
126,6.666,5,NaN,NaN,NaN,NaN,NaN
128,6.733,4,NaN,NaN,NaN,NaN,NaN
130,6.8,0,-1.07,2.91,26.97,NaN,24.457
132,6.867,0,NaN,NaN,NaN,NaN,NaN
134,6.934,0,NaN,NaN,NaN,NaN,NaN
135,6.967,NaN,-0.984,2.894,26.87,NaN,28.87
136,7,0,NaN,NaN,NaN,NaN,NaN
138,7.067,-1,NaN,NaN,NaN,NaN,NaN
140,7.134,-2,-0.965,3.155,27.01,1.225,28.519
142,7.2008,0,NaN,NaN,NaN,1.452,NaN
143,7.2342,NaN,NaN,NaN,NaN,1.466,NaN
144,7.2676,0,NaN,NaN,NaN,1.47,NaN
145,7.301,NaN,-0.901,2.953,27.24,1.381,30.41
146,7.335,0,NaN,NaN,NaN,NaN,NaN
148,7.402,0,NaN,NaN,NaN,NaN,NaN
150,7.469,0,NaN,NaN,NaN,NaN,NaN
152,7.535,0,NaN,NaN,NaN,NaN,NaN
153,7.569,NaN,NaN,NaN,NaN,1.587,NaN
154,7.602,1,NaN,NaN,NaN,NaN,NaN
155,7.636,NaN,-0.912,2.986,27.1,1.299,26.465
156,7.669,1,NaN,NaN,NaN,1.295,NaN
157,7.7028,NaN,NaN,NaN,NaN,1.395,NaN
158,7.736,0,NaN,NaN,NaN,1.749,NaN
159,7.7696,NaN,NaN,NaN,NaN,1.31,NaN
160,7.803,0,-1.012,2.919,26.54,1.2,31.323
161,7.8688,NaN,NaN,NaN,NaN,1.187,NaN
162,7.9346,0,NaN,NaN,NaN,1.698,NaN
163,8.0004,NaN,NaN,NaN,NaN,1.319,NaN
164,8.066,1,NaN,NaN,NaN,1.552,NaN
165,8.132,NaN,-1.105,2.956,27.25,1.051,NaN
166,8.1978,-1,NaN,NaN,NaN,1.286,NaN
