/* DESCRIPTION:
Reference:	Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/6417
Comment:	Empty data points were removed.
*/
Depth [cm]	Age [ka]	d18O (G.ruber w.)	d18O (G. crassaf.)	d18O (U.peregr.)	SST [C] from Mg/Ca	Coarse carb. [%]
5	1239	-1.27		3.041	25.75	23.005
10	1427	-1.228		2.967	24.48	22.268
15	1615	-0.778		3.024	25.21	26.442
20	1803	-1.353		2.972	26.1	21.095
25	1991	-1.105		3.008	25.46	41.634
30	2144	-1.143		3.137	24.32	16.881
35	2297	-0.977		3.039	25.39	22.176
40	2450	-1.206			25.64	23.84
45	2604	-0.846		2.954	26.39	31.048
50	2757	-0.924		2.911	26.24	26.679
55	2910	-0.912		3.02	25.77	24.921
60	3063	-1.254		2.85	25.63	23.173
65	3370	-1.178		2.952	27.3	24.863
70	3677	-1.238		2.952	27.18	33.164
75	3983	-1.59		2.996	26.56	31.504
80	4290	-1.062		2.877	25.72	25.358
85	4597	-0.884		2.917	26.51	23.444
90	4904	-1.476		2.834	26.87	22.672
95	5211	-1.262		2.857	26.42	24.754
100	5517	-0.771		2.967	26.65	27.293
105	5824	-0.898		2.898	25.69	24.214
110	6131	-0.848		2.821	27.28	35.253
115	6298	-1.062		2.922	26.89	20.906
120	6465	-0.833		2.996	26.25	22.573
125	6633	-0.949		2.967	26.84	26.36
130	6800	-1.07		2.91	26.97	24.457
135	6967	-0.984		2.894	26.87	28.87
140	7134	-0.965	1.225	3.155	27.01	28.519
142	7200.8		1.452			
143	7234.2		1.466			
144	7267.6		1.47			
145	7301	-0.901	1.381	2.953	27.24	30.41
153	7569		1.587			
155	7636	-0.912	1.299	2.986	27.1	26.465
156	7669		1.295			
157	7702.8		1.395			
158	7736		1.749			
159	7769.6		1.31			
160	7803	-1.012	1.2	2.919	26.54	31.323
161	7868.8		1.187			
162	7934.6		1.698			
163	8000.4		1.319			
164	8066		1.552			
165	8132	-1.105	1.051	2.956	27.25	
166	8197.8		1.286			
167	8263.6		1.447			
168	8329		1.319			
169	8395.2		1.166			
170	8461	-0.911	1.63	3.005	27.15	29.579
171	8526.6		1.474			
172	8592		1.184			
173	8657.8		1.399			
174	8723.4		1.495			
175	8789	-1.326	0.951	2.92	27.78	26.126
176	8854.8		1.648			
177	8920.6		1.211			
178	8986.4		1.36			
179	9052.2		1.547			
180	9118	-0.72	1.149	3.06	26.46	30.253
181	9183.8		1.357			
182	9249.6		1.193			
183	9315.4		1.366			
185	9447	-1.112	1.221	2.988	27.04	38.353
187	9583		1.283			
188	9651		1.617			
189	9719		1.631			
190	9787	-0.884	1.311	3.552	26.36	35.204
195	10126	-0.804		3.198	27.01	35.78
200	10466	-0.984	1.283	3.282	26.4	23.609
205	10806	-0.539	2.147	3.58	25.99	20.1
210	11146	-0.859	1.745	3.806	26.06	21.884
215	11485	-0.519	1.881	3.698	25.78	19.434
220	11825	-1.182	1.909	3.64	25.69	
225	12165	-0.833	1.726	3.761	25.39	17.758
230	12505	-0.749	1.829	3.807	26.02	21.721
235	12844	-0.43	1.554	3.513	25.28	16.423
240	13184	-0.636	1.946	3.385	25.99	25.919
245	13524	-1.162	1.948	3.803	24.55	17.062
246	13592		2.509			
247	13660		1.995			
248	13728		1.958			
250	13864	0.043	1.964	3.618	25.07	11.09
252	13999.6		2.131			
253	14067.4		2.032			
255	14203	-0.443	1.876	3.276	25.38	13.908
257	14339		2.285			
258	14407		2.655			
260	14543	-0.012	2.318	3.908	25	16.196
262	14679		2.392			
263	14747		2.377			
265	14883	-0.413	2.161	3.864	24.76	10.783
267	15019		2.729			
268	15087		2.423			
270	15223	0.23	2.316	3.914	24.02	10.87
272	15358.6		2.75			
273	15426.4		2.474			
275	15562	0.191	2.307	4.033	24.61	12.654
277	15698		2.612			
278	15766		1.96			
280	15902	-0.066	2.712	4.326	24.04	10.431
282	16038		2.708			
283	16106		2.602			
285	16242	-0.513	2.869	4.44	24.2	10.137
287	16378		2.449			
288	16446		2.456			
290	16582	0.522	2.416	4.407	24.68	6.706
292	16717		2.833			
293	16785.4		2.869			
295	16921	0.292	2.714	4.209	24.08	11.742
302	17397	0.242	2.478	4.297	23.22	11.931
305	17601	0.229	2.793		23.89	7.732
310	17941	0.595	2.631		24.26	10.688
315	18280	0.091	2.493	4.292	23.74	11.405
320	18620	0.256	2.612	4.386	23.47	6.962
325	18960	0.31	2.444	4.333	22.41	7.956
330	19300	0.044	2.737	4.3	23.06	9.329
335	19639	-0.373	2.528	4.448	23.83	9.596
340	19979	0.244	2.796	4.221	23.78	11.649
345	20130	0.103	2.915	4.446	22.12	5.568
350	20280	-0.084	2.977	4.387	21.75	8.649
355	20431		2.826	4.425	21.68	6.606
360	20582	0.332	2.629	4.384	21.6	4.259
365	20732	0.021	2.544	4.342	22.41	6.753
370	20883	-0.976	2.299	3.166		1.839
375	21034	0.678	3.414	4.412	21.04	0.754
380	21184	-0.086	2.811	4.156	21.05	7.994
385	21335	0.043	1.935	4.434	22.17	12.641
390	21486	0.783		4.395	21.65	0.198
395	21636	0.061	2.978	4.192	20.94	8.512
400	21787	0.601	2.802	4.795	24.13	2.152
405	21938	0.559	3.749		23.31	1.101
410	22088	-0.347	2.443	3.947	23.96	4.597
415	22239	0.342	2.198	4.581	25.08	1.887
420	22390	0.131		4.481	24.55	0.389
425	22540	-0.334		4.687	22.11	2.108
430	22691	-0.24		4.361	22.56	5.501
435	22842	-0.019		4.25	22.42	5.307
440	22992	0.368		4.269	22.55	8.545
445	23143	-0.076		4.235	23.97	8.218
448	23234	0.006		4.261	22.28	10.332
452	23354	0.65		4.671	24.44	0.916
455	23444	-0.081		4.244	23.89	
460	23595	1.007		4.036	23.45	0.904
465	23746	0.27		3.905	24.45	
470	23897	0.903		3.939	22.52	4.018
475	24047	0.5		4.014	23.03	3.222
480	24198	0.745		3.93	22.74	0.955
485	24349	0.033		4.185	23.7	1.093
490	24499	-0.166		3.873	23.72	1.625
495	24650	0.099		4.071	22.81	1.151
500	24801	0.412		4.29	24.03	3.63
505	24951	0.753		4.278	22.78	4.704
510	25102	0.283		4.24	23.55	2.445
515	25253			3.999	23.23	0.368
520	25403	-0.115		4.472	22.47	1.407
525	25554	0.383		4.215	22.86	0.169
530	25705	0.47		4.047	24.61	5.914
535	25855	0.441		4.303	22.69	3.283
540	26006	-0.028		4.317	23.19	1.033
545	26157			4.21	25.08	0.338
550	26307	0.364		4.082	23.78	7.293
555	26458	-0.539		3.877	23.9	2.953
560	26609	0.685		4.043	23.57	1.717
565	26759	0.593		3.991	23.02	
570	26910	0.708		4.168	21.83	2.111
575	27061	0.75		4.566	23.22	0.252
580	27211	0.893		4.123	22.45	2.253
585	27362	0.596		4.182	22.64	3.034
590	27498	0.765		4.385	21.84	0.203
595	27635	0.583		4.154	22.27	8.158
598	27717	0.427		4.297	22.73	2.644
603	27853	0.366		4.323	23.62	2.19
605	27908	0.385		4.214	22.6	1.917
610	28044	0.24			21.87	1.717
615	28181	0.143		4.435	23.17	
620	28317	0.945		4.24	21.73	2.492
625	28454	0.319		4.124	21.73	3.468
630	28590			4.374	22.21	0.795
635	28727			4.402		0.473
640	28863	0.32		4.214	22.94	0.768
645	29000	0.087		4.194	21.56	2.996
650	29136	0.344		4.342	22.51	2.58
655	29273	0.072		4.266	23.05	4.357
660	29409	-0.417		4.126	23.42	3.841
665	29546	-0.079		4.205	21.1	
670	29682	0.385		4.174	21.83	2.672
675	29819	0.432		4.23	21.68	0.736
680	29955	0		4.213	22.12	5.997
685	30092	0.363		4.128	22.4	6.003
690	30228	0.261		4.011	21.67	
695	30365	0.225		4.371	21.95	3.324
700	30501	0.023		4.459	24.09	8.612
705	30638	-0.17		4.384	23.63	4.979
710	30774	0.173		4.3	23.68	5.248
715	30911	0.162		4.109	22.5	3.114
720	31047	0.136		3.799	23.25	3.688
725	31184	0.196		3.944	23.29	2.495
730	31320	0.935		4.007	23.05	3.608
735	31457	0.317		4.086	23.35	3.33
740	31593	0.159		4.063	22.7	2.167
745	31730	0.64		4.332	22.49	2.087
748	31812	0.679		4.512	22.34	3.697
752	31921	-0.108		4.415	22.62	3.497
755	32003	0.051		4.33	23.69	2.921
760	32139	0.118		4.118	23.59	
765	32276	0.193		3.951	24.55	1.951
770	32412	0.129		3.888	23.24	1.474
775	32549	-0.271		3.741	25.56	0.774
780	32685	0.033			23.6	1.004
785	32822	-0.028		3.778	23.72	0.965
790	32958	-0.001		3.805	24.54	1.543
795	33095			4.128		0.186
800	33231	0.571		3.862	23.45	0.98
805	33368	0.489		3.727	24.04	0.364
810	33504	0.478		3.758	23.46	4.4
815	33641	0.575		3.764	24.52	
820	33777	-0.295		3.895	24.65	1.409
825	33914	0.688		3.637	24.76	2.96
830	34050	0.438		3.844	24.54	2.506
835	34187	0.429		3.677	22.68	
840	34323	0.103		4	24.34	5.035
845	34460	0.095		4.049	23.95	13.144
850	34596	-0.59		4.117	24.6	11.304
855	34733	-0.634		4.003	24.47	10.682
860	34869	-0.289		3.685	24.52	16.925
865	35006	-0.181		4.136	24.26	15.947
870	35142	-0.158		4.17	24.44	13.308
875	35279	-0.102		4.21	24.93	18.568
880	35415	-0.19		3.936	25.49	24.969
885	35777	-0.414		4.132	24.47	16.874
890	36139	0.128		4.043	25.56	16.999
895	36501	-0.086		3.942	24.77	
898	36718	-0.936		3.893	24.36	12.685
902	37008	0.178		3.58	25.43	13.078
905	37225	-0.379		4.038	24.15	14.263
910	37587	0.009		3.69	26.67	12.593
915	37949	-0.035		3.701	24.75	11.195
920	38311	0.006			24.15	10.513
925	38673	0.21		4.011	25.73	16.488
930	39035	0.144		3.899	24.69	12.922
935	39397	-0.588		4.044	24.85	22.198
940	39759	-0.149		9.309	23.59	18.619
945	40121	-0.229		4.142	23.8	16.948
950	40483	-0.157		3.903	24.73	14.235
955	40845	-0.865		4.01	24.44	
960	41208	0.032		4.018	24.09	20.59
965	41570	-0.027		4.125	25.04	14.076
970	41932	-0.119		4.076	23.1	21.556
975	42294	-0.593		4.033	23.84	14.024
980	42656	-0.041		3.385	22.55	9.168
985	43018	-0.153		3.45	25.31	6.873
990	43380	-0.04		3.868	22.65	5.711
