# DESCRIPTION:
# Reference: Weldeab, S., D.W. Lea, R.R. Schneider, and N. Andersen. 2007. 155,000 Years of West African Monsoon and Ocean Thermal Evolution. Science, Vol. 316, pp. 1303-1307, doi: 10.1126/science.1140461.
# Data from: https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/weldeab2007/
# Comment: Several variables from the original dataset are not included here.

Depth [cm],Age [kyr BP],G. ruber d18O [‰ PDB],SST [C] from Mg/Ca
14.5,0.36,-2.37,25.26
16.5,0.4,-2.48,25.56
18.5,0.43,-2.15,26.02
20.5,0.47,-2.29,26.03
22.5,0.51,-2.47,24.79
24.5,0.54,-2.19,25.08
26.5,0.58,-2.36,25.31
28.5,0.61,-2.3,25.63
30.5,0.65,-2.28,25.95
32.5,0.68,-2.15,25.36
34.5,0.72,-2.32,25.23
36.5,0.75,-2.22,25.63
38.5,0.79,-2.28,24.57
40.5,0.82,-2.34,26.07
42.5,0.86,-2.35,25.76
44.5,0.89,-2.23,25.47
46.5,0.93,-2.26,26.06
48.5,0.96,-2.24,25.57
50.5,1,-2.18,25.49
52.5,1.03,-2.34,25.8
54.5,1.07,-2.34,25.6
56.5,1.1,-2.31,25.31
58.5,1.13,-2.28,26.04
60.5,1.17,-2.28,25.31
62.5,1.2,-2.24,25.89
64.5,1.24,-2.22,25.85
66.5,1.27,-2.4,26.22
68.5,1.31,-2.33,25.3
70.5,1.34,-2.12,25.54
72.5,1.37,-2.23,25.85
74.5,1.41,-2.03,26.33
76.5,1.44,-2.18,26.62
78.5,1.47,-2.19,26.19
80.5,1.51,-2.29,26.43
82.5,1.54,-2.33,27.2
84.5,1.58,-2.3,25.27
86.5,1.61,-2.42,26.82
88.5,1.64,-2.24,26.62
90.5,1.68,-2.38,26.41
92.5,1.71,-2.3,
94.5,1.74,-2.31,26.02
96.5,1.78,-2.26,25.91
98.5,1.81,-1.95,26.15
100.5,1.84,-2.09,26.16
102.5,1.88,-2.21,26.71
104.5,1.91,-2.28,26.24
106.5,1.94,-2.2,25.79
108.5,1.98,-2.35,26.03
110.5,2.01,-2.26,26.34
112.5,2.04,-2.23,26.9
114.5,2.08,-2.37,27.03
116.5,2.11,-2.34,26.67
118.5,2.14,-2.14,26.58
120.5,2.18,-2.25,27.52
122.5,2.21,-2.39,26.71
124.5,2.24,-2.38,26.45
126.5,2.28,-2.3,26.78
128.5,2.31,-2.2,26.2
130.5,2.34,-2.19,26.99
132.5,2.38,-2.68,25.12
134.5,2.41,-2.41,25.67
136.5,2.44,-2.2,26.29
138.5,2.47,-2.3,26.13
140.5,2.51,-2.13,25.57
142.5,2.54,-2.13,26.36
144.5,2.57,-2.19,26.3
146.5,2.61,-2.5,26.07
148.5,2.64,-2.39,27.7
150.5,2.67,-2.3,27.63
152.5,2.71,-2.22,25.38
154.5,2.74,-2.37,25.86
156.5,2.77,-2.23,24.77
158.5,2.8,-2.2,26.49
160.5,2.84,-2.46,26.41
162.5,2.87,-2.34,26.43
164.5,2.9,-2.35,27.82
166.5,2.94,-2.36,26.62
168.5,2.97,-2.75,26.46
170.5,3,-2.37,25.67
172.5,3.04,-2.39,26.45
174.5,3.07,-2.23,26.42
176.5,3.1,-2.28,25.77
178.5,3.14,-2.62,25.99
180.5,3.17,-2.22,26.24
182.5,3.2,-2.13,26.58
184.5,3.24,,26.47
186.5,3.27,-2.2,25.94
188.5,3.3,-2.39,26.58
190.5,3.34,-2.39,26.35
192.5,3.37,-2.49,25.85
194.5,3.4,,26.18
196.5,3.44,-2.45,26.01
198.5,3.47,-2.64,26.13
200.5,3.5,-2.46,26.54
202.5,3.54,-2.46,26.83
204.5,3.57,-2.57,27.33
206.5,3.6,-2.7,27.47
208.5,3.64,-2.41,26.8
210.5,3.67,-2.45,26.38
212.5,3.7,-2.36,26.96
214.5,3.74,-2.53,25.68
216.5,3.77,-2.37,25.79
218.5,3.81,-2.62,26.76
220.5,3.84,-2.51,26.81
222.3,3.87,-2.58,24.96
224.5,3.91,,25.95
226.5,3.94,,24.55
228.5,3.98,-2.58,27.03
230.5,4.01,-2.4,26.42
232.5,4.05,-2.53,26.18
234.5,4.08,-2.53,26.31
236.5,4.11,-2.37,27.18
238.5,4.15,-2.46,27.38
240.5,4.18,-2.53,27.4
242.5,4.22,-2.48,26.5
244.5,4.25,-2.65,26.51
246.5,4.29,-2.56,26.96
248.5,4.32,-3.08,26.28
250.5,4.36,-2.58,27.99
252.5,4.39,-2.62,25.28
254.5,4.43,-2.64,26.9
256.5,4.46,-2.48,26.48
258.5,4.5,-2.68,26.88
260.5,4.53,-2.59,26.85
262.5,4.57,-2.79,27.43
264.5,4.6,-2.58,26.07
266.5,4.64,-2.65,26.36
268.5,4.67,-2.73,26.64
270.5,4.71,-2.66,26.08
272.5,4.74,-2.82,26.06
274.5,4.78,-2.77,26.11
276.5,4.82,-2.73,26.82
278.5,4.85,-2.57,26.62
280.5,4.89,-2.76,26.22
282.5,4.92,-2.72,25.99
284.5,4.96,-2.81,27.58
286.5,5,-2.61,26.91
288.5,5.03,-2.36,25.69
290.5,5.07,-2.42,27.91
292.5,5.11,-2.78,27.65
294.5,5.14,-2.64,27.18
296.5,5.18,-2.66,27.01
298.5,5.22,-2.78,27.69
300.5,5.25,-2.87,
302.5,5.29,-2.58,27.15
304.5,5.33,-2.78,26.91
306.5,5.37,-2.85,26.95
308.5,5.4,-2.8,26.64
310.5,5.44,-2.64,27.08
312.5,5.48,-2.99,26.89
314.5,5.52,-2.91,26.79
316.5,5.55,,26.4
318.5,5.59,,26.92
320.5,5.63,-3.25,26.97
322.5,5.67,-2.96,26.89
