/* DESCRIPTION:
Reference:	Pichevin, L et al. (2007): Evidence of ventilation changes in the Arabian Sea during the late Quaternary: Implication for denitrification and nitrous oxide emission. Global Biogeochemical Cycles, 21, GB4008, https://doi.org/10.1029/2006GB002852
Data from:	https://doi.org/10.1594/PANGAEA.727154
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	Total N [%]	δ15N [‰ air]	TOC [%]
0.035	0.09	0.253	8	1.76
0.055	0.094	0.261	7.31	
0.105	0.106	0.213	6.9	1.45
0.155	0.12	0.232	6.98	
0.205	0.137	0.23	7.52	1.58
0.255	0.157	0.217	7.08	
0.305	0.178	0.182	6.46	1.09
0.355	0.203	0.208	7.25	
0.405	0.229	0.235	7.42	1.61
0.455	0.258	0.225	7.24	
0.505	0.289	0.225	6.99	1.5
0.555	0.322	0.226	7.48	
0.605	0.357	0.221	7.14	1.45
0.655	0.394	0.188	6.56	
0.705	0.434	0.208	7.13	1.42
0.755	0.475	0.21	7.18	
0.805	0.519	0.215	7.32	1.42
0.855	0.565	0.198	6.97	
0.905	0.612	0.217	7.26	1.45
0.955	0.662	0.214	7.27	
1.005	0.714	0.211	7.07	1.39
1.105	0.822	0.182	6.69	1.08
1.155	0.879	0.189	6.35	
1.205	0.938	0.197	6.74	1.3
1.255	0.999	0.187	6.47	
1.305	1.061	0.198	6.74	1.3
1.355	1.126	0.186	6.61	
1.405	1.191	0.205	7.25	1.45
1.455	1.259	0.201	6.72	
1.505	1.328	0.191	6.88	
1.605	1.471	0.198	6.71	1.33
1.655	1.544	0.187	6.86	
1.705	1.62	0.183	6.7	1.21
1.755	1.696	0.184	6.15	
1.805	1.775	0.192	6.67	1.28
1.855	1.854	0.191	6.93	
1.905	1.935	0.193	6.86	1.32
1.955	2.018	0.186	6.55	
2.005	2.102	0.179	6.62	1.15
2.105	2.273	0.218	6.39	1.3
2.155	2.361	0.21	6.23	
2.205	2.45	0.215	6.68	1.37
2.255	2.54	0.2	6.42	
2.305	2.631	0.2	6.25	1.06
2.355	2.724	0.191	6.31	
2.405	2.817	0.203	6.34	1.17
2.455	2.912	0.195	5.98	
2.505	3.008	0.206	6.27	1.2
2.605	3.203	0.202	5.95	1.22
2.655	3.302	0.187	5.66	
2.705	3.402	0.182	6.06	0.98
2.755	3.503	0.195	5.85	
2.805	3.605	0.179	6.07	0.92
2.855	3.708	0.199	6.12	
2.905	3.812	0.195	5.98	1.08
2.955	3.917	0.187	5.82	
3.015	4.044	0.188	5.8	0.84
3.105	4.236	0.197	6.18	0.99
3.155	4.345	0.196	5.95	
3.205	4.454	0.185	5.51	1.01
3.255	4.563	0.188	5.74	
3.305	4.674	0.203	6.06	1.18
3.355	4.785	0.205	5.8	
3.405	4.897	0.182	5.77	0.97
3.455	5.01	0.184	5.82	
3.505	5.123	0.175	5.54	0.89
3.605	5.352	0.176	5.56	0.92
3.655	5.467	0.19	5.85	
3.705	5.583	0.188	5.81	0.99
3.755	5.699	0.178	5.74	
3.805	5.816	0.186	5.96	0.98
3.855	5.933	0.193	5.86	
3.905	6.051	0.195	5.98	1.15
3.955	6.17	0.19	5.64	
4.005	6.289	0.178	5.5	0.93
4.105	6.529	0.181	5.96	1.11
4.155	6.649	0.159	5.77	
4.205	6.77	0.169	5.78	0.97
