/* DESCRIPTION:
Reference:	Rickaby, REM; Elderfield, H (1999): Planktonic foraminiferal Cd/Ca: Paleonutrients or paleotemperature? Paleoceanography, 14(3), 293-303, https://doi.org/10.1029/1999PA900007
Data from:	https://doi.org/10.1594/PANGAEA.856839. Accessed 22 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	SST (1-12) [°C]
0	4.59	7.8
0.02	4.87	7
0.04	5.16	7.8
0.06	5.44	7.3
0.08	5.72	7.8
0.1	6	7.1
0.12	6.28	7.9
0.14	6.57	7.5
0.16	6.85	7.4
0.18	7.13	7.1
0.2	7.41	7.3
0.22	7.71	7.6
0.24	8.02	7.1
0.26	8.32	7.1
0.28	8.62	7.5
0.3	8.92	8.7
0.32	9.22	7.8
0.34	9.52	7.4
0.36	9.82	7.4
0.38	10.12	7.3
0.4	10.42	7.1
0.42	10.72	7.5
0.44	11.02	7.4
0.46	11.31	6.8
0.48	11.61	6.9
0.5	11.91	7.8
0.52	12.2	7
0.54	12.5	7.2
0.56	12.79	7.5
0.58	13.08	7.2
0.6	13.33	7
0.62	13.58	6.6
0.64	13.83	6.9
0.66	14.07	7.2
0.68	14.32	7.7
0.7	14.48	7
0.72	14.64	6.7
0.74	14.81	7.5
0.76	14.97	7.2
0.78	15.13	6.4
0.8	15.3	6.7
0.82	15.46	7.2
0.84	15.62	6.7
0.86	15.78	6.9
0.88	15.94	4.4
0.9	16.11	6.8
0.92	16.27	3.9
0.94	16.43	3.1
0.96	16.59	3.5
0.98	16.75	3.3
1	16.91	4.5
1.02	17.07	6.8
1.04	17.23	6.6
1.06	17.39	3
1.08	17.55	3.7
1.1	17.7	3.3
1.12	17.86	3
1.14	18.02	4.1
1.2	18.25	3.3
1.24	18.41	3.1
1.3	18.64	3.8
1.34	18.8	3.4
1.4	19.03	3.5
1.44	19.18	3.8
1.5	19.41	3.7
1.54	19.56	3.6
1.6	19.79	3.6
1.64	19.95	3.2
1.7	20.18	3.1
1.74	20.33	3.1
1.8	20.56	3.5
1.84	20.71	2.9
1.9	20.94	3.4
1.94	21.09	2.7
2	21.31	3.2
2.04	21.47	3.4
2.1	21.69	3.4
2.14	21.84	3.9
2.2	22.07	3.1
2.24	22.22	3
2.34	22.63	3.3
2.4	22.9	3.4
2.44	23.08	2.8
2.5	23.34	3.3
2.54	23.52	3.2
2.6	23.78	3.2
2.64	23.96	2.9
2.7	24.22	2.7
2.74	24.4	3.5
2.8	24.68	3.4
2.84	24.9	3.4
2.9	25.22	3.2
2.94	25.43	3
3	25.75	2.9
3.04	25.97	3.5
3.1	26.34	2.9
3.14	26.58	3.7
3.2	26.95	4.2
3.24	27.2	3.9
3.3	27.57	3.3
3.34	27.81	3
3.4	28.18	3.3
3.44	28.44	4
3.5	28.87	3.2
3.54	29.15	2.9
3.6	29.58	3.1
3.64	29.87	3.6
3.7	30.29	3.1
3.8	31	3.7
3.84	31.28	3.9
3.9	31.79	4.8
4	32.64	3.2
4.1	33.48	3.6
4.18	34.16	3.9
4.2	34.33	3.3
4.3	35.17	4.5
4.36	35.67	4.1
4.4	36.09	5
4.5	37.12	3.1
4.6	38.15	4.4
4.7	39.17	6
4.72	39.38	6
4.8	40.47	3.7
4.9	41.82	2.9
5	43.17	3.4
5.1	44.5	2.9
5.2	45.82	3.4
5.24	46.35	3.6
5.3	47.21	2.8
5.4	48.65	3.2
5.5	50.07	3.3
5.54	50.63	4.4
5.6	51.48	6.6
5.7	52.87	2.8
5.8	54.25	2.8
5.9	55.63	2.7
6	57	2.8
6.1	57.93	3
6.2	58.86	3
6.3	59.78	6.3
6.4	60.72	5.2
6.5	61.65	3.5
6.6	62.59	3.2
6.7	63.54	6
6.8	64.5	6
6.9	65.47	3.2
7	66.45	3.3
7.1	67.44	3.5
7.2	68.45	4.1
7.3	69.47	3.4
7.4	70.52	2.9
7.5	71.58	5.7
7.6	72.66	3.8
7.7	73.77	3.3
7.8	75.53	6.6
7.9	77.34	5.9
8	79.2	6.9
8.1	81.08	6.8
8.2	82.98	7.7
8.3	84.88	7.3
8.4	86.74	6.7
8.5	89.88	6.4
8.6	92.85	4
8.7	95.66	4.7
8.8	97.9	6.3
8.9	100.07	6.8
9	102.19	6.5
9.1	104.28	6.5
9.2	105.34	6.9
9.26	105.97	6.4
9.3	106.39	7
9.34	106.82	6.9
9.4	107.45	5
9.44	107.88	4.4
9.5	108.52	4.5
9.54	108.95	4
9.6	110.39	4.5
9.64	111.36	3.9
9.7	112.86	6.4
9.74	113.87	6.8
9.8	115.44	6.4
9.82	115.97	7
9.84	116.94	7.8
9.86	117.93	7.8
9.88	118.95	8.1
9.9	119.99	7.9
9.92	121.05	8.1
9.94	122.13	8.6
9.96	123.22	7.1
9.98	124.34	10.2
10	125.46	10.7
10.02	126.03	11
10.04	126.59	13.5
10.06	127.16	8.8
10.08	127.72	8.8
10.1	128.28	9.6
10.2	131.05	7.7
10.3	133.72	7.1
10.4	135.89	3.8
10.5	137.95	3.2
10.6	139.08	5.1
10.7	140.18	3.6
10.8	141.25	3.4
10.9	142.3	2.6
11	143.33	2.9
11.1	144.34	2.8
11.2	145.34	3.6
11.3	146.33	3.9
11.4	147.31	3.8
11.5	148.28	5.6
11.6	149.25	4.8
