# DESCRIPTION:
# Reference: Dickson, AJ et al. (2008): Centennial-scale evolution of Dansgaard-Oeschger events in the northeast Atlantic Ocean between 39.5 and 56.5 ka B.P. Paleoceanography, 23(3), PA3206, https://doi.org/10.1029/2008PA001595
# Data from: https://doi.org/10.1594/PANGAEA.832404. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],N. pachyderma s [%] (Counting >150 µm fraction),IRD [#/g] (Counting >150 µm fraction),SST sum [°C] (Artificial Neural Network (ANN)),SST sum [°C] (Modern analog technique (MAT)...),C. wuellerstorfi δ13C [‰ PDB],C. wuellerstorfi δ18O [‰ PDB],N. pachyderma s δ18O [‰ PDB],G. bulloides δ18O [‰ PDB]
25.02,39.96,100,,,,,,3.55,
25.03,39.98,97.03,,,,,,3.76,
25.06,40.04,90.2,,,,,,3.56,
25.08,40.08,90,,,,,,3.61,
25.11,40.14,92.86,,,,,,3.67,
25.13,40.18,76.19,,,,,,3.68,
25.15,40.22,59.29,,,,,,3.75,3.08
25.17,40.26,16.35,,,,,,3.73,2.86
25.19,40.3,36.45,,,,,,3.91,3.03
25.2,40.32,35.96,1023.1,7.08,7.03,1.03,3.74,3.91,3.13
25.22,40.36,82.24,1209.84,5.68,5.72,,,3.81,
25.24,40.42571,78.43,2862.22,,,0.92,3.71,4.02,3.09
25.26,40.49143,78.76,1300.3,5.55,5.86,0.68,3.76,3.82,3.09
25.28,40.55714,93.52,1829.45,,,0.92,3.62,3.84,
25.3,40.62286,96.33,1927.19,3.39,3.51,0.96,3.87,3.7,
25.33,40.72143,98.11,1640.17,3.27,3.71,0.87,3.52,3.84,
25.34,40.75429,96.15,1696.92,,,0.88,3.86,3.85,
25.36,40.82,84.11,1078.19,5.03,4.77,1.22,3.8,3.66,
25.38,40.88571,63.73,1699.69,7.34,7.46,0.89,3.97,3.74,3.25
25.4,40.95143,18.81,230.89,,,,,3.44,3.12
25.42,41.01714,45.63,646.61,9.03,9.15,1.08,3.87,3.4,3.02
25.53,41.37857,14.71,78.46,10.36,10.11,,,3.26,2.91
25.55,41.44429,12.26,138.56,9.88,10.37,,,3.23,3.13
25.57,41.51,17.93,94.02,,,,,3.33,2.9
25.58,41.54286,12.75,51.08,10.4,12.35,0.88,3.19,3.34,2.96
25.6,41.60857,18.1,157.88,10.32,10.4,,,,2.97
25.62,41.67429,11.01,52.95,,,0.3,3.78,3.72,2.82
25.64,41.74,56.86,185.86,7.96,7.4,0.86,3.52,3.65,3.03
25.66,41.80983,60.36,668.76,7.77,8.34,0.68,3.16,3.87,
25.68,41.87966,82.67,1238.49,,,0.48,3.64,3.86,
25.7,41.94949,96.25,835.27,4.72,4.32,,,3.64,
25.72,42.01932,94.59,760.43,4.12,3.89,0.58,3.27,3.59,
25.74,42.08915,79.09,541.89,4,3.89,,,3.69,
25.76,42.15898,88.24,2209.6,4,4.37,0.66,3.42,3.54,
25.78,42.22881,89.19,884.03,4.46,4.3,0.75,3.3,3.66,
25.8,42.29864,95.1,1291,,,0.8,3.55,3.55,
25.82,42.36847,88.39,1948.39,6.12,7.04,0.84,3.6,3.66,
25.84,42.43831,82.57,985.32,6.3,6.47,0.91,3.88,3.56,
25.86,42.50814,65.35,1380.65,,,0.93,3.6,3.71,
25.88,42.57797,48.11,238.66,8.52,8.19,1.06,3.77,3.51,3.12
25.9,42.6478,42.15,447.63,8.79,8.36,0.71,3.48,3.47,2.94
25.92,,,71.84,,,,,3.12,2.86
25.94,42.78746,17.48,43.96,9.81,10.29,0.85,3.83,3.1,2.62
25.96,42.85729,14.68,153.16,,,0.96,3.63,2.98,2.99
25.98,42.92712,14.02,28.35,10.53,10.26,0.83,3.31,3.01,2.66
26,42.99695,2.61,71.04,,,1.08,3.67,2.68,2.97
26.02,43.06678,13.04,60,10.44,9.84,1.04,3.61,2.84,2.89
26.04,43.13661,3.67,76.57,,,0.87,3.26,2.71,3.02
26.06,43.20644,6,217.82,10.12,10.4,0.82,3.67,2.87,2.55
26.08,43.27627,1.82,47.15,,,0.84,3.45,3.15,2.62
26.1,43.3461,6.19,72.28,10.58,13.13,0.8,3.5,2.98,2.68
26.11,43.38102,15.97,224.4,,,0.85,3.57,3.53,2.84
26.14,43.48576,33.02,811.02,9.62,9.04,0.86,3.37,3.53,2.8
26.16,43.55559,26.17,409,,,,,3.63,2.75
26.18,43.62542,86.27,155.56,5.29,6.88,,,3.69,
26.19,43.66034,56.38,369.48,,,,,3.39,
26.21,43.73017,56.52,672.51,7.95,7.46,0.54,3.01,3.73,2.68
26.23,43.8,83.65,852.89,,,,,3.46,
26.24,43.83333,85.98,515.8,4.13,4.57,0.75,3.18,3.57,
26.26,43.9,93.33,861.38,,,0.54,3.36,3.67,
26.28,43.96667,93.2,627.87,3.8,3.44,,,3.54,
26.3,44.03333,92.45,980.9,,,0.55,3.3,3.78,
26.32,44.1,88.7,675.24,4.76,4.46,0.74,3.13,3.74,
26.34,44.16667,90,934.4,,,,,3.71,
26.36,44.23333,87.25,1247.49,5.26,5.13,,,3.81,
26.38,44.3,78.7,1222.06,,,0.72,3.36,3.6,
26.4,44.36667,89.42,663.63,4.52,4.57,0.72,3.51,3.8,
26.42,44.43333,93.2,1186.21,4.08,3.7,,,3.94,
26.44,44.5,87.74,1103.96,,,,,3.84,
26.46,44.56667,89.62,2313.91,,,0.97,3.18,3.89,
26.47,44.6,69.49,2120.82,6.48,7.6,0.41,4.09,3.95,
26.5,44.7,41.96,1277.72,,,0.7,3.52,3.77,2.73
26.52,44.81826,44,1312.65,9.18,8.97,1.06,3.62,3.46,2.91
26.53,,,,,,,,3.57,2.52
26.56,45.05478,4.79,604.02,,,0.95,3.56,3.36,2.81
26.58,45.17304,11.32,171.61,8.75,10.39,,,3.07,2.84
26.6,45.2913,3.67,32.59,,,1.1,3.62,3.06,2.5
