/* DESCRIPTION:
Reference:	Dokken, T; Jansen, E (1999): Rapid changes in the mechanism of ocean convection during the last glacial period. Nature, 401(6752), 458-461, https://doi.org/10.1038/46753
Data from:	https://doi.org/10.1594/PANGAEA.61471. Accessed 27 Oct 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	MAGS [10**-6 SI]	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]	C. teretis δ18O [‰ PDB]	C. teretis δ13C [‰ PDB]	Foram/sed [#/g]	Rock fragm [#/g]	IRD [#/g]
0.005	10.31		2.35	-0.04	4.21	-0.03		0.82	
0.015	10.36						534	1.07	386.87
0.025	10.41		1.96	0.38	4.17	0.01			
0.035	10.46	40.86	2.14	0.55	4.15	-0.04			
0.04	10.49	93.07	2.12	0.55					
0.045	10.51	156.63	2.02	0.36	4.05	-0.11	2427	0.44	585.67
0.055	10.56	211.11	2.23	0.68	4.16	0.06		1.12	
0.065	10.61	249.7					517	2.23	607.9
0.075	10.66	276.94	2.04	0.48	4.02	-0.04		0.96	
0.085	10.71	299.64	2.12	0.54	4.23	-0.14	483	0.98	545.67
0.095	10.76	310.99	1.92	0.44	4.24	-0.04			
0.105	10.8	315.53	2.21	0.33	3.95	0		1.15	
0.115	10.85	313.26	2.15	0.5					
0.125	10.9	304.18			4.08	-0.11	1856	1.26	743.72
0.135	10.95	292.83	2.04	0.37	4.16	0.04			
0.145	11	276.94					912	2.27	1193.83
0.155	11.05	254.24	2.66	0.3	4.03	-0.03		2.51	
0.165	11.1	215.65	2.08	0.52	4.15	-0.01	237	2.36	1790.34
0.175	11.15	167.98							
0.185	11.2	120.31	2.17	0.55	3.71	-0.16		2.85	
0.195	11.25	93.07	2.18	0.56	4.14	-0.08	367	3.18	2310.87
0.205	11.29	90.8	2.03	0.56	3.76	-0.45		3.28	
0.215	11.34	106.69					140	3.2	2199.59
0.225	11.39	136.2	1.99	0.42	4	-0.26		4.79	
0.235	11.44	170.25	2.32	0.46	4.48	-0.1		4.5	
0.245	11.49	217.92					371	5.46	3078.45
0.255	11.54	265.59	2.39	0.18	3.95	-0.17		5.7	
0.265	11.59	297.37					13	5.9	2787.49
0.275	11.64	315.53	3.48	0.29	4.11	-0.26	21	4.98	4441.61
0.285	11.69	326.88	2.91	0.67	4.15	-0.1	42	4.82	2774.05
0.295	11.74	347.31	3.12	0.43	4.52	0.02	30	4.7	3203.49
0.305	11.78	367.74	3.21	0.16	4.24	-0.17		4.68	
0.315	11.83	388.17	3.55	0.24			17	4.25	2974.6
0.325	11.88	394.98	3.24	0.48	4.65			4.31	
0.335	11.93	381.36					144	4.79	3307.76
0.345	11.98	370.01	3.6	0.48	4.74		81	4.12	2592.61
0.355	12.01	365.47	3.2	0.52	4.13			4.3	
0.365	12.03	363.2					72	5.19	3675.25
0.375	12.06	356.39	3.3	0.49	4.95		21	4.57	3573.98
0.385	12.08	351.85						4.04	
0.395	12.11	356.39	3.25	0.16			4	2.6	1796.91
0.405	12.13	360.93	3.19	0.59				2.75	
0.415	12.16	367.74	3.34	0.38			81	2.4	2222.81
0.425	12.18	376.82	3.49	0.51	4.04	-0.36		2.8	
0.435	12.21	388.17	3.57	0.43			110	1.86	1591.78
0.445	12.23	397.25							
0.455	12.26	410.87	3.3	0.41	4.32	-0.66		2.64	
0.465	12.28	435.84							
0.475	12.31	472.16	3.56	0.32			29	1.84	1093.83
0.485	12.33	506.21	3.64	0.55	4.64	-0.6			
0.495	12.36	526.64	3.4	0.3			54	1.95	969.1
0.505	12.38	535.72	3.34	0.49	4.11	-0.44		1.92	
0.515	12.41	547.07					146	1.51	960.44
0.525	12.43	558.42	3.57	0.37	4.23	-0.84	260	0.93	1101.56
0.535	12.46	569.77						0.67	
0.545	12.48	578.85	3.92	0.56	4.96	-0.65	301	0.74	614.61
0.555	12.51	578.85	3.96	0.52	4.9	-0.52		1.08	
0.565	12.53	583.39						0.41	
0.575	12.56	592.47	3.91	0.51	4.86	-0.72	305	0.2	249.31
0.585	12.58	601.55	3.75	0.45	4.83	-0.65		0.17	
0.595	12.61	606.09	3.78	0.26	4.89	-0.66	380	0.1	204.74
0.605	12.64	606.09	3.79	0.38	4.96	-0.53		0.84	
0.615	12.66	606.09						0.05	
0.625	12.69	601.55	3.76	0.32	4.72	-0.61	373	0.37	251.15
0.635	12.71	601.55	3.68	0.34	4.9	-0.77	427	0.25	242.85
0.645	12.74	603.82	3.75	0.3	4.9	-0.65	158	0.71	241.44
0.655	12.76	597.01	3.74	0.26	4.92	-0.69		0.47	
0.665	12.79	587.93							
0.675	12.81	574.31	3.72	0.17	4.84	-0.7	193	0.3	295.91
0.685	12.84	558.42	3.71	0.17	4.8	-0.72	299	0.36	524.79
0.695	12.86	542.53							
0.705	12.89	533.45	3.78	0.37	4.84	-0.58	325	0.34	546.55
0.715	12.91	524.37							
0.725	12.94	513.02	3.78	0.33	4.8	-0.7		0.19	
0.735	12.96	503.94					304	0.06	303.67
0.745	12.99	494.86						0.19	
0.755	13.01	481.24	3.79	0.38	5.03	-0.6	344	0.34	60.36
0.765	13.04	472.16						0.2	
0.775	13.06	465.35							
0.785	13.09	467.62	3.83	0.24	5.33	-0.37	339	0.11	36.26
0.795	13.11	478.97	3.43	0.05	4.98	-0.61		0.18	
0.805	13.14	490.32	3.66	-0.04	4.96	-0.59		0.23	
0.815	13.16	494.86	3.61	0.1	4.75	-0.71	363	0.11	17.13
0.825	13.19	490.32	3.71	0.31	4.91	-0.58		0.16	
0.835	13.21	483.51					195	0	44.4
0.845	13.24	481.24						0.09	
0.855	13.27	483.51	3.8	0.14	4.92	-0.61		0	
0.865	13.29	490.32					252	0.09	25.12
0.875	13.32	503.94	3.75	0.2	5.02	-0.63			
0.885	13.34	522.1	3.86	0.17	4.94	-0.61		0.11	
0.895	13.37	540.26					224	0.16	35.84
0.905	13.39	558.42	3.98	0.17	5.15	-0.61		0.19	
0.915	13.42	578.85					253	0.12	47.85
0.925	13.44	599.28	3.64	0.15	4.81	-0.7			
0.935	13.47	615.17	3.44	-0.04	5	-0.62		0.4	
0.945	13.49	621.98	3.83	0.18	5.01	-0.7	306	0.27	71.29
0.955	13.52	621.98	3.44	0.08	5.14	-0.53		0.75	
0.965	13.54	624.25							
0.975	13.57	624.25	3.78	0.16	5.08	-0.6	243	0.48	151.68
0.985	13.59	621.98						0.58	
0.995	13.62	610.63			4.93	-0.66	346	1.16	239.15
1.005	13.64	594.74	4.04	0.2	4.85	-0.73		0.63	
1.015	13.67	569.77	3.6	-0.03	4.84	-0.75	157	0.71	171.33
1.025	13.69	542.53	3.87	0.24	5.02	-0.64		0.79	
1.035	13.72	517.56	3.73	0.16	4.91	-0.65	193	1.53	237.82
1.045	13.74	490.32	3.8	0.08	4.93	-0.57	166	1.3	310.96
1.055	13.77	467.62	3.73	-0.01	4.98	-0.47		0.91	
1.065	13.79	449.46						0.87	
1.075	13.82	442.65	3.5	0.12	4.65	-0.69	127	0.99	277.76
1.085	13.84	442.65	3.89	0.29	5.05	-0.6	168	0.85	249.49
1.095	13.87	454							
1.105	13.9	472.16	3.75	0.07	5.2	-0.55	199	1.03	114.56
1.115	13.92	488.05							
1.125	13.95	510.75	3.67	0.15	4.62	-0.7	110	0.74	145.96
1.135	13.97	540.26	3.62	0.15	4.97	-0.6		1.35	
1.145	14	562.96	3.68	0.26			133	0.28	136.34
1.15	14.01		3.87	-0.09					
1.155	14.02	576.58	3.59	-0.12	5.13	-0.57		0.42	
1.165	14.05	578.85					232	0.7	212.54
1.175	14.07	578.85	3.5	0				0.47	
1.185	14.1	576.58			4.36	-0.81		0.54	
1.195	14.12	572.04	3.59	-0.03	4.95	-0.58		0.45	
1.205	14.15	560.69	3.45	-0.22	5.06	-0.6	110	0.44	170.54
1.215	14.17	551.61	3.43	0.07	4.92	-0.55		1.24	
1.225	14.2	544.8	3.24	-0.21	4.75	-0.52	154	1.53	518.87
1.235	14.22	537.99						1.27	
1.245	14.25	540.26	3.3	0			93	1.3	277.91
1.255	14.27	547.07	3.41	-0.14	4.82	-0.76		0.93	
1.265	14.3	553.88						1.49	
1.275	14.32	558.42	3.57	-0.13	4.9	-0.51	37	1.82	611.84
1.285	14.35	567.5	3.39	-0.04	4.95	-0.64	203	1.22	619.76
1.295	14.37	583.39	3.03	-0.24			308	1.43	314.03
1.305	14.4	601.55	3.44	0.08	4.86	-0.7	227	1.94	389.53
1.315	14.42	615.17						1.42	
1.325	14.45	621.98	3.2	0	3.89	-1.02	201	1.27	205.18
1.335	14.47	615.17	2.77	-0.55			8	0.91	511.7
1.345	14.5	603.82					222	1.77	686.32
1.355	14.58	599.28	3.36	0.04	4.63	-0.79		2.04	
1.365	14.66	590.2	2.82	-0.36	4.46	-0.75	286	1.86	802.68
1.375	14.75	560.69	2.95	0.39	3.8	-0.99		3.12	
1.385	14.83	506.21	3.27	0.19	4.29	-0.74	221	3.88	991.8
1.395	14.91	456.27	3.33	0.04				5.24	
1.405	14.99	431.3	3.55	-0.04	3.73	-0.91	173	5.34	1173.89
1.415	15.08	419.95	3.15	-0.04				6.49	
1.425	15.16	410.87	3.26	0	3.61	-1.1	106	10.19	1493.52
1.435	15.24	404.06	3.34	0.14	3.57	-0.98		9.24	
1.445	15.32	399.52	2.92	-0.13			114	9.97	1142.35
1.455	15.4	385.9	3.16	0	3.6	-0.95		14.78	
1.465	15.49	358.66	2.75	-0.11	3.05	-1.13		7.4	
1.475	15.57	297.37	2.7	-0.14	3.33	-1.08	178	5.92	1149.27
1.485	15.65	197.49	3.25	0.06				7.55	
1.495	15.69	223.6						6.06	
1.505	15.72	249.7	2.87	-0.02	4	-0.73	102	7.42	1456.95
1.515	15.76	275.8						6.61	
1.525	15.79	301.91	2.68	-0.31	3.7	-0.94		8.65	
1.535	15.83	358.66						6.3	
1.545	15.86	376.82	3.06	-0.12	3.5	-0.75	123	4.73	1371.56
1.555	15.9	383.63	3.13	-0.02	3	-1.13		7.27	
1.565	15.93	383.63					37	5.49	1144.98
1.575	15.97	379.09	2.9	-0.09	4.08	-0.72		6.73	
1.585	16	367.74	3.16	-0.06			102	5.76	1086.14
1.595	16.04	363.2						7.85	
1.605	16.08	356.39	3.66	0.15	4.73	-0.53	105	8	1300.62
1.615	16.11	351.85						6.97	
1.625	16.15	349.58	2.26	-0.25	4.09	-0.56		7.83	
1.635	16.18	349.58	3.25	-0.05	4.55	-0.57	44	9.41	1234.83
1.645	16.22	342.77						10.91	
1.655	16.25	324.61	3.36	0.07	4.51	-0.41		14.72	
1.665	16.29	315.53	2.14	-0.06			41	17.85	2592.87
1.675	16.32	329.15	2.12	-0.05	3.94	-0.78		12.29	
1.685	16.36	365.47					3	4.87	705.44
1.695	16.4	388.17	2.18	-0.26	3.45	-1.02		4.76	
1.705	16.43	381.36	2.27	-0.06	4.5	-0.61	158	8.78	1000.35
1.715	16.47	351.85	2.66	-0.11				9.79	
1.725	16.5	329.15	2.49	-0.15				13.86	
1.735	16.54	320.07	2.67	-0.29	3.74	-0.89	144	12.01	1848.03
1.745	16.57	320.07	2.85	-0.18				8.32	
1.755	16.61	313.26	3.1	-0.15	4.09	-0.88		7.42	
1.765	16.64	299.64	3.42	-0.07	4.15	-0.67	181	4.67	1160.23
1.775	16.68	292.83	3.12	-0.26				6.81	
1.785	16.71	297.37	3.46	-0.34	4.24	-0.86	229	8.98	1286
1.795	16.75	315.53						8.06	
1.805	16.79	338.23	3.59	0.05	4.35	-0.69	232	6.23	918.96
1.815	16.82	354.12	3.61	-0.09	4.32	-0.56		5.89	
1.825	16.86	367.74	3.89	0	4.58	-0.6		6.3	
1.835	16.89	374.55	3.65	-0.05			335	5.28	1066.1
1.845	16.93	383.63	3.63	-0.08			379	5.37	1039.52
1.855	16.96	388.17	3.15	0.01	4.14	-0.2		5.41	
1.865	17	390.44	3.63	-0.01	4.13	-0.72	210	4.4	1027.58
1.875	17.03	385.9	3.47	-0.17				4.89	
1.885	17.07	381.36	3.71	0.04	4.94	-0.47		7.41	
1.895	17.1	374.55	3.76	0.03				9.8	
1.905	17.14	365.47	3.77	0.24	4.03	-0.66	136	11.78	1748.52
1.915	17.18	354.12	3.58	-0.01				15.03	
1.925	17.21	345.04	3.84	-0.07	4.76	-0.3	29	20.67	1966.31
1.935	17.25	322.34	4.1	0.19	4.21	-0.71		20.82	
1.945	17.28	295.1	4.22	0.19	5.02	-0.52	69	13.55	2153.12
1.955	17.32	274.67	4.58	0.33	5.51	-0.25	13	22.66	2165.67
1.965	17.35	270.13	3.5	-0.47	5.44	-0.36		30.88	
1.975	17.39	286.02	4.53	0.13	5.29	-0.59	278	18.52	1675.75
1.985	17.42	306.45	3.89	-0.24	4.8	-0.73		12.73	
1.995	17.46	320.07	4.4	0.22	5.35	-0.4	205	5.74	850.81
2.005	17.5	329.15	3.84	-0.33	5.44	-0.26	8	7.28	1438.08
2.015	17.53	356.39	4.31	0.06	5.31	-0.42		10.29	
2.025	17.57	406.33	4.62	0.22	5.41	-0.46	92	6.75	1443.05
2.035	17.6	435.84	3.95	-0.23	4.46	-0.82		5.71	
2.045	17.64	433.57	4.61	0.04	5.49	-0.48	329	8.03	1566.61
2.055	17.67	415.41						7.61	
2.065	17.71	394.98	4.58	0.22	5.12	-0.52			
2.075	17.74	376.82	4.5	0.01	5.18	-0.73	413	7.37	1767.04
2.085	17.78	363.2	4.23	0.02	4.95	-0.66		10.19	
2.095	17.81	358.66							
2.105	17.85	358.66	4.74	0.21	5.1	-0.52	95	14.99	1908.08
2.115	17.87	356.39						12.15	
2.125	17.89	354.12	4.61	0.06	5.23	-0.51		12.98	
2.135	17.92	345.04						11.38	
2.145	17.94	333.69	4.36	-0.13	5.04	-0.84	337	9.92	2610.47
2.155	17.96	315.53	4.76	0.12	5.28	-0.54		16.64	
2.165	17.98	299.64	4.45	-0.02	5.3	-0.53	365	13.03	3437.8
2.175	18.01	292.83						6.91	
2.185	18.03	288.29	4.26	-0.01	5.4	-0.56		5.11	
2.195	18.05	290.56						5.43	
2.205	18.07	295.1	4.75	0.3	5.52	-0.63	139	5.35	1834.26
2.215	18.1	299.64							
2.225	18.12	295.1						4.24	
2.235	18.14	288.29	4.66	-0.01	4.82	-0.97	183	3.78	1379.39
2.245	18.16	276.94							
2.255	18.19	267.86	4.6	0.04	5.33	-0.61		5.28	
2.265	18.21	258.78							
