/* DESCRIPTION:
Reference:	de Abreu, L et al. (2003): Millenial-scale oceanic climate variability off the Western Iberian margin during the last two glacial periods. Marine Geology, 196(1-2), 1-20, https://doi.org/10.1016/S0025-3227(03)00046-X
Data from:	https://doi.org/10.1594/PANGAEA.66811. Accessed 11 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Depth [m]	Age [ka BP]	N. pachyderma s [%] (Counting >150 µm fraction)	IRD [%] (Counting >150 µm fraction)
0.02	0	1.29	0.31
0.05	0.269	0.86	0.12
0.08	0.537	0.51	0
0.11	0.806	0.52	6.3
0.14	1.074	0.76	0
0.17	1.343	1.05	0
0.2	1.611	0.32	0.14
0.23	1.88	1.32	0.3
0.26	2.148	0.93	0
0.29	2.417	0.66	0
0.32	2.685	0.95	0
0.35	2.954	0.75	0
0.38	3.222	1.51	0
0.41	3.491	1.74	0.12
0.44	3.759	0.79	0
0.47	4.028	2.1	0
0.5	4.297	1.05	0.74
0.53	4.565	2.68	0.28
0.56	4.834	4.48	0.34
0.59	5.102	3.17	0.8
0.62	5.371	4.18	0.16
0.65	5.639	5.95	0.32
0.68	5.908	5.86	0.44
0.71	6.176	5.2	0.37
0.74	6.445	8.41	1.42
0.77	6.713	6.95	0.85
0.8	6.982	5.09	0
0.83	7.25	5.47	0.4
0.86	7.519	3.76	1.1
0.89	7.788	4.04	0
0.92	8.056	4.87	0.4
0.95	8.325	5.14	1.08
0.98	8.593	8.02	1.35
1.01	8.862	8.52	0.85
1.04	9.13	9.11	0.16
1.07	9.399	7.64	0.58
1.1	9.667	8.58	0.61
1.13	9.936	6.73	0.51
1.16	10.204	7.53	0.5
1.19	10.473	6.92	1.43
1.22	10.741	7.09	0.63
1.25	11.01	5.28	0.55
1.28	11.278	6.33	0.55
1.31	11.547	7.79	0.19
1.34	11.678	12.02	0.45
1.37	11.809	8.63	0.15
1.4	11.94	9.7	0.34
1.43	12.07	14.76	0.15
1.46	12.201	11.42	0.41
1.49	12.332	10.14	0
1.52	12.463	11.36	0.17
1.55	12.689	11.17	0.13
1.58	12.914	8.51	0
1.61	13.14	9.43	0.28
1.64	13.441	8.85	0.11
1.67	13.741	9.62	0.17
1.7	14.042	9.76	0.17
1.73	14.267	7.54	1.03
1.76	14.493	6.96	0.19
1.79	14.643	10.44	0
1.82	14.668	17.04	0.33
1.85	14.743	9.39	0.61
1.88	14.818	12.64	0
1.91	14.893	11.23	0.34
1.94	14.968	15.21	1.03
1.97	15.043	21.74	0.86
2	15.118	11.46	0.52
2.03	15.193	18.05	1.37
2.06	15.268	20.75	1.08
2.09	15.343	18.96	1.31
2.12	15.418	25.88	0.99
2.15	15.493	41.25	3.81
2.18	15.568	52.62	3.61
2.21	15.656	63.71	6.21
2.24	15.695	67.99	6.9
2.27	15.746	62.31	8.98
