/* DESCRIPTION:
Reference:	Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
Data from:	https://doi.org/10.1594/PANGAEA.737142. Accessed 11 Nov 2022.
Comment:	Summer SST is SST for months 7-9.
	Several variables from the original dataset are not included here.
*/
Depth [m]	Age [ka BP]	PO4 [%] (Modern analog technique (MAT)...)	summer SST [°C] (Modern analog technique (MAT)...)
0.02	0.176	13.8	18.7
0.05	0.441	13.2	18.7
0.08	0.705	13.4	18.3
0.11	0.97	13.2	18.4
0.14	1.234	13.6	18.3
0.17	1.498	12.2	18.7
0.2	1.763	14.2	19
0.23	2.027	13.8	18.9
0.26	2.292	13.3	18.6
0.29	2.556	11.7	18
0.32	2.821	14.5	18.5
0.35	3.085	12.9	18.3
0.38	3.35	14.2	18.8
0.41	3.614	13.9	18.5
0.44	3.878	11.4	18.2
0.47	4.143	13.9	18.5
0.5	4.407	12.2	18.2
0.53	4.672	14	18.7
0.56	4.936	14	18.7
0.59	5.201	11.4	17.9
0.62	5.465	14.1	18.6
0.65	5.729	13.8	18.3
0.68	5.994	12.1	18
0.71	6.258	14.3	18.3
0.74	6.523	10.8	16.7
0.77	6.787	14	19.1
0.8	7.052	13.8	18.3
0.83	7.316	13.5	18.3
0.86	7.58	13.8	18.4
0.89	7.845	12.6	18
0.92	8.109	13.4	18.2
0.95	8.374	13.1	18.2
0.98	8.638	13.6	18.2
1.01	8.903	11.9	17.5
1.04	9.167	12.3	18.3
1.07	9.432	12.5	18.1
1.1	9.696	12.2	18.2
1.13	9.96	13.6	18.4
1.16	10.225	10.9	16.4
1.19	10.489	11.2	17.8
1.22	10.754	14.1	18.8
1.25	11.018	13.5	18.5
1.28	11.283	11.8	18.3
1.31	11.547	11	17.4
1.34	11.7	10.1	17.4
1.37	11.854	15.3	20
1.4	12.007	8.6	17.5
1.43	12.16	9.7	17.2
1.46	12.313	8	16.7
1.49	12.467	9.4	17.7
1.52	12.62	14	19.1
1.55	12.829	10.7	17.3
1.58	13.039	10.6	16.1
1.61	13.248	11.2	17.5
1.64	13.457	11.1	17.5
1.67	13.666	12.5	18.4
1.7	13.876	10.4	16.3
1.73	14.085	10.6	16.2
1.76	14.294	11.3	17.4
1.79	14.503	13.2	18.5
1.82	14.665	6.7	14
1.85	14.732	6.2	9.6
1.88	14.798	7.8	14.5
1.91	14.865	7.4	16.6
1.94	14.931	10.4	17.5
1.97	14.998	8.5	17.2
2	15.064	7.8	14.4
2.03	15.131	10.7	17.9
2.06	15.197	10.1	17.6
2.09	15.264	10	17.8
2.12	15.33	7	14
2.15	15.397	5.2	9.4
2.18	15.463	4.5	9.1
2.21	15.53	3.7	8
2.24	15.588	3.3	7.5
2.27	15.647	3.5	8.3
2.3	15.705	3.5	7.8
2.33	15.763	2.2	6.3
2.36	15.822	2.8	6.7
2.39	15.88	1.5	5.9
2.42	15.947	2.1	6.4
2.48	16.081	1.6	5.7
2.51	16.148	1.4	5.3
2.54	16.215	1.9	6.1
2.57	16.282	1.8	6.3
2.6	16.348	1.7	6.1
2.63	16.415	1.7	6
2.66	16.482	0.7	4.7
2.69	16.549	1.8	6
2.72	16.616	1.7	6.1
2.75	16.683	1.4	5.3
2.78	16.75	1.4	5.3
2.81	16.95	1.6	5.7
2.84	17.07	1.6	5.7
2.87	17.19	1.7	6.1
2.9	17.309	1.5	5.4
2.93	17.429	3.7	8
2.96	17.507	4.5	8.6
2.99	17.585	4.8	9
3.02	17.663	5.3	9.4
3.05	17.741	4.7	8.7
3.08	17.866	7.1	11.2
3.11	17.991	9.4	17.8
3.14	18.116	9.9	17.9
3.17	18.241	11.3	16.1
3.2	18.366	11.3	16.1
3.23	18.491	11.4	16
3.26	18.615	11.1	15.6
3.29	18.74	10.7	15.3
3.32	18.865	11.5	17.4
3.35	18.99	10	14.2
3.38	19.115	10.5	15
3.41	19.24	10.7	15.2
3.44	19.328	12.1	18.1
3.47	19.417	11.2	16.6
3.5	19.505	11.3	16
3.53	19.593	11.1	15.7
3.56	19.682	11.8	17.7
3.59	19.77	11	15.5
3.62	19.858	10.9	15.6
3.65	19.947	11	15.6
3.68	20.035	11.5	16.2
3.71	20.123	11.1	15.8
3.74	20.212	11.5	17.5
3.77	20.3	12.2	18
3.8	20.389	11.3	16.2
3.83	20.478	11.9	17.1
3.86	20.567	11.9	17.5
3.89	20.657	11.2	16.5
3.92	20.746	11.4	16.6
3.95	20.835	12.7	18.3
3.98	20.924	12.5	18.1
4.01	21.013	13.1	18.8
4.04	21.102	11	16.4
4.07	21.191	11	16
4.1	21.281	10.8	15.6
4.13	21.37	10.7	15.6
4.16	21.459	10.6	15.4
4.19	21.548	11.3	16.7
4.22	21.637	10.6	15.6
4.25	21.726	10.4	15.4
4.28	21.815	10.8	15.7
4.31	21.905	9.8	15
4.34	21.994	9.8	14.2
4.37	22.083	10.4	15.1
4.4	22.172	10.2	14.9
4.43	22.261	9.6	14.2
4.46	22.35	10.5	15.3
4.49	22.439	10.3	15
4.52	22.529	10	14.5
4.55	22.618	10.6	15.4
4.58	22.707	9.9	14.5
4.61	22.796	10.7	15.5
4.64	22.885	9.5	14.3
4.67	22.974	9.4	14.1
4.7	23.063	9.3	14.1
4.73	23.153	10.5	15.2
4.76	23.242	9.5	15.5
4.79	23.331	10.2	15.9
4.82	23.42	9	16.9
4.85	23.479	6.1	10.1
4.88	23.538	5.9	10.1
4.91	23.597	4.1	8.3
