# DESCRIPTION:
# Reference: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
# Data from: https://doi.org/10.1594/PANGAEA.737135. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],Foram benth δ18O [‰ PDB],C. wuellerstorfi δ13C [‰ PDB]
0.02,0.176,3.23,0.99
0.05,0.441,3.19,1.07
0.08,0.705,3.3,1.19
0.11,0.97,3.35,1.2
0.14,1.234,3.26,1.24
0.17,1.498,3.32,1.02
0.2,1.763,3.68,1
0.23,2.027,3.35,1.29
0.26,2.292,3.24,1.13
0.29,2.556,3.29,1.28
0.32,2.821,3.19,1.25
0.35,3.085,3.34,1.21
0.38,3.35,3.21,1.15
0.41,3.614,3.2,1.09
0.44,3.878,3.19,1.15
0.47,4.143,3.23,1.15
0.5,4.407,3.29,1.02
0.53,4.672,3.41,1.28
0.56,4.936,3.43,1.05
0.59,5.201,3.6,0.81
0.62,5.465,3.16,1.01
0.65,5.729,3.34,1.09
0.68,5.994,3.62,0.94
0.71,6.258,3.16,1.32
0.74,6.523,3.27,0.98
0.77,6.787,3.58,0.96
0.8,7.052,3.29,1.12
0.83,7.316,3.14,0.97
0.86,7.58,3.28,0.84
0.89,7.845,3.34,0.8
0.92,8.109,3.41,0.98
0.95,8.374,3.11,1
0.98,8.638,3.13,1.1
1.01,8.903,3.28,1.07
1.04,9.167,3.18,1.2
1.07,9.432,3.23,1.03
1.1,9.696,3.42,0.86
1.13,9.96,3.32,0.94
1.16,10.225,3.47,0.91
1.19,10.489,2.88,1.21
1.22,10.754,3.33,0.79
1.25,11.018,3.46,0.92
1.28,11.283,4.18,0.42
1.31,11.547,3.48,0.78
1.34,11.7,3.48,0.79
1.37,11.854,3.83,0.63
1.4,12.007,3.92,0.78
1.43,12.16,3.81,0.62
1.46,12.313,3.62,0.56
1.49,12.467,3.63,0.58
1.58,13.039,3.64,0.82
1.67,13.666,4.29,0.77
1.7,13.876,3.79,0.66
1.73,14.085,3.96,0.68
1.76,14.294,3.88,0.57
1.79,14.503,3.4,0.6
1.82,14.665,3.58,0.67
1.85,14.732,4.04,0.76
1.88,14.798,3.67,0.48
1.91,14.865,3.85,0.73
1.92,14.887,3.75,0.56
1.94,14.931,4.25,0.69
1.95,14.953,3.76,0.67
1.97,14.998,3.86,0.66
1.98,15.02,4.01,0.15
2,15.064,4,0.71
2.03,15.131,3.93,0.7
2.04,15.153,4.06,0.2
2.06,15.197,4.09,0.72
2.09,15.264,4.15,0.78
2.1,15.286,4.06,0.65
2.12,15.33,4.28,0.38
2.15,15.397,4.09,0.83
2.16,15.419,4.21,0.45
2.18,15.463,3.92,0.69
2.21,15.53,3.94,0.72
2.22,15.549,4.18,0.03
2.24,15.588,4.34,0.18
2.27,15.647,3.39,0.8
2.28,15.666,4.35,0.01
2.3,15.705,3.95,0.12
2.33,15.763,4.18,0.24
2.34,15.783,4.32,-0.04
2.36,15.822,4.12,0.3
2.39,15.88,4.22,0.1
2.4,15.902,4.28,0.02
2.42,15.947,3.66,0.78
2.46,16.036,4.21,0.15
2.48,16.081,4.15,0.11
2.51,16.148,4.22,0.02
2.54,16.215,3.98,0.22
2.56,16.259,4.21,-0.18
2.57,16.282,4.55,0.03
2.58,16.304,4.45,-0.06
2.6,16.348,3.3,0.86
2.62,16.393,4.66,-0.05
2.63,16.415,4.21,0.02
2.66,16.482,4.48,0.08
2.68,16.527,4.22,-0.16
2.78,16.75,5.09,0.12
2.81,16.95,5.03,0.12
2.87,17.19,4.88,0.23
2.89,17.269,4.78,-0.05
2.9,17.309,5.11,0.17
2.93,17.429,5.17,-0.04
2.94,17.455,5.23,
2.96,17.507,5.18,0.41
2.99,17.585,5.07,0.39
3,17.611,5.34,
3.02,17.663,5.13,0.46
3.06,17.783,5.29,0.59
3.08,17.866,5.19,0.59
3.11,17.991,5.3,0.09
3.12,18.032,5.16,0.66
3.17,18.241,5.14,0.4
