# DESCRIPTION:
# Reference: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
# Data from: https://doi.org/10.1594/PANGAEA.737413. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],G. bulloides δ18O [‰ PDB],G. bulloides δ13C [‰ PDB]
0.02,0.176,0.27,-0.45
0.05,0.441,0.49,-0.55
0.08,0.705,0.23,-0.36
0.11,0.97,0.63,-0.41
0.14,1.234,0.3,-0.37
0.17,1.498,0.25,-0.38
0.2,1.763,0.32,-0.49
0.23,2.027,0.13,-0.49
0.26,2.292,0.07,-0.53
0.29,2.556,0.35,-0.54
0.32,2.821,0.18,-0.53
0.35,3.085,0.48,-0.6
0.38,3.35,0.18,-0.69
0.41,3.614,0.27,-0.52
0.44,3.878,0.35,-0.55
0.47,4.143,0.3,-0.58
0.5,4.407,0.44,-0.54
0.53,4.672,0.46,-0.74
0.56,4.936,0.33,-0.57
0.59,5.201,0.56,-0.43
0.62,5.465,0.52,-0.5
0.65,5.729,0.26,-0.65
0.68,5.994,0.48,-0.46
0.71,6.258,0.39,-0.64
0.74,6.523,0.6,-0.67
0.77,6.787,0.59,-0.51
0.8,7.052,0.42,-0.58
0.83,7.316,0.66,-0.62
0.86,7.58,0.43,-0.56
0.89,7.845,0.68,-0.45
0.92,8.109,0.8,-0.64
0.95,8.374,0.76,-0.62
0.98,8.638,0.89,-0.71
1.01,8.903,0.77,-0.58
1.04,9.167,0.62,-0.71
1.07,9.432,0.9,-0.63
1.1,9.696,0.68,-0.73
1.13,9.96,0.84,-0.67
1.16,10.225,0.67,-0.73
1.19,10.489,0.88,-0.68
1.22,10.754,0.76,-0.83
1.25,11.018,0.85,-0.9
1.28,11.283,0.71,-0.84
1.31,11.547,0.75,-0.71
1.34,11.7,1.07,-0.57
1.37,11.854,1.54,-0.57
1.4,12.007,1.43,-0.48
1.43,12.16,1.3,-0.43
1.46,12.313,1.36,-0.44
1.49,12.467,1.39,-0.31
1.52,12.62,1.7,-0.55
1.55,12.829,1.51,-0.58
1.58,13.039,1.49,-0.72
1.61,13.248,1.26,-0.6
1.73,14.085,1.06,-0.6
1.76,14.294,1.13,-0.79
1.79,14.503,1.43,-0.57
1.82,14.665,1.98,-0.28
1.85,14.732,1.72,-0.36
1.88,14.798,1.72,-0.33
1.91,14.865,1.7,-0.59
1.94,14.931,1.8,-0.5
1.97,14.998,1.87,-0.68
2,15.064,1.68,-0.59
2.03,15.131,1.7,-0.68
2.06,15.197,1.69,-0.64
2.09,15.264,1.62,-0.78
2.12,15.33,2.14,-0.75
2.15,15.397,1.91,-0.69
2.18,15.463,1.85,-0.74
2.21,15.53,2.15,-0.64
2.24,15.588,2.43,-0.76
2.27,15.647,2.01,-0.68
2.3,15.705,2.18,-0.72
2.33,15.763,2.38,-0.65
2.36,15.822,2.36,-0.59
2.39,15.88,1.96,-0.53
2.42,15.947,2.42,-0.94
2.48,16.081,2.39,-0.74
2.51,16.148,2.29,-0.85
2.54,16.215,2.55,-0.71
2.56,16.259,2.81,-0.59
2.57,16.282,2.57,-0.62
2.58,16.304,2.81,-0.82
2.6,16.348,2.74,-0.72
2.62,16.393,2.8,-0.72
2.63,16.415,2.88,-0.55
2.65,16.46,3,-0.67
2.66,16.482,2.64,-0.86
2.67,16.505,2.91,-0.7
2.69,16.549,2.85,-0.69
2.72,16.616,2.94,-0.71
2.73,16.638,3.03,-0.68
2.75,16.683,2.91,-0.61
2.77,16.728,2.92,-0.64
2.78,16.75,2.56,-0.84
2.81,16.95,2.91,-0.68
2.82,16.99,2.92,-0.76
2.84,17.07,2.84,-0.62
2.85,17.11,3.11,-0.68
2.87,17.19,2.87,-0.71
2.88,17.229,2.94,-0.96
2.9,17.309,2.85,-0.73
2.92,17.389,3.14,-0.73
2.93,17.429,3.12,-0.5
2.96,17.507,2.68,-0.86
2.99,17.585,2.82,-0.67
3.02,17.663,2.73,-0.84
3.05,17.741,2.87,-0.65
3.08,17.866,2.79,-0.88
3.11,17.991,2.65,-0.7
3.14,18.116,2.54,-0.9
3.17,18.241,2.56,-0.92
3.2,18.366,2.39,-0.91
3.23,18.491,2.34,-1.12
3.26,18.615,2.54,-1.02
3.29,18.74,2.8,-0.74
3.32,18.865,2.52,-0.98
3.35,18.99,2.6,-0.93
3.38,19.115,2.31,-0.77
3.41,19.24,2.19,-1
3.44,19.328,2.47,-0.91
3.47,19.417,2.39,-0.86
3.5,19.505,2.41,-0.78
3.53,19.593,2.44,-0.83
3.56,19.682,2.44,-0.85
3.59,19.77,2.41,-0.84
3.62,19.858,2.44,-0.82
3.65,19.947,2.46,-0.67
3.68,20.035,2.58,-0.59
3.71,20.123,2.53,-0.69
3.74,20.212,2.64,-0.61
3.77,20.3,2.69,-0.61
3.8,20.389,2.49,-0.78
3.83,20.478,2.36,-0.77
3.86,20.567,2.26,-0.96
3.89,20.657,2.55,-0.85
3.92,20.746,2.3,-0.78
3.95,20.835,2.45,-0.64
3.98,20.924,2.5,-0.72
4.01,21.013,2.47,-0.55
4.04,21.102,2.57,-0.56
4.07,21.191,2.64,-0.57
4.1,21.281,2.45,-0.51
4.13,21.37,2.7,-0.64
4.16,21.459,2.51,-0.67
4.19,21.548,2.55,-0.85
4.22,21.637,2.48,-0.88
4.25,21.726,2.71,-0.56
4.28,21.815,2.56,-0.68
4.31,21.905,2.76,-0.53
4.34,21.994,2.48,-0.76
4.37,22.083,2.46,-0.74
4.4,22.172,2.49,-0.71
4.43,22.261,2.48,-0.74
4.46,22.35,2.57,-0.49
4.49,22.439,2.6,-0.55
4.52,22.529,2.6,-0.44
4.55,22.618,2.34,-0.81
4.58,22.707,2.71,-0.58
4.61,22.796,2.56,-0.73
4.64,22.885,2.54,-0.68
4.67,22.974,2.51,-0.56
4.7,23.063,2.56,-0.57
4.73,23.153,2.68,-0.51
4.76,23.242,2.55,-0.49
4.79,23.331,2.63,-0.65
4.82,23.42,2.59,-0.72
4.85,23.479,2.72,-0.51
4.88,23.538,2.73,-0.69
4.91,23.597,2.91,-0.49
4.94,23.656,2.88,-0.68
4.97,23.715,3.08,-0.56
5,23.774,2.89,-0.67
5.06,23.892,2.81,-0.63
5.09,23.95,2.74,-0.61
5.12,24.009,2.9,-0.64
5.15,24.068,2.84,-0.3
5.18,24.127,2.75,-0.49
5.21,24.186,2.61,-0.65
5.24,24.245,2.61,-0.76
5.27,24.304,2.58,-0.88
5.3,24.363,2.77,-0.64
5.33,24.444,2.56,-0.73
5.36,24.525,2.58,-0.65
5.39,24.607,2.51,-0.63
5.42,24.688,2.63,-0.66
5.45,24.769,2.6,-0.47
5.48,24.85,2.48,-0.65
5.51,24.932,2.72,-0.76
5.54,25.013,2.7,-0.77
5.57,25.094,2.64,-0.41
5.6,25.175,2.62,-0.8
5.63,25.256,2.68,-0.64
5.66,25.338,2.97,-0.61
5.69,25.419,2.88,-0.46
5.72,25.5,2.86,-0.47
5.75,25.7,3.09,-0.57
5.78,25.744,3.3,-0.37
5.81,25.787,3.09,-0.49
5.84,25.831,2.85,-0.78
5.87,25.875,2.97,-0.7
5.9,25.918,2.85,-0.83
5.93,25.962,2.6,-0.62
5.96,26.005,2.8,-0.2
5.99,26.049,2.66,-0.59
6.02,26.093,2.56,-0.64
6.05,26.136,2.76,-0.85
6.08,26.18,2.45,-0.8
6.11,26.397,2.67,-0.62
6.15,26.686,2.55,-0.8
6.17,26.831,2.57,-0.61
6.2,27.048,2.55,-0.62
6.23,27.265,2.41,-0.77
6.26,27.482,2.66,-0.39
6.29,27.698,2.54,-0.66
6.32,27.915,2.56,-0.32
6.35,28.132,2.62,-0.36
6.38,28.349,2.47,-0.19
6.41,28.566,2.29,-0.35
6.47,29,2.09,-0.62
6.5,29.045,2.26,-0.63
6.53,29.09,2.53,-0.31
6.56,29.136,2.56,-0.56
6.59,29.181,2.42,-0.46
6.62,29.226,2.93,-0.19
6.65,29.271,2.86,-0.33
6.68,29.316,3.14,-0.2
6.71,29.361,3.08,-0.06
6.74,29.407,2.99,-0.27
6.77,29.452,2.46,-0.41
6.8,29.497,2.68,-0.35
6.83,29.542,2.51,-0.33
6.86,29.587,2.88,-0.34
6.89,29.633,2.91,-0.44
6.92,29.678,2.73,-0.27
6.95,29.723,2.86,-0.45
6.98,29.768,2.93,-0.34
7.01,29.813,3.02,-0.41
7.04,29.859,2.87,-0.45
7.07,29.904,2.88,-0.45
7.1,29.949,3.02,-0.38
7.13,29.994,2.88,-0.33
7.16,30.039,2.76,-0.51
7.19,30.084,2.86,-0.38
7.22,30.13,2.71,-0.58
7.25,30.175,3.21,-0.38
7.28,30.22,3.1,-0.4
7.31,30.39,3.11,-0.26
7.34,30.559,2.87,-0.36
7.37,30.729,2.67,-0.16
7.4,30.898,2.58,-0.17
7.43,31.068,2.44,-0.5
7.46,31.237,2.62,-0.1
7.48,31.35,2.71,-0.08
7.51,31.52,2.73,-0.05
7.54,31.96,2.87,0.16
7.57,32.4,2.92,0.05
7.6,32.84,2.88,-0.36
7.63,33.28,2.73,-0.12
7.66,33.72,2.82,-0.03
7.69,33.91,2.77,-0.1
7.72,34.1,2.79,-0.15
7.75,34.29,2.65,0.04
7.78,34.48,2.74,-0.15
7.82,34.582,2.85,-0.01
7.85,34.658,2.69,-0.15
7.88,34.734,2.59,-0.12
7.91,34.81,2.76,-0.2
7.94,34.887,2.81,-0.11
7.97,34.963,2.6,-0.04
8,35.039,2.56,-0.33
8.03,35.115,2.57,-0.11
8.06,35.191,2.28,-0.43
8.09,35.268,2.49,-0.35
8.12,35.344,2.06,-0.52
8.15,35.42,2.28,-0.22
8.18,35.73,2.51,-0.07
8.21,35.96,2.48,-0.15
8.24,36.19,2.09,-0.3
8.27,36.42,2.47,-0.41
8.3,36.65,1.54,-0.54
8.33,36.88,1.47,-0.98
8.36,37.026,2.41,-0.33
8.39,37.172,2,-0.54
8.42,37.319,2.2,-0.12
8.45,37.465,2.3,0
8.48,37.612,2.38,0.02
8.51,37.758,2.16,-0.26
8.54,37.904,2.3,-0.29
8.57,38.051,2.75,-0.37
8.6,38.197,2.91,-0.65
8.63,38.344,2.9,-0.34
8.66,38.49,2.51,-0.09
8.69,38.668,2.84,-0.31
8.72,38.846,2.76,-0.33
8.75,39.024,2.87,-0.42
8.78,39.201,2.83,-0.31
8.81,39.379,2.88,-0.44
8.84,39.513,3.17,-0.45
8.87,39.647,3.01,-0.58
8.9,39.782,2.98,-0.33
8.93,39.916,2.86,-0.25
8.96,40.05,2.96,-0.48
8.98,40.14,2.56,-0.22
9.02,40.327,2.61,-0.08
