/* DESCRIPTION:
Reference:	Davtian, Nina; Bard, Edouard; Darfeuil, Sophie; Ménot, Guillemette; Rostek, Frauke (2021): The Novel Hydroxylated Tetraether Index RI‐OH′ as a Sea Surface Temperature Proxy for the 160‐45 ka BP Period Off the Iberian Margin. Paleoceanography and Paleoclimatology, 36(3), https://doi.org/10.1029/2020PA004077.
Data from:	https://doi.org/10.1594/PANGAEA.927622. Accessed 11 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Depth [m]	Age [ka BP]	SST [°C] from Ri OH-GDGTs, Fietz et al. (2020)	SST [°C] from TEXH86, Darfeuil et al. (2016)	SST [°C] from UK'37 (Conte et al., 2006)
0	-0.05	18.08	18.84	19.14
0.05	0.16	17.84	18.81	18.78
0.1	0.36	17.77	19.11	18.99
0.15	0.56	17.73	19.01	18.77
0.2	0.76	18	18.52	19.42
0.25	0.96	18.23	18.84	19.1
0.3	1.16	17.79	19.15	19.14
0.35	1.36	18.05	19	18.86
15.11	44.65	12.62	11.86	14.49
15.15	44.86	13.73	13.55	15.63
15.21	45.19	13.4	13.16	15.29
15.25	45.4	13.69	13.54	15.29
15.31	45.73	14.16	13.75	15.28
15.33	45.83	13.72	12.8	15.49
15.38	46.1	14.27	14.27	15.34
15.43	46.37	14.58	14.11	15.32
15.51	46.8	14.14	14.21	15.19
15.55	47.02	13.38	14.5	14.54
15.61	47.32	10.84	13.53	12.91
15.65	47.48	10.5	13.13	12.19
15.71	47.72	9.74	13.3	12.13
15.75	47.87	8.62	12.44	11.04
15.79	48.03	8.35	11.35	11.35
15.85	48.26	8.4	10.76	13.16
15.91	48.5	10.04	10.46	14.37
15.95	48.72	10.43	11.3	15.47
16.01	49.07	12.45	12.54	14.96
16.05	49.31	13.25	13.42	15.37
16.11	49.66	13.75	13.26	15.51
16.15	49.9	13.42	13.17	15.5
16.22	50.31	13.61	13.94	15.9
16.25	50.49	13.62	12.34	15.33
16.31	50.84	14.11	14.53	15.97
16.33	50.96	13.57	14.33	15.81
16.38	51.25	14.03	14.22	16.16
16.42	51.49	14.21	14.21	16.3
16.45	51.67	13.94	14.11	16.42
16.51	52.02	14.44	14.5	16.45
16.55	52.26	14.56	14.58	16.93
16.61	52.61	14.3	15.15	16.91
16.65	52.85	14.47	15.3	16.39
16.71	53.2	14.79	15.48	16.13
16.75	53.44	14.57	14.57	15.55
16.81	53.79	13.91	15.91	15.55
16.85	54.03	12.69	14.1	13.99
16.91	54.38	10.61	14.51	13.62
16.95	54.62	13.08	14.17	15.71
17.01	54.97	12.56	14.35	
17.05	55.21	13.08	13.24	15.42
17.11	55.56	13.39	14.39	15.34
17.15	55.79	12.52	14.52	15.29
17.21	56.15	11.38	13.94	14.38
17.25	56.38	11.67	13.38	14.79
17.31	56.74	14.28	15.47	15.95
17.35	56.97	14.39	15.54	15.65
17.41	57.33	14.64	15.56	15.88
17.45	57.56	14.48	15.3	16.38
17.51	57.92	14.42	15.39	15.79
17.55	58.15	14.89	16.23	15.65
17.61	58.51	11.74	14.63	14.13
17.65	58.74	13.47	15.51	15.53
17.71	59.1	13.83	15.68	15.95
17.75	59.33	14.61	16.65	15.22
17.81	59.69	12.14	15.13	15.02
17.85	59.92	9.67	13.97	12.33
17.91	60.27			10.72
17.95	60.5	8.55	11.65	10.21
18.01	60.84	8.31	12.05	10.99
18.05	61.07	8.49	12.07	10.06
18.11	61.42	8.97	11.58	10.7
18.15	61.65	8.73	12.98	10.4
18.21	62	8.8	10.92	10.33
18.25	62.23	8.59	10.75	10.55
18.31	62.57	8.27	11.91	8.81
18.35	62.8	8.08	10	9.15
18.41	63.15	8.57	10.27	9.24
18.45	63.38	9	10.39	10.56
18.49	63.61	8.93	10.91	11.07
18.55	63.96	9.97	12.68	12.26
18.61	64.31	12.27	11.79	14.83
18.65	64.55	12.78	10.43	14.89
18.71	64.92	13.01	12.53	15.17
18.75	65.16	13.84	14.11	15.17
18.81	65.53	12.69	12.58	13.8
18.85	65.77	11.6	13.02	14.84
18.91	66.14	12.83	12.11	14.29
18.95	66.38	12.56	13.61	14.26
19.01	66.74	11.12	13.11	12.87
19.05	66.99	11.5	13.68	14.98
19.11	67.35	13.16	13.03	14.99
19.15	67.6	12.44	11.07	15.43
19.21	67.96	13.27	12.06	15.62
19.25	68.21	12.75	10.91	15.09
19.31	68.57	12.1	10.88	14.84
19.35	68.82	13.49	11.24	14.76
19.4	69.12	13.22	11.58	15.34
19.45	69.43	12.99	11.45	15.48
19.5	69.73	12.78	11.55	15.67
19.55	70.04	13.76	13.79	15.69
19.6	70.34	11.49	13.35	15.02
19.65	70.64	13.21	11.51	16.07
19.7	70.95	14.17	14.88	17.29
19.75	71.25	14.73	15.61	17.3
19.8	71.56	14.99	16.08	17.66
19.85	71.86	14.42	14.92	16.22
19.91	72.23	9.55	15.12	13.36
19.95	72.47	12.15	13.58	14.17
20	72.78	8.8	12.83	13.42
20.05	73.08	8.98	14.6	15.64
20.11	73.52	13.31	15.31	17.39
20.16	73.97	13.53	13.53	17.55
20.2	74.33	15.2	14.8	19.12
20.25	74.78	15.06	15.14	18.39
20.3	75.23	16.09	17.43	18.47
20.36	75.77	13.69	14.46	17.35
20.4	76.13	11.14	14.12	14.67
20.44	76.49	10.49	13.14	14.18
20.5	77.03	9.49	15.52	14.6
20.55	77.46	10.3	13.2	15.42
20.6	77.89	13.62	13.9	17.31
20.66	78.4	14.85	13.73	17.66
20.71	78.82	15.1	14.67	17.72
20.76	79.25	14.74	14.07	17.88
20.8	79.59	14.94	14.19	18.42
20.86	80.1	15.14	14.02	18.42
20.91	80.53	15.54	14.32	18.13
20.96	80.96	14.75	14.17	18.53
21	81.3	15.77	16.19	19.1
21.06	81.81	16.4	16.53	19.03
21.1	82.15	15.9	16.93	19.4
21.16	82.66	16.74	16.85	19.73
21.2	83	16.63	15.37	19.94
21.26	83.51	17.18	17.53	20.35
21.31	83.94	14.51	16.66	18.41
21.36	84.37	15.32	17.08	18.18
21.4	84.71	13	16.85	16.59
21.46	85.22	10.68	17.33	15.83
21.5	85.56	9.9	16.79	14.53
21.56	86.07	9.48	16.39	14.07
21.6	86.41	9.48	14.38	13.44
21.65	86.84	9.52	15.66	13.72
21.7	87.27	9.43	14.43	13.53
21.75	87.69	9.42	13.87	15.13
21.8	88.12	9.94	15.22	14.05
21.85	88.57	13.34	15.35	17.82
21.9	89.08	14.51	15.3	17.95
21.95	89.58	15.47	15.96	17.22
22	90.09	15.52	15.14	18.06
22.05	90.6	15.65	16.29	18.18
22.1	91.1	15.64	16.72	18.28
22.15	91.61	16.45	16.73	17.79
22.2	92.11	15.96	16.72	18.13
22.25	92.62	15.92	15.58	17.27
22.3	93.12	15.57	16.17	17.96
22.35	93.63	15.85	16.27	17.77
22.4	94.13	15.89	16.48	18.43
22.45	94.64	16.17	16.42	18.44
22.5	95.14	16.17	17.37	18.91
22.55	95.65	15.86	15.9	18.43
22.6	96.16	15.86	16.92	18.85
22.65	96.66	16.32	17.16	18.52
22.7	97.17	16.01	17.28	19.63
22.75	97.67	16.02	17.34	19.38
22.8	98.18	15.77	16.33	18.89
22.85	98.68	16.22	17.5	19.45
22.9	99.19	16.68	17.89	19.44
22.95	99.69	15.71	16.16	19.15
23	100.2	16.5	17.64	19.41
23.05	100.7	15.94	17.61	19.67
23.1	101.21	16.56	16.45	19.64
23.15	101.72	16.68	17.52	19.5
23.2	102.22	16.72	16.2	19.99
23.25	102.73	16.23	16.86	19.21
23.3	103.23	16.51	17.5	19.93
23.35	103.74	16.81	17.34	19.14
23.4	104.24	12.8	17.04	17.07
23.45	104.75	15.39	17.16	17.06
23.5	105.25	10.19	15.83	14.51
23.55	105.76	9.98	15.27	14.05
23.6	106.25	10.38	15.38	15.53
23.65	106.61	14.99	14.88	18.81
23.7	106.97	15.88	15.92	19.09
23.75	107.33	15.4	15.31	18.66
23.8	107.69	16.08	16.19	18.7
23.85	108.05	16.23	16.02	18.86
23.9	108.41	16.23	17.68	18.71
23.95	108.93	12.18	15.69	15.13
24	109.55	10.87	15.21	14.38
24.05	110.18	10.67	14.65	14.34
24.1	110.81	13.53	14.74	16.3
24.15	111.43	15.04	16.18	18.24
24.2	112.06	15.29	15.83	18.11
24.25	112.69	15.19	15.63	18.22
24.31	113.44	14.68	16.71	17.92
24.35	113.94	15.84	16.95	18.26
24.4	114.57	16.17	17.42	18.19
24.45	115.19	16.59	17.78	18.41
24.51	115.94	15.99	16.53	18.55
24.55	116.45	15.75	17.13	18.36
24.6	117.07	16	17.86	19.06
24.65	117.7	16.48	17.49	18.98
24.71	118.45	16.11	18	19.31
24.75	118.95	16.21	16.03	19.29
24.8	119.58	16.4	18.49	19.8
24.86	120.33	17.16	19.36	19.99
24.9	120.83	18.03	19.25	19.74
24.95	121.46	17.42	19.36	20.33
25	122.09	17.94	19.71	20.69
25.05	122.71	18.77	19.96	20.88
25.1	123.34	19.03	19.11	20.88
25.15	123.97	18.48	18.49	20.78
25.2	124.59	18.33	20.26	21.22
25.25	125.22	18.67	20.33	21.24
25.3	125.85	18.92	20.39	21.71
25.35	126.47	20.28	21.05	21.54
25.4	127.1	20.65	20.52	21.93
25.45	127.73	20.44	19.96	21.24
25.5	128.35	20.24	19.24	21.42
25.55	128.97	19.44	19.48	21.21
25.6	129.23			21.2
25.65	129.49	18.94	18.36	20.37
25.7	129.74	11.28	16.2	17.47
25.75	130	8.96	16.05	15.3
25.8	130.26	7.8	13.47	14.5
25.85	130.52	7.28	13.04	14.05
25.9	130.78	7.15	12.46	14.17
25.96	131.1	6.93	11.65	14.92
26	131.3	6.75	10.91	13.33
26.05	131.56	6.71	11.35	11.83
26.1	131.82	7	11.31	10.96
26.15	132.08	7.19	11.94	12.22
26.2	132.34	7.88	11.58	12.12
26.25	132.6	8.17	12.35	11.27
26.3	132.86	8.2	11.91	13.81
26.35	133.12	9.21	13.2	13.6
26.4	133.38	9.41	12.75	15.01
