# DESCRIPTION:
# Reference: Shackleton, N.J., M.A. Hall and E. Vincent, 2000, Phase relationships between millennial scale events 64000 to 24000 years ago, Paleoceanography, v.15, No.6, pp.565, https://doi.org/10.1029/2000PA000513.
# Data from: https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/shackleton2000/. Accessed 11 Nov 2022.
# Comment: mean d13C and mean d18O from md952042-mean13c.txt and md952042-meanplank.txt are placed on the same timeline.

depth [m]  ,age [Ka] (GISP correlation),mean d18O ,mean d13C
0,0,0.27,0.92
0.04,0.153,,1.01
0.2,0.763,0.33,0.99
0.4,1.525,0.27,0.99
0.6,2.288,0.15,1.08
0.8,3.05,0.21,
1,3.813,0.3,1.06
1.2,4.576,0.18,1.2
1.4,5.338,0.3,0.5
1.6,6.101,0.08,0.7
1.8,6.864,0.27,0.94
2,7.626,0.15,0.99
2.2,8.389,0.24,0.75
2.4,9.151,0.29,0.84
2.5,9.533,0.12,0.89
2.6,9.914,0.46,0.93
2.7,10.295,0.48,
2.8,10.677,0.24,0.79
2.9,11.058,0.4,
3,11.439,0.55,0.68
3.1,11.745,1.01,
3.2,11.975,1.3,
3.3,12.204,1.58,
3.4,12.434,1.81,
3.5,12.664,1.73,
3.6,12.893,1.48,
3.7,13.123,1.46,
3.8,13.353,1.24,
3.9,13.583,1.34,0.43
4,13.812,1.18,0.81
4.04,13.904,1.21,
4.08,13.996,1.07,0.68
4.1,14.042,1.07,0.73
4.12,14.088,1.25,0.48
4.16,14.18,1.2,0.82
4.2,14.272,1.05,
4.24,14.364,1.07,0.65
4.28,14.456,,0.7
4.3,14.501,1.22,0.35
4.32,14.547,1.1,
4.36,14.639,1.5,
4.4,14.731,1.64,
4.44,14.823,2.27,
4.48,14.915,2.14,0.44
4.5,14.961,2.22,
4.52,15.007,2.24,
4.56,15.098,2.35,
4.6,15.19,2.19,
4.64,15.282,2.16,0.04
4.68,15.374,2.16,
4.7,15.42,2.3,
4.72,15.466,2.4,
4.76,15.558,2.18,
4.8,15.649,2,
4.84,15.741,2.17,
4.88,15.833,2.11,0.11
4.9,15.879,2.05,
4.92,15.925,2.5,
5,16.109,2.31,
5.04,16.201,2.04,
5.08,16.292,2.19,
5.1,16.338,2.12,
5.12,16.384,2.29,
5.2,16.568,2.34,
5.24,16.66,2.44,
5.28,16.752,2.71,
5.3,16.797,2.56,
5.32,16.843,2.68,
5.36,16.935,2.44,
5.4,17.027,2.67,
5.44,17.119,2.53,
5.48,17.211,2.72,
5.5,17.257,2.48,
5.52,17.303,2.76,
5.56,17.394,2.83,
5.6,17.486,2.57,
5.64,17.578,2.67,
5.68,17.67,2.59,
5.7,17.716,2.95,
5.72,17.762,2.73,
5.76,17.854,2.88,
5.8,17.945,2.91,
5.84,18.037,3.05,
5.88,18.129,2.63,
5.9,18.175,2.59,0.23
5.92,18.221,2.47,
5.96,18.313,2.4,
6,18.405,2.6,0.22
6.04,18.496,2.25,0.27
6.08,18.588,2.47,
6.12,18.68,2.46,0.12
6.16,18.772,2.73,
6.2,18.864,2.29,0.23
6.24,18.956,2.28,0.27
6.28,19.048,2.34,
6.32,19.139,2.45,0.23
6.36,19.231,2.01,0.23
6.4,19.323,2.08,
6.44,19.415,2.02,
6.48,19.507,2.03,
6.52,19.599,2.28,
6.56,19.69,2.12,
6.6,19.782,2.05,
6.64,19.874,1.79,
6.68,19.966,2.12,
6.72,20.058,1.7,
6.76,20.15,2.04,
6.8,20.241,2.11,
6.84,20.333,2.04,
6.88,20.425,2.35,
6.92,20.517,2.05,
6.96,20.609,2,
7,20.701,1.99,0.12
7.04,20.792,2.32,
7.08,20.884,2.46,0.17
7.12,20.976,2.28,0.17
7.16,21.068,2.91,
7.2,21.16,2.2,
7.24,21.252,2.29,
7.28,21.344,2.25,
7.32,21.435,2.09,
7.36,21.527,2.23,
7.4,21.619,2.05,
7.44,21.711,2.28,
7.48,21.803,2.32,
7.52,21.895,2.59,
7.56,21.986,2.12,
7.6,22.078,2.08,
7.64,22.17,2.53,
7.68,22.262,2.21,
7.72,22.354,2.06,
7.76,22.446,2.13,
7.8,22.537,2.14,
7.84,22.629,2.13,
7.88,22.721,2.12,
7.9,22.767,1.81,
7.92,22.813,2.19,
7.96,22.905,2.01,
8,22.997,1.93,
8.04,23.088,2.38,
8.08,23.18,2.23,
8.1,23.226,1.79,0.16
8.12,23.272,2.35,
8.16,23.364,2.28,
8.2,23.456,2.54,-0.06
8.24,23.548,2.13,
8.28,23.639,2.34,0.08
8.32,23.731,2.36,0.01
