# DESCRIPTION:
# Reference: Sanchez Goñi, Maria Fernanda; Desprat, Stéphanie; Daniau, Anne-Laure; Bassinot, Franck C; Polanco-Martínez, Josué M; Harrison, Sandy P; Allen, Judy R M; Anderson, R Scott; Behling, Hermann; Bonnefille, Raymonde; Burjachs, Francesc; Carrión, José S; Cheddadi, Rachid; Clark, James S; Combourieu-Nebout, Nathalie; Courtney-Mustaphi, Colin J; DeBusk, Georg H; Dupont, Lydie M; Finch, Jemma M; Fletcher, William J; Giardini, Marco; González, Catalina; Gosling, William D; Grigg, Laurie D; Grimm, Eric C; Hayashi, Ryoma; Helmens, Karin F; Heusser, Linda E; Hill, Trevor R; Hope, Geoffrey; Huntley, Brian; Igarashi, Yaeko; Irino, Tomohisa; Jacobs, Bonnie Fine; Jiménez-Moreno, Gonzalo; Kawai, Sayuri; Kershaw, A Peter; Kumon, Fujio; Lawson, Ian T; Ledru, Marie-Pierre; Lézine, Anne-Marie; Liew, Ping-Mei; Magri, Donatella; Marchant, Robert; Margari, Vasiliki; Mayle, Francis E; McKenzie, G Merna; Moss, Patrick T; Müller, Stefanie; Müller, Ulrich C; Naughton, Filipa; Newnham, Rewi M; Oba, Tadamichi; Pérez-Obiol, Ramon P; Pini, Roberta; Ravazzi, Cesare; Roucoux, Katherine H; Rucina, Stephen M; Scott, Louis; Takahara, Hikaru; Tzedakis, Polychronis C; Urrego, Dunia H; van Geel, Bas; Valencia, Bryan G; Vandergoes, Marcus J; Vincens, Annie; Whitlock, Cathy L; Willard, Debra A; Yamamoto, Masanobu (2017): The ACER pollen and charcoal database: a global resource to document vegetation and fire response to abrupt climate changes during the last glacial period. Earth System Science Data, 9(2), 679-695, https://doi.org/10.5194/essd-9-679-2017
# Data from: https://doi.org/10.1594/PANGAEA.872813. Accessed 11 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

Depth [m],Age [ka BP],Pollen temperate forest [%]
2.8,18.8287,2.17
2.85,18.9058,2.08
2.9,18.983,0.79
2.95,19.0554,2.24
3,19.1278,0.67
3.05,19.2002,3.21
3.1,19.2726,3.1
3.15,19.3451,1.77
3.2,19.4175,3.05
3.25,19.4899,2.33
3.3,19.5623,1.61
3.35,19.6347,1.42
3.4,19.7071,0.68
3.45,19.7795,2.94
3.5,19.8519,3.97
3.55,19.9243,4.08
3.6,19.9968,3.42
3.65,20.0692,0.63
3.7,20.1416,2.1
3.75,20.214,3.91
3.8,20.2864,3.73
3.85,20.3588,2.17
3.9,20.4312,1.38
3.95,20.5036,1.81
4,20.576,4.27
4.05,20.6484,3.73
4.1,20.7209,2.44
4.15,20.7933,2.26
4.2,20.8657,0
4.25,20.9381,3.5
4.3,21.0105,3.25
4.35,21.0829,1.57
4.4,21.1553,1.55
4.45,21.2277,0.8
4.5,21.3001,2.27
4.55,21.3726,3.38
4.6,21.445,1.72
4.65,21.5174,0.69
4.7,21.5898,1.53
4.75,21.6622,3.4
4.8,21.7346,3.23
4.85,21.807,1.73
4.9,21.8794,0.65
4.95,21.9518,2.38
5,22.0243,3.36
5.05,22.0967,1.33
5.1,22.1691,0.86
5.15,22.2415,2.46
5.2,22.3139,2.05
5.25,22.3863,2.42
5.3,22.4587,3.23
5.35,22.5311,0.76
5.4,22.6035,2.11
5.45,22.6759,1.68
5.5,22.7484,0.7
5.55,22.8208,2.92
5.6,22.8932,0.49
5.65,22.9656,1.4
5.7,23.038,2.27
5.75,23.3388,1.92
5.8,23.6396,1.55
5.85,23.9404,2.44
5.9,24.2412,0.75
5.95,24.542,0
6,24.6554,1.09
6.05,24.7688,0.61
6.1,24.8822,0.72
6.15,24.9956,1.2
6.2,25.109,0.8
6.25,25.3081,2
6.3,25.471,2.34
6.35,25.6339,2.82
6.4,25.7731,1.67
6.45,25.8965,0.96
6.5,26.02,1
6.55,26.1963,0.68
6.6,26.3725,1.32
6.65,26.5488,1.32
6.7,26.725,3.2
6.75,26.9177,1.69
6.8,27.1103,4.03
6.85,27.303,2.38
6.9,27.4957,0
6.95,27.6883,0.84
7,27.881,3.25
7.1,28.1505,1.45
7.2,28.42,3.45
7.3,28.6895,2.63
