/* DESCRIPTION:
Reference:	Eynaud, F et al. (2009): Position of the Polar Front along the western Iberian margin during key cold episodes of the last 45 ka. Geochemistry, Geophysics, Geosystems, 10(7), Q07U05, https://doi.org/10.1029/2009GC002398.
Data from:	https://doi.org/10.1594/PANGAEA.738131.
Comment:	N. pachyderma s from the original dataset is not included here.
*/
Depth [m]	Age [ka BP]	G. bulloides δ18O [‰ PDB]
0.05	1.143	-1.1
0.1	1.569	-0.28
0.15	1.995	-0.12
0.2	2.422	-0.19
0.25	2.848	0.43
0.3	3.274	0.12
0.35	3.7	-0.02
0.45	4.552	0.28
0.5	4.979	0.12
0.55	5.405	-0.27
0.6	5.831	-0.63
0.65	6.257	-0.43
0.7	6.348	-0.33
0.75	6.44	-0.38
0.85	6.623	-0.27
0.9	6.714	0.04
0.95	6.806	-0.47
1	6.897	-0.27
1.05	6.989	0.2
1.1	7.08	-0.12
1.15	7.171	0.14
1.2	7.263	-0.03
1.25	7.354	-0.07
1.3	7.446	-0.02
1.35	7.537	-0.27
1.4	7.629	0.23
1.45	7.72	0.09
1.51	7.83	-0.3
1.55	7.903	0.11
1.6	7.995	-0.2
1.65	8.086	-0.03
1.7	8.177	0.03
1.75	8.269	0
1.8	8.36	0.43
1.85	8.452	0.2
1.9	8.543	0.18
1.95	8.635	0.17
2	8.726	0.08
2.05	8.818	0.53
2.1	8.909	0.09
2.15	9	-0.05
2.2	9.092	0.12
2.25	9.183	0.01
2.3	9.275	0.04
2.35	9.366	0.31
2.4	9.458	0.02
2.45	9.549	-0.14
2.5	9.641	-0.12
2.55	9.732	0.28
2.6	9.861	-0.18
2.65	9.989	0.01
2.7	10.118	0.07
2.75	10.246	0.1
2.8	10.375	0.25
2.85	10.503	-0.17
2.9	10.632	0.32
2.95	10.761	0.09
3.01	10.915	-0.06
3.05	11.018	0.24
3.1	11.146	0.09
3.15	11.275	-0.07
3.2	11.403	0.04
3.25	11.532	0.17
3.3	11.66	0.17
3.4	11.918	0.55
3.45	12.046	1.02
3.5	12.175	0.93
3.55	12.303	1.14
3.6	12.432	1.2
3.65	12.56	1.33
3.7	12.689	1.53
3.75	12.853	1.29
3.8	13.017	1.31
3.85	13.182	1.13
3.9	13.346	0.83
3.95	13.51	0.65
4	13.674	0.75
4.05	13.838	0.89
4.1	14.002	1
4.15	14.167	0.5
4.2	14.331	1
4.25	14.495	0.75
4.3	14.659	0.68
4.35	14.823	1
4.4	14.987	0.56
4.45	15.152	1.43
4.5	15.152	
4.51	15.349	1.74
4.55	15.48	1.6
4.6	15.644	1.76
4.65	15.808	1.8
4.7	15.972	1.58
4.75	16.137	1.45
4.8	16.301	2
4.85	16.465	2.34
4.9	16.557	2.56
4.95	16.648	2.44
5	16.74	2.53
5.05	16.832	2.47
5.1	16.923	2.52
5.15	17.015	2.36
5.2	17.106	2.43
5.25	17.198	2.41
5.3	17.29	2.56
5.35	17.381	2.6
5.4	17.473	2.68
