# DESCRIPTION:
# Reference: Erhardt, T et al. (2019): Decadal-scale progression of the onset of Dansgaard–Oeschger warming events. Climate of the Past, 15(2), 811-825, https://doi.org/10.5194/cp-15-811-2019.
# Data from: https://doi.org/10.1594/PANGAEA.896736. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [ka BP],Na+ [ng/g],Ca2+ [ng/g]
10.005,11.2424,8.6292
10.015,11.30652,10.81795
10.025,9.42007,9.31247
10.035,10.8337,8.29023
10.045,19.35207,10.09421
10.055,12.14531,8.96032
10.065,8.42953,6.72169
10.075,9.58057,8.04179
10.085,10.3211,8.63517
10.095,13.10128,9.34022
10.105,10.78298,9.18076
10.115,16.89105,8.46938
10.125,13.7799,11.07229
10.135,9.7139,6.99974
10.145,13.06756,8.63793
10.155,8.45276,8.44594
10.165,11.2187,12.03675
10.175,11.23356,10.81373
10.185,12.25625,9.83684
10.195,13.57613,11.22776
10.205,12.43437,8.87305
10.215,11.9285,11.00805
10.225,9.36904,9.00752
10.235,10.1165,9.38938
10.245,12.50978,10.39253
10.255,6.50558,9.72239
10.265,15.32395,9.20995
10.275,11.59848,9.85259
10.285,13.04048,11.83596
10.295,11.37689,15.87798
10.305,7.68364,9.96835
10.315,12.75481,11.96767
10.325,11.58274,12.34912
10.335,11.68091,12.33978
10.345,11.36945,8.68471
10.355,8.1817,8.56781
10.365,11.0219,8.64905
10.375,10.08129,10.72494
10.385,12.13619,10.12277
10.395,13.25431,11.85348
10.405,13.88425,8.23258
10.415,12.61947,9.85843
10.425,11.4841,9.32836
10.435,13.30152,10.5533
10.445,14.3648,9.96704
10.455,10.25506,7.22216
10.465,9.53524,8.99755
10.475,12.96781,8.71305
10.485,9.63949,12.26793
10.495,10.41965,9.24194
10.505,12.04043,11.44531
10.515,10.66359,10.88384
10.525,9.65655,7.42395
10.535,10.01331,10.92479
10.545,13.00059,8.33112
10.555,11.41143,11.37885
10.565,9.92604,10.45445
10.575,10.62876,11.47452
10.585,12.40921,9.66176
10.595,11.4493,11.84446
10.605,10.17537,8.65445
10.615,10.40901,11.51792
10.625,12.45467,9.45372
10.635,10.74741,11.61782
10.645,11.04968,11.30566
10.655,13.03269,8.94396
10.665,13.50768,10.81106
10.675,13.36585,15.30137
10.685,8.66216,9.5317
10.695,10.73354,11.6171
10.705,11.9911,13.59842
10.715,11.67377,10.19453
10.725,12.29326,11.12001
10.735,11.38379,11.78868
10.745,10.3421,12.34399
10.755,12.62661,11.58415
10.765,12.81518,12.0113
10.775,12.17961,12.1221
10.785,12.39303,10.34435
10.795,11.19067,8.34996
10.805,10.7281,10.16409
10.815,13.3233,9.82236
10.825,13.78188,13.4743
10.835,16.40615,14.95356
10.845,12.8137,13.81174
10.855,11.22183,15.06033
10.865,13.9919,12.55641
10.875,16.64755,13.18695
