# DESCRIPTION:
# Reference: S.O. Rasmussen, P.M. Abbott, T. Blunier, A.J. Bourne, E. Brook, S.L. Buchardt, C. Buizert, J. Chappellaz, H.B. Clausen, E. Cook, D. Dahl-Jensen, S.M. Davies, M. Guillevic, S. Kipfstuhl, T. Laepple, I.K. Seierstad, J.P. Severinghaus, J.P. Steffensen, C. Stowasser, A. Svensson, P. Vallelonga, B.M. Vinther, F. Wilhelms, and M. Winstrup (2013): A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Clim. Past, 9, 2713–2730, https://doi.org/10.5194/cp-9-2713-2013.
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

NEEM depth [m],Age of ice [ka b2k],Age of gas [ka b2k],d15N [‰]
62.7,0.189,1.28,0.28
63.8,0.194,6.06,0.28
65.18,0.199,10.87,0.28
66.55,0.204,15.88,0.27
67.65,0.209,20.84,0.27
69.03,0.214,25.73,0.28
70.22,0.219,30.59,0.28
71.5,0.224,35.64,0.28
72.6,0.229,40.62,0.28
73.7,0.234,45.72,0.28
74.98,0.239,50.94,0.29
76.08,0.244,56.13,0.29
77.37,0.249,60.99,0.27
78.38,0.254,65.77,0.27
79.57,0.259,70.41,0.3
80.85,0.264,75.1,0.32
81.95,0.269,79.8,0.3
83.05,0.274,84.57,0.29
84.15,0.279,89.33,0.28
85.25,0.284,94.17,0.28
86.35,0.289,98.87,0.28
87.45,0.294,103.6,0.29
88.73,0.299,108.39,0.29
89.83,0.304,113.17,0.28
91.03,0.309,118.03,0.28
92.13,0.314,122.99,0.29
93.23,0.319,128.17,0.28
94.42,0.324,133.23,0.26
95.52,0.329,138.32,0.27
96.62,0.334,143.38,0.27
97.72,0.339,148.44,0.27
98.73,0.344,153.44,0.27
99.83,0.349,158.51,0.27
101.02,0.354,163.66,0.26
102.12,0.359,168.76,0.25
103.22,0.364,173.85,0.27
104.23,0.369,178.88,0.28
105.42,0.374,183.89,0.28
106.43,0.379,188.87,0.27
107.53,0.384,193.89,0.28
108.72,0.389,198.99,0.27
109.82,0.394,204.2,0.27
111.1,0.399,209.38,0.29
112.02,0.404,214.69,0.3
113.3,0.409,219.97,0.28
114.4,0.414,225.26,0.26
115.5,0.419,230.51,0.27
116.6,0.424,235.64,0.27
117.7,0.429,240.78,0.27
118.62,0.434,246.07,0.27
119.72,0.439,251.18,0.26
120.82,0.444,256.2,0.26
121.92,0.449,261.35,0.27
123.02,0.454,266.45,0.28
124.03,0.459,271.57,0.28
125.13,0.464,276.68,0.27
126.23,0.469,281.72,0.27
127.33,0.474,286.68,0.26
128.33,0.479,291.62,0.26
129.43,0.484,296.5,0.27
130.53,0.489,301.4,0.28
131.45,0.494,306.29,0.27
132.55,0.499,311.12,0.27
133.65,0.504,315.87,0.26
134.57,0.509,320.48,0.26
135.67,0.514,325.08,0.27
136.58,0.519,329.65,0.29
137.68,0.524,334.33,0.3
138.6,0.529,339.14,0.29
139.7,0.534,344.27,0.29
140.8,0.539,349.56,0.28
141.9,0.544,354.87,0.27
143.18,0.549,360.19,0.27
144.28,0.554,365.53,0.27
145.48,0.559,370.76,0.27
146.48,0.564,375.97,0.28
147.4,0.569,381.18,0.29
148.5,0.574,386.39,0.29
149.6,0.579,391.55,0.29
150.88,0.584,396.54,0.28
151.8,0.589,401.46,0.28
152.9,0.594,406.47,0.28
154,0.599,411.44,0.28
154.92,0.604,416.41,0.27
156.2,0.609,421.43,0.28
157.12,0.614,426.55,0.29
158.03,0.619,431.61,0.28
158.95,0.624,436.64,0.28
160.05,0.629,441.69,0.28
161.15,0.634,446.79,0.29
162.25,0.639,451.77,0.27
163.17,0.644,456.79,0.26
164.27,0.649,461.74,0.25
165.37,0.654,466.69,0.25
166.47,0.659,471.63,0.25
167.48,0.664,476.52,0.26
168.58,0.669,481.26,0.26
169.68,0.674,486,0.26
170.68,0.679,490.68,0.28
171.6,0.684,495.32,0.29
172.7,0.689,499.98,0.29
173.62,0.694,504.69,0.3
174.63,0.699,509.53,0.3
175.63,0.704,514.51,0.28
176.55,0.709,519.58,0.27
177.65,0.714,524.66,0.27
178.48,0.719,529.82,0.27
179.48,0.724,534.82,0.27
180.4,0.729,539.64,0.27
181.5,0.734,544.49,0.29
182.6,0.739,549.44,0.29
183.7,0.744,554.37,0.28
184.8,0.749,559.29,0.28
185.72,0.754,564.24,0.28
186.82,0.759,569.27,0.28
187.92,0.764,574.46,0.28
188.83,0.769,579.74,0.29
189.93,0.774,585.41,0.28
190.85,0.779,591.22,0.27
191.95,0.784,596.77,0.25
193.05,0.789,601.94,0.25
193.88,0.794,606.99,0.26
194.7,0.799,611.78,0.26
195.8,0.804,616.63,0.26
196.9,0.809,621.64,0.27
197.82,0.814,626.73,0.27
198.92,0.819,631.81,0.28
199.83,0.824,636.78,0.28
200.75,0.829,641.81,0.28
201.67,0.834,646.7,0.28
202.77,0.839,651.65,0.27
203.87,0.844,656.66,0.27
204.78,0.849,662,0.26
205.7,0.854,667.24,0.25
206.8,0.859,672.45,0.25
207.9,0.864,677.67,0.24
209,0.869,683.04,0.25
210.1,0.874,688.26,0.26
211.02,0.879,693.3,0.27
212.03,0.884,698.25,0.27
213.03,0.889,703.06,0.27
213.95,0.894,707.67,0.28
215.23,0.899,712.37,0.28
216.33,0.904,717.21,0.29
217.25,0.909,722.18,0.3
218.35,0.914,727.19,0.3
219.45,0.919,732.32,0.29
220.37,0.924,737.5,0.27
221.38,0.929,742.6,0.26
222.38,0.934,747.63,0.26
223.3,0.939,752.83,0.27
224.22,0.944,758,0.27
225.23,0.949,762.96,0.28
226.23,0.954,768,0.28
227.15,0.959,772.91,0.28
228.25,0.964,777.66,0.27
229.17,0.969,782.37,0.27
230.08,0.974,787.11,0.26
231,0.979,791.68,0.26
231.92,0.984,796.45,0.26
232.83,0.989,801.42,0.27
233.75,0.994,806.5,0.27
234.85,0.999,811.64,0.27
235.77,1.004,816.82,0.27
236.87,1.009,822.03,0.27
237.88,1.014,827.23,0.26
238.88,1.019,832.31,0.25
239.8,1.024,837.37,0.25
240.72,1.029,842.54,0.26
241.82,1.034,847.76,0.28
242.83,1.039,852.94,0.28
243.83,1.044,858.23,0.28
244.75,1.049,863.45,0.28
245.85,1.054,868.58,0.27
246.95,1.059,873.9,0.26
247.87,1.064,879.11,0.26
248.88,1.069,884.26,0.26
249.88,1.074,889.51,0.25
250.8,1.079,894.87,0.26
251.9,1.084,899.95,0.28
253,1.089,905,0.29
253.92,1.094,910.24,0.28
254.83,1.099,915.5,0.27
255.93,1.104,920.76,0.26
256.85,1.109,926.03,0.27
257.95,1.114,931.29,0.26
258.87,1.119,936.6,0.27
259.97,1.124,941.89,0.27
260.88,1.129,947.13,0.27
261.98,1.134,952.5,0.27
262.9,1.139,957.83,0.27
263.82,1.144,962.95,0.26
264.73,1.149,967.84,0.26
265.65,1.154,972.63,0.26
266.57,1.159,977.32,0.26
267.58,1.164,982.07,0.26
268.58,1.169,986.86,0.26
269.5,1.174,991.74,0.27
270.6,1.179,996.63,0.28
271.7,1.184,1001.4,0.28
272.53,1.189,1006.07,0.27
273.35,1.194,1010.78,0.26
274.27,1.199,1015.42,0.26
275.28,1.204,1020.13,0.26
276.28,1.209,1024.89,0.27
277.2,1.214,1029.85,0.28
278.3,1.219,1035.01,0.28
279.4,1.224,1040.13,0.28
280.5,1.229,1045.21,0.28
281.42,1.234,1050.35,0.28
282.33,1.239,1055.43,0.27
283.25,1.244,1060.4,0.27
284.35,1.249,1065.28,0.26
285.27,1.254,1070.05,0.27
286.18,1.259,1074.83,0.28
287.1,1.264,1079.72,0.28
288.02,1.269,1084.63,0.28
289.12,1.274,1089.56,0.28
290.03,1.279,1094.53,0.29
290.95,1.284,1099.48,0.29
291.87,1.289,1104.31,0.28
292.78,1.294,1109.12,0.28
293.7,1.299,1114.06,0.27
294.8,1.304,1119.09,0.26
295.53,1.309,1124.21,0.25
296.45,1.314,1129.21,0.26
297.55,1.319,1134.2,0.28
298.47,1.324,1139.25,0.28
299.57,1.329,1144.39,0.28
300.58,1.334,1149.42,0.27
301.58,1.339,1154.6,0.26
302.5,1.344,1159.79,0.26
303.6,1.349,1164.81,0.27
304.52,1.354,1169.87,0.28
305.43,1.359,1174.86,0.28
306.35,1.364,1179.89,0.28
307.45,1.369,1184.88,0.27
308.37,1.374,1189.85,0.26
309.28,1.379,1194.69,0.26
310.2,1.384,1199.5,0.25
311.3,1.389,1204.34,0.27
312.4,1.394,1209.38,0.28
313.32,1.399,1214.5,0.29
314.33,1.404,1219.58,0.29
315.33,1.409,1224.73,0.29
316.25,1.414,1229.71,0.29
317.35,1.419,1234.55,0.28
318.27,1.424,1239.32,0.28
319.18,1.429,1244.05,0.28
320.1,1.434,1248.82,0.29
321.02,1.439,1253.8,0.29
321.93,1.444,1258.68,0.29
