# DESCRIPTION:
# Reference: Gkinis, Vasileios; Vinther, Bo Møllesøe; Popp, Trevor J; et al. (2021): A 120,000-year long climate record from a NW-Greenland deep ice core at ultra-high resolution. Scientific Data, 8, 141, https://doi.org/10.1038/s41597-021-00916-9.
# Data from: https://doi.org/10.1594/PANGAEA.925552. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Ages for 60.20567 ka b2k and earlier have been added using the age model from Rasmussen et al., 2013: https://doi.org/10.5194/cp-9-2713-2013, data accessed from https://www.iceandclimate.nbi.ku.dk/data/.

Depth ice/snow [m],Age [ka b2k] (GICC05),δ18O H2O [‰ SMOW],δD H2O [‰ SMOW]
1210.5,8.00022,-31.23,-238.59
1210.55,8.00077,-31.723,-242.71
1210.6,8.00116,-33.963,-263.81
1210.65,8.00144,-34.349,-266.37
1210.7,8.00171,-33.315,-256.05
1210.75,8.00199,-33.113,-254.36
1210.8,8.00248,-33.308,-255.71
1210.85,8.00299,-33.849,-261.58
1210.9,8.00349,-33.328,-257.62
1210.95,8.004,-32.217,-248.05
1211,8.00461,-31.209,-238.4
1211.05,8.00515,-32.362,-250.49
1211.1,8.00559,-32.895,-253.88
1211.15,8.00603,-33.478,-258.54
1211.2,8.00664,-33.786,-259.62
1211.25,8.00715,-34.172,-263.36
1211.3,8.00753,-34.168,-264.38
1211.35,8.00791,-33.918,-262.69
1211.4,8.00836,-32.814,-250.89
1211.45,8.00882,-32.938,-253.19
1211.5,8.00934,-32.809,-252
1211.55,8.00989,-33.391,-258.64
1211.6,8.01038,-32.897,-253.29
1211.65,8.01084,-32.035,-244.81
1211.7,8.0114,-34.104,-263.52
1211.75,8.01201,-35.323,-273.22
1211.8,8.01262,-35.338,-272.44
1211.85,8.01332,-35.368,-273.31
1211.9,8.01409,-34.136,-263.66
1211.95,8.01453,-32.519,-249.15
1212,8.01496,-32.697,-252.34
1212.05,8.01561,-32.34,-248.65
1212.1,8.01637,-31.943,-246.04
1212.15,8.01718,-31.847,-245.33
1212.2,8.01786,-32.381,-250.15
