# DESCRIPTION:
# Reference: Clemens, Steven; Yamamoto, Masanobu; Thirumalai, Kaustubh; Giosan, Liviu; Richey, Julie N.; Nilsson-Kerr, Katrina; Rosenthal, Yair; Anand, Pallavi; McGrath, Sarah M. 2021. Remote and Local Drivers of Pleistocene South Asian Summer Monsoon Precipitation: A Test for Future Predictions. Science Advances, 7(23), doi: 10.1126/sciadv.abg3848.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/33213.
# Comment: Data was not modified in any way.

Age [ka BP],C. kullenbergi d18O [‰ PDB],C. kullenbergi d13C [‰ PDB]
0.95688,2.2413,-0.02582
1.0114,2.2224,-0.04104
1.0387,2.2141,-0.06486
1.0659,2.2187,-0.06826
1.0932,2.2103,-0.06202
1.1205,2.202,-0.07361
1.1477,2.2015,-0.07763
1.175,2.1973,-0.07978
1.3113,2.1906,-0.0636
1.3658,2.2093,-0.06216
1.4203,2.1856,-0.05321
1.5294,2.2032,-0.00982
1.5566,2.2032,-0.00982
1.6112,2.2198,-0.01269
1.6384,2.2214,-0.01121
1.6657,2.2181,-0.01309
1.693,2.2181,-0.01309
1.7202,2.2162,-0.00457
1.7475,2.227,-0.00262
1.7747,2.231,-0.00587
1.802,2.2303,-0.00791
1.8266,2.2253,-0.00652
1.8512,2.2269,-0.00462
1.9251,2.2091,-0.00613
1.9497,2.207,-0.00473
1.9743,2.224,-0.00181
1.9989,2.2283,-0.00113
2.0481,2.2255,0.00226
2.0727,2.2246,-0.00051
2.122,2.2237,0.00519
2.1466,2.2282,0.00653
2.1712,2.2316,0.00716
2.1958,2.2243,-0.00025
2.2204,2.231,-0.00063
2.2696,2.23,-0.00495
2.2943,2.2183,-0.00177
2.3189,2.2165,-0.00553
2.3435,2.2147,-0.00661
2.3681,2.2177,-0.00074
2.4419,2.2154,0.00175
2.5158,2.2242,0.01236
2.5404,2.2383,0.01725
2.6142,2.2345,0.01465
2.6634,2.257,0.02007
2.7127,2.2336,0.01492
2.7373,2.2418,0.01904
2.7619,2.2435,0.0073
2.8111,2.2496,0.02248
2.8357,2.2613,0.02649
2.8603,2.2578,0.02299
2.8849,2.2542,0.02312
3.0326,2.2806,0.0166
3.0572,2.2805,0.02167
3.0819,2.2942,0.01343
3.1065,2.2843,0.01576
3.1557,2.2949,0.01335
3.1803,2.2954,0.01595
3.2049,2.2875,0.01334
3.2787,2.2732,-0.01221
3.328,2.2811,-0.00568
3.3526,2.2834,0.00571
3.3772,2.2813,0.00521
3.4018,2.288,0.00773
3.4264,2.2882,0.00587
3.451,2.2924,0.00531
3.5003,2.2901,0.01639
3.5249,2.2871,0.00593
3.5495,2.2759,-0.0018
3.5741,2.267,-0.00024
3.5987,2.273,0.00142
3.6725,2.2654,0.0058
3.6972,2.2631,0.0234
3.7218,2.2595,0.02134
3.7931,2.2496,0.01285
3.8152,2.2483,0.01213
3.8373,2.2483,0.01213
3.8816,2.2418,0.01369
3.9037,2.2459,0.0162
3.9479,2.269,0.03447
3.97,2.2594,0.0371
3.9922,2.2594,0.0371
4.0585,2.2613,0.02161
4.1027,2.2812,0.03261
4.1249,2.2942,0.02789
4.147,2.2891,0.02532
4.1912,2.2819,0.00921
4.2797,2.3031,0.01505
4.346,2.3096,0.00544
4.3681,2.3096,0.00544
4.4124,2.3204,0.00209
4.4345,2.3144,-0.00592
4.4566,2.3138,-0.01299
4.5008,2.3257,-0.00793
4.6778,2.3005,-0.01485
4.722,2.2858,-0.02396
4.7662,2.2924,-0.03112
4.7883,2.3098,-0.0384
4.8105,2.3218,-0.03238
4.8768,2.3242,-0.0106
4.8989,2.3242,-0.0106
4.921,2.3242,-0.0106
5.0095,2.3213,-0.00945
5.0759,2.3141,-0.00299
5.098,2.3141,-0.00299
5.1201,2.3349,-0.00392
5.1422,2.3459,0.00302
5.1643,2.3549,-0.009
5.2086,2.3433,-0.00137
5.3413,2.3719,0.00855
5.4518,2.3844,0.02361
5.4961,2.3355,0.01758
5.5549,2.3398,0.01944
5.628,2.3509,0.02557
5.6864,2.3484,0.02885
5.7449,2.3562,0.03118
5.7741,2.3562,0.03118
5.8618,2.3497,0.07838
5.9787,2.3846,0.07814
6.1979,2.3137,0.07231
6.3441,2.3255,0.0611
6.4318,2.3354,0.02818
6.4756,2.3338,0.04202
6.5048,2.3338,0.04202
6.5633,2.3397,0.04062
6.705,2.3469,0.02529
6.7343,2.3392,0.02668
6.7533,2.3392,0.02668
6.7679,2.3382,0.01789
6.7825,2.3441,0.02133
6.7971,2.3441,0.02133
6.8117,2.3441,0.02133
6.8702,2.3541,0.00972
6.8994,2.3413,0.0019
6.946,2.3412,0.00014
6.9616,2.3412,0.00014
6.9802,2.3412,0.00014
7.0082,2.3403,0.00211
7.0238,2.3348,0.00201
7.0393,2.3351,-0.00076
7.0704,2.3364,-0.00088
7.117,2.3327,0.00141
7.1792,2.3441,-0.01642
7.1948,2.3441,-0.01642
7.2259,2.3411,-0.02565
7.3347,2.2962,-0.02922
7.3658,2.2987,-0.03393
7.3813,2.3069,-0.03583
7.4124,2.3296,-0.03081
7.4435,2.3238,-0.03476
7.4695,2.3241,-0.02827
7.4955,2.3241,-0.02827
7.5995,2.3521,-0.01723
7.6125,2.3586,-0.01659
7.6515,2.3673,-0.01745
7.6775,2.3806,-0.02224
7.7165,2.4057,-0.02839
7.7425,2.4104,-0.03053
7.7555,2.4114,-0.03072
7.7685,2.418,-0.03549
7.788,2.4235,-0.04033
7.8507,2.4504,-0.05171
7.8679,2.4518,-0.05526
7.8794,2.4551,-0.05494
7.8909,2.4609,-0.0546
7.9081,2.4646,-0.05386
7.9253,2.4668,-0.05146
7.9367,2.4683,-0.05306
7.9482,2.4683,-0.05306
7.9597,2.4819,-0.0568
7.9826,2.4923,-0.05869
7.9941,2.4924,-0.0596
8.0056,2.4907,-0.06245
8.017,2.4914,-0.0631
8.0285,2.4977,-0.06589
8.04,2.4998,-0.06342
8.0514,2.5013,-0.06372
8.0629,2.5031,-0.06805
8.0744,2.5049,-0.06734
8.0859,2.5057,-0.06742
8.0973,2.5093,-0.06771
8.1088,2.5077,-0.07051
8.1203,2.5133,-0.0724
8.1317,2.5151,-0.07177
8.1432,2.5251,-0.07271
8.1547,2.5278,-0.07228
8.1662,2.5264,-0.07419
8.1776,2.5258,-0.0734
8.1891,2.5245,-0.07177
8.2006,2.5242,-0.07509
8.212,2.5286,-0.07516
8.2235,2.5357,-0.07723
8.235,2.5405,-0.08138
8.2465,2.5391,-0.08331
8.2637,2.5456,-0.0847
8.2866,2.5527,-0.08551
8.3038,2.5535,-0.08582
8.3153,2.5547,-0.08832
8.3268,2.5559,-0.08753
8.3382,2.5568,-0.08757
8.3612,2.5602,-0.08758
8.3726,2.5607,-0.08772
8.3841,2.5618,-0.08793
8.3956,2.5627,-0.08998
8.4071,2.5633,-0.08908
8.4185,2.5636,-0.09272
8.43,2.5646,-0.09241
8.4415,2.5681,-0.09325
8.4529,2.5696,-0.09678
8.4644,2.5728,-0.09438
8.4759,2.5753,-0.09304
8.4873,2.575,-0.0928
8.4988,2.5778,-0.08813
8.5103,2.578,-0.08781
8.5218,2.5759,-0.0883
8.5332,2.5747,-0.0917
8.5447,2.5765,-0.09136
8.5562,2.5785,-0.08788
8.5676,2.583,-0.08595
8.5791,2.586,-0.08544
8.5906,2.5863,-0.08528
8.6021,2.5856,-0.08652
8.6135,2.5856,-0.08652
8.625,2.5862,-0.08928
8.6365,2.5862,-0.08928
8.6479,2.5851,-0.09086
8.6594,2.5856,-0.08966
8.6709,2.5873,-0.08777
8.6938,2.5898,-0.08933
8.7053,2.5895,-0.09046
8.7684,2.5993,-0.09014
8.7971,2.6017,-0.09415
8.8085,2.6053,-0.09614
8.82,2.6058,-0.09682
8.8315,2.6077,-0.09861
8.8429,2.607,-0.09806
8.8544,2.6067,-0.09941
8.8659,2.6112,-0.09878
8.8774,2.6139,-0.10031
8.8888,2.6175,-0.10302
8.9003,2.6223,-0.09876
8.9118,2.6245,-0.10077
8.9232,2.6252,-0.09974
8.9405,2.627,-0.10105
8.9952,2.6307,-0.10415
9.0098,2.6337,-0.1041
9.0389,2.6335,-0.10531
9.0535,2.6346,-0.10856
9.0681,2.6367,-0.11281
