/* DESCRIPTION:
Reference:	Hodell, D.A., K.A. Venz, C.D. Charles, and U.S. Ninnemann.  2003. Pleistocene vertical carbon isotope and carbonate gradients in the South Atlantic sector of the Southern Ocean. Geochemistry, Geophysics, Geosystems, Vol. 4, Number 1, 1004, doi:1010.1029/2002GC000367
Data from:	https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/hodell2003/. Accessed 22 Nov 2022.
Comment:	Empty data points were removed.
	Several variables from the original dataset are not included here.
*/
Age (ka)	d18O G. bulloides (permil)	d13C G. bulloides (permil)	d18O Cibicidoides (permil)	d13C Cibicidoides (permil)	CaCO3 (wt%)
0.55	2.32	1.48			
1.04					20
1.49					19.6
1.99					20.4
2.48					22.7
2.98			2.64	0.2	22.6
3.48					24
3.98	1.88	1.13	2.68	0.48	25.7
4.47	2.02	1.28			29.3
5.52	1.99	1.05	2.59	0.31	33.8
5.96	2.07	1.22	2.52	0.27	32.8
6.46	2.11	1.32	2.52	0.15	37.9
6.96	2.16	1.15	2.5	0.26	38.8
7.45	2.11	1.22	2.5	0.3	42.4
7.95	1.98	1.08	2.58	0.18	45.8
8.45	2.07	1.19	2.53	0.25	47.7
8.95	2.1	0.89	2.58	-0.04	46.3
9.41	1.89	1.01	2.57	0.37	46.4
9.63	1.99	0.91	2.6	0.42	
9.98	2.07	1.04			53.6
10.27	2.11	0.93	2.59	0.11	54.1
10.59	1.93	0.63	2.66	-0.07	56.4
10.91	2.13	0.57	2.71	-0.36	55.3
11.22	2.05	0.61	2.93	-0.06	57
11.54	2.03	0.49	2.69	-0.13	57.8
11.86	2.09	0.56	2.77	0.15	57
12.18	2.15	0.43	2.97	-0.14	57.8
12.49	2.15	0.57			
12.81	2.3	0.33			
13.16	2	0.04	3.1	0.02	57.2
13.48	2.29	-0.01	3.15	0.07	61.3
13.77	2.63	0.2	3.29	0.14	60.4
14.08	2.67	0.4			61.8
14.34	2.56	-0.07	3.43	0.01	61.1
14.75	2.6	0.06	3.6	-0.37	59.6
15	2.98	0.09	4.04	-0.59	58.8
15.21	2.7	0.21	3.47	-0.57	55.5
15.43	2.69	0	3.67	-0.21	52.3
15.65	2.59	-0.01			
15.89			3.61	-0.32	48.6
16.08	2.59	-0.18	3.71	-0.49	50.4
16.3	2.68	-0.01	3.84	-0.86	46.5
16.47	2.91	-0.15	3.72	-0.43	48.8
16.76	2.89	0.11	3.87	-0.8	46.7
16.95	2.68	-0.47	3.93	-0.6	49.1
17.17	2.79	-0.41	4	-0.76	47.2
17.39	3.02	0.08	4.08	-0.66	46.8
17.67	2.99	-0.15	4.17	-0.78	46.7
17.82	3.29	0.45			
18.06	3.26	0.52	4.23	-0.62	47.9
18.26	3.27	0.15	4.22	-1.05	49
18.47	3.26	0.22	4.26	-0.81	50
18.69	3.16	0.12	4.19	-0.75	48.9
18.9	3.44	0.2	4.24	-1.15	50.1
19.04	3.11	-0.01	4.14	-1	47.5
19.18	3.35	0.15	4.27	-0.9	45.3
19.32	3.1	0.26	4.21	-1.06	46.3
19.46	3.38	0.39			
19.6	3.21	0.21			
19.76	3.34	0.34	4.21	-1.13	42
19.9	2.9	-0.32	4.25	-0.83	45.2
20.03	3.18	0.24	4.18	-1.03	42.7
20.17	3.22	0.05	4.1	-1.23	45.8
20.31	3.23	-0.03	4.26	-1	45.1
20.45	2.97	-0.06	4.16	-1	43.2
20.59	3.34	0.4	4.24	-1.26	42.3
20.73	3.19	0.14	4.23	-1.3	41.7
20.87	2.99	-0.13	4.08	-1.07	39.7
21.01	3.22	0.1			
21.17	3.35	0.34	4.12	-1.08	36.3
21.29	2.99	0.01	4.22	-0.92	36.3
21.44	2.95	-0.31	4.2	-0.8	34.7
21.63			4.11	-1.2	34.7
21.84	3.15	0.19	4.13	-1.01	30.8
22.04			4.19	-0.99	30.8
22.25	3.24	0.11	4.27	-0.89	30.5
22.45	3.03	0.14			25.3
22.72	3.19	-0.13	4.02	-0.93	24.5
22.86					
23.09	3.23	-0.02	4.1	-1.02	25.8
23.27	3.05	0.24	4.08	-0.8	26.5
23.48			4.21	-0.95	25
23.69	2.85	-0.43	4.06	-1.18	25.3
23.89	3.3	0.24	4.22	-0.94	24
24.1	3.33	0.2	4.18	-1.05	22.3
24.3	3.42	0.49			22.8
24.51	3.26	0.58			
24.92	3.04	0.06			
25.15	2.98	0.04	4.07	-0.76	22.2
25.36	3.22	0.02	4.17	-1.03	23.5
25.55	3.03	-0.09	4.12	-0.83	22.1
25.77	2.9	-0.07	4.22	-0.57	21.7
25.94	3.26	0.37	4.07	-0.98	21.6
26.22	3.24	-0.32	4.13	-0.75	21.7
26.42	3.14	0.03	4.15	-1.1	22.6
26.63	3.37	0.28	4.19	-0.97	22.5
26.85	3.09	0.08	4.13	-0.69	23.5
27.3	3.44	0.31	4.08	-0.75	25
27.5					26.3
27.72			4.17	-0.84	26.3
27.89			3.97	-1.07	25.9
28.17			4.11	-0.88	26.3
28.36			4.09	-0.94	28.9
28.58			4.03	-0.85	30.5
28.8			4.08	-0.85	31.1
29.08			4.02	-1.13	26.8
29.21	3.28	0.31			
29.35			3.91	-1.08	26.1
29.47			4.05	-0.86	26.3
29.6	2.82	0.01	3.98	-1.08	26.5
29.73	2.77	-0.32	4.05	-1.03	26.3
29.86	2.94	0.06	4.11	-1.12	27
29.99	3.06	0.29	4.07	-1.05	29.3
30.12	3.22	0.45			
30.28	2.89				
30.41	3.26	0.45	4.08	-0.97	29.9
30.54	3.1	0.37	4.06	-0.97	26.4
30.67	3.35				
30.8	3.43	0.38	3.98	-0.91	30.7
30.93	3.4	0.5	4	-0.86	35
31.06	3.45	0.59			33.1
31.19	3.33	0.65	3.98	-0.76	38.9
31.32	3.27	0.35	3.73	-1.12	39
31.45	3.22	0.46	4.03	-0.81	36.9
31.6	3.39	0.26	4.02	-0.72	41.3
31.87	3.16	0.39	3.96	-0.71	40.2
32.14	3.17	0.3	3.82	-0.68	42
32.41	3.32	0.35			
32.68	3.34	0.65	3.93	-0.37	42.9
32.96	3.28	0.44	3.86	-0.74	40
33.23	2.86	-0.03	3.98	-0.89	42.7
33.5	3.2	0.41	3.93	-0.82	44.3
33.77	3.22	0.55	3.95	-0.62	44.6
34.05	3.12	0.52	4.03	-0.97	42.3
34.32	3	0.28	3.91	-0.58	40.4
34.59	3.19	0.34	3.92	-0.58	45.1
34.86	3.16	0.69			
35.13	2.93	0.45			
35.41	3.04	0.52	3.78	-0.53	47.4
35.68	2.94	0.08	3.84	-0.57	50.8
35.95	3.33	0.62	3.92	-0.4	53.3
36.22	3.05	0.69	3.96	-0.53	54.2
36.5	3.28	0.68	3.93	-0.47	51.1
36.75	3.26	0.78	3.85	-0.28	52.1
36.99	3.26	0.56	3.86	-0.67	43.2
37.24	3.07	0.68	3.86	-0.56	39.1
37.49	3.09	0.62	3.8	-0.66	39.4
37.74	2.89	0.43			
37.99	3.09	0.67	4.03	-0.79	40.9
38.23	3.15	0.5	3.92	-0.75	41
38.48	2.87	-0.05	3.82	-0.51	42.6
38.73	2.64	-0.17	3.92	-0.45	45.3
38.98	2.91	0.25	3.84	-0.38	45.4
39.23	3.45	0.34	3.9	-0.66	44.6
39.47	3.2	0.61	3.93	-0.57	45.7
39.72	2.96	0.24	3.87	-0.88	44.9
39.97	3.02	0.43	3.92	-0.6	44.9
40.22	3.2	0.34			
40.47	3.21	0.61	3.87	-0.81	40.5
40.71	3.02	0.4			40.1
40.96	2.95	0.84	3.83	-0.68	42.3
41.22	2.94	0.44	3.89	-0.77	43.5
41.5	3.22	0.66	3.79	-0.34	43.7
