# DESCRIPTION:
# Reference: Barker, Stephen (2021): Planktic foraminiferal and Ice Rafted Debris (IRD) counts from ODP Site 983. PANGAEA, https://doi.org/10.1594/PANGAEA.929721
# Data from: https://doi.org/10.1594/PANGAEA.929721. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth [m] (MCD_TOP),Age [ka BP] (U1385 age),N. pachyderma s [%],IRD [#/g]
0.02,0.075,0.71942,0
0.04,0.15,1.16279,0
0.06,0.225,0.93677,0
0.08,0.3,0.56926,0
0.1,0.375,0,0
0.12,0.45,1.11732,0
0.14,0.525,0.83799,0
0.16,0.6,0.68493,0
0.18,0.675,0,0
0.2,0.75,0.97087,0
0.22,0.825,0.66225,0
0.24,0.9,0.54795,0
0.26,0.975,0.58824,0
0.28,1.05,0.72816,0
0.3,1.125,0,0
0.32,1.2,0.7177,0
0.34,1.275,0.89286,0
0.36,1.35,0.24038,0
0.38,1.425,0.74257,0
0.4,1.5,0.28902,0
0.42,1.575,2.14724,0
0.44,1.65,0.24814,0
0.46,1.725,0,0
0.48,1.8,0.25126,0
0.5,1.875,0,0
0.52,1.95,0.18416,0
0.54,2.025,0.18553,0
0.56,2.1,0,0
0.58,2.175,0.24213,0
0.6,2.25,0.67114,0
0.62,2.325,0.41322,0
0.64,2.4,0,0
0.66,2.475,0.37313,0
0.68,2.55,0.64725,0
0.7,2.625,0.23923,0
0.72,2.7,0.59524,0
0.74,2.775,0.5571,0
0.76,2.85,0.2584,0
0.78,2.925,0.9901,0
0.8,3,0.29674,0
0.82,3.075,0,0
0.84,3.15,0.19608,0
0.86,3.225,0,0
0.88,3.3,0,0
0.9,3.375,0.34843,0
0.92,3.45,0.85714,0
0.94,3.525,0.81633,0
0.96,3.6,0,0
0.98,3.675,0,0
1,3.75,0.29412,0
1.02,3.825,0.71599,0
1.04,3.9,0.2551,0
1.06,3.975,1.15607,0
1.08,4.05,0.55147,0
1.1,4.125,0.29326,0
1.12,4.2,0.73171,0
1.14,4.275,0.22523,0
1.16,4.35,0.74627,0
1.18,4.425,1.31579,0
1.2,4.5,1.17647,0
1.22,4.575,1.08696,0
1.24,4.65,0.26596,0
1.26,4.725,1.69492,0
1.28,4.8,0.22727,0
1.3,4.875,0.94118,0
1.32,4.95,0.23866,0
1.34,5.025,0.50847,0
1.36,5.1,1.07817,0
1.38,5.175,0.29155,0
1.4,5.25,0.56818,0
1.42,5.325,0.66007,0
1.44,5.4,1.26984,0
1.46,5.475,1.222,0
1.48,5.55,,
1.5,5.625,,
1.52,5.7,0.65574,0
1.54,5.775,0.90361,0
1.56,5.85,1.2848,0
1.58,5.925,1.27932,0
1.6,6,0.41408,0
1.62,6.075,0,0
1.64,6.15,0.34483,0
1.66,6.225,0.55402,0
1.68,6.3,0.67873,0
1.7,6.375,0.3367,0
1.72,6.45,0.7371,0
1.74,6.525,0.9009,0
1.76,6.6,0.54945,0
1.78,6.675,1.35135,0
1.8,6.75,0.29499,0
1.82,6.825,0.64309,0
1.84,6.9,0,0
1.86,6.975,1.23153,0
1.88,7.05,0.91463,0
1.9,7.125,0.97276,0
1.92,7.2,0.80808,0
1.94,7.275,0.28818,0
1.96,7.35,1.08225,0
1.98,7.425,1.41243,0
2,7.5,0.44053,0
2.02,7.575,0.5698,0
2.04,7.65,0,0
2.06,7.725,1.27551,0
2.08,7.8,1.01626,0
2.1,7.875,1.90736,0
2.12,7.95,0.63694,0
2.14,8.025,0,0
2.16,8.1,0.24038,0
2.18,8.175,0.99668,0
2.2,8.25,1.0101,0
2.22,8.325,1.0453,0
2.24,8.4,1.25,0
2.26,8.475,0.39063,0
2.28,8.55,0.79576,0
2.3,8.625,0.6,0
2.32,8.7,1.23967,0
2.34,8.775,0.98039,0
2.36,8.85,1.94553,0
2.38,8.925,4.01786,0
2.4,9,4.1841,0
2.42,9.075,0.9434,0
2.44,9.15,0.38462,0
2.46,9.225,1.44404,0
2.48,9.3,1.33333,0
2.5,9.375,1.2931,13.38632
2.52,9.45,2.30415,0
2.54,9.525,1.9802,0
2.56,9.6,1.25628,0
2.58,9.675,1.39211,0
2.6,9.75,0.91533,0
2.62,9.825,0.35842,0
2.64,9.9,2.73556,0
2.66,9.975,1.49701,0
2.68,10.05,4.50237,12.65322
2.7,10.125,1.96721,0
2.72,10.2,3.48101,6.96409
2.74,10.275,3.15789,5.8129
2.76,10.35,5.20231,0
2.78,10.425,3.81679,23.77856
2.8,10.5,5.59211,0
2.82,10.575,5.16796,19.04384
2.84,10.65,4.3222,6.89953
2.86,10.725,11.44414,35.61888
2.88,10.8,9.03846,21.66847
2.9,10.875,10.83916,47.97601
2.92,10.95,10.66667,34.49019
2.94,11.025,9.13043,0
2.96,11.1,7.63889,31.44191
2.98,11.175,12.61261,33.34028
3,11.25,23.07692,130.74566
3.02,11.325,28.0236,123.04537
3.04,11.4,31.34328,163.21632
3.06,11.475,30.74434,92.21902
3.08,11.55,19.18239,109.94465
3.1,11.625,23.41772,87.43169
3.12,11.7,33.08824,238.4991
3.14,11.775,45.14107,271.25029
3.16,11.85,49.75,305.94562
3.18,11.925,49.18033,300.07213
3.2,12,43.53877,437.5
3.22,12.404,70.30717,1012.09302
3.24,12.808,61.29032,714.98138
3.26,13.212,50.12225,217.83526
3.28,13.616,62.25806,657.58662
3.3,14.02,64.33566,928.39506
3.32,14.424,73.05936,1647.13178
3.34,14.828,76.69492,1247.56335
3.36,15.232,59.1716,654.56945
3.38,15.636,51.2894,351.96195
3.4,16.04,59.93691,861.66274
