/* DESCRIPTION:
Reference:	Hendy, I.L., J.P. Kennett, E.B. Roark, and B.L. Ingram.  2002. Apparent synchroneity of submillennial scale climate events between Greenland and Santa Barbara Basin, California from 30–10 ka. Quaternary Science Reviews, Vol. 21, Issue 10, pp. 1167-1184, May 2002. doi:10.1016/S0277-3791(01)00138-X.
	Hendy, I.L., and J.P. Kennett. 2003. Tropical forcing of North Pacific intermediate water distribution during Late Quaternary rapid climate change? Quaternary Science Reviews, Vol. 22, Issues 5-7, pp. 673-689. doi:10.1016/S0277-3791(02)00186-5.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/5830. Accessed 11 Nov 2022.
	https://www.ncei.noaa.gov/access/paleo-search/study/5829. Accessed 11 Nov 2022.
Comment:	Several variables from the original datasets are not included here.
*/
Age [ka] vs. 2000AD	N. pachyderma d18O	N. pachyderma d13C	G. bulloides d18O	G. bulloides d13C	benthic d18O
0.303	0.267		-0.175		
0.43	0.338		-0.095		
0.794	0.471				
1.09	0.642		-0.029		
1.37	0.735		0.026		
1.641	0.429		-0.003		
1.901	0.535		-0.091		
2.5	0.516		-0.118		
2.81	0.404		-0.002		
3.024	0.393				
4.644	0.514		-0.148		
5.057	0.646		-0.14		
5.491	0.524		-0.207		
5.917	0.391		0.03		
6.303	0.516		-0.086		
6.691	0.523		-0.116		
7.032	0.301		-0.17		
7.397	0.411		-0.014		
7.714	0.493		-0.003		
8.055	0.609		0.018		
8.316	0.499		0.164		
8.528	0.676		0.215		
8.712	0.859		0.144		
9.035	0.74		0.065		
9.085	0.745		0.235		
9.151	0.78		0.234		
9.217	0.716		0.148		
10.471					2.504
10.627	0.635	0.517	0.175	-1.245	2.242
10.655	0.895	0.257	0.395	-1.221	2.652
10.671	0.687	0.407	0.029	-0.875	2.146
10.698	0.826	0.223	0.49	-1.104	
10.722			0.173	-1.115	2.02
10.746	0.75	0.154	0.487	-1.016	
10.766	0.469	-0.39	0.067	-1.131	1.829
10.781	0.707	0.354	0.359	-1.026	2.695
10.809	0.766	0.35	0.275	-0.898	2.148
10.834	0.772	0.293	0.263	-1.109	2.694
10.852	0.795	0.434	-0.071	-1.187	2.086
10.887			0.27	-1.489	
10.944	0.876	0.116	0.096	-1.366	2.398
10.997	0.888	0.304	0.314	-0.934	2.506
11.036	0.878	0.346	0.257	-0.606	2.414
11.056	0.929	0.314	0.31	-0.881	2.683
11.076	0.845	0.492	0.344	-0.771	2.379
11.111	0.907	0.354	0.255	-0.315	2.52
11.136	1.066	0.347	0.469	-0.7	2.471
11.177	0.901	0.409	0.219	-0.565	2.705
11.207	1.075	0.345	0.279	-1.204	2.717
11.245	1.013	0.399	-0.055	-1.062	2.411
11.271	1.008	0.325	0.01	-0.98	2.688
11.296	1.282	0.247	0.576	-0.392	
11.326	1.262	0.352	-0.005	-0.95	2.706
11.418	1.55	0.138			3.081
11.458	1.45	0.369	-0.17	-1.273	2.651
11.484	1.457	0.257	0.22	-1.301	
11.524	1.48	0.372			2.537
11.585	1.402	0.424	0.336	-1.177	3.153
11.672	1.373	0.137			3.024
11.819	1.708	0.419			3.037
11.865	1.511	0.47	1.404	-1.121	3.267
11.906	1.561	0.52	0.565	-1.171	3.158
11.946	1.617	0.406			
12.001	1.523	0.597			3.577
12.048	1.614	0.516	1.476	-1.116	3.296
12.102	1.673	0.524			3.212
12.122	1.788	0.396			3.203
12.183	1.424	0.427			3.168
12.23	1.383	0.267			3.029
12.291	1.718	-0.043			3.176
12.345	1.938	-0.232			3.136
12.392	1.761	0.218	0.268	-1.362	3.272
12.44	1.647	0.247	0.545	-1.544	3.315
12.467	1.628	0.459	0.022	-2.013	3.294
12.514	2.106	0.142	0.481	-1.963	3.292
12.582	1.791	-0.116	0.925	-1.412	3.498
12.703	1.565	0.707	1.013	-1.241	3.339
12.764	1.655	0.441	0.909	-0.908	3.267
12.826	1.562	0.377	0.741	-1.245	3.322
12.896	1.29	0.244	0.496	-1.805	3.019
13.01	1.474	0.23	0.645	-1.397	3.036
13.072	1.322	0.307	0.459	-1.287	3.077
13.098					3.116
13.119	1.35	0.412	0.592	-1.501	2.898
13.139	1.273	0.179	0.861	-0.955	2.851
13.159	1.317	0.149	0.939	-0.673	2.813
13.18	1.457	0.186	0.742	-0.345	2.913
13.206	1.112	0.162			2.877
13.221	1.172	0.546	0.873	-0.758	2.939
13.241	1.215	0.552	0.943	-1.295	
13.264	1.283	0.368	0.9	-0.935	3.035
13.285	1.418	0.324	1.248	-0.964	2.976
13.305	1.187	0.618	0.405	-1.139	3.02
13.326	1.021	0.437			
13.346	1.221	0.552	0.896	-1.144	2.866
13.367	1.113	0.522	0.86	-1.341	2.88
13.387	1.267	0.337	0.714	-1.24	2.883
13.407	1.369	0.329	0.937	-1.195	3.001
13.428	1.347	0.42	1.109	-1.174	2.982
13.454	1.45	0.346	0.948	-1.361	3.017
13.48	1.373	-0.031	0.752	-1.503	
13.542	1.369	0.475	0.618	-1.31	2.925
13.589	1.313	0.34	0.557	-1.062	3.108
13.616	1.364	0.499	0.612	-0.929	3.004
13.642	1.407	0.373	0.892	-1.161	2.987
13.679	1.429	0.382	0.617	-1.071	2.96
13.71	1.529	0.225	0.625	-0.84	2.85
13.752	1.362	0.28	0.678	-1.169	2.841
13.773	1.345	0.354	0.293	-1.6	2.966
13.804	1.255	0.579	0.251	-1.314	2.985
13.825	1.531	0.165	0.713	-1.191	3.02
13.878	1.391	0.409	0.598	-1.382	3.042
13.915	1.662	0.307	0.938	-1.363	3.195
13.93	1.616	0.098	0.93	-1.06	3.102
13.988	1.427	0.491	0.596	-1.347	3.042
14.025	1.607	0.416	0.743	-0.795	2.968
14.062	1.708	0.263	0.694	-1.401	3.046
14.098	1.481	0.388	1.081	-1.226	
14.135	1.431	0.382	0.483	-1.24	3.043
14.156	1.294	0.338	0.898	-1.608	3.009
14.193					3.124
14.198	1.203	0.356	0.649	-1.346	
14.229	1.401	0.344	0.917	-1.436	3.106
14.271					3.081
14.277	1.33	0.442	0.554	-1.48	
14.308	1.012	-0.01	0.72	-1.492	
14.345	1.417	0.279	0.713	-1.396	2.963
14.381	1.357	0.469	0.63	-1.379	3.276
14.413	1.197	0.188	0.568	-1.756	
14.455	1.516	0.133	0.773	-1.653	
14.492	1.679	0.162	0.723	-1.459	
14.528	1.301	0.099			
14.56	1.159	0.187	0.745	-1.369	
14.694	1.729	-0.015	1.445	-1.472	
14.731					2.859
14.751	1.968	0.072	0.944	-0.928	
14.808	2.027	0.034	1.59	-1.017	
14.821					3.543
14.858	2.342	0.071	1.688	-1.279	
14.915	2.019	-0.022	2.009	-0.804	
14.948	2.23	0.001	1.466	-1.113	
14.972	2.081	0.065	1.7	-0.809	
15.03	1.917	0.141	1.141	-1.423	
15.087	1.841	-0.125	1.781	-1.138	
15.144	1.835	0.239	1.53	-1.059	
15.169					3.574
15.202	1.963	0.212	1.73	-0.793	
15.317	2.152	-0.017	0.977	-1.593	
15.35					3.625
15.374	2.2	-0.036	1.09	-1.434	
15.44	2.251	-0.001	1.558	-1.624	
15.48	2.21	0.041			
15.489	2.411	0.016	1.186	-1.234	
15.53					3.413
