# DESCRIPTION:
# Reference: Martrat, B et al. (2007): Four climate cycles of recurring deep and surface water destabilizations on the Iberian Margin. Science, 317(5837), 502-507, https://doi.org/10.1126/science.1139994.
# Data from: https://doi.org/10.1594/PANGAEA.771890.
# Comment: Alkenone, C37:4 from the original dataset is not included here.

Depth [m],Age [ka BP],SST (1-12) [°C]
0.02,0.13,18.17
0.08,0.52,17.85
0.13,0.84,18.22
0.23,1.54,18.15
0.32,2.23,18.43
0.43,3.07,18.45
0.53,3.84,18.83
0.62,4.52,19.01
0.72,5.28,18.91
0.82,6.03,18.72
0.92,6.79,19.08
1.02,7.54,18.57
1.12,8.3,18.5
1.21,8.98,19.26
1.32,9.37,19.37
1.42,9.72,18.95
1.51,10.04,18.36
1.61,10.39,18.65
1.7,10.71,17.88
1.8,11.07,17.38
1.9,11.42,15.69
2,11.77,15.73
2.09,12.09,11.83
2.2,12.48,12.72
2.3,12.84,13.81
2.39,13.16,14.76
2.48,13.47,15.21
2.61,13.93,15
2.71,14.29,14.54
2.8,14.88,14.29
2.9,15.53,12.04
3,16.18,11.74
3.09,16.77,11.36
3.2,17.49,11.25
3.3,18.14,12.34
3.4,18.79,12.7
3.5,19.45,12.9
3.6,20.1,12.27
3.7,20.75,12.25
3.8,21.4,11.94
4.0096,22.77,11.38
4.0481,23.02,11.78
4.0962,23.34,11.55
4.1442,23.65,10.24
4.1923,24.02,9.47
4.2308,24.31,10.4
4.2885,24.75,12.69
4.3269,25.04,11.74
4.3654,25.33,11.97
4.4231,25.77,9.49
4.4712,26.14,8.38
4.5288,26.58,11.3
4.5769,26.94,12
4.625,27.31,12.27
4.6731,27.68,12.53
4.7212,28.04,12.43
4.7692,28.41,12.45
4.8269,28.85,12.96
4.8654,29.14,12.5
4.9327,29.4,10.89
4.9615,29.51,12.88
5.0288,29.77,12.85
5.0481,29.84,12.87
5.1154,30.1,12.53
5.1538,30.25,11.26
5.2019,30.43,10.65
5.25,30.58,10.66
5.2981,30.72,11.33
5.3365,30.84,11.12
5.3846,30.99,11.45
5.4231,31.11,11.97
5.4615,31.22,11.76
5.5,31.34,12.4
5.5577,31.52,11.49
5.6058,31.66,12.33
5.6538,31.81,12.8
5.6923,31.93,13.38
5.8173,32.31,13.98
5.8654,32.46,13.11
5.9135,32.6,12.63
5.9712,32.78,11.39
6.0192,32.99,12.65
6.0673,33.16,13.01
6.1154,33.3,13.8
6.1442,33.38,13.42
6.1827,33.49,13.66
6.2212,33.62,13.36
6.2981,33.99,11.54
6.3365,34.21,11.84
6.375,34.44,12.75
6.4135,34.67,13.49
6.4712,34.96,13.91
6.5769,35.26,13.77
6.6346,35.37,13.24
6.6827,35.48,12.11
6.7308,35.64,11.76
6.8269,36.15,10.12
6.875,36.5,13.19
6.9327,36.88,13.82
6.9904,37.19,13.64
7.0288,37.35,14.05
7.0769,37.51,14.37
7.125,37.64,14.28
7.1538,37.72,14.52
7.1827,37.81,14.56
7.2596,38.02,14.56
7.3654,38.22,14.08
7.4135,38.29,13.88
7.4423,38.33,13.76
7.4808,38.4,13.54
7.5385,38.52,12.25
7.5962,38.68,10.68
7.6346,38.81,9.79
7.7019,39.08,9.77
7.75,39.35,10.02
7.7885,39.61,11.1
7.8365,39.94,11.89
7.8942,40.32,12.61
7.9423,40.62,13.32
7.9904,40.89,12.52
8.0865,41.3,13.44
8.1442,41.47,13.8
8.1827,41.57,13.37
8.2692,41.81,13.38
8.3173,41.99,12.3
8.3654,42.23,11.19
8.4135,42.51,13.23
8.4615,42.77,13.45
8.5096,42.99,14.67
8.5577,43.16,14.42
8.6058,43.31,15.12
8.6635,43.52,14.02
8.7115,43.76,14.37
8.7596,44.11,11.94
8.7981,44.47,12.2
8.8558,45.07,12.99
8.9038,45.55,14.38
8.9423,45.87,14.7
9,46.26,14.83
9.0481,46.52,15.54
9.0769,46.66,16.01
9.1346,46.9,15.94
9.1731,47.03,16.19
9.2308,47.18,16.15
9.2788,47.26,15.83
9.3365,47.34,14.78
9.3846,47.41,15.23
9.4327,47.48,11.57
9.4808,47.58,11.17
9.5192,47.68,9.87
9.5673,47.89,11.5
9.6058,48.16,10.4
9.7115,49.28,13.67
9.7596,49.79,14.72
9.8077,50.24,14.05
9.8558,50.62,14.08
9.9135,51,14.05
9.9519,51.24,14.22
9.9904,51.47,14.31
10.0385,51.76,14.48
10.0962,52.1,14.64
10.1538,52.4,14.9
10.1827,52.52,15.02
10.2115,52.62,15.33
10.25,52.75,15.14
10.3077,52.92,15.37
10.3558,53.05,15.49
10.4038,53.2,15.76
10.4327,53.3,15.28
10.4904,53.53,15.85
10.5385,53.77,15.77
10.5577,53.87,15.57
10.6154,54.2,16.28
10.6635,54.47,16.25
10.7212,54.74,16.68
10.75,54.84,16.1
10.8077,54.95,15.53
10.8558,54.99,15.27
10.9615,55.11,14.57
