/* DESCRIPTION:
Reference:	Wang, X., Edwards, R. L., Auler, A. S., Cheng, H., Kong, X., Wang, Y., ... & Chiang, H. W. (2017). Hydroclimate changes across the Amazon lowlands over the past 45,000 years. Nature, 541(7636), 204-207, https://doi.org/10.1038/nature20787
Data from:	https://doi.org/10.1038/nature20787. Accessed 22 Nov 2022.
Comment:	Years were converted to kyr.
	Only PAR07 is included here.
*/
Age (kyr BP)	d18O	d13C
17.957	-3.49	-9.57
17.975	-3	-10.33
17.993	-2.56	-10.08
18.011	-2.69	-10.04
18.029	-2.7	-10.02
18.108	-2.58	-9.68
18.187	-2.56	-9.5
18.265	-2.63	-9.14
18.344	-2.76	-9.13
18.423	-2.77	-9.5
18.441	-2.37	-9.39
18.46	-2.62	-9.13
18.478	-2.64	-9.55
18.497	-2.64	-9.36
18.516	-2.44	-9.53
18.534	-2.49	-9.41
18.553	-2.45	-9.3
18.571	-2.52	-9.47
18.59	-2.71	-9.31
18.609	-2.88	-9.22
18.627	-2.6	-9.7
18.646	-2.6	-9.43
18.664	-2.54	-9.32
18.683	-2.55	-9.53
18.702	-2.58	-9.47
18.72	-2.66	-9.5
18.739	-2.55	-9.64
18.757	-2.68	-9.79
18.776	-2.69	-9.68
18.795	-2.55	-9.52
18.813	-2.53	-9.51
18.832	-2.91	-9.8
18.85	-2.76	-9.72
18.869	-2.58	-9.7
18.888	-2.88	-9.58
18.906	-2.46	-9.46
18.945	-2.65	-9.38
18.983	-2.41	-9.26
19.022	-2.55	-9.43
19.061	-2.42	-9.04
19.099	-2.32	-9.12
19.138	-2.66	-9.07
19.176	-2.84	-9.04
19.215	-2.77	-9.13
19.254	-2.7	-9.09
19.292	-2.76	-9.23
19.331	-2.87	-9.53
19.37	-2.66	-9.6
19.408	-2.48	-9.48
19.447	-2.48	-9.54
19.485	-2.63	-9.51
19.524	-2.52	-9.6
19.563	-2.5	-9.2
19.601	-2.56	-9.59
19.64	-2.56	-9.69
19.678	-2.42	-9.62
19.717	-2.55	-9.37
19.756	-2.56	-9.79
19.794	-2.6	-9.66
19.833	-2.64	-9.62
19.871	-2.71	-9.4
19.902	-2.48	-9.62
19.933	-2.72	-9.58
19.964	-2.35	-9.48
19.995	-2.4	-9.64
20.026	-2.28	-9.25
20.056	-2.81	-9.72
20.087	-2.91	-9.73
20.118	-3.03	-9.51
20.148	-2.88	-9.44
20.178	-2.7	-9.43
20.208	-2.68	-9.54
20.239	-2.78	-9.88
20.269	-2.87	-9.87
20.299	-2.58	-9.44
20.329	-2.63	-9.65
20.36	-2.95	-9.45
20.39	-2.68	-9.41
20.42	-2.87	-9.2
20.451	-2.95	-9.04
20.481	-2.86	-9.06
20.511	-2.74	-9.1
20.533	-2.7	-9.45
20.554	-3	-9.56
20.576	-2.99	-9.61
20.597	-3.11	-9.8
20.619	-3.14	-9.77
20.641	-2.76	-9.61
20.662	-2.61	-9.65
20.684	-2.83	-9.62
20.705	-2.98	-9.76
20.727	-3.17	-9.99
20.749	-3.19	-9.97
20.77	-3.19	-10.47
27.033	-3.06	-9.66
27.083	-2.97	-8.47
27.132	-3.12	-9.45
27.181	-3.36	-10.07
27.23	-3.15	-9.05
27.279	-2.96	-9.17
27.328	-3.02	-9.04
27.377	-2.89	-8.89
27.426	-3.16	-9.55
27.475	-3.08	-9.14
27.524	-3.19	-9.03
27.574	-3.23	-9.14
27.623	-3.45	-9.31
27.672	-3.06	-8.75
27.721	-3.2	-9.07
27.77	-3.4	-9.07
27.819	-3.3	-9.7
27.868	-3.52	-8.92
27.917	-3.9	-8.71
28.009	-4.4	-9.1
28.101	-4.49	-9.06
28.192	-4.41	-9.26
28.284	-4.74	-9.49
28.376	-4.53	-8.96
28.467	-4.49	-9.14
28.559	-4.08	-9.06
28.588	-3.86	-9.23
28.617	-3.32	-9.03
28.645	-3.86	-9.21
28.674	-3.66	-9.14
28.703	-3.2	-8.61
28.732	-3.21	-8.65
28.761	-3.53	-8.47
28.79	-3.58	-9.06
28.819	-3.5	-8.55
28.848	-3.6	-8.14
28.876	-4.04	-8.84
28.905	-3.93	-8.29
28.934	-3.69	-7.81
28.963	-3.68	-7.63
28.992	-3.66	-7.74
29.021	-3.86	-7.69
29.05	-4.1	-8.01
29.079	-4.1	-8.08
29.107	-4.28	-7.91
29.136	-3.98	-8.02
29.165	-4.2	-8
29.194	-4.25	-8.04
29.223	-4.55	-8.01
29.252	-4.24	-8.34
29.286	-4.25	-7.95
29.32	-4.59	-8.13
29.355	-4.89	-8
29.389	-4.48	-7.66
29.423	-4.54	-7.62
29.457	-4.6	-7.45
29.492	-4.79	-7.23
29.52	-4.88	-7.44
