# DESCRIPTION:
# Reference: Lauterbach, Stefan; Andersen, Nils; Wang, Yiming V; Blanz, Thomas; Larsen, Thomas; Schneider, Ralph R (2020): An ~130 kyr Record of Surface Water Temperature and δ18O From the Northern Bay of Bengal: Investigating the Linkage Between Heinrich Events and Weak Monsoon Intervals in Asia. Paleoceanography and Paleoclimatology, 35(2), https://doi.org/10.1029/2019PA003646.
# Data from: https://doi.org/10.1594/PANGAEA.912674. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.912678. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.

Depth [m],Age [ka BP],SST [°C],Foram benth δ18O [‰ PDB],Foram plankt δ18O [‰ PDB]
0.005,0.22,28.61,NaN,NaN
0.025,1.063,28.65,3.029,-2.681
0.045,1.431,28.43,NaN,NaN
0.065,1.799,28.48,NaN,NaN
0.085,2.168,28.48,2.945,-2.875
0.105,2.536,28.52,NaN,NaN
0.125,2.904,28.3,3.063,-2.927
0.145,3.272,28.39,NaN,NaN
0.165,3.641,28.39,NaN,NaN
0.185,4.009,28.04,2.982,-3.356
0.205,4.377,28,NaN,NaN
0.225,4.745,27.87,2.97,-3.222
0.245,5.114,28.22,NaN,NaN
0.265,5.482,27.35,NaN,NaN
0.285,5.85,27.7,3.354,-3.191
0.305,6.218,27.78,NaN,NaN
0.325,6.587,27.78,3.095,-3.181
0.345,6.955,27.17,NaN,NaN
0.365,7.323,26.78,NaN,NaN
0.385,7.691,27.91,3.327,-3.481
0.405,8.056,27.96,NaN,NaN
0.425,8.421,27.65,3.381,-3.029
0.445,8.786,27.22,NaN,NaN
0.465,9.151,27.7,NaN,NaN
0.485,9.516,27.52,3.418,-2.965
0.505,9.881,27.52,NaN,NaN
0.525,10.246,27.65,3.413,-2.716
0.545,10.611,26.96,NaN,NaN
0.565,10.977,27.17,NaN,NaN
0.585,11.342,26.96,3.647,-2.255
0.605,11.707,26.52,NaN,NaN
0.625,12.073,27,3.228,-1.883
0.645,12.23,26.83,NaN,NaN
0.665,12.387,26.57,NaN,NaN
0.685,12.545,27.13,NaN,NaN
0.705,12.702,27.52,NaN,NaN
0.725,12.743,27.48,3.346,-2.312
0.745,12.818,27.91,NaN,NaN
0.765,12.894,27.74,NaN,NaN
0.785,12.969,27.83,3.555,-2.28
0.805,13.044,27.74,NaN,NaN
0.825,13.12,27.78,3.469,-2.769
0.845,13.466,27.7,NaN,NaN
0.865,13.812,27.22,NaN,NaN
0.885,14.158,27.26,3.603,-1.278
0.905,14.504,27.26,NaN,NaN
0.925,14.85,27,3.659,-1.084
0.945,15.196,25.83,NaN,NaN
0.965,15.542,26.13,NaN,NaN
0.985,15.888,25.91,3.532,-0.787
1.005,16.243,25.65,NaN,NaN
1.025,16.597,25.87,4.432,-1.069
1.045,16.711,25.78,NaN,NaN
1.065,16.824,25.65,NaN,NaN
1.085,16.938,25.7,4.355,-0.613
1.105,17.051,25.65,NaN,NaN
1.125,17.165,25.57,4.077,-0.603
1.145,17.278,25.65,NaN,NaN
1.165,17.392,25.65,NaN,NaN
1.185,17.505,25.52,4.198,-0.476
1.205,17.67,25.91,NaN,NaN
1.225,17.835,25.04,4.416,-1.013
1.245,18,25.48,NaN,NaN
1.265,18.165,25.43,NaN,NaN
1.285,18.33,25.13,4.433,-0.979
1.305,18.495,24.78,NaN,NaN
1.325,18.66,24.78,4.523,-0.789
1.345,18.824,24.3,NaN,NaN
1.365,18.989,23.87,NaN,NaN
1.385,19.154,23.87,4.491,-0.862
1.405,19.319,24.57,NaN,NaN
1.425,19.483,26.13,4.503,-1.112
1.445,19.648,25.17,NaN,NaN
1.465,19.813,25.96,NaN,NaN
1.485,19.977,24.91,4.514,-0.941
1.505,20.142,25.48,NaN,NaN
1.525,20.307,25.65,4.514,-0.998
1.545,20.471,26,NaN,NaN
1.565,20.636,25.61,NaN,NaN
1.585,20.801,26.09,4.453,-1.103
1.605,20.965,26.04,NaN,NaN
1.625,21.13,26.17,4.365,-0.951
1.645,21.294,25.3,NaN,NaN
1.665,21.459,24.65,NaN,NaN
1.685,21.624,25.91,4.514,-0.877
1.705,21.789,26.17,NaN,NaN
1.725,21.953,26,4.575,-0.991
1.745,22.118,26.22,NaN,NaN
1.765,22.283,26.22,NaN,NaN
1.785,22.448,25.52,4.593,-0.915
1.805,22.613,26.13,NaN,NaN
1.825,22.777,25.48,4.537,-0.882
1.845,22.942,26.26,NaN,NaN
1.865,23.107,26.48,NaN,NaN
1.885,23.271,26.87,4.518,-0.935
1.905,23.436,27,NaN,NaN
1.925,23.601,27.78,4.625,-0.942
1.945,23.765,26.26,NaN,NaN
1.965,23.93,26.91,NaN,NaN
1.985,24.095,26.87,3.825,-1.084
2.005,24.259,26.7,NaN,NaN
2.025,24.424,28.09,4.374,-1.115
2.045,24.589,26.74,NaN,NaN
2.065,24.753,26.78,NaN,NaN
2.085,24.918,26.3,4.345,-0.847
2.105,25.083,26.3,NaN,NaN
2.125,25.248,26.48,4.408,-1.129
2.145,25.412,26.3,NaN,NaN
2.165,25.577,26.43,NaN,NaN
2.185,25.742,25.83,4.438,-0.871
2.205,25.899,26.04,NaN,NaN
2.225,26.056,26.26,4.392,-0.903
2.245,26.213,26.13,NaN,NaN
2.265,26.37,25.96,NaN,NaN
2.285,26.527,25.78,4.414,-0.976
2.305,26.684,25.96,NaN,NaN
2.325,26.841,25.65,NaN,NaN
2.345,26.998,25.91,NaN,NaN
2.365,27.155,24.57,NaN,NaN
2.385,27.311,25.04,4.457,-1.093
2.405,27.468,23.65,NaN,NaN
2.425,27.625,25.13,4.206,-1.113
2.445,27.782,24.87,NaN,NaN
2.465,27.939,24.57,NaN,NaN
2.485,28.096,25.65,4.324,-1.4
2.505,28.24,23.78,NaN,NaN
2.525,28.384,25.7,4.397,-1.301
2.545,28.528,26.04,NaN,NaN
2.565,28.672,26.17,NaN,NaN
2.585,28.816,25.48,NaN,NaN
2.605,28.96,25.78,NaN,NaN
2.625,29.104,25.57,4.29,-1.37
2.645,29.248,25.91,NaN,NaN
2.665,29.392,26.26,NaN,NaN
2.685,29.535,25.61,4.008,-1.43
2.705,29.734,24.48,NaN,NaN
2.725,29.933,25.48,4.035,-1.46
2.745,30.133,23.83,NaN,NaN
2.765,30.332,24.83,NaN,NaN
2.785,30.531,23.61,4.105,-1.097
2.805,30.731,22.65,NaN,NaN
2.825,30.93,22.26,4.092,-1.131
2.845,31.129,21.13,NaN,NaN
2.865,31.329,23.57,NaN,NaN
2.885,31.528,22.22,4.242,-1.22
2.905,31.727,22.52,NaN,NaN
2.925,31.927,21.78,4.168,-1.368
2.945,32.126,23.09,NaN,NaN
2.965,32.326,23.57,NaN,NaN
2.985,32.525,22.48,4.191,-1.463
3.005,32.725,23.22,NaN,NaN
3.025,32.925,22.7,4.13,-1.418
3.045,33.124,25.09,NaN,NaN
3.065,33.324,24.65,NaN,NaN
3.085,33.523,24.22,4.029,-1.334
3.105,33.723,22.87,NaN,NaN
3.125,33.923,24.26,4.126,-1.111
3.145,34.122,23.83,NaN,NaN
3.165,34.322,23.43,NaN,NaN
3.185,34.521,24.43,4.104,-1.44
3.205,34.721,24.39,NaN,NaN
3.225,34.921,25,4.231,-1.451
3.245,35.12,25.26,NaN,NaN
3.265,35.32,25.48,NaN,NaN
3.285,35.52,25.39,3.973,-1.375
3.305,35.719,25.87,NaN,NaN
3.325,35.919,26.04,4.15,-1.629
3.345,36.118,26.65,NaN,NaN
3.365,36.318,26.17,NaN,NaN
3.385,36.518,25.7,3.613,-1.343
3.405,36.717,25.26,NaN,NaN
3.425,36.917,24.96,4.077,-1.483
3.445,37.117,24.78,NaN,NaN
3.465,37.316,24.57,NaN,NaN
3.485,37.516,25.74,4.043,-1.545
3.505,37.715,24.91,NaN,NaN
3.525,37.915,25.57,4.187,-1.748
3.545,38.048,26.04,NaN,NaN
3.565,38.182,26.09,NaN,NaN
3.585,38.315,25.61,3.809,-1.251
3.605,38.448,26.26,NaN,NaN
3.625,38.581,26.22,3.698,-0.262
3.645,38.896,25.87,NaN,NaN
3.665,39.21,25.57,NaN,NaN
3.685,39.524,25.96,3.782,-0.985
3.705,39.785,25.87,NaN,NaN
3.725,40.045,25.3,4.073,-1.168
3.745,40.305,25.22,NaN,NaN
3.765,40.565,25.57,NaN,NaN
3.785,40.825,25.26,4.121,-1.315
3.805,41.084,25.48,NaN,NaN
3.825,41.344,25.26,4.18,-1.369
3.845,41.604,25.65,NaN,NaN
3.865,41.864,25.78,NaN,NaN
3.885,42.124,25.61,4.17,-1.481
3.905,42.384,25.83,NaN,NaN
