# DESCRIPTION:
# Reference: Mohtadi, M et al. (2014): North Atlantic forcing of tropical Indian Ocean climate. Nature, 509(7498), 76-80, https://doi.org/10.1038/nature13196
# Data from: https://doi.org/10.1594/PANGAEA.833322. Accessed 22 Nov 2022.
# Comment: Data was not modified in any way.

Age [ka BP],G. ruber ss δ18O [‰ PDB],SST (1-12) [°C],δ18O H2O [‰ SMOW]
0.41,-2.99,29.91,0.41
0.44,-2.85,28.74,0.31
0.46,-2.98,28.61,0.14
0.49,-3.07,29.51,0.24
0.51,-3.1,28.92,0.09
0.54,-3.19,28.46,-0.09
0.58,-3.03,29.41,0.27
0.63,-3.12,29.73,0.24
0.68,-3.21,29.09,0.01
0.72,-3.1,29.2,0.15
0.77,-3.22,30.85,0.37
0.81,-3.1,30.03,0.32
0.87,-3.29,29.59,0.05
0.92,-3.18,29.52,0.13
0.97,-3.24,29.25,0.02
1.02,-3.3,30.12,0.14
1.08,-3.23,29.63,0.11
1.13,-3.13,29.72,0.23
1.18,-3.37,29.27,-0.11
1.24,-3.14,29.5,0.17
1.29,-3.09,29.24,0.17
1.34,-3.27,29.59,0.06
1.39,-2.95,29.35,0.33
1.45,-3.08,29.15,0.16
1.5,-3.16,29.7,0.19
1.56,-3.16,29.04,0.05
1.61,-3.14,29.26,0.12
1.66,-3.13,29.07,0.09
1.72,-3.06,29.44,0.24
1.77,-3.23,29.31,0.04
1.83,-3.08,29.07,0.14
1.88,-3.25,29.11,-0.02
1.94,-3.21,29.48,0.09
1.97,-2.92,29.31,0.36
2.01,-3.23,29.64,0.11
2.04,-3.25,29.57,0.08
2.07,-3.1,30.15,0.34
2.11,-3.11,29.43,0.19
2.14,-3.26,29.35,0.02
2.18,-3.17,29.58,0.16
2.21,-3.16,29.08,0.06
2.25,-3.23,30.06,0.2
2.28,-3.41,29.5,-0.1
2.34,-3.18,29.62,0.15
2.39,-3.1,28.98,0.1
2.45,-3.08,29.44,0.22
2.5,-3.05,29.84,0.33
2.56,,30.44,
2.62,-3.14,30.24,0.32
2.68,-3.1,28.82,0.06
2.73,-3.25,29.15,-0.02
2.79,-3.11,28.8,0.05
2.85,-3.11,29.45,0.18
2.9,-2.96,29.92,0.44
2.95,-3,28.92,0.18
3.01,-3.14,29.5,0.17
3.06,-3.03,29.28,0.23
3.12,-3.13,29.22,0.11
3.17,-3.14,28.79,0.01
3.22,-3.3,28.81,-0.14
3.28,-3.01,29.07,0.2
3.34,-3.1,29.44,0.19
3.4,-3.19,29.15,0.04
3.46,-3.27,28.85,-0.1
3.52,-3.37,28.82,-0.21
3.59,-2.97,29.1,0.25
3.65,-3.31,29.11,-0.09
3.71,-3.18,29.23,0.07
3.77,-3.06,28.95,0.12
3.83,-3.24,29.14,-0.01
3.9,-2.96,28.79,0.19
3.96,-3.15,28.8,0
4.02,-3.02,28.97,0.17
4.08,-3.16,29.27,0.09
4.14,-3.23,29.31,0.03
4.2,-3.12,28.92,0.06
4.26,-3.22,29.27,0.03
4.32,-2.97,29.23,0.27
4.38,-3.13,29.19,0.1
4.44,-3.12,29.08,0.09
4.51,-3.28,28.81,-0.13
4.59,-3.19,29.62,0.13
4.68,-3.09,28.74,0.04
4.77,-3.18,28.83,-0.03
4.86,-3.14,28.96,0.04
4.95,-3.17,29.74,0.17
5,-3.25,,
5.05,-3.18,29.83,0.18
5.1,-3.24,28.81,-0.09
5.15,-3.11,28.77,0.02
5.25,-3.26,28.64,-0.15
5.3,-3.1,29.18,0.12
5.35,-3.19,29.4,0.07
5.4,-3.23,28.8,-0.09
5.45,-3.24,29.17,-0.02
5.5,-3.17,,
5.56,-3.42,30.54,0.08
5.61,-3.37,29.45,-0.09
5.67,-3.14,29.07,0.06
5.72,-3.03,29.57,0.27
5.79,-3.11,29.67,0.21
5.85,-3.13,29.55,0.16
5.91,-3.12,30.19,0.3
5.98,-3.09,29.76,0.24
6.04,-3.05,28.73,0.07
6.11,-3.05,29.11,0.14
6.17,-2.94,29.25,0.28
6.23,-3.09,29.24,0.13
6.3,-3.04,28.62,0.05
6.36,-2.98,29.14,0.22
6.42,-2.99,28.96,0.17
6.51,-3.04,28.95,0.12
6.59,-3.24,29.28,-0.01
6.68,-3.08,28.71,0.02
6.76,-3.15,29.24,0.06
6.85,-3.18,28.75,-0.07
6.93,-3.29,29.57,-0.02
7.02,-3.36,28.79,-0.25
7.1,-3.22,29.04,-0.06
7.17,-3.15,29.61,0.12
7.24,-3.13,29.47,0.12
7.3,-2.94,29.16,0.24
7.37,-3.01,29.71,0.28
7.43,-3.17,29.53,0.08
7.5,-3.1,29.71,0.18
7.56,-3.1,28.91,0.02
7.63,-3.06,29.58,0.2
7.7,-3.22,29,-0.09
7.76,-3.45,29.5,-0.21
7.83,-3.42,29.25,-0.24
7.89,-3.18,29.04,-0.04
7.98,-3.35,29.18,-0.19
8.06,-3.12,29.75,0.16
8.14,-3.11,29.64,0.14
8.21,-2.85,28.09,0.07
8.29,-2.72,29.25,0.44
8.37,-3.07,29.08,0.04
8.44,-3.11,29.44,0.07
8.49,-2.81,29.74,0.43
8.54,-2.9,29.02,0.19
8.58,-2.6,28.52,0.38
8.63,-3.08,28.63,-0.09
8.68,-2.86,29.1,0.23
8.72,-3.06,28.98,0
8.77,-2.67,29.4,0.48
8.82,-3.16,29.52,0.01
8.86,-3.3,29.14,-0.22
8.91,-2.89,29.31,0.22
8.96,-2.77,29.67,0.41
9.01,-2.93,28.95,0.1
9.05,-2.77,28.62,0.19
9.1,-2.96,29,0.07
9.15,-2.58,29.07,0.46
9.19,-3.06,28.74,-0.09
9.24,-2.67,29.36,0.42
9.3,-2.93,28.85,0.05
9.37,-2.9,28.49,0
9.43,-2.9,28.67,0.03
9.49,-3.27,28.62,-0.35
9.56,-2.86,29.01,0.13
9.62,-2.87,28.96,0.1
9.68,-2.81,28.16,-0.01
9.75,-2.94,29.29,0.09
9.81,-3.12,29.79,0.01
9.87,-2.94,29.15,0.05
9.94,-2.63,29.21,0.36
10,-2.93,29.5,0.11
10.06,-2.78,29.04,0.16
10.13,-2.97,28.89,-0.07
10.17,-2.8,29.27,0.18
10.22,-2.85,29.25,0.12
10.27,-3.02,28.69,-0.18
10.31,-2.98,29.03,-0.06
10.36,-2.81,29.39,0.17
10.41,-2.62,29.53,0.38
10.45,-2.96,29.17,-0.03
10.5,-2.83,29.81,0.23
10.54,-2.82,28.93,0.04
10.58,-2.8,29.54,0.18
10.62,-2.67,28.84,0.17
10.66,-2.99,29.22,-0.08
10.7,-2.48,28.86,0.35
10.74,-2.55,29.11,0.33
10.78,-2.72,29.48,0.23
10.82,-2.44,29.5,0.51
10.86,-2.78,28.96,0.05
10.9,-2.72,28.99,0.12
10.94,-2.69,29.29,0.21
10.98,-2.66,28.63,0.1
11.03,-2.9,28.75,-0.13
11.07,-2.67,28.16,-0.02
11.12,-2.72,29.46,0.19
11.16,-2.3,29,0.51
11.21,-2.59,28.29,0.06
11.26,-2.57,29.29,0.29
11.3,-2.35,28.69,0.37
11.35,-2.65,28.21,-0.03
11.4,-2.72,27.78,-0.2
11.45,-2.59,28.39,0.05
11.5,-1.94,28.98,0.82
11.55,-2.4,28.45,0.24
11.6,-2.48,28.48,0.16
11.65,-2.75,28.88,-0.03
11.7,-2.29,29.38,0.53
11.75,-2.04,28.33,0.56
11.8,-1.83,28.64,0.82
11.85,-2.16,28.04,0.36
11.9,-2.02,28.39,0.57
11.94,-2.26,28.03,0.25
11.99,-2.13,27.81,0.33
12.05,-1.95,27.92,0.52
12.11,-1.92,27.57,0.47
12.16,-1.62,27.98,0.84
12.22,-1.96,27.23,0.34
12.27,-2.02,27.55,0.35
12.33,-1.7,28.1,0.76
12.39,-1.89,28.07,0.57
12.44,-1.53,28.17,0.94
12.5,-1.8,28.41,0.71
12.55,-1.68,27.72,0.68
12.6,-2.03,27.78,0.34
12.65,-1.87,27.76,0.49
12.71,-1.7,27.2,0.54
12.76,-1.94,27.99,0.46
12.81,-1.62,27.62,0.69
12.86,-1.97,27.61,0.34
12.91,-2.18,27.67,0.14
12.97,-2.3,27.77,0.03
13.02,-2.35,27.72,-0.04
13.07,-2.05,27.67,0.24
13.12,-2.23,27.19,-0.04
13.17,-2.28,27.29,-0.08
13.23,-1.91,26.66,0.15
13.28,-1.95,27.88,0.35
13.34,-2.18,27.86,0.12
13.39,-1.82,27.71,0.44
13.45,-2.36,27.91,-0.06
