/* DESCRIPTION:
Reference:	van Kreveld, SA et al. (2000): Potential links between surging ice sheets, circulation changes, and the Dansgaard-Oeschger cycles in the Irminger Sea, 60-18 kyr. Paleoceanography, 15(4), 425-442, https://doi.org/10.1029/1999PA000464
	Waelbroeck, Claire; Lougheed, Bryan C; Vázquez Riveiros, Natalia; Missiaen, Lise; Pedro, Joel B; Dokken, Trond; Hajdas, Irka; Wacker, Lukas; Abbott, Peter M; Dumoulin, Jean-Pascal; Thil, François; Eynaud, Frédérique; Rossignol, Linda; Fersi, Wiem; Albuquerque, Ana Luiza Spadano; Arz, Helge Wolfgang; Austin, William EN; Came, Rosemarie E; Carlson, Anders Eskil; Collins, James A; Dennielou, Bernard; Desprat, Stéphanie; Dickson, Alex; Elliot, Mary; Farmer, Christa; Giraudeau, Jacques; Gottschalk, Julia; Henderiks, Jorijntje; Hughen, Konrad A; Jung, Simon; Knutz, Paul Cornils; Lebreiro, Susana Martin; Lund, David C; Lynch-Stieglitz, Jean; Malaizé, Bruno; Marchitto, Thomas M; Martínez Méndez, Gema; Mollenhauer, Gesine; Naughton, Filipa; Nave, Silvia Osorio; Nürnberg, Dirk; Oppo, Delia W; Peck, Victoria L; Peeters, Frank J C; Penaud, Aurélie; Portilho-Ramos, Rodrigo Costa; Repschläger, Janne; Roberts, Jenny; Rühlemann, Carsten; Salgueiro, Emilia; Sanchez Goñi, Maria Fernanda; Schönfeld, Joachim; Scussolini, Paolo; Skinner, Luke C; Skonieczny, Charlotte; Thornalley, David JR; Toucanne, Samuel; Van Rooij, David; Vidal, Laurence; Voelker, Antje H L; Wary, Mélanie; Weldeab, Syee; Ziegler, Martin (2019): Consistently dated Atlantic sediment cores over the last 40 thousand years. Scientific Data, 165, https://doi.org/10.1038/s41597-019-0173-8
Data from:	https://doi.org/10.1594/PANGAEA.261313. Accessed 29 Oct 2022.
	https://doi.org/10.1594/PANGAEA.905274. Accessed 29 Oct 2022.
Comment:	The second Age column uses age model from Waelbroeck et al., 2019. All other data from van Kreveld et al., 2000
*/
Depth [m]	Age [ka BP]	Age [ka BP] (Waelbroeck et al., 2019)	SST sum [°C]	SSS	IRD [#/g]	Volcanic glass mafi [#/g]	Qz [#/g]	N. pachyderma s δ18O [‰ PDB]	N. pachyderma s δ13C [‰ PDB]	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	N. pachyderma s [%]	T. quinqueloba [%]	G. bulloides [%]
0.9	17.802	14.714	3.5	33.7	1708.5	138	115	3.69	-0.05			94.4	1	1.5
0.91	17.843	14.842								3.52	0.78			
0.92	17.904	14.977								3.28	0.68			
0.95	18.005	15.397	3.9	34.9	1076.5	18	62	4.26	-0.1	4.4	1.6	96.4	0.6	0.9
0.98	18.107	15.827								4.46	1.69			
1	18.499	16.119	3.9	35.4	591.5	10	22	4.55	-0.16	4.38	1.76	95.7	0.7	0.7
1.01	18.655	16.268								4.45	1.74			
1.05	19.282	16.859	3.7	35.3	766.5	36	13	4.56	-0.06	4.45	1.69	97	0.4	0.4
1.08	19.674	17.311								4.42	1.74			
1.1	20.066	17.616	4.5	35.8	1078.5	13	53	4.65	-0.09			97.2	0.3	0.3
1.15	20.849	18.381	4.7	36.1	810.4	20	41	4.75	0.03	4.32	1.72	97.5	0.2	0.5
1.18	21.241	18.839								4.49	1.83			
1.2	21.633	19.141	3.8	35.5	412.8	11	21	4.64	-0.06			96	0.7	1
1.21	21.686	19.293	3.8	35.3	561	20	14	4.55	-0.03			96.4	1	0.7
1.22	21.738	19.446	4.5	35.8	420.5	10	19	4.6	0.06			97.2	0.6	1
1.23	21.791	19.597	4.2	35.5	445.2	14	21	4.53	-0.01	4.41	1.7	95.8	1.5	1.4
1.24	21.843	19.753	3.6	35.3	510.6	7	37	4.57	0.01			95.2	1.3	2.2
1.25	21.896	19.903	3.4	35.1	440.1	7	19	4.51	0.05	4.4	1.76	95.2	1.8	1.5
1.26	21.948	20.054	2.7	34.8	353.2	6	11	4.54	-0.01			95.1	1.5	0.9
1.27	22.001	20.204	4	35.5	279.7	8	11	4.59	0.1			94.4	1.3	2.6
1.28	22.053	20.354	3.5	35.2	469	14	22	4.57	0.08			94.6	1.4	1.5
1.29	22.134	20.505	7.2	36.6	472.6	17	17	4.35	0			63.7	17.4	8.3
1.3	22.214	20.656	9	37.2	392.5	45	19	4.21	0.08	4.38	1.74	36.6	23.3	22.8
1.31	22.256	20.806	8.1	36.9	730.8	50	43	4.31	-0.04			44.4	22.5	16.7
1.32	22.299	20.956	4.9	35.8	975.4	25	52	4.5	0.03			88	6	2.3
1.33	22.341	21.107	3.9	35.3	744.1	5	66	4.51	-0.01	4.6	1.65	94.4	2.6	1.8
1.34	22.383	21.26	3.4	35.1	1024.5	31	81	4.5	-0.03			94.4	1.9	1.6
1.35	22.509	21.411	3.4	34.8	774	8	61	4.36	-0.07	4.24	1.75	95.8	1.3	0.8
1.36	22.636	21.56	3.3	35	543.7	10	35	4.51	-0.04			96.2	1.4	0.8
1.37	22.762	21.709	3.6	35.2	357	13	19	4.51	0.03	3.99	0.95	91.9	2.3	3
1.38	22.888	21.861	7.4	36.9	413	28	19	4.46	0.03			63.9	14.4	10.9
1.39	22.904	22.007	8.4	37.2	373.6	53	17	4.38	-0.05			44.3	23.9	16.6
1.4	22.92	22.155	8	37.3	243.7	32	10	4.52	0.08			58.8	17.4	11.5
1.41	22.936	22.306	8.6	37.1	231.8	48	10	4.27	0.16			42.5	25.5	18.2
1.42	23.017	22.46	8.1	36.7	259.1	32	12	4.13	0.13			51	20.2	13.7
1.43	23.098	22.615	3.3	35.1	260.1	15	9	4.5	0.02			95.5	2	0.9
1.44	23.178	22.764	4.3	35.6	269.8	13	10	4.53	-0.04			91.2	2.6	1.8
1.45	23.259	22.916	4.5	35.7	374	22	17	4.52	0.04			89.6	4.4	2.7
1.46	23.307	23.067	8	37.3	357.1	42	4	4.52	0.06			58.2	15.8	14.5
1.47	23.354	23.211	8.5	37.5	516.7	63	31	4.47	-0.03			40.5	26.6	16.9
1.48	23.432	23.34	4	35.3	346.2	18	15	4.46	-0.03			94.3	2.6	0.9
1.49	23.511	23.445	4.2	35.3	221.5	11	12	4.39	0.01			94.5	2.7	1.2
1.5	23.589	23.548	3.9	35.3	235.7	13	9	4.44	0.12	3.43	1.12	93.9	4	0.9
1.51	23.668	23.647	3.8	35.1	444.6	14	16	4.36	-0.03			87.7	8.8	1
1.52	23.746	23.745	3.7	34.9	512.9	19	30	4.28	0.02			90.1	7.2	1.4
1.52	23.785	23.745								3.82	1.14			
1.53	23.825	23.839	4.1	35.1	745.4	44	45	4.28	-0.1			90.8	6.3	1.5
1.54	23.903	23.935	4.1	35.3	970.5	73	88	4.39	0.03			92.8	5.2	0.5
1.55	23.982	24.029	4.2	35.3	1136.9	99	110	4.38	-0.16	3.92	1.28	94.9	2.8	0.7
1.56	24.06	24.122	3	34.5	1847	70	216	4.26	-0.12	3.96	1.08	95.5	1.8	0.7
1.57	24.246	24.215	3.3	34.6	1300.8	36	142	4.2	-0.04			96.5	1.4	0.7
1.58	24.339	24.308								3.79	1.28			
1.58	24.432	24.308	4	35	883.8	63	68	4.27	-0.08			96.4	0.7	0.8
1.59	24.617	24.403	3.4	35.1	608.5	42	46	4.46	-0.08			98.1	0.8	0.4
1.6	24.803	24.497	3.9	35.3	1548.4	284	97	4.43	-0.11	3.84	1.41	92.2	3.2	2.5
1.61	24.916	24.591	4.6	35.5	911.4	178	46	4.39	-0.08	3.9	1.26	87.9	5.3	5.3
1.62	25.03	24.684	3.5	35	869.7	78	48	4.41	-0.1			95.4	1.3	1.2
1.62	25.086	24.684								3.77	1.28			
1.63	25.143	24.775	3.9	35.3	1231.8	71	100	4.43	-0.18			96.8	0.8	0.7
1.64	25.256	24.866	4	35.1	895.6	57	60	4.33	-0.01	4.03	1.45	97.3	0.7	0.5
1.65	25.358	24.959	4.1	35.4	945.6	67	69	4.46	-0.1	4.05	1.47	96.4	1.1	1.3
1.66	25.459	25.053	3.9	35	834.6	35	66	4.3	-0.07	4.19	1.51	96.7	0.9	0.8
1.67	25.561	25.147	3.4	34.9	1165.5	41	108	4.36	-0.04			95.9	1.9	1.1
1.68	25.611	25.242								4.11	1.4			
1.68	25.662	25.242	3.3	34.3	1014.5	41	106	4.08	-0.37			96.7	1.2	0.3
1.69	25.73	25.335	3	34.7	782.5	35	64	4.36	-0.01	3.97	1.33	95.7	1.6	0.7
1.7	25.799	25.429	3.9	35.2	450.7	25	21	4.43	0.01	4.21	1.67	97.8	0.9	0.4
1.71	25.867	25.524	3.8	35.4	428.5	34	18	4.52	-0.06	4.39	1.74	97.7	0.6	0.1
1.72	25.935	25.622	4.2	35.6	971.3	74	45	4.53	-0.07			97.8	0.4	0.4
1.73	26.119	25.721	3.9	35.1	473.6	35	22	4.35	-0.04			97.6	0.6	0.7
1.74	26.304	25.818	3.8	35.1	622.6	67	31	4.41	-0.01			96.8	1.8	0.4
1.75	26.488	25.92	3.1	34.3	618.6	39	33	4.16	-0.07			98.4	0.3	0.8
1.76	26.672	26.019	4.2	35	845.2	40	39	4.25	-0.02			98.1	0.2	0.8
1.77	26.749	26.118	3.7	34.6	619.4	51	23	4.17	-0.1			98.4	1.1	0
1.78	26.826	26.216	3.2	34.5	568.6	45	27	4.22	0.08			97.7	1	0.3
1.79	26.903	26.313	3.9	34.7	542.3	53	30	4.17	0.03			97.9	0.8	0.3
1.8	26.98	26.408	3.9	34.8	1052.9	511	25	4.22	0.08	3.75	1.54	98.3	0.9	0.3
1.81	27.047	26.504	3.8	34.7	738.3	216	18	4.21	-0.07	4.14	1.44	97.7	0.8	0.2
1.82	27.114	26.603	4	34.8	1393.9	510	39	4.2	0.04	3.65	0.94	98.5	0.2	0.4
1.83	27.181	26.705	4.3	35	3402.1	2235	28	4.2	0.03			94.8	3.1	1
1.84	27.227	26.803								3.69	1.24			
1.84	27.247	26.803	4.1	34.5	466.8	116	19	3.96	0.05	3.77	1.46	92.5	3	1.3
1.85	27.314	26.901	4.4	34.8	488.1	134	25	4.08	-0.05	3.77	1.32	93.6	3.2	1
1.86	27.381	26.997	3.9	34.4	477.8	100	31	3.96	-0.07	3.64	1.24	91.9	3.5	2.6
1.87	27.409	27.087	4.2	34.4	494	74	27	3.9	-0.09			87.8	7.1	3
1.88	27.423	27.173								3.52	1.3			
1.88	27.437	27.173	6.2	35.5	298.2	43	9	4	0.03			71.4	12.3	11.4
1.89	27.465	27.255	7.6	35.6	271.6	34	14	3.67	0.03			53	27.7	14.3
