/* DESCRIPTION:
Reference:	Schulz, H., von Rad, U. and H. Erlenkeuser, 1998. Correlation between Arabian Sea and Greenland climate oscillations for the past 110,000 years. Nature, 393: 54-57, https://doi.org/10.1038/31750
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/5937
Comment:	Data was not modified in any way.
*/
Depth [cm]	Age [kyr BP]	TOC [%]
0	2	2.54
2.5	2.28	2.54
5	2.55	2.24
7.5	2.83	2.52
10	3.1	2.34
12.5	3.37	2.4
15	3.65	2.4
17.5	3.93	2.37
20	4.2	2.54
22.5	4.48	2.56
25	4.75	2.36
27.5	5.03	2.44
30	5.3	2.82
32.5	5.57	2.74
35	5.85	3.19
37.5	6.13	3.46
40	6.4	3.07
42.5	6.67	3.35
45	6.95	3.05
47.5	7.22	3.21
50	7.5	3.2
52.5	7.77	3.1
55	8.05	3.33
57.5	8.33	3.35
60	8.6	3.28
62.5	8.88	3.27
65	9.15	2.25
67.5	9.43	2.15
70	9.7	1.66
72.5	9.88	1.39
75	10.05	1.38
77.5	10.23	1.4
80	10.4	1.36
82.5	10.57	1.24
85	10.75	1.17
87.5	10.93	1.24
90	11.1	1.21
92.5	11.28	1.23
95	11.45	1.18
97.5	11.51	1.05
100	11.58	1.03
102.5	11.64	1.01
105	11.71	1.03
107.5	11.77	1
110	11.83	1.03
112.5	11.9	1.03
115	11.96	1.03
117.5	12.02	1.03
120	12.09	1.03
122.5	12.15	1.04
125	12.22	1.05
127.5	12.28	1.02
130	12.34	1
132.5	12.41	0.98
135	12.47	0.98
137.5	12.54	0.97
140	12.6	0.97
142.5	12.62	0.98
145	12.63	0.98
147.5	12.65	0.97
150	12.66	0.96
152.5	12.68	0.96
155	12.69	0.97
157.5	12.71	0.98
160	12.72	0.97
162.5	12.73	0.98
165	12.75	0.97
167.5	12.77	0.98
170	12.78	0.97
172.5	12.79	0.98
175	12.81	1
177.5	12.82	0.99
180	12.84	1
182.5	12.86	1.05
185	12.87	1.07
187.5	12.88	1.06
190	12.9	1.24
192.5	13.03	1.16
195	13.17	1.36
197.5	13.3	1.36
200	13.43	1.44
202.5	13.57	1.36
205	13.7	1.43
207.5	13.83	1.33
210	13.97	1.33
212.5	14.1	1.38
215	14.23	1.41
217.5	14.37	1.48
220	14.5	1.64
222.5	14.7	1.53
225	14.9	1.41
227.5	15.1	1.38
230	15.3	0.87
232.5	15.5	0.72
235	15.7	0.6
237.5	15.9	0.82
240	16.1	0.7
242.5	16.13	0.69
245	16.15	0.69
247.5	16.18	0.67
250	16.21	0.66
252.5	16.24	0.64
255	16.26	0.52
257.5	16.29	0.45
260	16.32	0.55
262.5	16.35	0.56
265	16.37	0.59
267.5	16.4	0.43
270	16.43	0.84
272.5	16.46	0.74
275	16.49	0.76
277.5	16.51	0.71
280	16.54	0.89
282.5	16.57	0.92
285	16.6	0.94
287.5	16.62	0.94
290	16.65	0.95
292.5	16.68	0.95
295	16.7	0.95
297.5	16.73	0.99
300	16.76	0.98
302.5	16.79	0.99
305	16.82	0.98
307.5	16.84	1.04
310	16.87	1.13
312.5	16.9	1.09
315	16.93	1.22
317.5	16.95	1.23
320	16.98	1.2
322.5	17.01	1.29
325	17.03	1.14
327.5	17.06	1.2
330	17.09	1.29
332.5	17.12	1.73
335	17.14	1.83
337.5	17.17	1.75
340	17.2	1.68
342.5	17.32	1.79
345	17.45	1.86
347.5	17.57	1.84
350	17.7	1.37
352.5	17.82	2
355	17.95	2.12
357.5	18.08	2.22
360	18.2	2.04
362.5	18.33	1.73
365	18.45	1.89
367.5	18.58	2.24
370	18.7	2.07
372.5	18.82	1.99
375	18.95	2.15
377.5	19.07	1.86
380	19.2	2.32
382.5	19.28	1.93
385	19.37	1.79
387.5	19.45	1.95
390	19.53	1.76
392.5	19.62	1.86
395	19.7	1.85
397.5	19.79	1.82
400	19.87	1.83
402.5	19.95	1.69
405	20.04	1.8
407.5	20.12	1.81
410	20.2	2.02
412.5	20.29	1.75
415	20.37	1.69
417.5	20.46	1.74
420	20.54	1.68
422.5	20.62	1.44
425	20.71	1.76
427.5	20.79	1.76
430	20.87	1.91
432.5	20.96	2
435	21.04	2.36
437.5	21.12	2.12
440	21.21	2.24
442.5	21.29	1.84
445	21.38	2.1
447.5	21.46	1.92
450	21.54	2.24
452.5	21.63	1.85
455	21.71	1.92
457.5	21.79	1.92
460	21.88	2.02
462.5	21.96	2.13
465	22.04	2.32
467.5	22.13	2.11
470	22.21	1.86
472.5	22.3	1.86
475	22.38	2.15
477.5	22.46	2.78
480	22.55	2.03
482.5	22.63	2.33
485	22.71	2.11
487.5	22.8	2.16
490	22.88	2.3
492.5	22.97	2.3
495	23.05	2.24
497.5	23.13	1.91
500	23.22	2.14
502.5	23.3	2.21
505	23.36	2.01
507.5	23.43	1.85
510	23.49	1.77
512.5	23.55	1.54
515	23.62	1.34
517.5	23.68	1.33
520	23.75	1.42
522.5	23.81	1.25
525	23.87	1.34
527.5	23.94	1.62
530	24	1.37
532.5	24.09	1.61
535	24.17	1.58
537.5	24.26	1.7
540	24.35	1.71
542.5	24.44	1.85
545	24.53	2.1
547.5	24.61	1.98
550	24.7	2.54
552.5	24.79	2.02
555	24.88	2.39
557.5	24.97	2.37
560	25.06	2.09
562.5	25.14	2.15
565	25.23	1.77
567.5	25.32	1.76
570	25.41	1.7
572.5	25.5	1.59
575	25.59	1.6
577.5	25.68	1.64
580	25.77	1.99
582.5	25.87	1.77
585	25.96	1.98
587.5	26.05	2.84
590	26.14	2.79
592.5	26.23	3.12
595	26.33	2.67
597.5	26.42	2.73
600	26.51	2.3
602.5	26.6	2.82
605	26.69	2.79
607.5	26.78	2.68
610	26.87	2.4
612.5	26.97	2.58
615	27.06	3.21
617.5	27.15	3.16
620	27.24	2.91
622.5	27.33	2.65
625	27.43	2.43
627.5	27.52	2.78
630	27.61	3.35
632.5	27.7	3.71
635	27.79	1.81
637.5	27.87	1.56
640	27.96	1.17
642.5	28.04	1.14
645	28.13	1.15
647.5	28.21	1.23
650	28.3	1.15
652.5	28.39	1.29
655	28.47	1.23
657.5	28.56	1.35
660	28.64	1.53
662.5	28.73	1.8
665	28.81	2.41
667.5	28.9	2.18
670	28.96	2.53
672.5	29.02	1.61
675	29.08	1.11
677.5	29.14	1.03
680	29.2	0.98
682.5	29.26	0.96
685	29.32	0.97
687.5	29.38	0.95
690	29.44	0.95
692.5	29.5	0.95
695	29.56	0.95
697.5	29.62	0.94
700	29.68	0.92
702.5	29.74	0.93
705	29.8	0.93
707.5	29.86	0.9
710	29.92	0.95
712.5	29.98	0.94
715	30.04	1.14
717.5	30.1	1.05
720	30.14	1.19
722.5	30.18	0.98
725	30.22	0.97
727.5	30.26	0.96
730	30.3	1.03
732.5	30.34	0.97
735	30.38	1.07
737.5	30.42	1.4
740	30.46	1.52
742.5	30.5	1.17
745	30.54	1.69
747.5	30.58	1.92
750	30.62	2.15
752.5	30.66	1.95
755	30.7	1.72
757.5	30.83	1.75
760	30.95	2.17
762.5	31.08	1.95
765	31.21	1.85
767.5	31.34	1.58
770	31.46	2.15
772.5	31.59	2
775	31.72	2.39
777.5	31.85	2.69
780	31.97	2.85
782.5	32.1	3.22
785	32.21	2.7
787.5	32.32	1.48
790	32.42	1.46
792.5	32.53	1.53
795	32.64	1.48
797.5	32.75	1.4
800	32.85	1.62
802.5	32.96	1.75
805	33.07	1.81
807.5	33.18	1.78
810	33.28	2.16
812.5	33.39	2.58
815	33.5	2.77
817.5	33.61	2.55
820	33.71	1.94
822.5	33.82	1.69
825	33.93	1.6
827.5	34.03	1.25
830	34.14	1.45
832.5	34.25	1.69
835	34.35	1.75
837.5	34.46	1.84
840	34.57	1.66
842.5	34.67	1.89
845	34.78	1.53
847.5	34.89	3.16
850	34.99	3.22
852.5	35.1	3.34
855	35.18	3.29
857.5	35.25	3.11
860	35.33	2.6
862.5	35.4	1.8
865	35.48	1
867.5	35.55	1.36
870	35.63	1.31
872.5	35.7	1.42
875	35.78	1.56
877.5	35.86	1.36
880	35.93	1.38
882.5	36.01	1.61
885	36.08	1.49
887.5	36.16	1.66
890	36.23	1.64
892.5	36.31	2.22
895	36.39	2.43
897.5	36.46	2.48
900	36.54	2.68
902.5	36.61	3.09
905	36.69	2.71
907.5	36.76	2.72
910	36.84	2.36
912.5	36.91	2.34
915	36.99	2.22
917.5	37.07	2.28
920	37.14	2.72
922.5	37.22	2.38
925	37.29	2.37
927.5	37.37	2.31
930	37.44	2.34
932.5	37.52	2.04
935	37.6	2.8
937.5	37.67	2.89
940	37.75	2.63
942.5	37.82	2.44
945	37.9	2.4
947.5	37.97	2.31
950	38.05	2.3
952.5	38.12	2.15
955	38.2	2.61
957.5	38.26	1.47
960	38.32	1.23
962.5	38.38	1.05
965	38.44	1.09
967.5	38.51	1.03
970	38.57	0.99
972.5	38.63	0.99
975	38.69	0.97
977.5	38.75	0.98
980	38.81	1.03
982.5	38.87	0.98
985	38.93	0.96
987.5	38.99	0.97
990	39.06	0.98
992.5	39.12	0.98
995	39.18	0.98
997.5	39.24	0.96
1000	39.3	0.88
1002.5	39.35	0.96
1005	39.39	0.96
1007.5	39.44	0.95
1010	39.49	0.96
1012.5	39.54	0.99
1015	39.58	1.03
1017.5	39.63	1.06
