# DESCRIPTION:
# Reference: Schulz, H., von Rad, U. and H. Erlenkeuser, 1998. Correlation between Arabian Sea and Greenland climate oscillations for the past 110,000 years. Nature, 393: 54-57, https://doi.org/10.1038/31750
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/5937
# Comment: Data was not modified in any way.

Depth [cm],Age [kyr BP],TOC [%]
2.5,2.11,2.61
5,2.21,2.98
7.5,2.32,3.09
10,2.42,2.51
12.5,2.53,2.92
15,2.63,3.03
17.5,2.74,3.2
20,2.84,3.56
22.5,2.95,3.23
37.5,3.58,2.48
40,3.69,2.92
42.5,3.79,3.2
45,3.9,2.9
47.5,4,2.51
50,4.11,3.23
52.5,4.22,3.03
55,4.32,3.59
57.5,4.43,3.32
60,4.53,3.35
62.5,4.64,3.12
65,4.74,3.15
67.5,4.85,3.91
70,4.95,3.59
72.5,5.06,3.32
75,5.16,3.56
77.5,5.27,3.38
80,5.38,3.03
82.5,5.48,4.31
85,5.59,3.84
87.5,5.69,3.65
90,5.8,3.68
92.5,5.9,3.97
95,6.01,3.59
97.5,6.11,3.72
100,6.22,4
102.5,6.32,4.1
105,6.43,3.97
107.5,6.54,3.91
110,6.64,3.65
112.5,6.75,3.62
115,6.85,3.23
117.5,6.96,3.29
120,7.06,3.62
122.5,7.17,2.95
125,7.27,4.07
127.5,7.38,4.1
130,7.48,3.65
135,7.7,3.72
150,8.33,4.34
152.5,8.43,3.72
155,8.54,4.45
157.5,8.65,2.95
160,8.75,2.79
162.5,8.86,3.38
165,8.96,3.29
167.5,9.07,2.9
170,9.17,2.82
172.5,9.28,3.09
175,9.38,2.79
177.5,9.49,2.66
180,9.59,2.34
182.5,9.7,2.13
185,9.78,2.34
187.5,9.86,2.31
190,9.94,2.15
192.5,10.02,2.04
195,10.1,2.07
197.5,10.18,1.68
200,10.26,1.47
202.5,10.34,1.31
205,10.42,1.42
207.5,10.5,1.5
210,10.57,1.9
212.5,10.65,1.31
215,10.73,1.34
217.5,10.81,1.31
220,10.89,1.29
222.5,10.97,1.21
225,11.05,1.25
227.5,11.13,1.36
230,11.21,1.19
232.5,11.29,1.28
235,11.37,1.24
237.5,11.45,1.11
240,11.58,1.19
242.5,11.71,1.21
245,11.83,0.98
247.5,11.96,0.8
250,12.09,0.76
252.5,12.22,0.77
255,12.34,0.78
257.5,12.47,0.78
260,12.6,0.71
262.5,12.62,0.76
265,12.64,0.75
267.5,12.66,0.76
270,12.68,0.77
272.5,12.69,0.76
275,12.71,0.83
277.5,12.73,0.79
280,12.75,0.83
282.5,12.77,0.85
285,12.79,0.84
287.5,12.81,0.91
290,12.82,1.01
292.5,12.84,1.11
295,12.86,1.47
297.5,12.88,1.54
300,12.9,1.57
302.5,12.98,1.5
305,13.05,1.29
307.5,13.13,1.28
310,13.2,1.34
312.5,13.28,1.42
315,13.36,1.63
317.5,13.43,1.86
320,13.51,1.76
322.5,13.59,1.5
325,13.66,1.61
327.5,13.74,1.52
330,13.81,1.61
332.5,13.89,1.72
335,13.97,1.76
337.5,14.04,1.61
340,14.12,1.49
342.5,14.2,1.36
345,14.27,1.52
347.5,14.35,1.98
350,14.42,2.18
352.5,14.5,2.56
355,14.9,1.49
357.5,15.3,0.58
360,15.7,0.63
362.5,16.1,0.63
365,16.32,0.58
367.5,16.54,0.86
370,16.76,1.42
372.5,16.98,1.54
375,17.2,2.31
377.5,17.45,1.86
380,17.7,2.13
382.5,17.95,2.15
385,18.2,2.2
387.5,18.45,2.27
390,18.7,2.15
392.5,18.95,2.27
395,19.2,2
397.5,19.3,2.07
400,19.39,2.07
402.5,19.49,2.39
405,19.58,2.48
407.5,19.68,2.07
410,19.77,2.43
412.5,19.87,2
415,19.96,2.53
417.5,20.06,2.41
420,20.15,2.02
422.5,20.25,2.2
425,20.34,2.09
427.5,20.44,2.31
430,20.53,2.61
432.5,20.63,2.2
435,20.73,2.68
437.5,20.82,2.58
440,20.92,2.31
442.5,21.01,2.51
445,21.11,2.18
447.5,21.2,2.31
450,21.3,2.39
452.5,21.39,2.31
455,21.49,2.43
457.5,21.58,2.43
460,21.68,2.71
462.5,21.77,2.22
465,21.87,2.41
467.5,21.97,2.76
470,22.06,2.74
472.5,22.16,2.66
475,22.25,2.56
477.5,22.35,2.48
480,22.44,2.58
482.5,22.54,2.53
485,22.63,2.41
487.5,22.73,2.71
490,22.82,2.34
492.5,22.92,2.79
