/* DESCRIPTION:
Reference:	Fleitmann, D., H. Cheng, S. Badertscher, R.L. Edwards, M. Mudelsee, O.M. Göktürk, A. Fankhauser, R. Pickering, C.C. Raible, A. Matter, J. Kramers, and O. Tüysüz.  2009. Timing and climatic impact of Greenland interstadials recorded in stalagmites from northern Turkey. Geophys. Res. Lett., 36, L19707, doi:10.1029/2009GL040050
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/8637. Accessed 22 Nov 2022.
Comment:	Years were converted to ka.
*/
Age [ka BP]	  del13C	    del18O
-0.056	-10.18	-8.39
-0.05408	-10.03	-8.13
-0.05215	-11.07	-8.05
-0.05023	-11.02	-8.28
-0.0483	-10.42	-8.18
-0.04638	-10.09	-8.31
-0.04445	-10.62	-8.38
-0.04253	-10.72	-8.37
-0.0406	-10.24	-8.45
-0.03868	-10.62	-8.26
-0.03675	-10.46	-8.39
-0.03483	-10.33	-8.29
-0.03291	-10.04	-8.36
-0.03098	-9.73	-8.5
-0.02906	-9.69	-8.73
-0.02713	-9.48	-8.43
-0.02521	-9.77	-8.3
-0.02328	-9.92	-8.4
-0.02136	-9.95	-8.42
-0.01943	-9.38	-8.62
-0.01751	-9.42	-8.27
-0.01558	-9.4	-8.04
-0.01366	-9.23	-8.05
-0.01174	-9.39	-8.02
-0.00981	-9.8	-8.04
-0.00789	-9.32	-8.03
-0.00596	-9.56	-8.07
-0.00404	-9.37	-7.97
-0.00211	-9.1	-7.96
-0.00019	-9.22	-7.91
0.00174	-9.58	-8.04
0.00366	-9.3	-8.42
0.00558	-9.08	-8.39
0.00751	-9.12	-8.35
0.00943	-9.2	-8.23
0.01136	-8.98	-8.15
0.01328	-9.28	-7.87
0.01521	-9.74	-8.04
0.01713	-9.97	-8.18
0.01906	-9.28	-8.18
0.02098	-8.84	-8.19
0.02291	-9	-8.31
0.02483	-8.96	-8.05
0.02675	-8.69	-7.96
0.02868	-8.69	-7.75
0.0306	-8.69	-7.69
0.03253	-8.81	-7.81
0.03445	-9.02	-7.83
0.03638	-8.93	-7.69
0.0383	-9.26	-7.68
0.04023	-9.3	-7.82
0.04215	-9.09	-7.76
0.04408	-9	-7.77
0.046	-9.15	-7.85
0.04792	-9.49	-7.84
0.04985	-9.7	-7.89
0.05177	-9.46	-7.78
0.0537	-9.68	-7.73
0.05562	-9.47	-7.63
0.05755	-9.35	-7.49
0.05947	-9.19	-7.33
0.0614	-9.58	-7.43
0.06332	-9.62	-7.84
0.06525	-9.85	-8.02
0.06717	-9.64	-8.06
0.06909	-9.52	-8.02
0.07102	-9.71	-7.85
0.07294	-9.62	-7.66
0.07487	-9.58	-7.82
0.07679	-9.69	-7.91
0.07872	-9.9	-7.99
0.08064	-9.8	-7.97
0.08257	-9.51	-7.89
0.08449	-9.25	-8
0.08642	-9.44	-7.92
0.08834	-9.45	-7.89
0.09026	-9.68	-7.92
0.09219	-9.62	-7.97
0.09411	-9.46	-7.99
0.09604	-9.73	-7.91
0.09796	-9.68	-7.81
0.09989	-9.56	-7.98
0.10181	-9.86	-8.18
0.10374	-10.04	-8.22
0.10566	-10.16	-8.27
0.10758	-10.22	-8.11
0.10951	-10.27	-8.13
0.11143	-10.29	-7.99
0.11336	-10.05	-7.92
0.11528	-10.09	-8.3
0.11721	-9.85	-8
0.11913	-10.03	-8.26
0.12106	-9.97	-8.26
0.12298	-9.72	-7.89
0.12491	-9.91	-7.88
0.12683	-10.15	-7.89
0.12875	-10.25	-8.14
0.13068	-9.81	-7.98
0.1326	-9.85	-7.88
0.13453	-10.39	-7.94
0.13645	-10.08	-7.97
0.13838	-9.98	-8.03
0.1403	-10.03	-8.07
0.14223	-9.75	-7.76
0.14415	-10	-7.7
0.14608	-10.08	-7.67
0.148	-9.94	-7.71
0.14992	-9.93	-7.8
0.15185	-10.08	-7.89
0.15377	-10.24	-7.97
0.1557	-10.02	-7.96
0.15762	-9.85	-8.05
0.15955	-10.15	-8.1
0.16147	-10.06	-8.13
0.1634	-10.06	-8.23
0.16532	-9.79	-8.03
0.16725	-9.94	-7.8
0.16917	-10.21	-7.88
0.17109	-9.89	-7.7
0.17302	-9.56	-7.78
0.17494	-9.49	-7.77
0.17687	-9.82	-7.94
0.17879	-10.07	-7.67
0.18072	-10.01	-7.7
0.18264	-10.28	-7.55
0.18457	-10.11	-7.52
0.18649	-10.05	-7.5
0.18842	-10.64	-7.85
0.19034	-10.24	-7.86
0.19226	-10.18	-7.87
0.19419	-9.96	-7.87
0.19611	-9.93	-7.88
0.19804	-9.94	-7.64
0.19996	-10.11	-7.62
0.20189	-9.91	-7.67
0.20381	-9.68	-7.58
0.20574	-9.67	-7.5
0.20766	-9.58	-7.61
0.20958	-9.65	-7.52
0.21151	-9.66	-7.52
0.21343	-9.72	-7.64
0.21536	-9.6	-7.72
0.21728	-9.69	-7.8
0.21921	-9.64	-7.77
0.22113	-9.5	-7.8
0.22306	-9.42	-7.89
0.22498	-9.66	-7.89
0.22691	-9.91	-8.16
0.22883	-9.76	-8.22
0.23075	-9.45	-8.04
0.23268	-9.4	-8.1
0.2346	-9.37	-8.02
0.23653	-9.12	-7.79
0.23845	-9.36	-7.78
0.24038	-9.85	-7.96
0.2423	-9.64	-8
0.24423	-9.29	-7.93
0.24615	-9.1	-7.98
0.24808	-9.45	-7.84
0.25	-9.54	-7.85
0.25322	-9.71	-7.91
0.25644	-9.61	-8.01
0.25966	-9.59	-7.98
0.26287	-9.44	-7.9
0.26609	-9.63	-7.96
0.26931	-9.41	-7.9
0.27253	-9.4	-7.81
0.27575	-9.31	-7.74
0.27897	-9.48	-7.96
0.28218	-9.3	-8.19
0.2854	-9.36	-8.19
0.28862	-9.27	-8.2
0.29184	-9.03	-8.2
0.29506	-9.08	-8.11
0.29828	-9.05	-8.12
0.30149	-9.01	-8.4
0.30471	-8.79	-8.26
0.30793	-8.98	-8.07
0.31115	-8.97	-8.08
0.31437	-9.07	-8.12
0.31759	-9.03	-8.07
0.3208	-9.46	-8.21
0.32402	-9.36	-8.09
0.32724	-9.47	-8.1
0.33046	-9.37	-8.16
0.33368	-9.6	-8.29
0.3369	-9.63	-8.22
0.34011	-9.77	-8.25
0.34333	-9.8	-8.25
0.34655	-9.73	-8.3
0.34977	-9.65	-8.16
0.35299	-9.73	-8.08
0.35621	-9.98	-7.99
0.35943	-9.86	-8.11
0.36264	-9.69	-8.21
0.36586	-9.93	-8.2
0.36908	-9.76	-8.12
0.3723	-9.77	-8.12
0.37552	-9.82	-8.27
0.37874	-9.77	-8.34
0.38195	-9.69	-8.28
0.38517	-9.7	-8.34
