# DESCRIPTION:
# Reference: Larry Benson, Steve Lund, Rob Negrini, Braddock Linsley, Mladen Zic. 2003. Response of North American Great Basin Lakes to Dansgaard-Oeschger oscillations. Quaternary Science Reviews, 22(21-22), 2239-2251. doi: 10.1016/S0277-3791(03)00210-5.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/17014. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],d13C, Ostracodes, [per mil VPDB],d18O, Ostracodes, [per mil VPDB]
0.13,23.36,1.05,28.2
0.155,23.44,,
0.18,23.5,,
0.204,23.59,,
0.23,23.72,0.93,27.8
0.253,23.82,1.41,27.9
0.279,23.87,,
0.305,23.91,,
0.331,24.04,1.54,28.4
0.396,24.07,,
0.44,24.12,1.7,27.4
0.466,24.15,1.71,27.9
0.491,24.18,1.47,28.5
0.529,24.22,1.98,28.7
0.555,24.31,1.95,28.3
0.579,24.35,1.84,28.6
0.654,24.38,1.78,28
0.68,24.39,,
0.705,24.41,,
0.816,24.44,0.65,27.2
0.841,24.47,-0.45,26.7
0.867,24.49,-0.57,27.1
0.89,24.6,0.03,27.3
0.99,24.78,,
1.012,24.91,1.65,28.3
1.035,25,1.93,28.5
1.076,25.01,,
1.124,25.02,2.28,28.6
1.163,25.04,1.64,28.2
1.19,25.05,1.79,28.8
1.213,25.06,1.06,27.3
1.237,25.09,0.92,27
1.26,25.11,0.93,27.2
1.286,25.22,0.68,27.2
1.321,25.27,0.45,27.5
1.345,25.3,0.83,27.9
1.393,25.35,0.5,27.2
1.417,25.44,0.13,27.3
1.441,25.49,,
1.475,25.51,0.59,27.4
1.509,25.54,,
1.552,25.61,,
1.615,25.69,1.2,28.4
1.677,25.71,1.08,27.4
1.823,25.77,,
1.849,25.84,0.84,27.6
1.885,25.88,,
1.91,25.89,0.62,26.3
1.934,25.92,,
1.96,25.94,,
1.981,25.98,,
2.005,25.99,1.29,27.2
2.035,26.03,,
2.058,26.06,,
2.117,26.07,,
2.14,26.1,,
2.164,26.12,,
2.227,26.15,,
2.31,26.19,1,27.4
2.35,26.23,,
2.375,26.26,,
2.465,26.3,,
2.555,26.32,1,27.9
2.6,26.35,0.93,27.5
2.624,26.38,0.65,28
2.65,26.39,0.8,27.9
2.672,26.41,0.65,27.5
