# DESCRIPTION:
# Reference: Barker, S., Knorr, G., Edwards, R. L., Parrenin, F., Putnam, A. E., Skinner, L. C., ... & Ziegler, M. (2011). 800,000 years of abrupt climate variability. science, 334(6054), 347-351, https://doi.org/10.1126/science.1203580
# Data from: https://doi.org/10.1126/science.1203580. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

EDC3 Age [kyr],GLT_syn δ18O [‰]
5,-35.79
5.05,-35.76
5.1,-35.63
5.15,-35.63
5.2,-35.64
5.25,-35.69
5.3,-35.73
5.35,-35.8
5.4,-35.89
5.45,-35.58
5.5,-35.49
5.55,-35.21
5.6,-35.32
5.65,-35.37
5.7,-35.38
5.75,-35.47
5.8,-35.62
5.85,-35.76
5.9,-35.91
5.95,-35.95
6,-35.91
6.05,-35.87
6.1,-35.93
6.15,-36.14
6.2,-36.14
6.25,-36.29
6.3,-36.19
6.35,-36.16
6.4,-36.05
6.45,-36.02
6.5,-36.22
6.55,-36.24
6.6,-36.13
6.65,-35.87
6.7,-35.89
6.75,-36.09
6.8,-35.98
6.85,-35.84
6.9,-35.95
6.95,-36.03
7,-35.98
7.05,-35.95
7.1,-35.83
7.15,-35.85
7.2,-35.37
7.25,-35.14
7.3,-35.08
7.35,-35.45
7.4,-35.44
7.45,-35.22
7.5,-35.35
7.55,-35.56
7.6,-35.69
7.65,-35.69
7.7,-35.91
7.75,-35.99
7.8,-36.25
7.85,-36.22
7.9,-36.38
7.95,-36.55
8,-36.53
8.05,-36.28
8.1,-36.13
8.15,-36.21
8.2,-35.84
8.25,-35.6
8.3,-35.32
8.35,-35.21
8.4,-34.86
8.45,-34.77
8.5,-34.69
8.55,-34.46
8.6,-34.57
8.65,-34.48
8.7,-34.42
8.75,-34.28
8.8,-34.33
8.85,-34.19
8.9,-34.35
8.95,-34.38
9,-34.42
9.05,-34.34
9.1,-34.37
9.15,-34.28
9.2,-34.18
9.25,-34.45
9.3,-34.3
9.35,-34.3
9.4,-34.39
9.45,-34.54
9.5,-34.56
9.55,-34.65
9.6,-34.75
9.65,-34.87
9.7,-35.07
9.75,-35.37
9.8,-35.47
9.85,-35.42
9.9,-35.54
9.95,-35.52
10,-35.59
10.05,-35.81
10.1,-35.92
10.15,-36.07
10.2,-36.26
10.25,-36.26
10.3,-36.39
10.35,-36.27
10.4,-36.25
10.45,-36.17
10.5,-36.37
10.55,-36.66
10.6,-36.71
10.65,-36.54
10.7,-36.76
10.75,-36.61
10.8,-36.38
10.85,-36.36
10.9,-36.29
10.95,-36.4
11,-36.21
11.05,-36.42
11.1,-36.35
11.15,-36.43
11.2,-36.55
11.25,-36.78
11.3,-36.9
11.35,-37.46
11.4,-37.54
11.45,-37.99
11.5,-38.69
11.55,-38.94
11.6,-39.22
11.65,-39.66
11.7,-40.27
11.75,-40.54
11.8,-41.03
11.85,-41.28
11.9,-41.51
11.95,-41.58
12,-41.79
12.05,-41.71
12.1,-41.84
12.15,-41.59
12.2,-41.22
12.25,-41.24
12.3,-41.23
12.35,-40.77
12.4,-40.38
12.45,-40.29
12.5,-39.85
12.55,-39.49
12.6,-38.88
12.65,-38.44
12.7,-38.2
12.75,-38.02
12.8,-37.56
12.85,-37.34
12.9,-37.3
12.95,-37.09
13,-36.88
13.05,-37
13.1,-36.82
13.15,-36.5
13.2,-36.65
13.25,-36.69
13.3,-36.81
13.35,-36.85
13.4,-36.67
13.45,-36.42
13.5,-36.47
13.55,-36.46
13.6,-36.12
13.65,-35.75
13.7,-35.56
13.75,-35.45
13.8,-35.57
13.85,-35.71
13.9,-35.62
13.95,-35.84
14,-36.22
14.05,-36.47
14.1,-36.6
14.15,-36.93
14.2,-37.23
14.25,-37.63
14.3,-38.3
14.35,-38.99
14.4,-39.36
14.45,-39.51
14.5,-39.72
14.55,-39.99
14.6,-40.17
14.65,-40.11
14.7,-40.04
14.75,-40
14.8,-40.29
14.85,-40.46
14.9,-40.56
14.95,-40.49
15,-40.36
