/* DESCRIPTION:
Reference:	Barker, S., & Diz, P. (2014). Timing of the descent into the last Ice Age determined by the bipolar seesaw. Paleoceanography, 29(6), 489-507, https://doi.org/10.1002/2014PA002623
Data from:	https://doi.org/10.1002/2014PA002623. Accessed 22 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Age GICC05/NALPSSpeleo (Kyr)	G. bulloides d18O	%NPS/totPD
0.043		
0.471		
0.899		
1.327		
1.755		
2.183		 
2.611		
2.954		
3.382		
3.810		
4.238		
4.666		
5.094		
5.522		11.76
5.951		16.00
6.122		5.00
6.207		10.00
6.293		5.88
6.379		5.71
6.464		17.39
6.807		
7.235		
7.663		
8.177		
8.519		11.11
8.947		
9.546		21.43
9.889		5.26
10.317	2.27	
10.403		
10.488	2.16	
10.574		
10.660	2.26	
10.831	2.09	33.33
11.002	2.33	
11.173	2.30	
11.259		
11.344	2.30	
11.430		
11.516	2.24	
11.687	2.56	
11.858	2.27	48.72
12.029	2.42	33.33
12.115		
12.201	2.47	67.50
12.286		
12.372		
12.543	2.72	47.06
12.714	2.72	50.00
12.860	2.64	64.62
12.920		
12.980	2.59	72.12
13.040		
13.100	2.48	77.14
13.220	2.92	69.37
13.340	2.66	67.74
13.460	2.58	73.61
13.520		
13.580	2.75	64.44
13.640		
13.700	2.82	83.12
13.820	2.69	75.36
13.940	2.80	76.43
14.060	2.85	60.76
14.120		
14.180	2.57	71.07
14.240		
14.300		
14.420	2.82	64.38
14.540	2.48	65.43
14.658	2.90	50.98
14.714		
14.770	2.94	45.16
14.826		
14.882	2.87	22.22
14.995		18.92
15.107	3.31	6.94
15.219	3.06	12.90
15.275		
15.331	3.35	12.50
15.387		
15.443	3.28	2.30
15.556	3.30	1.49
15.668	3.26	3.16
15.780	3.17	6.67
15.836		
15.892	3.25	1.25
15.948		
16.005	3.35	6.58
16.117	3.52	8.64
16.229	3.40	2.88
16.341	3.13	1.32
16.397		
16.453	2.91	1.72
16.509		
16.566	2.84	3.51
16.678	3.09	5.31
16.790	3.49	6.92
16.902	3.26	15.12
16.958		
17.014	3.61	11.76
17.070		
17.127	3.71	22.90
17.239	3.79	25.77
17.351	3.60	44.00
17.463	3.36	46.00
17.519		
17.575	3.56	34.67
17.632		
17.688	3.44	62.20
17.800	3.76	55.17
17.912	3.74	60.26
18.024	3.65	59.81
18.080		
18.136	3.77	52.80
18.193		
18.249	3.81	44.51
18.361	3.47	56.99
18.473	3.64	33.33
18.585	3.45	45.00
18.641		
18.697	3.65	36.77
18.754		
18.810	3.61	7.27
18.922	3.43	23.64
19.034	3.19	18.75
19.146	3.43	31.79
19.202		
19.259	3.13	27.37
19.315		
19.371	3.35	29.37
19.483	3.39	37.70
19.595	3.59	31.72
19.707	3.70	29.29
19.763		
19.820	3.67	49.17
19.876		
19.932	3.35	47.20
20.044	3.45	59.69
20.156	3.43	58.22
20.268	3.58	50.00
20.324		
20.381	3.63	46.84
20.437		
20.493	3.56	57.62
20.605	3.20	42.39
20.717	3.53	46.52
20.829	3.62	48.36
20.885		
20.942	3.53	55.35
20.998		
21.054	3.70	42.16
21.166	3.74	52.17
21.278	3.23	42.16
21.390	3.43	38.64
21.447		
21.503	3.61	34.81
21.559		
21.615	3.47	42.34
21.727	3.34	51.09
21.839	3.69	44.64
21.951	3.42	38.57
22.008		
22.064	3.51	38.22
22.120		
22.176	3.58	42.15
22.288	3.22	44.00
22.400	3.44	55.71
22.512	3.49	50.00
22.569		
22.625	3.52	42.37
22.681		
22.737	3.58	48.78
22.849	3.58	51.61
22.961	3.60	42.86
23.074	3.50	53.85
23.186	3.47	40.63
23.298	3.29	14.81
23.410	3.34	22.76
23.522	3.07	16.13
23.635	3.32	13.33
23.747	2.96	16.08
23.859	3.07	18.05
23.971	3.69	46.72
24.083	3.74	48.00
24.196	3.73	67.14
24.308	3.63	63.64
24.420	3.38	74.65
24.532	3.19	75.22
24.644	2.93	70.55
24.757	3.43	66.67
24.869	3.52	46.34
24.981	3.47	58.82
25.093	3.13	55.68
25.205	3.20	49.57
25.318	3.42	48.28
25.430	3.33	44.00
25.542	2.87	49.33
25.654	2.92	39.18
25.766	3.12	57.14
25.879	3.15	48.39
25.991		
26.103		
26.215		
26.327	3.10	61.43
26.440	3.11	91.67
26.552	3.13	74.71
26.664	3.35	65.59
26.776	3.26	79.64
26.889	3.08	84.76
27.001	3.14	74.83
27.113	3.26	72.22
27.225	3.21	64.37
27.337	3.45	78.45
27.450	3.25	66.33
27.562	3.04	75.98
27.674	2.97	73.53
27.786	3.34	78.70
27.898	3.31	88.46
28.011	3.33	55.56
28.123	3.44	68.39
28.235	3.46	70.77
28.347	3.17	63.19
28.459	2.99	45.55
28.572	2.90	34.19
28.684	2.97	38.69
28.796	3.10	35.78
28.908	2.95	55.79
29.020	3.33	79.79
29.133	3.12	71.60
29.245	3.16	74.47
29.357	2.87	45.76
29.469	3.16	58.14
29.581	2.94	35.39
29.694	3.00	48.15
29.806	3.07	38.89
29.918	3.38	63.89
30.030	3.26	44.44
30.142	2.92	26.39
30.255	2.70	29.44
30.367	2.80	38.40
30.479	3.18	25.74
30.591	2.85	42.25
30.704	3.25	27.17
30.816	3.03	41.75
30.928	3.08	42.97
31.040	3.18	51.35
31.152	3.22	44.94
31.265	2.96	43.59
31.377	3.21	50.00
31.489	3.12	51.52
31.601	3.27	72.86
31.713	3.33	49.32
31.826	3.08	63.08
31.938	3.48	75.00
32.050	3.45	67.31
32.166	3.24	47.17
32.282	3.16	65.38
32.398	3.30	84.44
32.513	3.30	68.42
32.629	3.29	56.82
32.745	3.27	77.59
32.861	3.25	76.92
32.977	3.18	70.97
33.093	3.33	58.33
33.208	3.27	64.29
33.324	3.10	58.14
33.440	3.30	68.57
33.556	3.18	55.56
33.672	3.25	51.52
33.788	3.08	59.09
33.904	3.11	66.67
34.019	3.03	50.60
34.135	3.30	47.62
34.251	3.08	22.73
34.367	2.99	39.13
34.483	3.10	68.00
34.599	2.95	50.00
34.715	3.09	41.67
34.830		
34.946	2.93	55.93
35.062	3.23	48.72
35.178	3.33	79.49
35.294	3.26	78.57
35.410	3.08	72.50
35.525	3.29	88.57
35.641	3.25	85.71
35.757	3.03	80.00
35.873	3.10	68.42
35.989	3.17	70.21
36.105	3.15	81.43
36.221	2.93	56.94
36.336	2.96	53.85
36.452	3.17	49.23
36.568	3.28	65.52
36.684	3.13	79.75
36.800	3.28	85.87
36.916	3.28	75.44
37.032	3.17	82.05
37.147	3.09	81.13
37.263	3.23	86.02
37.379	3.26	89.87
37.495	3.18	82.09
37.611	3.15	87.04
37.727	3.32	77.27
37.842	3.08	85.71
37.958	3.24	82.22
38.074	3.29	91.38
38.190	2.96	79.35
38.381	3.26	72.97
38.572	2.97	66.67
38.763	3.04	
38.954	2.98	35.29
39.146	3.10	33.33
39.337	2.95	47.92
39.528	3.02	35.71
39.719	2.85	43.75
39.910	2.86	39.47
40.026	2.89	31.11
40.143	3.10	45.00
40.259	3.26	50.00
40.375	3.19	42.11
40.492	3.04	27.27
40.608	3.07	78.13
40.724	2.94	65.00
40.840	3.27	66.67
40.957	3.23	62.50
41.073	3.00	54.05
41.189	2.89	50.00
41.306	2.69	27.45
41.422	3.00	56.52
41.538	2.86	47.50
41.655	3.03	44.44
41.771	2.87	29.03
41.887	2.85	50.00
42.003	2.77	27.66
42.120	2.94	50.00
42.236	2.76	47.22
42.352	2.94	30.00
42.469	2.75	37.50
42.585	2.72	19.51
42.701	3.16	31.82
42.818	3.10	61.11
42.934	3.11	36.84
43.050	3.06	40.74
43.166	3.13	50.00
43.283	2.98	43.75
43.399	2.83	57.89
43.515	2.64	58.70
43.632	2.87	62.62
43.748	2.80	47.92
43.864	2.78	25.64
43.981	2.62	33.33
44.097	2.76	42.11
44.213	2.82	46.75
44.329	2.86	48.72
44.446	2.70	66.41
44.562	2.83	73.85
44.678	2.82	80.33
44.795	2.80	82.29
44.911	2.76	83.46
45.027	2.87	85.92
45.144	2.77	84.83
45.260		
45.376	2.74	86.32
45.493		
45.609	2.86	88.89
45.725	2.77	80.65
45.841	2.87	75.27
45.958	2.98	82.76
46.074	2.91	79.35
46.190	2.68	82.54
46.307	2.66	80.30
46.423	2.61	67.44
46.539	2.66	64.81
46.656	2.55	54.84
46.772	2.59	43.75
46.953	2.72	22.50
47.200	2.58	12.07
47.447	2.74	11.32
47.693	2.74	18.97
47.940	2.71	9.09
48.187		
48.415	2.80	45.16
48.624	2.89	41.03
48.833		
49.043	2.81	47.06
49.252	2.79	63.64
49.461	2.96	51.02
49.670	2.81	20.00
49.880	2.82	30.61
50.089	2.85	37.50
50.298	2.59	45.65
50.508	2.85	36.11
50.717	2.84	31.25
50.926	2.73	19.57
51.135	2.78	19.33
51.345	2.87	24.75
51.554	2.82	17.65
51.763	2.78	18.87
51.973	2.76	13.27
52.182	2.92	17.09
52.391	2.87	14.08
52.600	2.80	12.18
52.810	2.81	13.89
53.019	2.91	13.61
53.228	2.97	8.07
53.438	2.83	9.03
53.647	2.81	6.13
53.856	2.62	8.33
54.065	2.75	4.44
54.239	2.74	2.55
54.376	2.59	3.08
54.513	2.48	7.61
54.651	2.67	7.38
54.788	2.52	6.22
54.926	2.62	4.87
55.063	2.57	3.18
55.200	2.68	5.98
55.338	2.69	7.47
55.475	2.60	20.69
55.613	2.72	4.90
55.750	2.67	13.16
55.863	2.62	12.50
55.975	2.61	20.51
56.088	2.82	24.75
56.200	2.78	36.36
56.313	2.76	41.03
56.426	2.72	66.67
56.538	2.72	73.68
56.651	2.76	80.39
56.764	2.86	80.00
56.876	2.93	57.14
56.989	2.97	79.17
57.101	2.90	85.93
57.214	2.82	88.08
57.327	2.91	86.50
57.439	2.92	92.92
57.552	2.74	92.35
57.664	2.84	90.12
57.777	2.81	88.81
57.890	2.80	90.87
58.002		90.17
58.115	3.00	77.12
58.228	2.83	62.37
58.340	2.88	50.00
58.453	2.86	55.41
58.565	2.90	42.19
58.678	2.72	48.75
58.791	2.77	41.12
58.903	2.82	31.29
59.016	2.77	43.08
59.128	2.80	40.79
59.241	2.92	38.61
59.354	2.77	23.77
59.466	2.89	28.89
59.579	2.78	23.91
59.691	2.80	44.68
59.804	2.60	19.64
59.916		25.42
60.028		35.90
60.141	3.13	21.15
60.253	2.80	28.75
60.366	2.48	15.00
60.478	2.78	40.54
60.591	2.88	34.74
60.703	2.67	37.50
60.816	2.70	26.21
60.928		16.67
61.041	3.17	24.66
61.153	2.82	27.96
61.265	3.07	28.00
61.378	2.78	47.00
61.490	2.85	53.57
61.603	2.86	51.61
61.715	2.93	48.00
61.828	2.94	26.37
61.940		42.77
62.053	3.01	54.67
62.165	2.78	57.64
62.277	2.66	67.06
62.390	2.67	66.93
62.502	2.68	70.21
62.615	2.70	79.75
62.727	2.48	65.91
62.840	2.66	62.07
62.952	2.82	49.07
63.065	3.02	67.11
63.177	2.98	78.46
63.290	2.94	74.16
63.402	2.82	70.93
63.514	2.98	69.23
63.627	2.80	70.56
63.739	3.08	68.92
63.852	3.09	63.86
63.974	3.17	53.45
64.106	3.16	54.35
64.238	3.03	60.94
64.370	2.96	42.86
64.502	2.87	62.12
64.634	2.74	83.45
64.766	2.89	82.79
64.898	3.07	69.14
65.030	3.12	86.96
65.162		68.29
65.293		81.03
65.425	3.24	72.73
65.557	2.87	63.89
65.689	2.96	59.09
65.821	2.79	45.63
65.953		78.85
66.085	2.87	71.17
66.217	2.85	76.47
66.349	2.98	77.32
66.481		79.63
66.613		75.81
66.745	2.93	63.93
66.877	2.84	52.08
67.009	3.06	39.39
67.141	2.95	60.48
67.273		60.23
67.405	2.58	63.74
67.537		52.46
67.669	2.78	70.41
67.801		39.58
67.932		60.00
68.064		58.33
68.196	2.89	64.17
68.328		47.27
68.460		80.00
68.592		
68.724		74.19
68.856		
68.988	2.59	85.96
69.120	2.50	80.00
69.252	2.88	77.78
69.433	2.69	66.67
69.614	2.04	33.85
69.795	2.66	30.43
69.976		18.18
70.156	2.86	21.37
70.337	3.18	19.57
70.518	3.14	24.00
70.699	3.17	10.92
70.880	3.15	3.33
71.061	3.10	4.55
71.242	3.07	0.83
