# DESCRIPTION:
# Reference: Lea, D.W., D.K. Pak, C.L. Belanger, H.J. Spero, M.A. Hall, and N.J. Shackleton. 2006. Paleoclimate history of Galápagos surface waters over the last 135,000 yr., Quaternary Science Reviews, Vol. 25, Issues 11-12, June 2006, pp. 1152-1167, doi:10.1016/j.quascirev.2005.11.010.
# Data from: https://www.ncei.noaa.gov/pub/data/paleo/contributions_by_author/lea2006/
# Comment: Mg/Ca and d18Ow from the original dataset are not included here.

Depth [cm],Age [ky],SST [C],G. ruber d18O,Uvigerina d18O
2,1.2,24.1,-1.58,3.14
6,1.7,24.8,-1.43,3.26
8,2,24.4,-1.46,3.28
10,2.3,23.9,-1.63,3.41
12,2.6,24.6,-1.27,3.03
16,3.1,23.6,-1.35,3.43
18,3.4,24.3,-1.4,3.33
20,3.7,23.6,-1.46,3.2
22,4,24.2,-1.5,3.23
26,4.5,24,-1.31,3.26
28,4.8,24.4,-1.32,3.39
30,5,24,-1.63,2.91
32,5.3,24.6,-2,3.28
36,5.8,24,-1.51,3.01
38,6.1,24.3,-1.67,2.9
40,6.3,23.9,-1.59,3.06
42,6.6,24,-1.66,2.8
46,7.1,24.4,-1.67,3.05
48,7.3,24.3,-1.81,3.16
50,7.6,24.4,-1.59,3.22
52,7.8,24.4,-1.39,3.27
56,8.3,24.8,-1.03,3.48
58,8.5,24.1,-1.28,3.59
60,8.8,24.2,-1.12,3.48
62,9,24.3,-1.27,3.41
66,9.5,24.8,-1.24,3.31
68,9.7,24.4,-1.26,3.66
70,9.9,24.7,-1.41,3.6
72,10.2,25.2,-1.33,3.55
76,10.6,24.8,-1.04,3.76
78,10.8,24.5,-0.92,3.66
80,11.1,24.7,-0.97,3.8
82,11.3,25.6,-0.99,3.67
86,11.7,24.8,-0.58,4.06
88,12,24.4,-0.24,4.02
90,12.2,24,-0.67,4.02
92,12.4,24,-0.66,4.09
96,12.8,24,-0.63,4.1
98,13,23.7,-0.19,4.17
100,13.2,24.2,-0.4,4.21
102,13.5,24.1,-0.58,4.21
106,13.9,23.9,-0.6,4.15
108,14.1,24.6,-0.42,4.28
110,14.3,24.3,-0.83,4.19
112,14.5,23.2,-0.79,4.23
116,14.9,24.7,-0.56,4.42
