# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
0,7.969,2.43,-6.1,NaN,NaN
0.1,7.983,2.27,-7.2,NaN,NaN
0.2,7.996,2.64,-7.27,NaN,NaN
0.3,8.01,2.96,-7.16,NaN,NaN
0.4,8.023,3.03,-7.17,NaN,NaN
0.5,8.036,3.07,-7.1,NaN,NaN
0.6,8.05,2.99,-7.13,NaN,NaN
0.7,8.063,2.96,-7.1,NaN,NaN
0.8,8.077,2.91,-7.09,NaN,NaN
0.9,8.09,2.81,-7.14,NaN,NaN
1,8.104,2.62,-7.16,0.00066,0.00033
1.1,8.117,2.3,-7.36,NaN,NaN
1.2,8.131,1.78,-7.61,0.00069,0.00031
1.3,8.144,1.41,-7.84,NaN,NaN
1.4,8.158,1.21,-8.05,0.00078,0.00025
1.5,8.171,1.24,-7.93,NaN,NaN
1.6,8.185,1.11,-8.08,0.00088,0.00031
1.7,8.198,1.07,-7.97,NaN,NaN
1.8,8.211,0.92,-7.92,0.00092,0.00029
1.9,8.225,1.04,-7.96,NaN,NaN
2,8.238,1.38,-7.66,0.00088,0.00026
2.1,8.252,1.39,-7.71,NaN,NaN
2.2,8.265,1.6,-7.59,0.001,0.00027
2.3,8.279,1.61,-7.48,NaN,NaN
2.4,8.292,1.47,-7.61,0.00094,0.00032
2.5,8.306,1.44,-7.63,NaN,NaN
2.6,8.319,1.48,-7.61,0.00098,0.0003
2.7,8.333,1.36,-7.81,NaN,NaN
2.8,8.346,1.48,-7.79,0.0009,0.00038
2.9,8.36,1.56,-7.64,NaN,NaN
3,8.373,1.67,-7.76,0.00086,0.00035
3.1,8.386,1.63,-7.68,NaN,NaN
3.2,8.4,1.69,-7.64,0.00086,0.00023
3.3,8.413,1.64,-7.68,NaN,NaN
3.4,8.427,1.69,-7.71,0.00087,0.00028
3.5,8.44,1.61,-7.74,NaN,NaN
3.6,8.454,1.63,-7.7,0.00088,0.00023
3.7,8.467,1.59,-7.73,NaN,NaN
3.8,8.481,1.66,-7.73,0.00094,0.00027
3.9,8.494,1.51,-7.8,NaN,NaN
4,8.508,1.5,-7.98,0.00083,0.00023
4.1,8.521,1.56,-7.81,NaN,NaN
4.2,8.535,1.54,-7.89,0.00088,0.00025
