/* DESCRIPTION:
Reference:	Hodell, DA et al. (2008): Onset of 'Hudson Strait' Heinrich Events in the eastern North Atlantic at the end of the middle Pleistocene transition (~640 ka)? Paleoceanography, 23(4), PA4218, https://doi.org/10.1029/2008PA001591
Data from:	https://doi.org/10.1594/PANGAEA.831737. Accessed 11 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	Ca/Sr	Si/Sr
0.01	0.186	72.872	0.35316
0.02	0.372	69.467	0.51036
0.03	0.558	64.531	0.43725
0.04	0.744	72.28	0.46457
0.05	0.93	74.385	0.58871
0.06	1.116	74.333	0.55277
0.07	1.302	74.355	0.54261
0.08	1.488	74.563	0.60765
0.09	1.674	72.87	0.53575
0.1	1.86	71.521	0.43962
0.11	2.046	71.037	0.5803
0.12	2.232	36.641	0.34656
0.13	2.418	73.688	0.51094
0.14	2.604	72.317	0.60062
0.15	2.79	68.72	0.53175
0.16	2.976	68.489	0.5336
0.17	3.162	73.903	0.66173
0.18	3.348	69.921	0.59105
0.19	3.534	66.971	0.62287
0.2	3.72	76.32	0.66703
0.21	3.906	73.103	0.55033
0.22	4.092	73.494	0.78515
0.23	4.278	72.328	0.82404
0.24	4.464	74.167	0.86192
0.25	4.65	74.832	0.75309
0.26	4.836	66.297	0.62989
0.27	5.022	71.443	0.67622
0.28	5.208	69.353	0.61925
0.29	5.394	74.799	0.58518
0.3	5.58	70.746	0.55591
0.31	5.766	74.778	0.53184
0.32	5.952	74.044	0.62975
0.33	6.138	72.7	0.74074
0.34	6.324	70.973	0.76757
0.35	6.51	75.665	0.86737
0.36	6.696	74.598	0.90387
0.37	6.882	73.932	0.68519
0.38	7.068	69.37	0.71
0.39	7.254	74.064	0.83532
0.4	7.44	67.837	0.69866
0.41	7.626	67.663	0.6685
0.42	7.812	72.545	0.72705
0.43	7.998	70.006	0.98191
0.44	8.184	68.585	0.90794
0.45	8.37	69.821	1.0024
0.46	8.556	72.034	0.98875
0.47	8.742	73.04	0.97194
0.48	8.928	68.031	1.1741
0.52	9.672	70.941	1.0347
0.53	9.858	72.957	1.2189
0.54	10.044	75.537	1.485
0.55	10.23	75.325	1.5198
0.56	10.416	63.702	1.2198
0.57	10.602	70.397	1.5078
0.58	10.788	71.685	1.3343
0.59	10.974	71.672	1.4853
0.6	11.16	79.078	1.652
0.61	11.346	77.529	1.3488
0.62	11.532	73.171	2.0721
0.63	11.718	74.228	2.063
0.64	11.904	90.719	2.9163
0.65	12.09	84.227	2.5331
0.66	12.276	76.244	2.3178
0.67	12.462	71.463	2.6255
0.68	12.648	65.452	2.6266
0.69	12.834	70.962	2.2106
0.7	13.02	76.598	3.0765
0.71	13.206	80.484	4.314
0.72	13.392	74.63	3.8539
0.73	13.578	71.936	3.9594
0.74	13.764	68.738	2.8604
0.75	13.95	70.379	2.4197
0.76	14.136	80.788	3.176
0.77	14.322	79.464	3.1604
0.78	14.508	88.127	3.0854
0.79	14.694	74.15	2.8119
0.8	14.88	74.984	2.9275
0.81	15.066	86.202	2.5857
0.82	15.252	78.491	2.2912
0.83	15.438	83.865	2.7467
0.84	15.624	84.829	2.6558
0.85	15.81	87.058	2.8956
0.86	15.996	88.836	4.2889
0.87	16.182	110.32	6.0954
0.88	16.368	138	5.8472
0.89	16.554	100.61	4.7037
0.9	16.74	95.318	5.965
0.91	16.926	118.17	7.3633
0.92	17.112	150.65	6.3537
0.93	17.298	223.52	7.5219
0.94	17.484	248.93	8.0925
