# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871933. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Age [ka BP],Δδ18O [‰]
0,1.82
0.5,1.8262
1,1.8114
1.5,1.9251
2,1.9098
2.5,1.8618
3,1.8955
3.5,1.7925
4,1.7214
4.5,1.947
5,1.9312
5.5,1.8603
6,1.7489
6.5,1.6527
7,1.5927
7.5,1.4741
8,1.4751
8.5,1.5152
9,1.387
9.5,1.2597
10,1.4684
10.5,1.5636
11,1.7133
11.5,1.7256
12,1.6907
12.5,1.7378
13,2.1624
13.5,2.7838
14,2.5486
14.5,2.9431
15,4.5204
15.5,4.6988
16,5.102
16.5,5.84
17,7.395
17.5,8.8137
18,9.0004
18.5,9.0977
19,9.0382
19.5,4.0786
20,2.7239
20.5,2.175
21,2.2616
21.5,2.7867
22,3.6253
22.5,3.2805
23,3.4321
23.5,4.9564
24,5.5089
24.5,5.8565
25,5.8229
25.5,7.5967
26,8.4425
26.5,7.7934
27,3.6915
27.5,2.0396
28,1.9852
28.5,2.1489
29,2.306
29.5,2.0222
30,2.5417
30.5,3.4371
31,3.9027
31.5,4.9965
32,5.7602
32.5,5.7819
33,5.7465
33.5,5.591
34,5.0556
34.5,4.307
35,3.3939
35.5,2.5653
36,2.9086
36.5,2.439
37,2.015
37.5,2.6357
38,2.474
38.5,5.3531
39,6.7514
39.5,9.0068
40,5.9912
40.5,3.1565
41,2.1474
41.5,2.7309
42,2.7895
42.5,2.0308
43,2.2092
43.5,2.3066
44,2.1228
44.5,1.9536
45,2.117
45.5,2.2356
46,2.2793
46.5,2.4132
47,3.3665
47.5,7.0537
48,8.7168
48.5,8.995
49,7.7906
49.5,2.27
50,1.55
50.5,1.245
51,1.22
51.5,1.585
52,1.545
52.5,1.53
53,1.6225
53.5,1.71
54,1.9325
54.5,1.9225
55,1.6575
55.5,1.675
56,1.4244
56.5,1.2656
57,1.3076
57.5,1.4813
58,1.5481
58.5,1.8764
59,1.805
59.5,2.386
60,3.5392
60.5,3.2884
61,3.5303
61.5,5.3337
62,4.2117
62.5,4.3565
63,4.8584
63.5,4.4941
64,4.786
64.5,3.5817
65,2.7499
65.5,2.7029
66,2.6786
