# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871936. Accessed 11 Nov 2022.
# Comment: Cibicidoides sp. δ18O and Cibicidoides sp. δ13C include C. kullenbergi and C. wuellerstorfi, which are listed as separate variables in the original dataset.

Depth cr mean [rmcd],Age [ka BP],Cibicidoides sp. δ18O [‰ PDB],Cibicidoides sp. δ13C [‰ PDB]
0.01,0.19,2.7,0.72
0.03,0.56,2.78,0.7
0.05,0.93,2.64,0.24
0.07,1.31,2.82,1.09
0.09,1.68,2.91,0.82
0.11,2.05,2.79,0.92
0.13,2.43,2.78,0.87
0.15,2.8,2.71,0.89
0.17,3.17,2.77,1.02
0.19,3.55,2.61,0.69
0.21,3.92,2.61,0.94
0.23,4.29,3.1,0.94
0.25,4.67,2.88,0.85
0.27,5.04,2.88,1.05
0.29,5.41,2.85,1.03
0.31,5.79,2.82,0.95
0.33,6.16,2.61,0.95
0.35,6.53,2.82,0.91
0.37,6.91,2.68,1.11
0.39,7.28,2.79,1.18
0.41,7.65,2.68,1.03
0.43,8.03,2.83,1.08
0.45,8.4,2.79,0.99
0.47,8.77,2.6,0.78
0.49,9.15,2.72,1.01
0.51,9.52,2.87,0.66
0.53,9.89,2.91,1.1
0.55,10.27,3.11,0.91
0.57,10.64,2.88,0.97
0.59,11.01,3.02,0.99
0.61,11.39,2.96,0.72
0.63,11.76,3.17,0.63
0.65,12.13,3.12,0.58
0.67,12.51,3.65,0.47
0.69,12.88,3.54,0.48
0.71,13.25,3.41,0.37
0.73,13.63,3.64,0.77
0.75,14,3.46,0.54
0.77,14.37,3.62,0.88
0.79,14.75,3.45,0.66
0.81,15.12,3.54,0.62
0.83,15.49,3.56,0.78
0.85,15.87,3.59,0.28
0.87,16.24,3.8,0.16
0.91,16.99,3.74,0.21
0.93,17.36,3.58,0.14
0.97,18.63,4.13,0.16
0.99,19.31,4.14,-0.27
1.01,19.59,4.49,0.22
1.03,19.77,4.28,0.25
