# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871934. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth cr mean [rmcd],Age [ka BP],δ18O bulk carb [‰ PDB]
0.01,0.19,0.88
0.03,0.56,0.91
0.05,0.93,0.91
0.07,1.31,0.92
0.09,1.68,0.97
0.11,2.05,0.88
0.13,2.43,0.92
0.15,2.8,0.86
0.17,3.17,0.81
0.19,3.55,0.93
0.21,3.92,0.91
0.23,4.29,1.11
0.25,4.67,0.94
0.27,5.04,0.97
0.29,5.41,1.03
0.31,5.79,1.09
0.33,6.16,0.98
0.35,6.53,1.14
0.37,6.91,1.28
0.39,7.28,1.24
0.41,7.65,1.25
0.43,8.03,1.28
0.45,8.4,1.34
0.47,8.77,1.43
0.49,9.15,1.35
0.51,9.52,1.34
0.53,9.89,1.36
0.55,10.27,1.37
0.57,10.64,1.17
0.59,11.01,1.27
0.61,11.39,1.32
0.63,11.76,1.41
0.65,12.13,1.21
0.67,12.51,1.22
0.69,12.88,1.3
0.71,13.25,1.06
0.73,13.63,1.17
0.75,14,0.93
0.77,14.37,0.19
0.79,14.75,0.78
0.81,15.12,1.01
0.83,15.49,0.57
0.85,15.87,-0.92
0.87,16.24,-2.18
0.89,16.61,-1.26
0.91,16.99,-2.18
0.93,17.36,-4.74
0.95,17.73,-4.98
0.97,18.63,-4.96
0.99,19.31,0.73
1.01,19.59,0.91
1.03,19.77,1.33
1.05,19.95,1.28
1.07,20.13,1.07
1.09,20.56,2.44
1.11,21.11,2.14
1.13,21.65,2.13
1.15,22.2,1.57
1.17,22.73,0.59
1.19,23.2,1.33
1.21,23.67,0.73
1.23,24.28,-0.66
1.25,25.05,-1.72
1.27,25.37,-1.57
1.29,25.5,-4.7
1.31,25.83,-5.27
1.33,26.81,-5.46
1.35,27.26,1.2
1.37,27.54,0.22
1.39,27.81,2.27
1.41,28.09,2.51
1.43,28.37,1.93
1.45,28.64,2.08
1.47,28.92,2.2
1.49,29.2,1.85
1.51,29.48,2.09
1.53,29.75,2.27
1.55,30.03,2.34
1.57,30.25,1.74
1.59,30.45,1.47
1.61,30.64,0.41
1.63,30.84,0.43
1.65,31.14,-2.26
1.67,31.48,-1.03
1.69,31.81,-0.7
1.71,32.05,-1.54
1.73,32.18,-1.62
1.75,32.31,-1.31
1.77,32.44,0.1
1.79,32.57,0.09
1.81,32.7,0.65
1.83,32.83,0.43
1.85,32.96,-0.6
1.87,33.1,1.73
1.89,33.23,1.97
1.91,33.37,1.67
1.93,33.51,2.14
1.95,33.65,1.24
1.97,33.79,1.48
1.99,33.93,1.29
2.01,34.05,1.22
2.03,34.16,0.9
2.05,34.28,1.52
2.07,34.4,1.39
2.09,34.51,1.19
2.11,34.63,1.94
2.13,34.75,1.97
2.15,34.86,1.96
2.17,34.98,1.51
2.19,35.1,2.33
2.21,35.21,2.69
2.23,35.33,2.21
2.25,35.44,2.03
2.27,35.65,1.29
2.29,35.85,1.47
2.31,36.06,1.66
2.33,36.27,0.75
2.35,36.47,1.48
2.37,36.68,1.37
2.39,36.89,1.28
2.41,37.09,1.3
2.43,37.3,1.47
2.45,37.51,0.55
2.47,37.72,0.12
2.49,37.92,-0.75
2.51,38.13,-1.1
2.53,38.3,-6.52
2.55,38.46,-2.38
2.57,38.62,-2.65
2.59,38.79,-0.67
2.61,38.95,-3.13
2.63,39.11,-5.34
2.65,39.27,-5.34
2.67,39.44,-5.45
2.69,39.6,-5.33
2.71,39.76,-5.53
2.73,39.93,-3.25
2.75,40.09,-5.15
2.79,40.42,-2.89
2.81,40.58,0.88
2.83,40.74,0.39
2.85,40.9,0.3
2.87,41.07,1.75
2.89,41.23,0.91
2.91,41.39,2.42
2.93,41.62,1.89
2.95,41.88,1.99
2.95,41.88,1.87
2.97,42.14,1.57
2.99,42.39,0.6
3.01,42.65,0.12
3.03,42.91,2.08
3.05,43.17,1.68
3.07,43.43,1.98
3.09,43.68,2.37
3.11,43.93,2
3.13,44.19,2.09
3.15,44.44,1.71
3.17,44.7,1.92
3.19,44.95,1.83
3.21,45.2,1.73
3.23,45.46,1.93
3.25,45.71,1.84
3.27,45.96,1.79
3.29,46.22,1.89
3.31,46.47,1.76
3.33,46.71,1.84
3.35,46.91,1.47
3.37,47.11,1.42
3.39,47.31,1.45
3.41,47.51,0.97
3.43,47.71,0.53
3.45,47.91,0.08
3.47,48.11,-3.75
3.49,48.31,-4.84
3.51,48.51,-4.92
3.53,48.71,-5
3.55,48.91,-4.95
3.57,49.11,-4.9
3.59,49.31,-5.32
3.61,49.51,0.53
3.63,49.71,2.14
3.65,49.91,2.4
3.67,50.11,2.53
